cnic,canonical_name,father_name,declared_income,tax_paid,ntn,filing_status,phone
44000-9133946-9,Slaman Chattha,S/O Maryam Abbasi,3453250.0,0.0,NTN-224324,Non-Filer,0301-7772462
54000-6245024-2,Zainab Akhtar,S/O Adnan Syed,6404980.0,868500.0,NTN-351281,Filer,0321-7178098
21301-3219862-3,Mohammad Khan,S/O S/O Waseem Naqvi,1336870.0,0.0,NTN-287226,Filer,0313-7316209
61101-8123479-7,Adnan Cheema,S/O Adnan Karim,11232920.0,1777150.0,NTN-976408,Filer,0332-1451244
35202-7137334-9,Tahir Rana,S/O Tahir Chaudhry,39084130.0,4927690.0,NTN-356894,Filer,0313-2892851
54000-8587041-8,Ayesha Sandhu,S/O Syed Naqvi,17367930.0,3409920.0,NTN-221073,Filer,0321-3585615
35202-7776989-1,Sheikh Hussain,S/O Baig Iqbal,22084070.0,2983070.0,NTN-239680,Filer,0346-9413811
44000-7115138-9,Fatima Karim,S/O Asma Raza,10170130.0,2156630.0,NTN-866228,Filer,0333-2033285
61101-7786416-5,Bilal Butt,S/O Hussain Syed,19486810.0,2947550.0,NTN-338197,Filer,0322-7441237
13302-2803501-7,Faisal Raza,S/O Khalid Akhtar,5350630.0,0.0,NTN-741627,Non-Filer,0345-7765480
21301-6241256-9,Waseem Mirza,S/O Fatima Rafiq,23475460.0,4151780.0,NTN-221580,Filer,0303-5189693
21301-5698471-6,Hamid Tarar,S/O Hina Tarar,5753120.0,0.0,NTN-295137,,0332-1088005
44000-1191859-5,Rukhsar Bukhari,S/O Asma Chaudhry,3381750.0,0.0,NTN-121967,,0300-2983483
42101-7419877-2,Hashmi Gilani,S/O Ahmed Naqvi,8077520.0,587350.0,NTN-562739,Filer,0321-2469071
42101-2493373-1,Tariq Ahmed,S/O Sidra Naqvi,20072230.0,3812050.0,NTN-870040,Filer,0332-9538335
44000-1108404-6,Salman Rafiq,S/O Waseem Qureshi,32784080.0,3843920.0,NTN-660766,Filer,0345-6078183
13302-3504521-7,Mehwish Ansri,S/O Naeem Gujjar,8345320.0,861240.0,NTN-469721,Filer,0321-4921224
44000-9424687-9,Rabia Abbasi,S/O عمر شیخ,17508400.0,3508700.0,NTN-619254,Filer,0313-3825285
35202-6060781-9,,S/O Rizwan Mirza,11445920.0,2220100.0,NTN-371666,Filer,0313-5401782
61101-6700506-2,Hassan Baig,S/O Fatima Gujjar,36283230.0,5456130.0,NTN-463169,Filer,0302-6034918
21301-4811482-8,Arif Raza,S/O Hina Iqbal,35250260.0,2219430.0,NTN-502077,Filer,0313-5979323
21301-2609428-5,Ayesha Rizvi,S/O Tariq Sandhu,2517640.0,0.0,NTN-666316,Filer,0300-8591255
35202-5275554-5,Adnan Zaidi,S/O Mohammad Gujjar,55448480.0,9172120.0,NTN-644892,Filer,0322-5318168
,Hussain Rana,S/O Rukhsar Iqbal,3456870.0,0.0,NTN-358299,Filer,0312-8291756
54000-3324436-6,Kashif Khan,S/O Sobia Aslam,16722020.0,3280290.0,NTN-558140,Filer,0302-3923131
54000-9005008-1,Rabia Iqbal,S/O Kashif Tarar,90444540.0,18274800.0,NTN-234981,Filer,0303-2978268
44000-2090215-5,Ahmed Hussain,S/O Noor Latif,1548840.0,0.0,NTN-638743,Non-Filer,0332-8289875
61101-4018551-6,Noor Mirza,S/O Fatima Naqvi,6927550.0,993590.0,NTN-634635,Non-Filer,0302-4637721
44000-5394356-5,Ali Aslam,S/O Arif Virk,47127330.0,10062660.0,NTN-204800,Filer,0333-7294416
21301-8802377-5,Sajid Gujjar,S/O Qureshi Chaudhry,4949550.0,0.0,NTN-461395,Non-Filer,0300-3535551
61101-5869645-7,محمد علی,S/O Zubair Bhatti,1672770.0,0.0,NTN-238569,Filer,0302-3034798
35202-5531376-5,Ayesha Raza,S/O Aamir Gilani,3546350.0,0.0,NTN-263914,Filer,0321-9990857
13302-1576938-5,Shazia Hussain,S/O Ayesha Mirza,7804980.0,1264710.0,NTN-629728,Non-Filer,0331-1286174
44000-9724806-2,Bushra Cheema,S/O Sana Hameed,19529670.0,2339280.0,NTN-510731,Filer,0345-2218828
42101-5234993-5,Aamir Qureshi,S/O Adnan Aslam,0.0,0.0,NTN-891958,,0346-3621296
13302-7424776-6,Mirza Tarar,S/O Sidra Syed,100867330.0,5928120.0,NTN-130932,Filer,0331-5651273
44000-2189717-2,Sobia Gujjar,S/O Hassan Zaidi,19787370.0,3535150.0,NTN-646120,Filer,0311-2826302
13302-7605946-1,Malik Latif,S/O Noor Cheema,2164990.0,0.0,NTN-549319,Non-Filer,0346-8729984
13302-9986173-1,Tahir Virk,S/O Asma Gilani,144161830.0,18081330.0,NTN-862973,Filer,0322-7463181
21301-3119933-5,Muhammad Hussain,S/O Qureshi Cheema,33924000.0,2273570.0,NTN-466676,Filer,0333-5087844
61101-2226670-5,Sobia Bukhari,S/O Naeem Tarar,14815260.0,2017720.0,,Filer,
44000-2642440-9,Usman Hashmi,S/O Imran Ahmed,13185200.0,2658390.0,NTN-884947,Filer,0302-6144906
42101-7104299-4,Sheikh Hussain,S/O Malik Chattha,33570280.0,3286790.0,NTN-557969,Filer,0346-7535774
21301-6397892-3,Asif Baig,S/O Mehwish Ali,6499280.0,783970.0,NTN-954767,Filer,0331-5139326
35202-1213899-2,Raja Gujjar,S/O Naveed Chattha,14443780.0,2839670.0,NTN-188559,Filer,0332-9289690
35202-2656180-7,Sheikh Gilani,S/O Rukhsar Akhtar,18792340.0,3951370.0,NTN-518852,Filer,0311-6399467
35202-1740761-1,احمد خان,S/O Zainab Butt,9334680.0,1083870.0,NTN-187686,Non-Filer,0302-3144606
13302-4284560-5,Rabia Gilani,S/O Noor Syed,8463850.0,582060.0,NTN-906372,Filer,0346-6693407
13302-6613697-5,Shoaib Syed,S/O Imran Rafiq,34969910.0,4237110.0,NTN-592408,Filer,0312-9960074
35202-2285251-4,Fatima Naqvi,S/O Shazia Gilani,12573550.0,2836700.0,NTN-199524,Filer,0322-7576929
35202-3314969-9,Qureshi Raja,S/O Kashif Mirza,7753840.0,425640.0,NTN-494302,Non-Filer,0301-9219270
35202-3549198-1,Sajid Nawaz,S/O Adnan Gujjar,12327730.0,1665920.0,NTN-117693,Filer,0303-8851100
21301-4112254-3,Zubair Abbasi,S/O Rabia Gilani,9752410.0,657430.0,NTN-786329,Filer,0321-1545959
,Rabia Gilani,S/O Mehwish Iqbal,13721240.0,1026290.0,NTN-336446,,0301-4813626
13302-7865417-2,,S/O Arif Hussain,0.0,0.0,NTN-714416,Non-Filer,0301-7591709
42101-3568892-1,Syed Malik,S/O Aamir Hashmi,11101290.0,1085080.0,NTN-997356,Filer,0332-1462630
13302-7084862-2,,S/O Tariq Gilani,104290910.0,25760850.0,NTN-940192,Filer,0332-7017548
35202-8892606-7,Asma Chattha,S/O Shoaib Malik,35750390.0,1884670.0,NTN-749154,Filer,0301-8905709
44000-9385512-6,,S/O Fatima Tarar,8275000.0,658340.0,NTN-207925,Filer,0321-9103333
35202-9350344-9,Waseem Naqvi,S/O Arif Malik,10370560.0,2067580.0,NTN-495421,Filer,0300-2014128
44000-3870570-9,Qureshi Aslam,S/O Hamid Raja,19321210.0,3495640.0,NTN-878889,Filer,0300-3805111
21301-6884980-7,Arif Sandhu,S/O Sobia Akhtar,1813130.0,0.0,NTN-744213,Filer,0333-2586848
42101-9798556-7,Aamir Gujjar,S/O Ali Gilani,13110070.0,2198790.0,NTN-681305,Filer,0331-3161087
21301-6124222-9,Chaudhry Latif,S/O Mirza Hussain,38453110.0,9508940.0,NTN-920740,Filer,0333-2886213
13302-2710850-3,Mirza Jafri,S/O Baig Butt,15028160.0,2990020.0,NTN-924351,Filer,0321-5284645
13302-3682694-1,Bilal Aslam,S/O Raja Hameed,11179810.0,1584540.0,NTN-242893,Filer,0303-9528809
42101-1872177-7,Mohammad Malik,S/O Baig Hashmi,10982540.0,2476020.0,NTN-947736,Filer,0332-5688198
54000-7009980-2,Kashif Ansari,S/O Shoaib Jafri,40273050.0,6251970.0,NTN-356021,Filer,0313-4554277
21301-9876598-4,Mehwish Syed,S/O Ahmed Sheikh,8165020.0,1566810.0,NTN-841962,Non-Filer,0346-4311495
35202-9164301-2,Arif Akhtar,S/O Ibrahim Virk,113860680.0,15552010.0,NTN-727906,Filer,0322-2638360
13302-9196287-2,Shoaib Hashmi,S/O Rukhsar Mirza,15282890.0,1711350.0,NTN-509111,Filer,0333-5303341
35202-6435425-6,Maryam Ansari,S/O Hassan Ansari,39686920.0,6639230.0,NTN-278683,Filer,0332-8141772
21301-9507767-2,Qureshi Hameed,S/O Nadia Raza,14282620.0,1479860.0,NTN-228742,Filer,0300-9708755
21301-6312396-9,Sidra Abbasi,S/O Aamir Raja,30891960.0,7067220.0,NTN-433486,Filer,0346-1110523
54000-2393146-1,محمد حسن,S/O Rizwan Tarar,2334350.0,0.0,NTN-738103,Filer,0332-3710352
42101-4726486-8,Faisal Qureshi,S/O Nadia Ali,3833580.0,0.0,NTN-491415,Non-Filer,0332-2870007
44000-6468907-7,Bushra Akhtar,S/O Tahir Gilani,1292760.0,0.0,NTN-436732,Filer,0303-2847722
54000-6862340-9,Noor Chattha,S/O Faisal Naqvi,3676080.0,0.0,NTN-525475,Filer,0345-2760200
35202-5242665-3,Iqra Khan,S/O Aamir Tarar,68482440.0,0.0,NTN-794367,,0332-1945805
61101-3044243-4,Naveed Hameed,S/O Hashmi Hussain,8189900.0,1108440.0,NTN-998046,Filer,0313-7034034
21301-4423842-5,Tariq Ahmed,S/O S/O Shoaib Ahmed,1816830.0,0.0,NTN-572442,Filer,0345-1433356
35202-7065502-6,Hassan Baig,S/O Malik Butt,76937290.0,18429600.0,NTN-523411,Filer,0332-2128985
54000-2153651-7,Syed Ansari,S/O Mirza Abbasi,10494360.0,706950.0,NTN-685584,Filer,0302-4450687
35202-6387621-4,Ahmed Latif,S/O Tahir Jafri,14788910.0,1773000.0,NTN-401716,Filer,0345-1270732
54000-7502214-5,ابراہیم ملک,S/O Fatima Khan,37509790.0,5748780.0,NTN-204139,,0311-2482006
35202-6213387-6,Hamid Cheema,S/O Faisal Hashmi,9730470.0,2076650.0,NTN-483380,Filer,0345-8433918
21301-3756096-1,Hashmi Qureshi,S/O Adnan Karim,4317630.0,0.0,NTN-767492,Filer,0331-6731933
61101-6582889-1,Sheeikh Iqbal,S/O Uzma Sandhu,33021490.0,3585330.0,NTN-537247,Filer,0311-1545899
35202-7289874-9,عائشہ احمد,S/O Bushra Aslam,7992800.0,1231820.0,NTN-642349,Filer,0345-6468795
44000-7506753-8,Maryam Butt,S/O Salman Zaidi,76077560.0,8762300.0,NTN-291163,Filer,0331-9513896
35202-8534089-8,Sana Virk,S/O Usman Syed,16898020.0,2115730.0,NTN-143156,Filer,0346-8017921
13302-9834133-2,MalikCheema,S/O Sheikh Latif,94745680.0,20053750.0,NTN-290638,Filer,0300-3633108
35202-1801365-6,Malik Sheikkh,S/O Omar Abbasi,2212220.0,0.0,NTN-891896,Non-Filer,0346-2984214
44000-7334530-8,Sheikh Rana,S/O Usman Rafiq,15215780.0,1863750.0,NTN-290719,Filer,0322-6291925
42101-1841783-4,Mehwish Hashmi,,2711750.0,0.0,NTN-162272,Non-Filer,0321-4495412
44000-3276171-8,Sajid Abbasi,S/O Asma Hashmi,18991780.0,2951460.0,NTN-313929,Filer,0300-8148217
44000-6813390-9,Bushra Akhtar,S/O Mehwish Bukhari,47503380.0,11422600.0,NTN-530818,Filer,0322-6447964
42101-9679086-4,Uman Qureshi,S/O Usman Ahmed,15131000.0,1117650.0,NTN-426032,Filer,0313-6466880
42101-1463921-7,Hamid Aslam,S/O Nadia Sheikh,3552450.0,0.0,NTN-297457,Non-Filer,0332-4338678
54000-2035290-3,Saira Ali,S/O Asma Baig,12521850.0,2262010.0,NTN-586855,Filer,0301-7612861
44000-8577588-3,Hassan Malik,S/O Sheikh Chattha,29999150.0,6936930.0,NTN-206451,Filer,0312-3239512
21301-8918739-2,Naeem Bukhari,S/O Rizwan Gujjar,30299810.0,5548660.0,NTN-292300,Filer,0333-9478488
35202-9191498-4,Bilal Virk,S/O Asif Sheikh,7847190.0,530220.0,NTN-761225,Filer,0321-9289884
44000-6549757-6,Sajid Zaidi,,148613620.0,10963250.0,NTN-365081,Filer,0311-4867786
,Fatima Ansari,,13372140.0,3156000.0,NTN-331779,Filer,0321-5928666
42101-7399848-9,Hamid Butt,S/O Mirza Tarar,12824610.0,1231790.0,NTN-989022,Filer,0311-2513225
13302-2510538-8,Zainab Virk,S/O Kashif Rafiq,23888120.0,1857590.0,NTN-329449,Filer,0346-7812225
42101-4907882-2,Malik Malik,S/O Shazia Aslam,43442700.0,0.0,NTN-448091,Filer,0333-8226768
44000-2985216-8,Sana Rizvi,S/O Kamran Bukhari,39275190.0,7383220.0,NTN-466214,Filer,0312-4185591
,,S/O Mohammad Khan,17908100.0,2289790.0,NTN-357893,Filer,0313-2716512
61101-2352703-6,Raja Hashmi,S/O Fatima Khan,3372530.0,0.0,NTN-617714,Filer,0313-4569828
42101-5955089-4,Chaudhry Hashmi,,11094720.0,1347630.0,NTN-668335,Filer,0312-1768857
61101-2419846-9,Arif Karim,S/O Maryam Syed,4951200.0,0.0,NTN-289751,Non-Filer,0333-9591125
35202-1731546-6,Nadia Rafiq,S/O Khalid Aslam,8740320.0,913780.0,NTN-608875,Filer,0303-6832575
13302-1902313-3,Arif Bhatti,S/O Rabia Hussain,2744560.0,0.0,NTN-282781,Non-Filer,0313-3631549
35202-2990120-7,Asma Naqvi,S/O Fatima Rana,42555700.0,0.0,NTN-157497,Filer,0333-8276736
35202-3482256-8,,S/O Hamid Sheikh,8504730.0,1352710.0,NTN-499713,Filer,0332-1380679
44000-2250434-7,Ali Baig,S/O Hashmi Raza,5217110.0,0.0,NTN-432177,Non-Filer,0301-3919842
13302-7845563-9,Muhammad Raza,S/O S/O Hashmi Rana,2221130.0,0.0,NTN-769799,Non-Filer,0321-4189967
35202-3765816-2,Maryam Rana,S/O Bushra Hussain,5832390.0,0.0,NTN-643318,Filer,0312-4132328
35202-3390594-9,فاطمہ خان,S/O Mehwish Chattha,2862280.0,0.0,NTN-919083,Non-Filer,0345-6761812
42101-9422139-2,Hassan Iqbal,S/O Rukhsar Hameed,13602850.0,0.0,NTN-864092,Filer,0300-4042014
42101-4644217-1,Rizwan Akhtar,S/O Kashif Akhtar,61818560.0,3668860.0,NTN-379889,Filer,0346-4590440
61101-3672181-2,Khalid Chattha,S/O Iqra Jafri,41671200.0,5386960.0,NTN-101121,Filer,0332-8999013
13302-7861222-7,Saira Rizvi,S/O Mohammad Hussain,7303010.0,920020.0,NTN-603673,Non-Filer,0321-6757197
35202-5664602-1,Hussain Naqvi,S/O Tahir Sheikh,15526490.0,1832080.0,NTN-183307,Filer,0311-5927882
35202-7190319-4,Mehwish Gondal,S/O Sobia Raja,2319200.0,0.0,NTN-719487,Non-Filer,0301-6309301
21301-7419206-6,Usman Qureshi,S/O Adnan Malik,70625570.0,15702050.0,NTN-866197,Filer,0302-5306506
61101-7080762-2,Nadia Virk,S/O Bushra Baig,3410290.0,0.0,NTN-339973,Non-Filer,0312-1373821
54000-5186937-1,Ayesha Sandhu,S/O Raja Rizvi,29764780.0,5442400.0,NTN-195847,Filer,0346-6545917
42101-3782393-9,Tariq Baig,S/O Shoaib Bukhari,75752410.0,15505390.0,NTN-651742,Filer,0331-3452813
42101-5609903-5,Amna Aslam,S/O Zainab Karim,62617190.0,6593790.0,NTN-948788,Filer,0332-7329897
61101-4843914-9,Asma Mirza,S/O مریم چودھری,22639890.0,1717500.0,NTN-174071,Filer,0332-6435127
44000-9769803-7,Kashif Baig,S/O Sidra Aslam,20461040.0,3369450.0,NTN-775199,Filer,0333-2275012
42101-8203514-1,Hamid Bhatti,S/O Asma Rizvi,26556000.0,3413800.0,NTN-186806,Filer,0313-5696796
21301-7902725-3,Muhammad Baig,S/O Sheikh Hameed,14907520.0,1335770.0,NTN-130200,Filer,0312-2608107
21301-7466266-7,Muhammaad Hameed,S/O علی حسین,2671870.0,0.0,NTN-219083,Filer,0303-3549031
13302-5151780-2,Maryam Raza,S/O Asma Zaidi,19566370.0,3448600.0,NTN-944586,Filer,0301-2882551
13302-6809608-3,Ahmed Ali,S/O Naeem Bhatti,6443980.0,643320.0,NTN-772600,Non-Filer,0333-8669179
44000-6818682-2,Hamid Malik,S/O Kamran Rafiq,13371570.0,3232820.0,NTN-251491,Filer,0313-3273027
35202-9211740-1,احمد خان,S/O Sidra Butt,0.0,15550970.0,NTN-141980,Filer,0332-8357716
,Baig Naqvi,S/O Chaudhry Virk,9318600.0,2182680.0,NTN-936101,Non-Filer,0331-4146566
21301-3065085-3,Fatima Mirza,S/O Qureshi Gilani,19019510.0,1380420.0,,Filer,0331-2493955
13302-5218292-9,Tarqi Virk,S/O Raja Aslam,19109000.0,4111920.0,NTN-738604,Filer,0346-9384022
54000-9964482-6,Sidra Rana,S/O Shazia Syed,2382160.0,0.0,NTN-354096,Non-Filer,0332-1710615
54000-6372066-7,Rukhsar Khan,S/O Arif Cheema,61422920.0,7647800.0,NTN-440612,Filer,
42101-3719532-5,Salman Raja,S/O Qureshi Malik,25405580.0,4735620.0,NTN-626712,Filer,0333-6250607
35202-2287024-4,Sana Rizvi,S/O Bushra Karim,29585770.0,2339210.0,NTN-211244,Filer,0311-9365912
61101-5418691-9,Rukhsar Karim,S/O Malik Qureshi,14686470.0,1221430.0,NTN-380939,Filer,0312-6514417
13302-9976003-2,Noor Mirza,S/O Maryam Akhtar,2467040.0,0.0,NTN-589667,Non-Filer,
44000-4393588-9,Hassan Tarar,S/O زینب علی,3788590.0,0.0,NTN-951625,Non-Filer,0303-5348266
44000-1537411-8,Ayesha Gujjar,S/O Arif Rafiq,7404980.0,1159630.0,NTN-523855,Filer,0321-6980273
13302-3816607-3,عائشہ احمد,S/O Shazia Bukhari,213380950.0,15214710.0,NTN-479037,Filer,0301-6488523
44000-1451304-6,Tahir Iqbal,S/O Naeem Cheema,182918830.0,14739700.0,NTN-301476,Filer,0312-7911031
13302-9084065-5,Tariq Gilani,S/O S/O Hassan Qureshi,20869230.0,1077950.0,NTN-794632,Filer,0345-4785186
54000-5536395-6,Bushra Gilani,,18991190.0,0.0,NTN-670320,Filer,0313-3453442
,Naveed Latif,S/O Hashmi Rafiq,3706550.0,0.0,NTN-189897,Filer,0300-8379392
54000-8033690-1,Hassan Raja,S/O Salman Nawaz,2042890.0,0.0,NTN-402803,Non-Filer,0331-1563316
42101-1613785-8,Malik Ali,S/O Rabia Rizvi,51252500.0,5388170.0,NTN-549883,Filer,0331-9637743
44000-9511546-9,Naeem Butt,S/O Bilal Nawaz,2041310.0,0.0,NTN-434637,Non-Filer,0300-7490791
21301-2810792-5,Bushra Gondal,S/O Iqra Khan,12973370.0,1662000.0,NTN-137773,Filer,0321-9840030
13302-3637826-6,Arif Ansari,S/O ابراہیم ملک,39965300.0,6292050.0,NTN-415975,Filer,0313-1326642
54000-1609831-5,Raja Sandhu,S/O Usman Hussain,5846640.0,0.0,NTN-938278,Non-Filer,0313-9195662
21301-1241402-6,Maryam Zaidi,S/O Salman Chaudhry,292780610.0,34146860.0,NTN-769467,Filer,0311-6515198
61101-3813045-4,Hamid Gujjar,S/O Ali Gujjar,0.0,0.0,NTN-721075,Filer,0313-4956232
35202-4502357-8,Nadia Rizvi,S/O Sana Ali,21196970.0,4283670.0,NTN-739499,Filer,0313-9191008
13302-1494355-9,Zubair Qureshi,S/O Rukhsar Ahmed,2420390.0,0.0,NTN-165728,Non-Filer,0312-7590872
44000-1176788-2,مریم چودھری,S/O Muhammad Akhtar,11225180.0,2672990.0,NTN-227654,Filer,0322-8054268
35202-5606927-1,Naveed Zaidi,S/O Syed Virk,9613860.0,1624470.0,NTN-478372,Non-Filer,0322-1084021
44000-5901239-3,Iqra Cheema,S/O Mehwish Tarar,7121130.0,1228560.0,NTN-798154,Non-Filer,0301-1205779
35202-5835315-6,احمد خان,S/O Kashif Bhatti,0.0,4231880.0,NTN-691273,Filer,0301-2092233
13302-4320146-3,مریم چودھری,S/O Shazia Zaidi,1026890.0,0.0,NTN-561151,Filer,0300-4990114
44000-5866006-8,مریم چودھری,S/O Hamid Rana,51287420.0,7744370.0,NTN-771485,Filer,0331-1357984
35202-4766861-2,Rizwan Iqbal,S/O Sidra Hussain,35349080.0,2805870.0,NTN-314082,Filer,0301-6598972
