canonical_name,father_name,cnic,passport_no,nationality,city,travelling_from,destination,travel_date,visa_type,reason_to_travel
Baig Sheikh,S/O Rizwan Iqbal,35202-3446995-3,AB2703554,Pakistani,Islamabad,Pakistan,China,2020-11-04,Tourist,Education
Noor Aslam,S/O Tahir Gujjar,42101-1505595-2,AB3647665,Pakistani,Khuzdar,Pakistan,Turkey,2020-05-17,Student,Employment
Ibrahim Hussain,S/O Ibrahim Rana,42101-4922062-1,AB4065423,Pakistani,Hyderabad,Pakistan,China,2015-04-09,Student,Education
Asma Chaudhry,S/O Raja Rafiq,42101-5480097-8,AB1006453,Pakistani,Mirpur,Pakistan,Canada,2020-08-07,Business,Education
Aamir Raja,S/O Mohammad Cheema,42101-4833000-5,,Pakistani,Peshawar,Pakistan,Turkey,2020-12-01,Tourist,Education
Hussain Gujjar,S/O Hamid Rafiq,42101-4908993-5,AB5976789,Pakistani,Islamabad,Pakistan,Saudi Arabia,2020-07-18,Tourist,Family Visit
عائشہ احمد,S/O احمد خان,61101-2235037-3,AB3597019,Pakistani,Hyderabad,Pakistan,Malaysia,2017-12-26,Work,Medical Treatment
Ali Chaduhry,S/O Ahmed Sandhu,44000-4592084-5,AB5396892,Pakistani,Chilas,Pakistan,Turkey,2021-07-11,Student,Family Visit
Omar Sheikh,S/O Sajid Zaidi,35202-4646113-5,AB9019137,Pakistani,Bannu,Pakistan,USA,2016-12-10,Work,Tourism
Sobia Bhatti,,13302-3120708-8,AB1739947,Pakistani,Khuzdar,Pakistan,UAE,2018-06-26,Tourist,Family Visit
Naeem Virk,S/O Kamran Ansari,13302-8896486-2,AB2143038,Pakistani,Mardan,Pakistan,Saudi Arabia,2020-06-21,Visit,Family Visit
Bushra Ahmed,S/O Hina Cheema,13302-9635947-5,AB8061151,Pakistani,Gilgit,Pakistan,China,2023-02-10,Tourist,Tourism
محمد حسن,S/O Ali Hashmi,,AB9312636,Pakistani,Rawalakot,Pakistan,China,2021-09-05,Visit,Tourism
Zainab Virk,S/O Rizwan Akhtar,42101-6319616-3,AB5388481,Pakistani,Mingora,Pakistan,Saudi Arabia,2015-10-28,Visit,Medical Treatment
Malik Sheikh,S/O صنا ملک,13302-7955364-1,AB1786108,Pakistani,Multan,Pakistan,Germany,2018-12-13,Tourist,Education
Usman Hashmi,S/O Hassan Qureshi,44000-1014686-5,AB1524328,Pakistani,Mirpur,Pakistan,Turkey,2021-07-01,Work,Business Meeting
Naveed Naqvi,S/O Hashmi Chaudhry,44000-6293899-7,AB6759393,Pakistani,Kohat,Pakistan,Germany,2015-12-04,Work,Education
صنا ملک,S/O Rukhsar Aslam,54000-9274967-7,AB9098390,Pakistani,Lahore,Pakistan,Germany,2021-01-29,Tourist,Education
Kamran Khan,S/O Hussain Jafri,35202-7623371-9,AB7715501,Pakistani,Hyderabad,Pakistan,Canada,2015-07-31,Tourist,Medical Treatment
Tariq Nawaz,S/O Zainab Raza,35202-5416400-5,AB1510619,Pakistani,Rawalakot,Pakistan,Malaysia,2020-06-30,Work,Business Meeting
Ahmed Gujjar,S/O Saira Rana,35202-9426327-2,AB8157805,Pakistani,Mirpur,Pakistan,Germany,2016-12-09,Visit,Tourism
Mehwish Chattha,S/O Baig Rizvi,54000-2065686-5,AB6945645,Pakistani,Gwadar,Pakistan,Malaysia,2016-11-29,Visit,Family Visit
Mohd  Iqbal,S/O Mirza Bukhari,42101-7353487-5,AB9600715,Pakistani,Mardan,Pakistan,Canada,2018-01-06,Work,Employment
فاطمہ خان,S/O Adnan Zaidi,54000-8851786-7,AB6773240,Pakistani,Muzaffarabad,Pakistan,UAE,2023-02-20,Tourist,Medical Treatment
Sobia Hameed,S/O Zubair Zaidi,21301-2477088-3,AB1993115,Pakistani,Kohat,Pakistan,Saudi Arabia,2023-01-16,Tourist,Family Visit
Kamran Cheema,S/O Hamid Baig,35202-4371537-1,AB5989773,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2021-06-27,Visit,Tourism
Mohd Hussain,S/O Baig Ansari,13302-1884390-5,,Pakistani,Khuzdar,Pakistan,Turkey,2018-07-10,Work,Family Visit
Rukhsar Bhatti,S/O Mirza Rizvi,42101-9506299-8,AB4883418,Pakistani,Sialkot,Pakistan,France,2021-07-16,Visit,Employment
عمر شیخ,S/O Shoaib Hashmi,61101-8746753-8,AB1974170,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2019-10-29,Student,Business Meeting
Bilal Rnaa,S/O Faisal Baig,44000-8946390-8,AB4035317,Pakistani,Gilgit,Pakistan,Canada,2021-06-06,Business,Employment
احمد خان,S/O Ahmed Khan,13302-9363019-4,AB5321934,Pakistani,Muzaffarabad,Pakistan,China,2021-01-24,Business,Employment
Nadia Sheikh,S/O Asma Nawaz,21301-8843946-1,AB5270187,Pakistani,Quetta,Pakistan,Germany,2015-11-11,Work,Family Visit
Hussain Cheema,S/O Hashmi Aslam,13302-8322991-6,AB2195380,Pakistani,Gujranwala,Pakistan,China,2019-04-29,Work,Business Meeting
Aamir Jafri,S/O Ali Zaidi,61101-3288328-9,AB3361667,Pakistani,Islamabad,Pakistan,Malaysia,2022-03-13,Tourist,Employment
Fatima Zaidi,S/O Noor Ali,44000-3155940-9,AB2087773,Pakistani,Quetta,Pakistan,UK,2015-11-18,Visit,Business Meeting
,S/O Chaudhry Bukhari,61101-8565242-3,AB2728637,Pakistani,Lahore,Pakistan,Saudi Arabia,2016-10-07,Student,Medical Treatment
Kamran Abbasi,S/O Adnan Chattha,13302-6215397-7,AB2470266,Pakistani,Abbottabad,Pakistan,China,2019-06-10,Student,Medical Treatment
Waseem Raja,S/O Rukhsar Malik,13302-6416279-1,AB2857225,Pakistani,Skardu,Pakistan,France,2017-02-21,Visit,Employment
Rizwan Bukhari,S/O Rizwan Sheikh,54000-4270602-9,AB7666238,Pakistani,Quetta,Pakistan,China,2023-11-19,Work,Medical Treatment
Faisal Karim,S/O Muhammad Ali,44000-5935191-8,AB4414802,Pakistani,Islamabad,Pakistan,Malaysia,2023-03-25,Student,Business Meeting
Mohd Hashmi,S/O Bushra Nawaz,35202-4669170-8,AB9845672,Pakistani,Quetta,Pakistan,USA,2015-09-21,Visit,Medical Treatment
Ahmed Gnodal,S/O Kashif Tarar,21301-9374201-8,AB6505488,Pakistani,Nawabshah,Pakistan,UK,2023-06-12,Business,Family Visit
Tahir Raja,,54000-4023092-6,AB4108987,Pakistani,Sukkur,Pakistan,USA,2015-03-02,Student,Family Visit
,S/O Naeem Abbasi,44000-8524391-6,AB6023348,Pakistani,Sialkot,Pakistan,Malaysia,2017-03-21,Visit,Employment
Nadia Raza,S/O Sheikh Hussain,21301-2550858-8,AB3502430,Pakistani,Mirpur,Pakistan,Turkey,2017-04-08,Student,Business Meeting
Hashmi Khan,S/O Sheikh Tarar,35202-1923997-4,AB6897625,Pakistani,Multan,Pakistan,Malaysia,2020-12-17,Student,Employment
Maryam Raza,S/O Muhammad Naqvi,21301-4676232-8,AB8440019,Pakistani,Khuzdar,Pakistan,UK,2021-03-28,Tourist,Education
Mehwish Malik,S/O Shoaib Syed,13302-6557607-3,AB1006764,Pakistani,Nawabshah,Pakistan,Malaysia,2015-08-24,Tourist,Employment
Tariq Iqbal,,61101-9396350-7,AB2555967,Pakistani,Mirpurkhas,Pakistan,UK,2021-11-16,Student,Employment
Bilal Tarar,S/O Nadia Zaidi,54000-1087466-8,AB2585802,Pakistani,Multan,Pakistan,Turkey,2020-07-09,Business,Business Meeting
عمر شیخ,S/O Sobia Chaudhry,54000-4470291-7,AB4616203,Pakistani,Islamabad,Pakistan,China,2023-03-21,Student,Employment
Mohd Naqvi,,44000-4326355-7,,Pakistani,Turbat,Pakistan,Malaysia,2017-09-15,Student,Employment
Chaudhry Tarar,S/O Kamran Baig,54000-6100571-3,AB8176373,Pakistani,Chilas,Pakistan,Canada,2017-07-20,Business,Education
Amna Sandhu,S/O Ahmed Rizvi,44000-3534208-6,AB9237806,Pakistani,Nawabshah,Pakistan,UAE,2020-12-11,Visit,Business Meeting
Mohd MMalik,S/O Zubair Naqvi,35202-1092950-8,AB3494182,Pakistani,Gilgit,Pakistan,Germany,2020-06-16,Visit,Education
Hashmi Iqbal,S/O Sheikh Qureshi,54000-1299553-2,AB8233806,Pakistani,Islamabad,Pakistan,Malaysia,2016-08-21,Work,Medical Treatment
Bushra Baig,S/O Hassan Zaidi,35202-8994829-1,AB4553235,Pakistani,Muzaffarabad,Pakistan,Canada,2015-01-16,Tourist,Employment
Mohd Raza,S/O Sidra Cheema,35202-4027306-8,AB3895194,Pakistani,Gilgit,Pakistan,USA,2015-11-29,Work,Employment
Sana Iqbl,S/O Nadia Rana,35202-7838926-9,AB9927811,Pakistani,Rawalakot,Pakistan,France,2022-04-15,Business,Family Visit
Saira Bhatti,S/O Nadia Ali,35202-6052852-8,AB2324975,Pakistani,Mirpur,Pakistan,Germany,2019-08-24,Tourist,Family Visit
Mohd Rana,S/O Rukhsar Iqbal,54000-9941974-4,AB8199574,Pakistani,Turbat,Pakistan,Canada,2019-04-09,Work,Tourism
Mohd Syed,S/O Hussain Ansari,35202-3630950-8,AB3950804,Pakistani,Sukkur,Pakistan,UK,2022-01-09,Tourist,Education
Uzma Syed,S/O Waseem Rafiq,54000-2703045-4,AB2561563,Pakistani,Islamabad,Pakistan,Germany,2022-06-04,Visit,Medical Treatment
Bilal Ansari,S/O Muhammad Hashmi,61101-3760560-6,AB9011275,Pakistani,Islamabad,Pakistan,USA,2015-08-21,Work,Medical Treatment
Sobia Chattha,S/O Rizwan Aslam,61101-8350368-8,AB8866202,Pakistani,Sialkot,Pakistan,Germany,2021-04-26,Tourist,Business Meeting
Rukhsar Mirza,S/O مریم چودھری,13302-4423305-7,AB6715744,Pakistani,Mardan,Pakistan,UK,2017-04-01,Tourist,Business Meeting
Mohd Ansari,S/O Noor Akhtar,44000-3061416-4,AB3204155,Pakistani,Sukkur,Pakistan,Turkey,2018-06-21,Business,Employment
Nadia Iqbal,S/O Asma Butt,42101-5377529-5,AB3120497,Pakistani,Hyderabad,Pakistan,China,2016-05-08,Tourist,Medical Treatment
Sajid Mirza,S/O Asif Bhatti,21301-5413356-2,AB1802574,Pakistani,Lahore,Pakistan,Germany,2016-08-11,Visit,Employment
Asif Rizvi,S/O Naeem Chattha,21301-2533486-9,AB6723369,Pakistani,Rawalakot,Pakistan,China,2015-10-26,Business,Medical Treatment
Hassan Ali,S/O Arif Baig,54000-1873851-6,AB8758101,Pakistani,Abbottabad,Pakistan,UK,2020-11-27,Student,Business Meeting
Hamid Bukhari,S/O Khalid Hashmi,61101-1596119-6,AB6816583,Pakistani,Rawalpindi,Pakistan,UAE,2019-05-05,Student,Business Meeting
Asif Rana,S/O Naveed Sandhu,21301-5875697-2,AB2700154,Pakistani,Rawalpindi,Pakistan,Malaysia,2022-07-15,Visit,Education
Mohd Raja,S/O Nadia Raza,44000-2362589-2,AB5535247,Pakistani,Faisalabad,Pakistan,Saudi Arabia,2022-01-09,Visit,Tourism
Mohd Mirza,S/O Asif Bukhari,61101-6528135-1,AB4044081,Pakistani,Turbat,Pakistan,Canada,2019-09-22,Business,Employment
Mohd Akhtar,S/O Faisal Nawaz,54000-4563969-4,AB1099204,Pakistani,Muzaffarabad,Pakistan,UAE,2023-06-20,Student,Employment
Mohd Ansari,S/O Zubair Hussain,42101-7565878-5,AB6169644,Pakistani,Gujranwala,Pakistan,UK,2021-09-19,Business,Medical Treatment
Asma Gujjar,S/O Maryam Cheema,13302-1864433-8,AB1463965,Pakistani,Gilgit,Pakistan,Germany,2017-04-22,Tourist,Family Visit
Mohammad Karim,S/O Sobia Gilani,44000-5151336-7,,Pakistani,Mingora,Pakistan,USA,2019-07-27,Tourist,Medical Treatment
Qureshi Bhatti,S/O Hina Khan,44000-6733098-5,AB8103730,Pakistani,Gwadar,Pakistan,Saudi Arabia,2021-03-06,Student,Business Meeting
Amna Chaudhry,S/O Sheikh Abbasi,44000-5198933-1,AB2908132,Pakistani,Sukkur,Pakistan,Saudi Arabia,2018-11-20,Business,Medical Treatment
Muhammad Hameed,S/O علی حسین,21301-7466266-7,AB5291179,Pakistani,Islamabad,Pakistan,Germany,2015-05-03,Business,Family Visit
Mohd Mirza,S/O Rukhsar Sheikh,35202-1318735-6,AB1580478,Pakistani,Mirpurkhas,Pakistan,UAE,2023-02-10,Student,Employment
Noor Hussain,S/O صنا ملک,35202-2063160-7,AB8407819,Pakistani,Sargodha,Pakistan,Malaysia,2016-05-22,Visit,Business Meeting
Bilal Chaudhry,S/O Sheikh Latif,21301-4797132-2,AB6245170,Pakistani,Turbat,Pakistan,USA,2015-01-03,Student,Business Meeting
Kashif Raja,S/O Tariq Tarar,61101-7923927-9,AB4712692,Pakistani,Muzaffarabad,Pakistan,France,2023-11-12,Visit,Medical Treatment
Khalid Ansari,S/O Aamir Malik,44000-1386516-9,AB4227357,Pakistani,Karachi,Pakistan,UK,2015-07-20,Business,Employment
Amna Hashmi,S/O Maryam Bhatti,61101-5771138-8,AB7912628,Pakistani,Islamabad,Pakistan,Canada,2022-01-13,Student,Family Visit
Qureshi Naqvi,S/O Faisal Naqvi,54000-5860226-2,AB5774825,Pakistani,Islamabad,Pakistan,Canada,2020-03-08,Visit,Family Visit
Hamid Naqvi,S/O Raja Raza,13302-9875180-8,AB1906817,Pakistani,Rawalakot,Pakistan,Turkey,2020-10-22,Business,Family Visit
,,44000-1135004-6,AB2057109,Pakistani,Kohat,Pakistan,Germany,2022-08-10,Work,Medical Treatment
Qureshi Zaidi,S/O Adnan Chaudhry,44000-4210865-8,AB5150788,Pakistani,Quetta,Pakistan,UK,2015-09-07,Visit,Education
Chaudhry Sheikh,S/O Shoaib Bukhari,21301-5285297-6,AB8792882,Pakistani,Karachi,Pakistan,UK,2022-08-25,Visit,Employment
عائشہ احمد,S/O Qureshi Ali,13302-5662844-4,AB2748694,Pakistani,Bahawalpur,Pakistan,Malaysia,2022-05-03,Business,Family Visit
