canonical_name,father_name,cnic,owner_number,province,city,society_name,property_type,plot_house_no,area,purchase_year,ownership_status,market_value,phone
Bilal Nawaz,S/O S/O Uzma Hussain,35202-7289990-4,03453450300,Punjab,Sialkot,DHA,Apartment,107,9 Sq.Ft,2018,Mortgaged,30234620.0,0345-3450300
Waseem Hussain,S/O Hashmi Khan,35202-5629749-6,03215730558,Sindh,Larkana,Model Town,House,455,93 Marla,2003,Sold,210297420.0,0321-2941821
Mohammad Rana,S/O Rabia Rizvi,21301-1097123-1,03028741067,Balochistan,Quetta,Clifton,House,690,65 Sq.Ft,2005,Rented,214014380.0,0302-8741067
Tariq Ahmed,S/O Malik Sheikh,13302-4019908-8,03013448961,Azad Kashmir,Rawalakot,Saddar,House,589,86 Sq.Ft,2001,Sold,53474340.0,
Bilal Ansari,S/O Saira Qureshi,35202-2601359-7,03469712522,Sindh,Hyderabad,Johar Town,House,795,26 Sq.Ft,2016,Sold,122487830.0,0346-9712522
Maryam Hameed,S/O Mohammad Khan,61101-4286239-8,03006615147,Balochistan,Khuzdar,North Nazimabad,Apartment,258,93 Marla,2014,Owned,16238440.0,0300-6615147
Raja Gujjar,S/O Naveed Chattha,35202-1213899-2,03329289690,Punjab,Rawalpindi,Gulshan-e-Iqbal,Residential Plot,956,41 Marla,2014,Owned,126645490.0,0332-9289690
Rizwan Mirza,S/O Naveed Raja,21301-6854678-5,03334298860,Balochistan,Gwadar,Defence,Residential Plot,838,10 Sq.Ft,2016,Mortgaged,137119270.0,0333-4298860
Bilal Baig,S/O Ibrahim Hameed,13302-1062514-3,03135684329,Gilgit-Baltistan,Skardu,I-8,House,450,29 Kanal,2002,Sold,17200710.0,0322-3968454
Hina Sheikh,S/O Hussain Zaidi,35202-8289425-2,03113946849,Gilgit-Baltistan,Gilgit,Cantt,House,582,19 Marla,2012,Rented,44653130.0,0311-3946849
Aamir Khan,S/O Naveed Jafri,21301-9226619-5,03029528624,KPK,Bannu,Johar Town,House,800,38 Kanal,2000,Owned,22282910.0,0302-9528624
Ari fQureshi,S/O مریم چودھری,35202-3795846-3,03008962478,KPK,Peshawar,Township,Apartment,948,36 Kanal,2014,Mortgaged,4476440.0,0300-8962478
Uzma Chaudhry,S/O Sana Chaudhry,61101-1919374-7,03315952694,ICT,Islamabad,I-8,Residential Plot,276,87 Marla,2013,Sold,89699260.0,0331-5952694
Faisal Ahmed,S/O Muhammad Raza,,,Azad Kashmir,Muzaffarabad,Cantt,Commercial Plot,280,6 Marla,2008,Mortgaged,367669620.0,0300-6671458
Naveed Khan,S/O Fatima Tarar,42101-6503402-4,03212187357,Gilgit-Baltistan,Chilas,Johar Town,Apartment,49,83 Marla,2023,Owned,34492350.0,0321-2187357
Mohammad Gilani,S/O Sajid Qureshi,54000-7929467-5,03214256866,Azad Kashmir,Rawalakot,Askari,Residential Plot,25,48 Kanal,2010,Mortgaged,169085300.0,0321-4256866
احمد خان,S/O Ahmed Khan,13302-9363019-4,03455390248,Azad Kashmir,Muzaffarabad,Model Town,Apartment,567,23 Marla,2019,Owned,15734740.0,0345-5390248
Hamid Chaudhry,S/O Shazia Cheema,35202-3869830-6,03114821230,KPK,Peshawar,Cavalry Ground,Residential Plot,120,70 Marla,2000,Mortgaged,100757940.0,0311-4821230
Malik Malik,S/O Rizwan Rafiq,54000-8467631-8,03229670140,Azad Kashmir,Mirpur,Askari,House,895,7 Marla,2018,Rented,130319170.0,0322-9670140
صنا ملک,S/O Bushra Cheema,35202-2362695-3,03113392501,KPK,Abbottabad,Johar Town,House,637,58 Kanal,2014,Rented,48719680.0,0311-3392501
Asma Butt,S/O Ibrahim Chattha,54000-4029653-1,03125133847,Gilgit-Baltistan,Skardu,E-11,Apartment,772,62 Kanal,2019,Owned,11641550.0,0312-5133847
Sheikh Qureshi,S/O Noor Gilani,13302-1491808-6,03137055973,ICT,Islamabad,Township,Residential Plot,680,5 Marla,2001,Mortgaged,51406590.0,0313-7055973
Naveed Tarar,S/O Shazia Naqvi,42101-5021203-6,03121446607,Sindh,Karachi,Scheme 33,House,536,77 Marla,2002,Owned,9094350.0,0312-1446607
Omar Ahmed,S/O Sana Rizvi,61101-1595655-3,03227214345,KPK,Kohat,G-9,House,961,52 Sq.Ft,2007,Sold,27895550.0,0311-6802008
Fatima Rizvi,S/O Muhammad Raza,42101-9677962-5,03006551912,Azad Kashmir,Mirpur,F-10,Apartment,34,3 Marla,2023,Owned,9720100.0,0300-6551912
Faisal Latif,S/O Hassan Jafri,21301-2592747-4,03035148110,Balochistan,Quetta,North Nazimabad,Agricultural Land,701,17 Sq.Ft,2015,Rented,249788940.0,0303-5148110
Asma Akhtar,S/O Asma Malik,61101-6113385-9,03011837243,ICT,Islamabad,Gulberg,Residential Plot,289,34 Sq.Ft,2001,Mortgaged,58198480.0,0301-1837243
Kamran Tarar,S/O Rabia Bhatti,35202-2848378-3,03211222278,Punjab,Faisalabad,Defence,House,136,14 Sq.Ft,2008,Rented,69048780.0,0321-1222278
Sajid Gujjar,S/O Qureshi Chaudhry,21301-8802377-5,03003535551,Balochistan,Gwadar,Cavalry Ground,House,732,92 Marla,2022,Rented,18697400.0,0300-3535551
Shoaib Latif,S/O Bilal Zaidi,44000-7032508-3,03006687506,Punjab,Sialkot,Cantt,House,682,66 Sq.Ft,2003,Mortgaged,20225000.0,0300-6687506
Iqra Rafiq,S/O Naveed Sandhu,42101-5143349-1,03124971929,Sindh,Sukkur,I-8,House,26,30 Marla,2007,Mortgaged,72798470.0,0312-4971929
Sana Jafri,S/O Maryam Gondal,54000-9104718-1,,ICT,Islamabad,Cavalry Ground,Residential Plot,470,19 Kanal,2005,Mortgaged,39745540.0,0301-7508433
Asif Sandhu,S/O Tahir Baig,13302-5009548-9,03025500547,KPK,Peshawar,Askari,Apartment,534,14 Marla,2020,Rented,4520650.0,0302-5500547
Uzma Rana,S/O Sana Virk,54000-2036142-9,03021222200,Balochistan,Gwadar,Scheme 33,Residential Plot,548,52 Marla,2005,Owned,283026780.0,0302-1222200
Sana Akhtar,S/O Usman Cheema,35202-6824363-1,03025927237,Balochistan,Quetta,PAF Colony,Residential Plot,228,16 Sq.Ft,2009,Rented,44812290.0,0302-5927237
Khalid Mirza,S/O Kashif Gondal,35202-2213893-1,03464365042,KPK,Kohat,Cavalry Ground,Apartment,299,12 Sq.Ft,2022,Sold,67913430.0,0346-4365042
Bushra Nawaz,S/O Omar Abbasi,61101-7994033-2,03016366085,Sindh,Mirpurkhas,Gulberg,House,176,17 Sq.Ft,2019,Owned,115472590.0,0301-6366085
Ayesha Butt,S/O S/O Imran Sandhu,42101-4680314-7,03329569884,ICT,Islamabad,Township,House,440,84 Sq.Ft,2004,Sold,51284680.0,0332-9569884
Khalid Hussain,S/O Naveed Ansari,54000-6333834-1,03465207762,Sindh,Sukkur,Cantt,Apartment,345,66 Kanal,2022,Owned,71808090.0,0346-5207762
Muhammad Hameed,S/O علی حسین,21301-7466266-7,03033549031,ICT,Islamabad,Johar Town,Residential Plot,745,30 Marla,2000,Rented,18390330.0,0303-3549031
Bilal Malik,S/O Hashmi Qureshi,61101-6763888-2,03112408453,KPK,Abbottabad,Township,Residential Plot,982,12 Marla,2003,Sold,36573810.0,0311-2408453
Hashmi Hameed,S/O Sheikh Butt,61101-6215535-2,03022963430,KPK,Bannu,I-8,Residential Plot,625,18 Sq.Ft,2022,Sold,110248500.0,0302-2963430
Khalid Syed,S/O Sobia Chattha,13302-1047572-5,03225205279,Sindh,Hyderabad,F-10,Commercial Plot,937,42 Kanal,2010,Owned,886303170.0,0322-5205279
Mirza Qureshi,S/O Rizwan Qureshi,21301-2786276-9,03325695265,Punjab,Faisalabad,Gulberg,Commercial Building,948,19 Sq.Ft,2001,Mortgaged,687062600.0,0332-5695265
صنا ملک,S/O Muhammad Sandhu,21301-9599688-7,03225779878,Balochistan,Turbat,Cavalry Ground,Residential Plot,622,3 Sq.Ft,2001,Owned,20299000.0,0333-9323692
Imran Syed,S/O Hussain Tarar,35202-8151286-1,03028164147,Balochistan,Khuzdar,Model Town,House,460,98 Marla,2021,Sold,8528490.0,0302-8164147
Sidra Malik,S/O Sana Gujjar,44000-2483883-4,03326242875,ICT,Islamabad,Gulshan-e-Iqbal,House,231,79 Marla,2016,Mortgaged,0.0,0332-6242875
Hussain Virk,S/O S/O Mohammad Abbasi,42101-7669918-9,03336938069,Sindh,Hyderabad,Clifton,House,162,6 Marla,2022,Rented,21886660.0,0333-6938069
Rizwan Hussain,S/O Arif Bukhari,42101-4359693-9,03123309314,Balochistan,Hub,Model Town,House,512,8 Marla,2012,Mortgaged,179624550.0,0312-3309314
,S/O Ayesha Gondal,44000-7334348-4,03007211871,KPK,Bannu,Saddar,House,46,85 Sq.Ft,1999,Sold,117160880.0,0300-7211871
Rizwan Zaidi,S/O مریم چودھری,54000-6712910-3,03334282766,Punjab,Sialkot,Gulshan-e-Iqbal,Apartment,731,61 Marla,2004,Sold,41637240.0,0333-4282766
Rukhsar Zaidi,S/O Baig Ali,42101-1866394-9,03139442235,ICT,Islamabad,Saddar,House,760,3 Marla,2013,Rented,21921580.0,0313-9442235
Fatima Naqvi,S/O Tariq Sandhu,61101-1605957-9,03112553735,Sindh,Hyderabad,Cavalry Ground,Residential Plot,337,58 Kanal,1999,Mortgaged,19611620.0,0311-2553735
Khalid Latif,S/O Shazia Bukhari,42101-2301665-1,,Punjab,Gujranwala,Saddar,House,97,99 Sq.Ft,2017,Sold,10790920.0,0312-3985341
Fatima Sandhu,S/O Aamir Latif,61101-2777924-6,03123199566,KPK,Bannu,Cantt,House,809,63 Sq.Ft,2004,Mortgaged,221474610.0,0312-3199566
,S/O Sobia Hashmi,44000-1800148-9,03337556307,Gilgit-Baltistan,Chilas,Clifton,Apartment,851,88 Marla,2021,Owned,56187280.0,0333-7556307
Rukhsar Syed,S/O Qureshi Latif,13302-4341962-1,03325227238,Punjab,Gujranwala,Saddar,House,505,55 Marla,2022,Sold,14081610.0,0332-5227238
Zubair Virk,S/O Muhammad Bukhari,42101-3153664-3,03228156587,ICT,Islamabad,Saddar,Residential Plot,797,25 Sq.Ft,2021,Sold,119156790.0,0322-8156587
Sheikh Butt,S/O Shoaib Hashmi,35202-9262820-1,03331779233,Gilgit-Baltistan,Gilgit,Saddar,Residential Plot,932,30 Sq.Ft,2000,Mortgaged,39996170.0,0302-7341428
Ali Naqvi,S/O ابراہیم ملک,61101-6241705-5,03035847434,Gilgit-Baltistan,Chilas,G-9,Apartment,70,15 Kanal,2017,Sold,63770180.0,0303-5847434
Omar Gilani,S/O Rizwan Tarar,13302-4321436-3,03338683770,ICT,Islamabad,F-10,House,436,61 Sq.Ft,2009,Sold,143871250.0,0333-8683770
,S/O Baig Ahmed,13302-7339201-5,03136767836,Gilgit-Baltistan,Gilgit,Clifton,House,571,12 Kanal,2017,Owned,353462760.0,0313-6767836
ابراہیم ملک,S/O Bilal Nawaz,42101-6052478-2,03328669093,Azad Kashmir,Mirpur,Scheme 33,House,70,50 Sq.Ft,2012,Mortgaged,101773360.0,0332-8669093
Omar kAhtar,S/O Ibrahim Cheema,13302-9274547-6,03228794524,ICT,Islamabad,I-8,Residential Plot,526,4 Sq.Ft,1999,Sold,59074820.0,0322-8794524
Imran Raja,S/O Hashmi Baig,61101-9961811-7,03015311879,Punjab,Multan,I-8,Residential Plot,760,82 Sq.Ft,2002,Sold,86981590.0,0301-5311879
Rukhsar Sandhu,S/O Hassan Gujjar,61101-5584349-6,03132317757,KPK,Peshawar,Clifton,Residential Plot,320,93 Sq.Ft,2009,Sold,54908630.0,0313-2317757
Mirza Raza,S/O Naeem Raja,44000-8588068-5,03319233449,KPK,Kohat,I-8,Apartment,727,73 Kanal,2021,Rented,47727770.0,0331-9233449
Saira Abbasi,S/O Baig Hussain,61101-6441914-4,03323891679,Balochistan,Gwadar,Gulberg,House,76,98 Sq.Ft,1995,Rented,273302170.0,0332-3891679
,S/O Sobia Syed,13302-1025193-8,03213501901,Sindh,Hyderabad,Cavalry Ground,House,574,63 Kanal,2008,Mortgaged,14588510.0,0321-3501901
Hassan nsari,S/O Syed Chattha,44000-4081873-5,03022953665,ICT,Islamabad,Johar Town,Apartment,667,3 Kanal,2013,Sold,15266730.0,0302-2953665
Kamran Baig,S/O Zainab Butt,44000-2339485-8,03222778288,KPK,Peshawar,Gulberg,Apartment,796,53 Marla,2007,Rented,23977650.0,0322-2778288
Hussain Sandhu,S/O Noor Baig,61101-6627358-9,03322951693,Sindh,Mirpurkhas,Gulberg,House,808,80 Kanal,2013,Mortgaged,217432990.0,0332-2951693
Uzma Zaidi,S/O Kamran Gujjar,61101-2471016-9,03319576556,Balochistan,Turbat,E-11,Apartment,377,18 Marla,2005,Owned,49890880.0,0331-9576556
Uzma Abbasi,S/O Iqra Hussain,21301-3376913-8,03211894765,Gilgit-Baltistan,Gilgit,Township,House,957,43 Sq.Ft,2004,Owned,122341380.0,0321-1894765
Rukhsar Aslam,S/O Qureshi Qureshi,44000-1239603-4,03111823786,ICT,Islamabad,DHA,Agricultural Land,668,20 Sq.Ft,1997,Mortgaged,628353300.0,0311-1823786
Rizwan Khan,S/O Naveed Bukhari,13302-7626630-4,03313976834,Punjab,Faisalabad,Gulberg,Apartment,168,12 Sq.Ft,2002,Sold,30943480.0,0331-3976834
Shoaib Ansari,S/O Zainab Rizvi,35202-6189530-3,03223688092,Azad Kashmir,Muzaffarabad,Defence,House,111,84 Sq.Ft,2015,Sold,19885310.0,0322-3688092
Nadia Gilani,S/O Shazia Hameed,54000-4112947-7,03466777972,KPK,Abbottabad,Johar Town,Agricultural Land,472,8 Kanal,2006,Sold,1514022150.0,0346-6777972
Imran Bhatti,S/O Asif Syed,42101-7792633-5,03026404948,Sindh,Hyderabad,PAF Colony,Apartment,538,52 Kanal,2002,Mortgaged,106761670.0,0302-6404948
Asif Hussain,S/O Mirza Latif,21301-1613218-1,03226980286,Gilgit-Baltistan,Chilas,Scheme 33,House,604,57 Marla,2022,Sold,137613340.0,0322-6980286
Qureshi Chattha,S/O Hassan Zaidi,21301-7090115-1,03031119712,Azad Kashmir,Rawalakot,Gulberg,Residential Plot,492,54 Sq.Ft,2002,Sold,95521550.0,0303-1119712
ابراہیم ملک,S/O Hashmi Qureshi,44000-5112546-3,03004909053,Azad Kashmir,Rawalakot,Township,Residential Plot,884,12 Sq.Ft,2022,Owned,550766650.0,0300-4909053
Zubair Ali,S/O محمد حسن,35202-9405450-7,03033715145,Balochistan,Turbat,G-9,House,258,96 Marla,2005,Rented,11916950.0,0303-3715145
Qureshi Sandhu,S/O Zainab Naqvi,21301-9535823-9,03219824026,ICT,Islamabad,G-9,House,966,85 Marla,1998,Rented,131151880.0,0321-9824026
Chaudhry Tarar,S/O Kamran Baig,54000-6100571-3,,Gilgit-Baltistan,Chilas,Saddar,Apartment,13,88 Sq.Ft,1997,Sold,116477450.0,0346-2948559
Saira Sandhu,S/O Malik Tarar,21301-6923686-5,03218797486,ICT,Islamabad,Clifton,Apartment,650,90 Kanal,2020,Owned,120016130.0,0321-8797486
Faisal Abbasi,S/O Naveed Akhtar,21301-4090165-2,03012562338,Punjab,Faisalabad,Clifton,Residential Plot,723,4 Kanal,1998,Sold,276214110.0,0303-7201470
Sidra Gilani,S/O S/O Bilal Akhtar,54000-7106385-5,03226990710,Balochistan,Turbat,Cavalry Ground,House,615,47 Sq.Ft,2015,Rented,13781320.0,0322-6990710
ابراہیم ملک,S/O Fatima Khan,54000-7502214-5,03112482006,Sindh,Hyderabad,Township,Residential Plot,921,30 Marla,2010,Owned,349450120.0,0311-2482006
Sobia Bhatti,S/O Uzma Hameed,13302-3120708-8,03219012444,Balochistan,Khuzdar,E-11,House,1,22 Sq.Ft,2004,Rented,302730100.0,0321-9012444
,S/O Hashmi Ahmed,13302-4325969-7,,Gilgit-Baltistan,Chilas,Johar Town,House,273,3 Kanal,2010,Owned,232004010.0,0302-7705326
Khalid Mirza,S/O Kashif Gondal,35202-2213893-1,03464365042,KPK,Kohat,North Nazimabad,House,531,66 Marla,2010,Mortgaged,40316480.0,0346-4365042
Noor Hashmi,S/O Kamran Jafri,61101-7085502-5,03316112711,Azad Kashmir,Mirpur,Defence,Residential Plot,508,42 Kanal,2002,Owned,3374020.0,0331-6112711
Uzma Sheikh,S/O Asma Jafri,21301-6122989-6,03031504462,Gilgit-Baltistan,Gilgit,Model Town,House,536,98 Sq.Ft,2015,Sold,61117830.0,0303-1504462
Shoaib Chattha,S/O Imran Ansari,61101-4827056-9,03125092999,ICT,Islamabad,Township,Apartment,599,18 Marla,2018,Rented,50043930.0,0312-5092999
Aamir Virk,S/O Khalid Ali,44000-5735019-9,03466950337,Sindh,Karachi,Saddar,Residential Plot,788,71 Sq.Ft,2006,Mortgaged,93015460.0,0333-1007567
Uzma Bukhari,S/O Uzma Sandhu,61101-9055771-3,03027948213,Azad Kashmir,Mirpur,Gulshan-e-Iqbal,House,980,25 Kanal,2004,Sold,137962490.0,0302-7948213
Shoaib Hameed,S/O Chaudhry Gujjar,42101-4708255-5,03466548520,Punjab,Sialkot,DHA,Residential Plot,128,12 Kanal,1998,Rented,95085230.0,0346-6548520
Faisal Rana,S/O Hamid Aslam,61101-7474375-8,03219578346,KPK,Kohat,Cantt,Residential Plot,524,60 Marla,2017,Mortgaged,35767190.0,0321-9578346
Mehwish Virk,S/O Waseem Chattha,54000-6944909-6,,Balochistan,Gwadar,Askari,Residential Plot,73,89 Sq.Ft,2002,Rented,47688960.0,0301-3907503
Tahir Hameed,S/O Malik Baig,42101-6854419-2,03469934490,ICT,Islamabad,Cavalry Ground,Apartment,252,87 Kanal,2012,Mortgaged,350715120.0,0346-9934490
محمد حسن,S/O Nadia Ansari,42101-5232051-9,03035951798,Balochistan,Gwadar,Defence,Residential Plot,392,10 Sq.Ft,2018,Mortgaged,285733450.0,0302-7745958
Shazia Akhtar,S/O Tariq Syed,13302-6698851-8,03003160235,Sindh,Sukkur,Saddar,House,17,24 Kanal,2021,Rented,108654480.0,0300-3160235
Hassan Qureshi,,54000-6404707-5,03117846972,Balochistan,Turbat,DHA,Apartment,218,30 Kanal,2010,Rented,32895180.0,0311-7846972
Amna Khan,S/O Asif Rizvi,13302-6794950-2,03015565163,Sindh,Karachi,F-10,Apartment,355,93 Kanal,1995,Owned,11100570.0,0301-5565163
Hamid Aslam,S/O Aamir Khan,42101-7297521-4,03112238771,Gilgit-Baltistan,Skardu,Township,Apartment,583,9 Kanal,2008,Mortgaged,181275550.0,0311-2238771
Bushra Latif,S/O Sidra Butt,13302-2508156-4,03329761738,Gilgit-Baltistan,Chilas,Johar Town,Residential Plot,707,28 Sq.Ft,2003,Owned,42960480.0,0332-9761738
Adnan Butt,S/O Hassan Ahmed,13302-1327658-7,03229131572,Azad Kashmir,Muzaffarabad,North Nazimabad,Residential Plot,792,15 Sq.Ft,2017,Sold,206846120.0,0322-9131572
Sheikh Rizvi,S/O Kamran Gondal,42101-9644296-9,03032491457,KPK,Kohat,Askari,Apartment,87,92 Kanal,2008,Rented,14884210.0,0303-2491457
Omar Karim,S/O Shoaib Sandhu,13302-9658626-8,03128473910,Azad Kashmir,Rawalakot,Defence,Apartment,995,60 Kanal,2015,Sold,101031340.0,0312-8473910
Shoaib Gondal,S/O Iqra Abbasi,21301-7236341-3,03217371286,Balochistan,Gwadar,Clifton,Residential Plot,705,43 Marla,1999,Rented,24801190.0,0321-7371286
Kashif Baig,S/O Sidra Aslam,44000-9769803-7,03332275012,ICT,Islamabad,Gulberg,Residential Plot,337,73 Kanal,2009,,61654300.0,0333-2275012
Fatima Bhatti,S/O Amna Rizvi,35202-7468051-4,,Gilgit-Baltistan,Gilgit,Defence,Apartment,273,10 Sq.Ft,2001,Mortgaged,39469160.0,0332-1418381
Amna Hussain,S/O Rukhsar Malik,42101-3007708-9,03128506310,Punjab,Rawalpindi,F-10,House,276,45 Kanal,2014,Mortgaged,12020660.0,0312-8506310
Baig Hussain,S/O Aamir Virk,42101-3722160-1,03463616534,ICT,Islamabad,PAF Colony,Apartment,120,82 Marla,2022,Owned,397717080.0,0346-3616534
Rukhsar Bukhari,S/O Syed Jafri,42101-1602601-4,03456697928,Sindh,Karachi,Cavalry Ground,House,740,50 Sq.Ft,2016,,81273750.0,0345-6697928
Asif Latif,S/O Sidra Gilani,21301-8228128-3,03116111364,Balochistan,Turbat,Clifton,Apartment,235,62 Sq.Ft,2003,Owned,6752330.0,0311-6111364
Zubair Gujjar,S/O Tahir Naqvi,21301-1655531-9,,KPK,Mardan,Bahria Town,House,591,90 Sq.Ft,2017,Owned,140137220.0,0322-7882323
Usman Gujjar,S/O Sana Ali,21301-5058503-3,03122678682,Gilgit-Baltistan,Chilas,Cavalry Ground,House,460,16 Sq.Ft,2004,Mortgaged,44747680.0,0321-7153783
,S/O Malik Chattha,13302-9524370-1,03337686793,Balochistan,Khuzdar,Cantt,House,959,91 Sq.Ft,2022,Sold,66330020.0,0333-7686793
Mohammad Bukhari,S/O Asma Ali,42101-8798796-4,03466844936,Punjab,Faisalabad,Gulshan-e-Iqbal,House,469,35 Marla,2005,Owned,94455840.0,0346-6844936
Malik Raja,S/O عائشہ احمد,44000-7812327-6,03026404262,Sindh,Larkana,PAF Colony,Apartment,653,42 Kanal,2006,Owned,13036440.0,0302-6404262
Khalid Syed,S/O Sobia Chattha,13302-1047572-5,03225205279,Sindh,Hyderabad,Clifton,Apartment,333,5 Marla,2006,Mortgaged,428644790.0,0322-5205279
Amna Akhtar,S/O Aamir Zaidi,44000-9281822-1,03311044315,Gilgit-Baltistan,Chilas,Model Town,House,311,61 Sq.Ft,2009,Owned,39882520.0,0331-1044315
Naveed Butt,,42101-6842624-1,03119579549,Sindh,Karachi,E-11,Residential Plot,201,12 Marla,1997,Rented,28377650.0,0311-9579549
Amna Zaidi,S/O نادیہ رضا,13302-3548305-4,03468150871,Azad Kashmir,Rawalakot,Gulshan-e-Iqbal,Residential Plot,313,60 Kanal,2012,Mortgaged,39630560.0,0346-8150871
محمد علی,S/O Shoaib Virk,54000-8118514-7,03315419930,Balochistan,Quetta,Scheme 33,Apartment,738,32 Marla,2020,,47343790.0,0331-5419930
Rukhsar Khan,S/O Arif Cheema,54000-6372066-7,03001095683,Gilgit-Baltistan,Gilgit,PAF Colony,Apartment,74,58 Marla,1998,,356479520.0,0300-1095683
Raja Karim,S/O Baig Akhtar,61101-8471824-6,03465083365,Gilgit-Baltistan,Skardu,Johar Town,Residential Plot,84,9 Kanal,2010,Owned,16726220.0,0346-5083365
,S/O Imran Abbasi,42101-9698799-3,03313604706,ICT,Islamabad,Johar Town,Apartment,339,71 Marla,2009,Rented,14360140.0,0331-3604706
Hussain Nawaz,S/O Tariq Sheikh,35202-8398616-4,03221714943,ICT,Islamabad,Bahria Town,Residential Plot,244,65 Kanal,2000,Rented,133431740.0,0302-5494963
Zubair Abbasi,S/O Malik Baig,44000-7933281-2,03026038921,Sindh,Mirpurkhas,Model Town,Agricultural Land,613,80 Kanal,2019,Sold,767705830.0,0302-6038921
Omar Virk,S/O Shazia Abbasi,13302-1866071-2,03027502314,Gilgit-Baltistan,Gilgit,I-8,Apartment,430,59 Sq.Ft,2016,Rented,13099800.0,0302-7502314
ابراہیم ملک,S/O Sheikh Gujjar,61101-7167441-2,03323316762,KPK,Peshawar,Model Town,Apartment,981,39 Kanal,2004,Rented,361943550.0,0332-3316762
Qureshi Akhtar,S/O Chaudhry Khan,44000-1570665-9,03011713118,Balochistan,Turbat,Cantt,Residential Plot,290,90 Sq.Ft,2014,Owned,256761070.0,0301-1713118
Faisal Malik,S/O Hamid Nawaz,61101-3186635-4,03333620107,Punjab,Faisalabad,G-9,Apartment,656,43 Sq.Ft,2011,Mortgaged,61540720.0,0333-3620107
Amna Hashmi,S/O Ali Latif,35202-3128835-8,03466171636,Azad Kashmir,Muzaffarabad,Gulberg,House,237,29 Sq.Ft,2022,Rented,35844920.0,0346-6171636
Mirza Rafqi,S/O Sidra Sandhu,61101-9158040-2,03035060497,Balochistan,Hub,I-8,Apartment,252,33 Marla,2013,Rented,450311680.0,0303-5060497
Kamran Nawaz,S/O Arif Khan,61101-2984160-5,03034285409,Balochistan,Quetta,Scheme 33,Apartment,247,94 Sq.Ft,2001,Mortgaged,19004480.0,0303-4285409
Tahir Sandhu,S/O Aamir Syed,21301-8502046-7,03129499489,Azad Kashmir,Rawalakot,Township,House,833,82 Kanal,2011,Rented,83926740.0,0312-9499489
Qureshi Rafiq,S/O Asif Virk,54000-1139027-6,03337028452,Balochistan,Quetta,PAF Colony,Residential Plot,285,83 Marla,2017,Rented,88419440.0,0311-2435132
احمد خان,S/O Nadia Bhatti,54000-6292385-4,03321564961,Balochistan,Turbat,I-8,House,59,100 Sq.Ft,2001,Rented,83878950.0,0332-1564961
Shazia Rafiq,S/O Qureshi Gujjar,54000-3090865-5,03127751158,Gilgit-Baltistan,Skardu,DHA,Apartment,545,51 Sq.Ft,2013,Owned,33707930.0,0312-7751158
Shazia Iqbal,S/O Rizwan Butt,44000-5066816-7,03132993610,Punjab,Sialkot,DHA,Commercial Plot,450,88 Sq.Ft,2010,Sold,637154750.0,0313-2993610
Hashmi Hussain,S/O عمر شیخ,13302-4640933-8,03111257256,Sindh,Mirpurkhas,I-8,Residential Plot,499,27 Kanal,2011,Mortgaged,84927060.0,0311-1257256
