canonical_name,father_name,cnic,car_registration_number,model_year,car_brand,car_model,engine_size_cc,province,city,market_value,phone
Bushra Akhtar,S/O Mehwish Bukhari,44000-6813390-9,KHI-6712-H,2015,Kia,Carnival,1500,Sindh,Hyderabad,4725000.0,0322-6447964
Mirza Hashmi,S/O Khalid Jafri,54000-3386832-5,KHI-6304-L,2023,Honda,BR-V,1300,Punjab,Gujranwala,2405000.0,0331-8337083
,S/O Noor Iqbal,61101-8890316-9,ISB-5992-M,2006,Hyundai,Santa Fe,2500,ICT,Islamabad,6450000.0,0302-3251525
,S/O Mehwish Chattha,13302-9435412-7,KHI-254-L,2022,Toyota,Corolla,3000,Sindh,Karachi,8010000.0,0303-5703613
Sajid Gilani,S/O Rizwan Virk,35202-8130059-6,PES-6193-R,2009,Suzuki,Swift,2500,KPK,Mardan,9425000.0,0311-7030812
S. Akhtar,S/O Sheikh Gilani,21301-3286582-9,LHR-5884-G,2012,Kia,Stonic,1500,Punjab,Bahawalpur,4380000.0,0332-8557629
Noor Gondal,S/O Qureshi Chaudhry,35202-6366052-7,LHR-2674-G,2015,Hyundai,Tucson,1200,Punjab,Faisalabad,2772000.0,0312-6237443
S. Malik,S/O Sheikh Bhatti,44000-4407669-2,LHR-2380-B,2014,Honda,Civic,1200,Punjab,Rawalpindi,4680000.0,0311-2284517
Hashmi Raza,S/O Chaudhry Karim,,KHI-1847-A,2021,Hyundai,Santa Fe,800,Sindh,Nawabshah,936000.0,0346-2066488
Rukhsar Syed,S/O Aamir Naqvi,35202-3451774-6,PES-8456-G,2019,Hyundai,Sonata,800,KPK,Mingora,1888000.0,0312-3739867
Rukhsar Ali,S/O Sana Syed,44000-5273278-6,PES-700-W,2021,Hyundai,Tucson,800,KPK,Mardan,1240000.0,0302-9593658
Khalid Mirza,S/O Hassan Qureshi,54000-8526994-7,PES-4503-X,2019,Suzuki,Wagon R,3000,KPK,Mardan,3210000.0,0332-4291026
ابراہیم ملک,S/O Hamid Ahmed,21301-6030776-3,QTA-6644-X,2020,Honda,HR-V,1000,Balochistan,Gwadar,2670000.0,
Omar Virk,S/O Shazia Abbasi,13302-1866071-2,GIL-7197-J,2006,Kia,Sportage,800,Gilgit-Baltistan,Gilgit,1296000.0,0302-7502314
Fatima Tarar,S/O S/O Raja Gujjar,42101-2407420-3,QTA-3059-B,2005,Hyundai,Santa Fe,1600,Balochistan,Hub,3760000.0,0345-4899524
Noor Ahmed,S/O Zubair Qureshi,42101-4693507-8,KHI-6496-O,2015,Suzuki,Cultus,1800,Punjab,Multan,6372000.0,0331-1270988
زینب علی,S/O Mirza Malik,44000-8624752-7,LHR-8348-D,2008,Toyota,Yaris,3000,Punjab,Rawalpindi,9990000.0,0303-3122388
Usman Ansari,S/O Khalid Ansari,35202-8666531-4,ISB-7361-E,2023,Suzuki,Wagon R,1200,ICT,Islamabad,1380000.0,0313-2152501
Maryam Zaiddi,S/O Kashif Sandhu,54000-5854173-3,LHR-323-B,2013,Suzuki,Bolan,2500,Punjab,Multan,4725000.0,0345-2088575
Aamir Bukhari,S/O Hassan Iqbal,42101-6839660-1,PES-5274-X,2018,Honda,City,800,KPK,Peshawar,1472000.0,0345-6638633
Waseem Chaudhry,S/O S/O Usman Syed,61101-8736886-9,KHI-1013-H,2006,Honda,City,1800,Sindh,Larkana,1800000.0,0322-8413874
Chaudhry Latif,S/O Tahir Chaudhry,54000-1731815-6,KHI-6890-N,2007,Kia,Picanto,1000,Sindh,Karachi,2240000.0,0300-3284457
Tariq Hussain,S/O Hussain Abbasi,44000-7756586-6,LHR-8574-N,2015,Honda,BR-V,1000,Punjab,Sargodha,2740000.0,0331-1491621
A. Raza,S/O Shoaib Aslam,35202-2663361-6,LHR-1565-E,2010,Kia,Stonic,1000,Punjab,Sargodha,3000000.0,0345-2625330
محمد علی,S/O Zubair Bhatti,61101-5869645-7,LHR-5433-L,2022,Hyundai,Tucson,1800,Punjab,Multan,5058000.0,0302-3034798
Adnan Hameed,S/O Usman Ahmed,13302-3745329-7,MZD-1818-U,2019,Suzuki,Alto,2000,Azad Kashmir,Muzaffarabad,3900000.0,0301-3292068
Zubair Butt,S/O Ahmed Sheikh,21301-7679063-2,GIL-1806-X,2018,Honda,HR-V,2000,Gilgit-Baltistan,Chilas,5380000.0,0321-8835537
Mohammad Nawaz,S/O Sajid Baig,21301-5896242-3,GIL-4623-R,2018,Toyota,Corolla,1500,Gilgit-Baltistan,Skardu,4230000.0,0332-5316391
Sana Bhatti,S/O Zainab Hussain,21301-4117533-4,QTA-256-N,2018,Kia,Picanto,1000,Balochistan,Gwadar,3940000.0,
Ayesha Syed,S/O Waseem Nawaz,13302-1859563-9,LHR-4440-N,2019,Suzuki,Swift,660,Punjab,Lahore,1927200.0,0303-4658293
Arif Mirza,,,KHI-5107-Q,2019,Toyota,Yaris,1200,Sindh,Larkana,1368000.0,0302-5621484
