canonical_name,father_name,cnic,annual_recharge_amount,phone,city,province
Maryam Ahmed,S/O Shazia Hashmi,13302-8707788-9,125580.0,0321-1666585,Abbottabad,KPK
Hina Zaidi,S/O Rabia Bhatti,13302-8095702-1,3138080.0,0312-2738129,Islamabad,ICT
Waseem Raja,S/O Zainab Ahmed,54000-1195688-1,150250.0,0313-3375870,Skardu,Gilgit-Baltistan
مریم چودھری,S/O Chaudhry Raja,21301-5657119-7,749660.0,0313-6185271,Islamabad,ICT
Noor Bukhari,S/O Iqra Naqvi,13302-6367049-6,233050.0,0346-6513853,Islamabad,ICT
Syed Baig,S/O Nadia Bukhari,54000-2715469-7,147770.0,0333-8374199,Sargodha,Punjab
Bilal Mirza,S/O Hamid Bhatti,35202-3776586-4,239040.0,0300-9518262,Sialkot,Punjab
Hina Mirza,S/O Hassan Gondal,42101-8773741-3,1025030.0,0303-7469044,Turbat,Balochistan
Shazia Hashmi,S/O Adnan Malik,13302-4764500-1,79280.0,0313-8628991,Mirpur,Azad Kashmir
فاطمہ خان,S/O Waseem Naqvi,13302-2874387-2,0.0,0345-8235132,Lahore,Punjab
Tariq Latif,S/O Hussain Gilani,35202-3319594-5,881670.0,0345-8924105,Sialkot,Punjab
Saira Cheema,S/O Uzma Qureshi,61101-8416290-3,4490.0,0300-7098050,Islamabad,ICT
Saira Sandhu,S/O Malik Tarar,21301-6923686-5,677510.0,0321-8797486,Islamabad,ICT
Usman Bhatti,S/O Sana Tarar,21301-6522081-2,191610.0,0321-1369718,Rawalakot,Azad Kashmir
Nadia Syed,,44000-6907359-6,424410.0,0345-2126668,Muzaffarabad,Azad Kashmir
Sajid Malik,S/O Muhammad Raza,13302-4311593-2,118110.0,,Sargodha,Punjab
Rizwan Rizvi,S/O Fatima Karim,54000-5685049-5,253650.0,0303-3440745,Islamabad,ICT
Adnan Khan,S/O Naveed Zaidi,44000-4163587-4,140100.0,0311-7323816,Larkana,Sindh
Faisal Khan,S/O Ahmed Zaidi,35202-6155614-8,156810.0,0332-9593837,Rawalakot,Azad Kashmir
Bilal Karim,S/O Rabia Abbasi,54000-8833833-6,127380.0,0332-3199725,Turbat,Balochistan
Kashif Nawaz,S/O S/O Hassan Raza,42101-1917238-6,16410.0,0331-6628280,Skardu,Gilgit-Baltistan
Bushra Bhatti,S/O Ahmed Cheema,44000-5162620-3,143450.0,0322-4760289,Bannu,KPK
Naeem Gujjar,S/O S/O Salman Rana,42101-7276479-5,17670.0,0312-4861738,Islamabad,ICT
Amna sAlam,S/O Fatima Hameed,21301-2716391-5,212120.0,0302-1569674,Skardu,Gilgit-Baltistan
Hassan Rafiq,S/O Faisal Sandhu,21301-1721426-5,1064560.0,0333-9470972,Multan,Punjab
Asma Syed,S/O Ali Aslam,61101-2427388-7,591580.0,0345-3262755,Larkana,Sindh
Baig Malik,S/O Sajid Malik,13302-4091304-6,113930.0,0332-5262432,Mirpur,Azad Kashmir
,S/O Mehwish Ansari,42101-8963782-2,478150.0,0333-1024829,Nawabshah,Sindh
Noor Cheema,S/O Muhammad Sandhu,54000-5191964-7,1002390.0,0322-5328934,Islamabad,ICT
صنا ملک,S/O Rabia Hashmi,21301-7455879-5,126560.0,0303-1808402,Turbat,Balochistan
Mehwish Rizvi,,21301-6481363-4,536660.0,0321-9587550,Rawalpindi,Punjab
Hashmi Naqvi,S/O Hashmi Syed,21301-7500548-2,1036200.0,0333-1510014,Rawalakot,Azad Kashmir
زینب علی,S/O Mirza Malik,44000-8624752-7,598260.0,0303-3122388,Rawalpindi,Punjab
Hamid Syed,S/O Tahir Rizvi,44000-7294218-7,430010.0,0300-7617268,Quetta,Balochistan
Adnan Aslam,S/O Omar Chaudhry,13302-1664941-4,86180.0,0333-3734506,Mingora,KPK
Hamid Akhtar,S/O Asma Nawaz,21301-4001841-3,403630.0,0311-2214176,Peshawar,KPK
Sobia Raja,S/O Shoaib Sheikh,44000-1513994-2,1105040.0,0312-4308012,Chilas,Gilgit-Baltistan
Noor Jafri,S/O Shoaib Latif,44000-6343290-5,427320.0,0331-5107483,Kohat,KPK
Shoaib Sandhu,S/O Chaudhry Tarar,42101-5922537-9,609480.0,0313-4149428,Mirpur,Azad Kashmir
محمد احمد,S/O Hashmi Ansari,42101-7243355-4,1941270.0,0331-1727920,Bahawalpur,Punjab
Asif Sandhu,S/O Tahir Baig,13302-5009548-9,33040.0,0302-5500547,Peshawar,KPK
ابراہیم ملک,S/O Khalid Akhtar,13302-7291943-9,316370.0,0332-6433875,Gwadar,Balochistan
Chaudhry Rizvi,S/O Hussain Hussain,44000-7178860-5,26120.0,0303-3936857,Peshawar,KPK
Bushra Gondal,S/O Maryam Rafiq,61101-1157662-8,353460.0,0302-2239197,Karachi,Sindh
Mohammad Chattha,S/O Adnan Qureshi,44000-7555955-3,351780.0,0332-4128733,Islamabad,ICT
Mohammad Gilani,S/O Hina Bukhari,54000-7857925-1,2781430.0,0321-2552142,Rawalakot,Azad Kashmir
Asif Virk,S/O Aamir Akhtar,44000-1634563-7,451820.0,0312-6564426,Gilgit,Gilgit-Baltistan
Hamid Ansari,S/O Iqra Akhtar,21301-5430962-5,464290.0,0302-7287843,Skardu,Gilgit-Baltistan
Bushra Jafri,S/O Hashmi Chaudhry,54000-8278852-6,241870.0,0303-6740847,Kohat,KPK
Hashmi Butt,S/O Imran Abbasi,35202-7011635-1,249770.0,0345-2657259,Islamabad,ICT
Hina Ali,S/O Ayesha Iqbal,44000-2263376-5,316490.0,0331-1395428,Gilgit,Gilgit-Baltistan
,S/O Ahmed Gujjar,21301-9951272-3,951300.0,0303-5875144,Gilgit,Gilgit-Baltistan
Hassa nRafiq,S/O Imran Bukhari,13302-4463505-6,1200100.0,0345-6061591,Chilas,Gilgit-Baltistan
Sana Bhatti,S/O Iqra Mirza,44000-5540241-9,1153540.0,0303-8725879,Khuzdar,Balochistan
Hashmi Raza,S/O محمد حسن,61101-9425549-8,99300.0,0313-4832153,Mirpur,Azad Kashmir
Usman Ansari,S/O Khalid Ansari,35202-8666531-4,377870.0,0313-2152501,Chilas,Gilgit-Baltistan
Waseem Naqvi,S/O زینب علی,44000-8820672-4,129090.0,0346-3965194,Mirpur,Azad Kashmir
Rukhsar Nawaz,S/O Hamid Latif,42101-2891460-5,267110.0,0301-2219563,Hub,Balochistan
Asma Hussain,S/O Sana Syed,,17680.0,0300-9226484,Chilas,Gilgit-Baltistan
Kashif Tarar,S/O Hina Rizvi,13302-8381477-8,1483780.0,0301-4762206,Karachi,Sindh
Hashmi Gondal,S/O Sidra Nawaz,61101-5654154-6,224480.0,0300-7882444,Karachi,Sindh
Baig Gujjar,S/O Ahmed Mirza,61101-7376612-6,134790.0,0331-7216315,Karachi,Sindh
Zubair Butt,S/O Ahmed Sheikh,21301-7679063-2,175900.0,0321-8835537,Chilas,Gilgit-Baltistan
نادیہ راض,S/O Hassan Ahmed,35202-6349877-4,5744720.0,0345-5713268,Hub,Balochistan
Ibrahim Butt,S/O Hassan Cheema,54000-7271632-6,51470.0,0311-3141911,Muzaffarabad,Azad Kashmir
Tariq Rafiq,S/O Ayesha Gondal,42101-2961473-9,393640.0,0303-8996007,Skardu,Gilgit-Baltistan
Mehwish Iqbal,S/O Imran Syed,42101-8447546-6,171910.0,0331-8297090,Abbottabad,KPK
Ali Syed,S/O Bushra Qureshi,35202-2736381-3,260700.0,0312-5866606,Mardan,KPK
Khalid Khan,S/O Hussain Akhtar,,61180.0,0322-4507245,Skardu,Gilgit-Baltistan
Ali Rafiq,S/O Nadia Tarar,54000-8346426-2,163790.0,0311-7017650,Sialkot,Punjab
Asma Mirza,,54000-7141166-2,848600.0,0322-8323766,Nawabshah,Sindh
Zubair Gilani,S/O Fatima Hussain,21301-9839521-2,555970.0,0303-2290704,Abbottabad,KPK
Mohammad Gondal,S/O Hamid Raja,35202-6470011-3,1210920.0,0313-6505618,Mirpurkhas,Sindh
Imran Ansari,S/O Adnan Ali,44000-1223660-6,226430.0,0303-6870916,Turbat,Balochistan
Kamran Bhatti,,21301-6637955-7,277240.0,0321-7656363,Quetta,Balochistan
عمر شیخ,S/O Sheikh Naqvi,44000-9162300-8,0.0,0303-7612695,Mardan,KPK
Adnan Naqvi,S/O Maryam Sandhu,54000-7129798-4,368000.0,0345-5042799,Islamabad,ICT
Sana Jafri,S/O Maryam Gondal,54000-9104718-1,113130.0,0301-7508433,Islamabad,ICT
Asma Sandhu,S/O Zubair Syed,42101-3722056-3,120080.0,0345-3777286,Muzaffarabad,Azad Kashmir
Sobia Raza,,13302-5532207-1,114260.0,0322-6546311,Islamabad,ICT
Amna Raja,S/O Tahir Bukhari,42101-8107342-1,68900.0,0346-1902591,Bannu,KPK
Sidra Iqbal,S/O Bushra Gondal,42101-9713948-7,1319170.0,0322-8393475,Gilgit,Gilgit-Baltistan
Rukhsar Bukhari,S/O Syed Jafri,42101-1602601-4,371390.0,0345-6697928,Karachi,Sindh
Aamir Karim,S/O Sheikh Hameed,44000-6680184-9,646950.0,0345-8373026,Islamabad,ICT
,S/O Ayesha Butt,,202420.0,0300-4394845,Islamabad,ICT
Usman Malik,S/O Fatima Akhtar,35202-6975721-3,148620.0,0302-9113207,Muzaffarabad,Azad Kashmir
Asif Rizvi,S/O نادیہ رضا,44000-7062468-1,120830.0,0321-8537871,Muzaffarabad,Azad Kashmir
Omar Karim,S/O Sidra Ahmed,21301-8192211-7,50120.0,0321-2024902,Khuzdar,Balochistan
فاطمہ خان,S/O Ali Bhatti,42101-4192727-2,894620.0,0301-8530924,Multan,Punjab
Hussain Khan,S/O Sajid Syed,61101-8040480-5,2570780.0,0301-9146156,Gwadar,Balochistan
محمد علی,S/O Tariq Qureshi,54000-5193608-5,354680.0,0345-8462902,Mirpurkhas,Sindh
Maryam Aslam,S/O S/O Sobia Hameed,13302-4371081-5,33230.0,0313-8300418,Abbottabad,KPK
Hashmi Gilani,,42101-4647715-7,537760.0,0301-2736164,Gilgit,Gilgit-Baltistan
Amna Akhtar,S/O Aamir Zaidi,44000-9281822-1,149350.0,0331-1044315,Chilas,Gilgit-Baltistan
Kashif Baig,S/O Kamran Naqvi,42101-9182891-7,996730.0,0322-9343712,Rawalpindi,Punjab
Iqra Abbasi,S/O Asma Chaudhry,35202-6655803-5,874810.0,0302-7802999,Chilas,Gilgit-Baltistan
Bushra Abbasi,S/O Usman Tarar,54000-8714743-3,67680.0,0300-8367639,Bannu,KPK
Ali Baig,S/O Hashmi Raza,44000-2250434-7,269350.0,0301-3919842,Islamabad,ICT
Salman Ansari,S/O S/O Tahir Akhtar,35202-2685524-3,20020.0,0345-3345961,Muzaffarabad,Azad Kashmir
Muhammad Akhtar,S/O Chaudhry Chattha,35202-1477613-1,798870.0,0311-6883433,Gilgit,Gilgit-Baltistan
Asma Rizvi,S/O Iqra Raja,21301-1733372-2,218660.0,0346-2605210,Larkana,Sindh
Zainab Virk,S/O Kashif Rafiq,13302-2510538-8,387270.0,0346-7812225,Mirpur,Azad Kashmir
Hussain Bukhari,S/O Mehwish Gilani,21301-3921842-7,96670.0,0345-3652450,Faisalabad,Punjab
Nadia Khan,S/O Saira Jafri,42101-8490504-7,255150.0,0346-9827228,Larkana,Sindh
Raja Jafri,S/O صنا ملک,61101-3555826-3,74660.0,0302-7373024,Chilas,Gilgit-Baltistan
Muhammad Ahmed,S/O Chaudhry Gondal,42101-1436887-8,226520.0,0302-7587563,Mirpur,Azad Kashmir
Khalid Karim,S/O Fatima Ali,54000-1779183-6,219920.0,0333-1116384,Mingora,KPK
Sobia Sheikh,S/O Hina Rizvi,35202-2418154-5,335670.0,0301-6571507,Larkana,Sindh
Hussain Sandhu,S/O Mohammad Mirza,35202-2399154-5,96850.0,0332-4353703,Sukkur,Sindh
,S/O Ayesha Karim,54000-2735780-1,220690.0,0311-4793141,Larkana,Sindh
Sana Hameed,S/O Naeem Gujjar,44000-9573729-3,712620.0,0302-8675147,Mardan,KPK
Hassan Hameed,S/O Qureshi Virk,54000-4831551-6,430710.0,0332-6423821,Mirpurkhas,Sindh
Fasial Rana,S/O ابراہیم ملک,21301-7001604-2,165480.0,0303-6797587,Sialkot,Punjab
محمد علی,S/O Shoaib Rafiq,35202-1288318-9,230510.0,0300-4579217,Muzaffarabad,Azad Kashmir
Mohammad Sheikh,S/O Maryam Aslam,61101-1371090-8,0.0,0322-1377555,Mingora,KPK
Mirza Baig,S/O Malik Syed,21301-8978779-5,916420.0,0301-7634507,Nawabshah,Sindh
Mohammad Hussain,S/O Bushra Qureshi,21301-3879445-4,1131040.0,0313-3582440,Hyderabad,Sindh
Malik Syed,S/O Ali Qureshi,13302-4784652-5,419470.0,0302-7048956,Karachi,Sindh
Imran Bukhari,S/O Omar Gujjar,61101-8719584-5,522080.0,,Islamabad,ICT
احمد خان,S/O Hina Baig,13302-6316712-8,174960.0,0333-7714590,Skardu,Gilgit-Baltistan
Khalid Butt,S/O Naveed Raja,21301-7657967-8,914150.0,0345-1010029,Quetta,Balochistan
Tariq Rizvi,S/O Malik Cheema,42101-4316645-3,391320.0,0301-3774219,Chilas,Gilgit-Baltistan
Shoaib Ali,S/O Waseem Cheema,61101-7918255-5,138220.0,0321-3531523,Islamabad,ICT
Usman Zaidi,S/O Amna Malik,61101-8666056-8,120860.0,0301-2932733,Sialkot,Punjab
Noor Tarar,S/O Arif Bukhari,21301-6749973-9,325220.0,0311-3483192,Rawalakot,Azad Kashmir
Rukhsar Ahmed,S/O S/O Rukhsar Sandhu,21301-9838222-1,63340.0,0311-1890622,Abbottabad,KPK
Malik Qureshi,S/O Rabia Chaudhry,21301-7499949-8,295600.0,0301-8677108,Rawalakot,Azad Kashmir
Waseem Chaudhry,S/O Baig Abbasi,54000-3336525-8,239840.0,0345-1984126,Peshawar,KPK
Ahmed Karim,S/O Adnan Tarar,44000-8589032-7,98550.0,0331-2149603,Sialkot,Punjab
Ali Bukhari,S/O نادیہ رضا,21301-1057864-4,498990.0,0313-1579706,Kohat,KPK
Rukhsar Rafiq,S/O Imran Zaidi,61101-7508485-7,454090.0,0312-2551663,Turbat,Balochistan
Hashmi Sandhu,S/O Zainab Latif,54000-7390726-6,695660.0,0331-4987189,Gujranwala,Punjab
Salman Chattha,S/O Aamir Ali,44000-6547750-9,479170.0,0303-6565693,Rawalakot,Azad Kashmir
Waseem Rana,S/O احمد خان,42101-5539341-2,92250.0,0313-1734109,Bahawalpur,Punjab
Shoaib Ansari,S/O Amna Mirza,42101-3610929-4,63510.0,0322-6145341,Rawalakot,Azad Kashmir
Hina Hameed,S/O Nadia Tarar,35202-4994032-6,304940.0,0312-8671895,Muzaffarabad,Azad Kashmir
Syed Hameed,S/O Baig Rafiq,13302-4664866-5,295740.0,0331-6657553,Rawalakot,Azad Kashmir
,S/O Tariq Rizvi,21301-3248581-1,440170.0,0300-1503689,Bannu,KPK
Ahmed Latif,S/O Shoaib Gujjar,61101-4309652-4,255390.0,0322-2732472,Rawalpindi,Punjab
Sobia Iqbal,S/O Sidra Qureshi,54000-1688161-2,115140.0,0346-8244164,Muzaffarabad,Azad Kashmir
Asma Mirza,S/O مریم چودھری,61101-4843914-9,648310.0,0332-6435127,Karachi,Sindh
Mehwish Sheikh,S/O Ayesha Tarar,13302-8025655-1,349000.0,0331-5816411,Rawalpindi,Punjab
Tahir Malik,S/O Shazia Mirza,21301-1799824-2,77380.0,0312-3757212,Mingora,KPK
Asma Gondal,S/O Bushra Jafri,61101-5603547-2,354960.0,0311-6662853,Hub,Balochistan
Shazia Zaidi,S/O Mirza Hameed,54000-4566116-7,0.0,0346-5655218,Mirpur,Azad Kashmir
Nadia Zaidi,S/O Bilal Gilani,13302-9874152-1,28520.0,0332-2737893,Turbat,Balochistan
Bushra Ansari,S/O Adnan Mirza,42101-9875419-3,15810.0,0313-6028293,Karachi,Sindh
Tahir Jafri,S/O Hashmi Nawaz,21301-7859779-8,94110.0,0345-9004511,Hub,Balochistan
Naeem Hameed,S/O Asif Hussain,13302-6206664-7,581830.0,0300-6027375,Islamabad,ICT
Mehwish Baig,S/O Amna Cheema,35202-8922532-9,528550.0,0312-7746390,Gilgit,Gilgit-Baltistan
Ibrahim Ansari,S/O Ahmed Rizvi,42101-1781217-2,135880.0,0311-2889341,Islamabad,ICT
Tahir Naqvi,S/O محمد حسن,61101-9818405-9,59730.0,0301-8714571,Chilas,Gilgit-Baltistan
Amna Hameed,S/O Shazia Butt,13302-8500007-8,247840.0,0301-8964761,Bahawalpur,Punjab
Rabia Naqvi,S/O Naveed Ali,13302-4610286-9,98700.0,0302-7675002,Mirpurkhas,Sindh
Hassan Aslam,,35202-5235884-8,3665280.0,,Gujranwala,Punjab
Salman Rana,S/O Ibrahim Sheikh,35202-1456832-2,255000.0,0331-3873929,Islamabad,ICT
Rizwan Zaidi,S/O Ibrahim Aslam,35202-1492091-1,492670.0,0300-8825067,Gwadar,Balochistan
Zainab Rizvi,S/O Faisal Khan,54000-5625498-2,632640.0,0345-9397114,Islamabad,ICT
Raja Zaidi,S/O Zainab Syed,42101-3335484-6,275330.0,0322-6385396,Gilgit,Gilgit-Baltistan
Asma Jafri,S/O مریم چودھری,44000-1193098-4,412100.0,0311-7656661,Chilas,Gilgit-Baltistan
Ali Rizvi,S/O Noor Hameed,42101-8381800-1,6120440.0,0302-1601668,Lahore,Punjab
Hussain Raza,S/O Hashmi Chattha,21301-9688611-4,765910.0,0300-4993355,Karachi,Sindh
عمر شیخ,S/O Hassan Iqbal,21301-7412862-4,151610.0,0333-8530043,Larkana,Sindh
Tahir Bukhari,S/O Aamir Rizvi,61101-7192139-2,242370.0,0312-4055449,Peshawar,KPK
Kamran Nawaz,S/O Bushra Ansari,42101-3284033-3,581010.0,0302-5735564,Skardu,Gilgit-Baltistan
Sajid Zaidi,S/O S/O Malik Karim,42101-1689543-9,495490.0,0331-6821657,Skardu,Gilgit-Baltistan
Aamir Chtatha,S/O Sana Qureshi,21301-3768717-8,414020.0,0331-1004433,Quetta,Balochistan
Ibrhim Virk,S/O Asma Chaudhry,44000-9796605-8,97180.0,0321-5577446,Sialkot,Punjab
Sidra Tarar,S/O عمر شیخ,61101-3026924-2,338350.0,0303-7908592,Islamabad,ICT
Imran Gujjar,S/O Usman Gilani,42101-5153632-2,90830.0,0333-2742713,Gilgit,Gilgit-Baltistan
Bilal Khan,S/O Syed Rana,61101-6030215-7,0.0,0345-8836901,Muzaffarabad,Azad Kashmir
Tariq Qureshi,,21301-2008418-2,380870.0,0300-2653227,Nawabshah,Sindh
Arif Ali,S/O Noor Virk,54000-8325920-5,587610.0,0303-6304667,Bahawalpur,Punjab
,S/O Sajid Mirza,13302-2763105-2,145620.0,0311-3601577,Peshawar,KPK
Mohammad Tarar,S/O Ibrahim Nawaz,21301-7364768-8,347970.0,0333-7079798,Hub,Balochistan
Sidra Virk,S/O Sana Cheema,54000-7915956-2,4604860.0,0302-8700274,Faisalabad,Punjab
Khalid Ahmed,S/O Nadia Ansari,54000-4630763-6,860860.0,0321-2058156,Rawalakot,Azad Kashmir
Hussain Latif,S/O Faisal Sandhu,35202-4976371-3,86160.0,0321-5682239,Islamabad,ICT
Salman Bukhai,S/O Sobia Karim,61101-5118725-2,1676310.0,0345-8796514,Mirpurkhas,Sindh
Ali Rizvi,S/O Mirza Sheikh,21301-7678660-2,86270.0,0313-8711478,Sialkot,Punjab
عمر شیخ,S/O Tariq Gujjar,21301-5855014-9,118190.0,0321-8115230,Chilas,Gilgit-Baltistan
,S/O Chaudhry Chattha,35202-8292647-2,84360.0,0312-9191471,Abbottabad,KPK
Maryam Aslam,S/O S/O Sobia Hameed,13302-4371081-5,20720.0,0313-8300418,Abbottabad,KPK
,S/O Mohammad Khan,61101-4286239-8,95730.0,0300-6615147,Khuzdar,Balochistan
,S/O Baig Mirza,21301-5462233-6,277760.0,0302-5339934,Larkana,Sindh
Mehwish Chaudhry,S/O Bushra Butt,54000-5582950-8,88060.0,0321-1822483,Skardu,Gilgit-Baltistan
Hamid Rafiq,S/O ابراہیم ملک,54000-6675656-9,140750.0,0303-4059125,Khuzdar,Balochistan
Sana Aslam,S/O Hamid Hashmi,21301-3737845-6,635040.0,0321-8731123,Quetta,Balochistan
Kashif Rizvi,S/O صنا ملک,61101-6234672-4,265620.0,0331-2119802,Kohat,KPK
Sana Hussain,S/O Khalid Bukhari,44000-5034453-7,35690.0,0313-3347981,Mirpur,Azad Kashmir
Asif Nawaz,S/O Qureshi Raja,35202-4096807-8,3351800.0,0300-4281540,Sargodha,Punjab
Usman Hameed,S/O Hina Gilani,13302-7572195-1,115580.0,0313-9316519,Islamabad,ICT
صنا ملک,S/O Rukhsar Gilani,44000-9536450-2,286090.0,0300-5163789,Islamabad,ICT
Hashmi Qureshi,S/O S/O Shoaib Bukhari,42101-1593302-9,136110.0,0313-6367620,Rawalakot,Azad Kashmir
Arif  Virk,S/O Rukhsar Karim,13302-3086604-1,149910.0,0300-7849349,Mardan,KPK
,S/O Uzma Ahmed,61101-7479416-5,235140.0,0303-1073332,Mardan,KPK
Imran Bukhari,S/O Ahmed Gondal,61101-9797750-1,242250.0,0312-1870268,Skardu,Gilgit-Baltistan
Sana Gondal,,42101-2079421-4,421810.0,0311-2270746,Mingora,KPK
Bushra Gondal,S/O Asma Sandhu,61101-5587856-5,1571920.0,0313-7619156,Islamabad,ICT
Fatima Rafiq,S/O Raja Rafiq,54000-8103845-8,10490.0,0346-3732048,Larkana,Sindh
ابراہیم ملک,S/O Sidra Malik,13302-9736510-5,1131950.0,0303-3573901,Islamabad,ICT
Iqra Hashmi,S/O Sana Bhatti,13302-8722075-2,116090.0,0303-3673316,Gujranwala,Punjab
Raja Hussain,S/O Bilal Naqvi,,1343970.0,0333-8086125,Turbat,Balochistan
,S/O Usman Ahmed,42101-9679086-4,344120.0,0301-3960437,Muzaffarabad,Azad Kashmir
Rabia Ali,S/O Muhammad Sandhu,44000-3024725-1,75070.0,0331-2984167,Karachi,Sindh
Uzma Hussain,S/O Muhammad Sheikh,54000-1363711-3,204250.0,0313-2668494,Gwadar,Balochistan
Asma Rizvi,S/O Iqra Raja,21301-1733372-2,236530.0,0346-2605210,Larkana,Sindh
Shoaib Akhtar,S/O Tahir Sandhu,13302-1161180-9,436810.0,0346-3015336,Bahawalpur,Punjab
Rukhsar Bukhari,S/O Hashmi Abbasi,13302-4168436-6,204660.0,0313-5619072,Sargodha,Punjab
Sheikh Malik,S/O Aamir Karim,42101-7504517-4,175530.0,0312-5981736,Gilgit,Gilgit-Baltistan
Arif Bhatti,S/O Saira Baig,54000-4936074-1,168480.0,0302-5363341,Bannu,KPK
Raia Latif,S/O Iqra Aslam,13302-9955929-2,79720.0,0346-8555354,Islamabad,ICT
Raja Raja,S/O Chaudhry Nawaz,35202-7030060-7,346650.0,0301-4135173,Islamabad,ICT
Mehwish Malik,S/O Qureshi Malik,35202-3330870-6,41030.0,0333-8827320,Islamabad,ICT
Hashmi Syed,S/O Rukhsar Raza,44000-4748025-4,171610.0,0303-2438025,Mirpur,Azad Kashmir
Amna Gilani,S/O Maryam Rafiq,42101-6910964-4,29320.0,0332-3294774,Karachi,Sindh
Naeem Karim,S/O Hassan Malik,42101-2396352-9,87680.0,0346-4399222,Muzaffarabad,Azad Kashmir
Amna Latif,S/O Rukhsar Aslam,42101-3181407-5,28140.0,0313-8415493,Islamabad,ICT
Bilal Naqvi,S/O S/O زینب علی,13302-3431212-6,297080.0,0300-1917249,Turbat,Balochistan
Sajid Aslam,S/O Amna Syed,54000-2143380-1,564400.0,0313-3208016,Mirpur,Azad Kashmir
Malik aZidi,S/O Naveed Ahmed,13302-1527765-8,166280.0,0333-7462043,Mardan,KPK
Salman Karim,S/O Arif Latif,13302-7130273-8,182980.0,0301-9538403,Skardu,Gilgit-Baltistan
Hashmi Mirza,S/O Rabia Sandhu,54000-8662433-5,1531060.0,0301-8416190,Sialkot,Punjab
Sheikh Hashmi,S/O Mehwish Raza,61101-8979590-8,214790.0,0300-1787148,Skardu,Gilgit-Baltistan
Hussain Sheikh,S/O Asif Cheema,44000-7445414-5,314490.0,0311-7441381,Turbat,Balochistan
Ayesha Gilani,S/O Muhammad Gilani,61101-9281401-8,293570.0,0300-5237282,Islamabad,ICT
Hina Sheikh,S/O Uzma Syed,35202-9634692-5,462920.0,0313-9145474,Lahore,Punjab
Asif Bukhari,S/O Zubair Khan,42101-2739023-8,373330.0,0346-9071084,Rawalakot,Azad Kashmir
