canonical_name,father_name,cnic,account_number,annual_credit_card_expense,avg_balance,account_open_date,account_status,avg_expenditure
Adnan Hameed,S/O Naveed Ahmed,61101-4698351-3,PK0005990566476,0.0,45933060.0,2015-05-03,Dormant,79001.0
Kamran Mirza,S/O Chaudhry Malik,61101-5977570-7,PK0011764130526,0.0,28263640.0,2003-07-02,Active,91600.0
صنا ملک,S/O Hamid Gondal,21301-9058243-8,PK0015488302652,0.0,6616900.0,2014-06-27,Frozen,12799.0
Sidra Gondal,S/O Malik Syed,35202-5637717-3,PK0010306468299,0.0,60718270.0,2016-06-25,Active,119183.0
Mirza Baig,S/O Syed Sandhu,21301-2855501-3,PK0012174684276,0.0,7732920.0,2011-11-19,Active,33293.0
Faisal Gondal,S/O Zainab Sandhu,54000-2608578-5,PK0001810026086,0.0,86926150.0,2006-10-07,Active,261477.0
Shazia Virk,S/O Sajid Rizvi,13302-3021533-6,PK0004930075810,0.0,4909180.0,2004-02-19,Dormant,26858.0
Sana Sheikh,S/O Maryam Aslam,61101-7457573-4,PK0005185675980,0.0,19921100.0,2011-08-18,Active,28822.0
Uzma Bukhari,S/O Uzma Sandhu,61101-9055771-3,PK0014349957310,0.0,38488380.0,2021-05-01,Active,84667.0
Asma Sheikh,S/O Ali Raja,21301-8115666-4,PK0014208449460,0.0,50115070.0,2000-03-07,Active,120606.0
Sobia Qureshi,S/O Syed Malik,54000-8923903-4,PK0007398471886,0.0,12649520.0,2005-12-15,Active,68631.0
Tariq Latif,S/O Hashmi Gondal,42101-2433491-3,PK0008782560971,0.0,6316510.0,2002-11-20,Dormant,7638.0
Zubair Gujjar,S/O Rabia Khan,21301-1961423-4,PK0014491735568,0.0,23986450.0,2021-10-26,Frozen,44859.0
Sheikh Gondal,S/O علی حسین,21301-4543473-1,PK0003497478786,0.0,2688110.0,2018-07-16,Active,41335.0
Imran Rizvi,S/O Shazia Butt,44000-9694328-4,PK0006324956459,0.0,26140170.0,2000-08-03,Active,53885.0
Sidra Gujjar,S/O Bilal Rizvi,42101-6039013-8,PK0011386665249,0.0,5594900.0,2000-06-26,Active,10906.0
Bushra Qureshi,S/O Khalid Rana,42101-1047321-4,PK0012833953718,0.0,60858120.0,2000-08-08,Active,73321.0
Sobia Rizvi,S/O Amna Ahmed,44000-6873067-5,PK0011176667861,0.0,4980320.0,2021-04-13,Active,27256.0
Fatima Qureshi,S/O Hina Virk,35202-2226189-4,PK0010781802744,0.0,8417990.0,2017-08-27,Active,22796.0
Bilal Hashmi,S/O Hamid Raja,42101-7081785-6,PK0003673528321,0.0,26453980.0,2009-04-04,Active,27972.0
Salman Nawaz,S/O S/O Sana Aslam,21301-2346371-9,PK0012362863730,0.0,8054230.0,2011-07-26,Active,9876.0
Ayesha Gujjar,S/O نادیہ رضا,44000-4325837-3,PK0003596348124,572714.0,74192730.0,2017-07-20,Active,504412.0
Naveed Mirza,S/O Hussain Gilani,54000-2312664-4,PK0007389854268,0.0,56929070.0,2022-01-05,Active,93174.0
Naeem Hameed,S/O Zubair Ahmed,21301-5098236-3,PK0015787194506,0.0,19206590.0,2007-06-15,Active,42466.0
Rizwan Sandhu,S/O Tariq Karim,42101-6260696-6,PK0012698020238,0.0,2852530.0,2004-03-18,Active,22203.0
Mohammad Hussain,S/O Sajid Hashmi,35202-7865710-8,PK0004835098955,0.0,23871790.0,2006-06-01,Active,80144.0
Kashif Jafri,S/O Hussain Virk,44000-8113803-4,PK0006924970419,0.0,23723840.0,2020-09-27,Active,46317.0
Raja Raja,S/O Arif Hashmi,,PK0013160062915,0.0,3980310.0,2013-02-02,Dormant,13670.0
Ahmeed Malik,S/O Ayesha Raza,44000-5881017-3,PK0004982403818,0.0,5851100.0,2017-03-21,Active,61008.0
Omar Chaudhry,S/O S/O Fatima Chattha,42101-9501071-9,PK0001964411347,0.0,3685590.0,2000-04-28,Active,42609.0
Malik Raza,S/O Salman Tarar,61101-3400475-1,PK0006530747414,0.0,20904990.0,2022-01-31,Dormant,63223.0
Mehwish Tarar,S/O S/O Sheikh Latif,42101-9207960-7,PK0005171069472,0.0,1645310.0,2007-05-28,Active,2545.0
Hassan Rafiq,S/O Nadia Hashmi,42101-6327664-1,PK0004709004943,0.0,32344140.0,2011-04-13,Active,37714.0
Noor Virk,S/O S/O Nadia Karim,35202-3145157-8,PK0015870854579,0.0,715810.0,2003-08-25,Active,4237.0
Asif Chattha,S/O Hina Hashmi,21301-7691694-3,PK0006328306011,0.0,19068790.0,2002-05-15,Active,98234.0
Asif Gondal,S/O Faisal Bhatti,,PK0011636045484,1419315.0,108540580.0,2016-05-23,Active,619209.0
Hina Sheikh,S/O Hussain Zaidi,35202-8289425-2,PK0007790256940,0.0,16012400.0,2005-11-30,Active,33284.0
Fatima Syed,S/O Mirza Rafiq,61101-3598174-6,PK0008253407200,0.0,2329610.0,2018-05-25,Active,16867.0
Ahmed Hussain,S/O Baig Hashmi,54000-9935807-5,PK0005249926919,2057297.0,52860190.0,2016-04-21,Active,199357.0
Tariq Bhatti,S/O Mohammad Khan,21301-7014583-9,PK0004899925830,0.0,12869340.0,2002-11-20,Active,18936.0
Raja Latif,S/O عمر شیخ,44000-2326301-2,PK0009678722458,3402561.0,104121940.0,2006-05-03,Active,582155.0
Zainab Nawaz,S/O Rabia Hashmi,44000-4674948-4,PK0005902099969,0.0,3185080.0,2015-11-08,Active,10831.0
Nadia Malik,S/O مریم چودھری,61101-4958617-9,PK0010560027313,0.0,15295350.0,2011-10-10,Active,44694.0
Rizwan Karim,S/O Zubair Hussain,61101-6200679-9,PK0015726563708,0.0,2542680.0,2018-10-12,Active,29830.0
Sajid Raza,S/O Shoaib Jafri,54000-2561871-7,PK0007488690725,0.0,2103220.0,2001-08-23,Active,58580.0
Aamir Jafri,S/O Hina Zaidi,44000-2911957-3,PK0004248532577,0.0,12271720.0,2018-10-28,Active,77583.0
Ayesha Syed,S/O Naveed Gilani,61101-5520193-8,PK0009629908599,0.0,1332740.0,2010-05-07,Active,27120.0
Zubair Chaudhry,S/O Amna Gujjar,13302-9949005-9,PK0002911514914,0.0,21390310.0,2020-07-31,Active,18771.0
Zubair Gondal,S/O Noor Rafiq,61101-8014938-7,PK0001217734861,0.0,15228920.0,2004-01-04,Frozen,57767.0
Bilal Bhatti,S/O Ibrahim Nawaz,42101-4281292-4,PK0003773715057,0.0,2064270.0,2018-02-25,Active,14103.0
Uzma Hussain,S/O Syed Karim,54000-5381432-5,PK0003950488739,0.0,24105300.0,2015-06-09,Active,96562.0
Raja Syed,S/O Tahir Qureshi,35202-6926278-2,PK0011553290810,554452.0,29249480.0,2010-02-02,Active,394665.0
Hamid Gondal,S/O Aamir Raja,44000-4068162-5,PK0010168212356,0.0,9441330.0,2011-04-23,Active,21387.0
Naveed Qureshi,S/O Qureshi Gujjar,13302-4940441-5,PK0007509760584,0.0,10475910.0,2011-05-11,Dormant,34867.0
Omar Karim,S/O Noor Sheikh,42101-7475662-9,PK0010602564736,0.0,25136880.0,2020-11-11,Frozen,34134.0
احمد خان,S/O S/O Amna Bukhari,13302-5653591-6,PK0009369953851,0.0,28973650.0,2000-09-18,Active,71075.0
,S/O Faisal Jafri,21301-6473913-2,PK0009112327652,0.0,867990.0,2021-06-15,Active,7050.0
Rizwan Malik,S/O Maryam Ansari,,PK0011873869166,0.0,30289960.0,2007-06-07,Active,38967.0
Sheikh Raza,S/O Malik Hussain,21301-2961614-6,PK0002831980933,0.0,11551070.0,2017-09-22,Active,23042.0
,S/O محمد حسن,21301-5875342-9,PK0015676567501,0.0,27386940.0,2016-05-24,Active,227228.0
Shoaib Ansari,S/O Zainab Rizvi,35202-6189530-3,PK0013386501362,0.0,984560.0,2014-12-01,Active,12621.0
Haid Rafiq,S/O ابراہیم ملک,54000-6675656-9,PK0013788227492,0.0,3239930.0,2002-02-22,Dormant,43060.0
Chaudhry Baig,S/O Naeem Qureshi,21301-7135596-1,PK0006219778234,0.0,49147720.0,2018-06-12,Active,106375.0
Imran Syed,S/O Hussain Tarar,35202-8151286-1,PK0005566825638,0.0,5169730.0,2018-09-29,Active,12150.0
Sana Chaudhry,S/O Usman Hussain,61101-9972483-4,PK0003587182120,0.0,0.0,2016-12-06,Active,25516.0
Nadia Gujjar,S/O Bushra Khan,35202-5056587-6,PK0001875340444,0.0,25070520.0,2021-10-04,Active,31064.0
Asif Raza,S/O Fatima Hameed,21301-4119134-6,PK0015872751234,0.0,1240940.0,2022-12-24,Active,49317.0
Amna Chaudhry,S/O Sobia Virk,13302-1488804-5,PK0005637500247,0.0,42543140.0,2018-02-16,Active,169808.0
Naveed Syed,S/O Tariq Baig,54000-1860177-6,PK0013291825997,0.0,14927420.0,2002-07-23,Active,88147.0
Sana Sheikh,S/O Muhammad Cheema,44000-4120697-9,PK0009214257751,0.0,53173720.0,2008-04-07,Active,184901.0
Asma Tarar,S/O Rabia Abbasi,13302-5260757-3,PK0014771410971,0.0,9048500.0,2006-12-31,Active,46174.0
Iqra Rafiq,S/O Kamran Hussain,54000-8942323-7,PK0005786066793,0.0,656660.0,2004-09-06,Active,11679.0
,S/O Ayesha Akhtar,21301-9642470-5,PK0009753876785,2267464.0,115916360.0,2019-06-11,Active,298910.0
Naeem Chattha,S/O Iqra Chattha,13302-4622993-2,PK0004264109919,0.0,12925510.0,2008-09-28,Active,39933.0
Ayesha Bhatti,S/O احمد خان,44000-5159182-8,PK0006918739736,0.0,27765190.0,2019-10-16,Active,94040.0
Sana Hussain,S/O Khalid Bukhari,44000-5034453-7,PK0003679153816,0.0,1680020.0,2004-04-15,Active,0.0
Rukhsar Ansari,S/O Naveed Qureshi,35202-3593279-1,PK0013669462919,0.0,5881930.0,2009-09-11,Active,9135.0
Malik Chaudhry,S/O Malik Abbasi,54000-6380429-5,PK0015100614068,0.0,10936520.0,2018-05-10,Active,25995.0
Ayesha Hussain,S/O Mirza Syed,35202-6077803-9,PK0010448059918,0.0,3548750.0,2014-09-30,Active,46398.0
Adnan Gujjar,S/O Kashif Karim,54000-6143048-8,PK0008120912992,3905661.0,0.0,2010-07-23,Frozen,443888.0
Usman Raja,S/O Hamid Bukhari,61101-3438687-8,PK0002489747629,0.0,6877560.0,2000-04-25,Active,37592.0
Iqra Raja,S/O Adnan Karim,54000-7313125-8,PK0015992994062,0.0,3729710.0,2002-05-30,Active,14040.0
Tahir Zaidi,S/O Ibrahim Iqbal,21301-6309385-4,PK0013430190783,0.0,51110520.0,2004-05-04,Active,105255.0
,S/O Mehwish Chattha,13302-9435412-7,PK0004162196678,0.0,49310870.0,2011-02-23,Frozen,107426.0
Tariq Raza,S/O Hassan Gilani,54000-5711201-4,PK0004709194872,0.0,0.0,2015-05-31,Active,83341.0
Asma Sheikh,S/O Ali Raja,21301-8115666-4,PK0002191969690,0.0,63840230.0,2001-04-12,Dormant,113726.0
Mirza Cheema,S/O Khalid Ansari,54000-3818529-5,PK0012621828280,0.0,16988740.0,2008-07-10,Dormant,120199.0
Zubair Khan,,42101-7331796-9,PK0014174316370,0.0,6704020.0,2015-04-22,Active,46913.0
Raja Qureshi,S/O Ali Hameed,61101-6051370-8,PK0013671988889,0.0,109135440.0,2011-09-05,Dormant,226504.0
Mehwish Ahmed,S/O Aamir Iqbal,13302-7086861-2,PK0013235034324,0.0,2649210.0,2015-08-04,Active,12792.0
Naveed Akhtar,S/O Ibrahim Sandhu,44000-6120290-4,PK0003808402051,0.0,23399100.0,2017-05-31,Dormant,73337.0
Tahir Virk,S/O Sidra Ali,13302-9831414-2,PK0008690347116,0.0,9295490.0,2001-06-04,Active,21111.0
Sobia Butt,S/O Aamir Naqvi,44000-9061215-7,PK0003384602384,3556231.0,215512970.0,2006-02-23,Active,430696.0
Kamran Ansari,S/O S/O Sheikh Sandhu,61101-8653827-4,PK0009751325257,0.0,63665760.0,2012-09-01,Active,149244.0
Malik Chattha,S/O Sajid Aslam,13302-9693169-5,PK0007327416584,0.0,8594360.0,2002-06-22,Active,73433.0
فاطمہ خان,S/O Ali Bhatti,42101-4192727-2,PK0015679064766,0.0,30236960.0,2014-04-18,Active,116063.0
Salman Sandhu,S/O Rizwan Cheema,61101-9617883-6,PK0013883757514,0.0,4205280.0,2009-09-15,Active,12872.0
Bushra Aslam,S/O Shazia Abbasi,54000-2425100-6,PK0012315984311,0.0,5179860.0,2016-07-09,Active,52291.0
Kashif Rizvi,S/O Imran Rafiq,21301-8375955-9,PK0012434702822,2333469.0,81028830.0,2004-07-03,Dormant,317971.0
Malik Ahmed,S/O Hamid Hashmi,54000-9135032-8,PK0007821218382,0.0,11976330.0,2019-09-11,Active,0.0
Muhammad Hashmi,S/O Fatima Sandhu,13302-3262204-2,PK0011500957212,0.0,2039090.0,2021-03-24,Active,33017.0
Maryam Ahmed,S/O Bilal Akhtar,44000-6420577-8,PK0008655742829,0.0,2871000.0,2017-05-27,Active,66598.0
Hassan Abbasi,S/O Hassan Ansari,35202-9816957-5,PK0008229927269,0.0,51685150.0,2012-01-02,Active,67614.0
Faisal Latif,S/O Asif Virk,21301-3768794-8,PK0004341266931,0.0,4363010.0,2017-04-22,Active,13497.0
Salman Bukhari,S/O Sidra Gilani,54000-1147701-2,PK0002463016614,0.0,391030.0,2006-07-20,Dormant,6816.0
Iqra Hashmi,S/O Iqra Bhatti,13302-1516641-9,PK0001731691672,0.0,5131230.0,2021-05-30,Dormant,9392.0
Mohammad Butt,S/O Muhammad Akhtar,61101-5043436-4,PK0009347083812,0.0,6083700.0,2022-01-20,Active,12529.0
Aamir Bhatti,S/O عائشہ احمد,13302-1121097-9,PK0010336456621,7290620.0,212224370.0,2015-02-16,Active,1474255.0
Ahmed Zaidi,S/O Tariq Hashmi,61101-9484757-2,PK0001176228245,0.0,4419750.0,2000-01-17,Dormant,73846.0
Saira Nawaz,S/O Muhammad Hameed,54000-6827975-1,PK0012777641645,2248733.0,128525760.0,2018-10-06,Dormant,499522.0
Sheik hButt,S/O Ayesha Butt,,PK0001345824373,1277722.0,69828810.0,2017-11-12,Active,320343.0
Zubair Virk,S/O Syed Syed,44000-6957274-6,PK0002133729406,4994867.0,73631910.0,2016-08-29,Active,355035.0
Imran Malik,S/O Rabia Rana,35202-2341870-3,PK0014454794895,0.0,9970280.0,2001-03-05,Active,47364.0
Hamid Khan,S/O Waseem Hameed,44000-5046131-2,PK0002652070932,1563069.0,121385910.0,2010-11-25,Dormant,365486.0
Sidra Sandhu,S/O Faisal Virk,54000-2678886-7,PK0004399012686,0.0,1897240.0,2010-02-21,Active,16706.0
Naeem Nawaz,S/O Noor Virk,61101-4754845-2,PK0011621209849,0.0,3476730.0,2013-05-06,Active,18858.0
Nadia Rizvi,S/O Tariq Karim,42101-9036116-7,PK0004678998028,0.0,13615230.0,2018-04-05,Active,33655.0
Ali Gilani,S/O Maryam Chattha,42101-5139665-5,PK0003876693898,0.0,29550570.0,2018-07-23,Dormant,99313.0
Sidra Nawaz,S/O Bilal Gondal,44000-2442063-8,PK0015713152854,0.0,15871790.0,2008-10-03,Dormant,110108.0
Arif Gilani,S/O Waseem Nawaz,54000-5105432-5,PK0010607526654,2776059.0,46343250.0,2000-09-18,Active,249930.0
Hussain Hashmi,S/O Hashmi Virk,44000-7803814-4,PK0004942478695,0.0,11072980.0,2000-03-12,Active,82868.0
Sidra Qureshi,S/O Hamid Aslam,,PK0008967043303,0.0,32068930.0,2011-01-21,Active,49767.0
Bushra Latif,S/O Aamir Sandhu,44000-1778122-4,PK0007304451095,0.0,19573750.0,2005-07-30,Dormant,130099.0
Sheikh Khan,S/O Baig Bhatti,42101-7930088-9,PK0002204078666,0.0,6211800.0,2003-01-25,Active,71232.0
Faisal Syed,S/O Hina Hameed,,PK0011562837684,0.0,16605070.0,2022-05-22,Active,34581.0
محمد احمد,S/O Muhammad Iqbal,35202-2026916-9,PK0006554814084,0.0,26028890.0,2003-05-21,Active,73819.0
Sidra Tarar,S/O عمر شیخ,61101-3026924-2,PK0007601463916,0.0,20975270.0,2004-04-20,Active,69228.0
Asif Chattha,S/O Baig Karim,42101-3234621-8,PK0014882839238,0.0,4674070.0,2021-03-10,Dormant,22104.0
Rabia Rana,S/O Hamid Gilani,21301-3652447-3,PK0001823019672,0.0,14484860.0,2019-11-12,Active,64608.0
Fatma Naqvi,S/O Tariq Sandhu,61101-1605957-9,PK0011793830224,0.0,17049230.0,2005-11-07,Dormant,60376.0
Ibrahim Gondal,S/O Adnan Akhtar,42101-4083390-1,PK0002165082363,0.0,1462000.0,2011-08-10,Active,18196.0
محمد علی,S/O Nadia Chattha,21301-9118604-3,PK0007881913386,2638825.0,51067980.0,2005-10-22,Active,377368.0
صنا ملک,S/O Aamir Abbasi,61101-5497418-4,PK0006959629660,8041681.0,548551310.0,2016-10-17,Dormant,1544756.0
علی حسین,S/O Hassan Mirza,35202-3880952-3,PK0014217326729,0.0,10168300.0,2006-09-15,Active,9792.0
Hamid Naqvi,S/O Omar Iqbal,13302-8579433-8,PK0004305718272,0.0,5637800.0,2003-10-12,Active,16129.0
Mohammad Aslam,S/O Hassan Akhtar,13302-9054196-8,PK0004675832441,0.0,25866630.0,2012-05-02,Active,58684.0
Sheikh Ahmed,S/O Nadia Abbasi,42101-6615431-2,PK0008250519597,0.0,369856950.0,2022-12-10,Active,488890.0
Rizwan Akhtar,S/O Maryam Rafiq,35202-7121355-3,PK0007297018781,0.0,11761090.0,2002-07-21,Active,42384.0
عمر شیخ,S/O Khalid Iqbal,44000-4003006-4,PK0005596743109,0.0,8249660.0,2013-04-08,Active,82531.0
Syed Hameed,S/O Ibrahim Baig,35202-6189058-5,PK0004180943908,0.0,16509680.0,2005-04-27,Active,45566.0
Sana Jafri,S/O Hussain Akhtar,54000-9642144-3,PK0008967607278,0.0,12618310.0,2004-07-15,Active,28370.0
Rizwan Aslam,,,PK0014690907304,0.0,1654710.0,2022-07-23,Active,10054.0
Hina Sheikh,,35202-9634692-5,PK0002154318806,303684.0,160811310.0,2010-07-02,Dormant,299804.0
Ibrahim Sandhu,S/O Iqra Karim,54000-2346274-6,PK0011680451872,0.0,3066660.0,2022-04-08,Active,24618.0
Waseem Raja,S/O Zubair Ansari,21301-8392042-8,PK0014115846122,0.0,43236710.0,2000-03-13,Dormant,159066.0
Hussain Bukhari,S/O Waseem Sandhu,42101-3479259-7,PK0002909134796,0.0,36087200.0,2005-10-17,Active,61593.0
عمر شیخ,S/O Tariq Karim,35202-7463337-2,PK0014353810544,2320017.0,134479630.0,2001-07-29,Active,188126.0
Rabia Abbasi,S/O عمر شیخ,44000-9424687-9,PK0003536383774,0.0,27441410.0,2003-06-25,Active,89197.0
Asif Aslam,S/O Tariq Naqvi,61101-4876526-8,PK0008616854671,0.0,323620.0,2004-03-31,Dormant,11945.0
Ayesha Jafri,S/O Imran Abbasi,42101-6354424-4,PK0004530613729,0.0,19622250.0,2011-09-30,Frozen,0.0
Tahir Nawaz,S/O Kashif Karim,21301-3575158-6,PK0015162959284,0.0,12547570.0,2001-06-24,Active,42298.0
Asma Butt,S/O Ibrahim Chattha,54000-4029653-1,PK0003506919288,0.0,15715540.0,2000-03-29,Frozen,41552.0
Hassan Mirza,S/O Hassan Ali,21301-4377548-8,PK0001519212169,0.0,77980540.0,2001-05-03,Active,126129.0
Hina Sheikh,S/O Sajid Aslam,21301-9741022-5,PK0005941889393,0.0,2283200.0,2015-06-07,Active,4459.0
Hussain Baig,S/O Tahir Hashmi,42101-5026409-7,PK0013588561518,0.0,673420.0,2021-04-02,Active,5579.0
Ayesha Chattha,S/O Hamid Abbasi,21301-1523067-1,PK0005554200826,0.0,17889500.0,2014-04-20,Active,73609.0
علی حسین,S/O Nadia Ahmed,35202-4783595-8,PK0012884374109,0.0,85432380.0,2018-07-22,Active,134865.0
Kashif Mirza,S/O زینب علی,54000-6903546-1,PK0013696751693,1023982.0,57629380.0,2005-05-24,Dormant,168305.0
ابراہیم ملک,,35202-5853247-3,PK0011871385010,0.0,6621050.0,2021-05-31,Dormant,33087.0
Waseem Raja,S/O Zainab Ahmed,54000-1195688-1,PK0008266211829,0.0,20212060.0,2017-01-04,Active,71567.0
Hussain Sheikh,S/O Asif Cheema,44000-7445414-5,PK0004418587604,0.0,27588510.0,2021-08-31,Active,138685.0
Kahsif Raza,S/O Sana Hameed,44000-7583688-6,PK0004162795957,0.0,6756650.0,2004-02-24,Active,18805.0
Rizwan Akhtar,S/O Kashif Akhtar,42101-4644217-1,PK0010889991777,1162952.0,0.0,2012-04-05,Active,303584.0
Hashmi Hashmi,S/O محمد علی,42101-8556961-7,PK0009165452690,0.0,2968150.0,2011-04-21,Active,46515.0
Khalid Latif,S/O Hamid Sandhu,61101-4577047-4,PK0012436730606,1173588.0,78571960.0,2004-06-13,Active,341246.0
Khlaid Naqvi,S/O Sobia Khan,61101-1847015-4,PK0001153839920,0.0,28689300.0,2011-11-06,Active,70996.0
Rukhsar Hussain,S/O Fatima Ali,61101-7908877-5,PK0010611947770,0.0,3293160.0,2019-05-12,Active,14058.0
Ibrahim Qureshi,S/O Sheikh Iqbal,13302-7538508-5,PK0009670292350,0.0,7454970.0,2016-07-22,Active,127502.0
Rabia Sandhhu,S/O Khalid Zaidi,61101-7597980-5,PK0003161073976,0.0,0.0,2002-02-17,Active,282222.0
Hina Khan,S/O نادیہ رضا,35202-7072992-1,PK0009186019028,0.0,7024700.0,2006-07-23,Active,26382.0
Asif Chaudhry,S/O Imran Qureshi,35202-5250958-1,PK0014299528037,0.0,23326650.0,2017-12-17,Dormant,56338.0
,S/O Fatima Iqbal,21301-2273983-4,PK0002738914080,0.0,28924670.0,2002-08-01,Dormant,116184.0
Aamir Hameed,S/O Baig Rafiq,61101-6084824-6,PK0002825003955,0.0,33948140.0,2015-07-28,Active,90916.0
Shoaib Akhtar,S/O Faisal Nawaz,54000-4563969-4,PK0014352548261,0.0,20999350.0,2009-08-21,Active,42193.0
Aamir Nawaz,S/O Sidra Qureshi,42101-3586212-8,PK0007228727266,0.0,2250890.0,2013-10-13,Dormant,11426.0
Sidra Khan,S/O Tahir Butt,42101-4204180-7,PK0015711684318,0.0,17726010.0,2018-04-23,Active,67845.0
محمد حسن,S/O Tahir Syed,,PK0004721609600,0.0,11994700.0,2007-04-15,Dormant,54589.0
Amhed Baig,S/O Khalid Bukhari,35202-5703878-9,PK0010142672287,0.0,13031920.0,2020-02-03,Active,23701.0
Asif Raza,S/O Tahir Khan,35202-1197292-5,PK0010188029013,0.0,2388730.0,2022-12-21,Active,75179.0
Faisal Baig,S/O Shazia Zaidi,13302-8264484-6,PK0007805849060,0.0,18471280.0,2008-11-09,Dormant,132874.0
Naveed Jafri,S/O Zubair Rizvi,21301-7519977-5,PK0010706907788,0.0,2465600.0,2014-08-22,Active,14993.0
,S/O Mirza Nawaz,44000-1520665-2,PK0009439699535,0.0,10636380.0,2006-02-25,Active,169041.0
Tariq Ahmed,S/O Malik Sheikh,13302-4019908-8,PK0015379995032,0.0,16760440.0,2005-11-29,Active,41343.0
محمد علی,S/O Rukhsar Latif,35202-3496391-1,PK0004819112790,0.0,23518680.0,2015-10-22,Active,104525.0
Bushra Nawaz,S/O Imran Ali,13302-4304891-2,PK0012437352358,0.0,21528970.0,2006-07-17,Active,44261.0
Mehwish Ansari,S/O Naeem Gujjar,13302-3504521-7,PK0004385201412,0.0,25226380.0,2000-10-02,Active,42072.0
Tariq Virk,S/O Naeem Hussain,13302-2077621-8,PK0007240529481,0.0,10256440.0,2022-07-04,Active,35742.0
