Owner_Name,Father_Name,CNIC,Owner_Number,Province,City,Society_Name,Property_Type,Plot_House_No,Area,Purchase_Year,Ownership_Status,Estimated_Market_Value,Contact_No
Raja Gujjar,S/O Naveed Chattha,3520212138992,03329289690,Punjab,Rawalpindi,Gulshan-e-Iqbal,Residential Plot,956,41 Marla,2014,Owned,12664549,03329289690
Rizwan Mirza,S/O Naveed Raja,2130168546785,03334298860,Balochistan,Gwadar,Defence,Residential Plot,838,10 Sq.Ft,2016,Mortgaged,13711927,03334298860
Bilal Baig,S/O Ibrahim Hameed,1330210625143,03135684329,Gilgit-Baltistan,Skardu,I-8,House,450,29 Kanal,2002,Sold,1720071,03223968454
Hina Sheikh,S/O Hussain Zaidi,3520282894252,03113946849,Gilgit-Baltistan,Gilgit,Cantt,House,582,19 Marla,2012,Rented,4465313,03113946849
Aamir Khan,S/O Naveed Jafri,2130192266195,03029528624,KPK,Bannu,Johar Town,House,800,38 Kanal,2000,Owned,2228291,03029528624
Ari fQureshi,S/O مریم چودھری,3520237958463,03008962478,KPK,Peshawar,Township,Apartment,948,36 Kanal,2014,Mortgaged,447644,03008962478
Uzma Chaudhry,S/O Sana Chaudhry,6110119193747,03315952694,ICT,Islamabad,I-8,Residential Plot,276,87 Marla,2013,Sold,8969926,03315952694
Faisal Ahmed,S/O Muhammad Raza,,,Azad Kashmir,Muzaffarabad,Cantt,Commercial Plot,280,6 Marla,2008,Mortgaged,36766962,03006671458
Naveed Khan,S/O Fatima Tarar,4210165034024,03212187357,Gilgit-Baltistan,Chilas,Johar Town,Apartment,49,83 Marla,2023,Owned,3449235,03212187357
Mohammad Gilani,S/O Sajid Qureshi,5400079294675,03214256866,Azad Kashmir,Rawalakot,Askari,Residential Plot,25,48 Kanal,2010,Mortgaged,16908530,03214256866
احمد خان,S/O Ahmed Khan,1330293630194,03455390248,Azad Kashmir,Muzaffarabad,Model Town,Apartment,567,23 Marla,2019,Owned,1573474,03455390248
Hamid Chaudhry,S/O Shazia Cheema,3520238698306,03114821230,KPK,Peshawar,Cavalry Ground,Residential Plot,120,70 Marla,2000,Mortgaged,10075794,03114821230
Malik Malik,S/O Rizwan Rafiq,5400084676318,03229670140,Azad Kashmir,Mirpur,Askari,House,895,7 Marla,2018,Rented,13031917,03229670140
صنا ملک,S/O Bushra Cheema,3520223626953,03113392501,KPK,Abbottabad,Johar Town,House,637,58 Kanal,2014,Rented,4871968,03113392501
Asma Butt,S/O Ibrahim Chattha,5400040296531,03125133847,Gilgit-Baltistan,Skardu,E-11,Apartment,772,62 Kanal,2019,Owned,1164155,03125133847
Sheikh Qureshi,S/O Noor Gilani,1330214918086,03137055973,ICT,Islamabad,Township,Residential Plot,680,5 Marla,2001,Mortgaged,5140659,03137055973
Naveed Tarar,S/O Shazia Naqvi,4210150212036,03121446607,Sindh,Karachi,Scheme 33,House,536,77 Marla,2002,Owned,909435,03121446607
Omar Ahmed,S/O Sana Rizvi,6110115956553,03227214345,KPK,Kohat,G-9,House,961,52 Sq.Ft,2007,Sold,2789555,03116802008
Fatima Rizvi,S/O Muhammad Raza,4210196779625,03006551912,Azad Kashmir,Mirpur,F-10,Apartment,34,3 Marla,2023,Owned,972010,03006551912
Faisal Latif,S/O Hassan Jafri,2130125927474,03035148110,Balochistan,Quetta,North Nazimabad,Agricultural Land,701,17 Sq.Ft,2015,Rented,24978894,03035148110
Asma Akhtar,S/O Asma Malik,6110161133859,03011837243,ICT,Islamabad,Gulberg,Residential Plot,289,34 Sq.Ft,2001,Mortgaged,5819848,03011837243
Kamran Tarar,S/O Rabia Bhatti,3520228483783,03211222278,Punjab,Faisalabad,Defence,House,136,14 Sq.Ft,2008,Rented,6904878,03211222278
Sajid Gujjar,S/O Qureshi Chaudhry,2130188023775,03003535551,Balochistan,Gwadar,Cavalry Ground,House,732,92 Marla,2022,Rented,1869740,03003535551
Shoaib Latif,S/O Bilal Zaidi,4400070325083,03006687506,Punjab,Sialkot,Cantt,House,682,66 Sq.Ft,2003,Mortgaged,2022500,03006687506
Iqra Rafiq,S/O Naveed Sandhu,4210151433491,03124971929,Sindh,Sukkur,I-8,House,26,30 Marla,2007,Mortgaged,7279847,03124971929
Sana Jafri,S/O Maryam Gondal,5400091047181,,ICT,Islamabad,Cavalry Ground,Residential Plot,470,19 Kanal,2005,Mortgaged,3974554,03017508433
Asif Sandhu,S/O Tahir Baig,1330250095489,03025500547,KPK,Peshawar,Askari,Apartment,534,14 Marla,2020,Rented,452065,03025500547
Uzma Rana,S/O Sana Virk,5400020361429,03021222200,Balochistan,Gwadar,Scheme 33,Residential Plot,548,52 Marla,2005,Owned,28302678,03021222200
Sana Akhtar,S/O Usman Cheema,3520268243631,03025927237,Balochistan,Quetta,PAF Colony,Residential Plot,228,16 Sq.Ft,2009,Rented,4481229,03025927237
Khalid Mirza,S/O Kashif Gondal,3520222138931,03464365042,KPK,Kohat,Cavalry Ground,Apartment,299,12 Sq.Ft,2022,Sold,6791343,03464365042
Bushra Nawaz,S/O Omar Abbasi,6110179940332,03016366085,Sindh,Mirpurkhas,Gulberg,House,176,17 Sq.Ft,2019,Owned,11547259,03016366085
Ayesha Butt,S/O S/O Imran Sandhu,4210146803147,03329569884,ICT,Islamabad,Township,House,440,84 Sq.Ft,2004,Sold,5128468,03329569884
Khalid Hussain,S/O Naveed Ansari,5400063338341,03465207762,Sindh,Sukkur,Cantt,Apartment,345,66 Kanal,2022,Owned,7180809,03465207762
Muhammad Hameed,S/O علی حسین,2130174662667,03033549031,ICT,Islamabad,Johar Town,Residential Plot,745,30 Marla,2000,Rented,1839033,03033549031
Bilal Malik,S/O Hashmi Qureshi,6110167638882,03112408453,KPK,Abbottabad,Township,Residential Plot,982,12 Marla,2003,Sold,3657381,03112408453
Hashmi Hameed,S/O Sheikh Butt,6110162155352,03022963430,KPK,Bannu,I-8,Residential Plot,625,18 Sq.Ft,2022,Sold,11024850,03022963430
Khalid Syed,S/O Sobia Chattha,1330210475725,03225205279,Sindh,Hyderabad,F-10,Commercial Plot,937,42 Kanal,2010,Owned,88630317,03225205279
Mirza Qureshi,S/O Rizwan Qureshi,2130127862769,03325695265,Punjab,Faisalabad,Gulberg,Commercial Building,948,19 Sq.Ft,2001,Mortgaged,68706260,03325695265
صنا ملک,S/O Muhammad Sandhu,2130195996887,03225779878,Balochistan,Turbat,Cavalry Ground,Residential Plot,622,3 Sq.Ft,2001,Owned,2029900,03339323692
Imran Syed,S/O Hussain Tarar,3520281512861,03028164147,Balochistan,Khuzdar,Model Town,House,460,98 Marla,2021,Sold,852849,03028164147
Sidra Malik,S/O Sana Gujjar,4400024838834,03326242875,ICT,Islamabad,Gulshan-e-Iqbal,House,231,79 Marla,2016,Mortgaged,,03326242875
Hussain Virk,S/O S/O Mohammad Abbasi,4210176699189,03336938069,Sindh,Hyderabad,Clifton,House,162,6 Marla,2022,Rented,2188666,03336938069
Rizwan Hussain,S/O Arif Bukhari,4210143596939,03123309314,Balochistan,Hub,Model Town,House,512,8 Marla,2012,Mortgaged,17962455,03123309314
,S/O Ayesha Gondal,4400073343484,03007211871,KPK,Bannu,Saddar,House,46,85 Sq.Ft,1999,Sold,11716088,03007211871
Rizwan Zaidi,S/O مریم چودھری,5400067129103,03334282766,Punjab,Sialkot,Gulshan-e-Iqbal,Apartment,731,61 Marla,2004,Sold,4163724,03334282766
Rukhsar Zaidi,S/O Baig Ali,4210118663949,03139442235,ICT,Islamabad,Saddar,House,760,3 Marla,2013,Rented,2192158,03139442235
Fatima Naqvi,S/O Tariq Sandhu,6110116059579,03112553735,Sindh,Hyderabad,Cavalry Ground,Residential Plot,337,58 Kanal,1999,Mortgaged,1961162,03112553735
Khalid Latif,S/O Shazia Bukhari,4210123016651,,Punjab,Gujranwala,Saddar,House,97,99 Sq.Ft,2017,Sold,1079092,03123985341
Fatima Sandhu,S/O Aamir Latif,6110127779246,03123199566,KPK,Bannu,Cantt,House,809,63 Sq.Ft,2004,Mortgaged,22147461,03123199566
,S/O Sobia Hashmi,4400018001489,03337556307,Gilgit-Baltistan,Chilas,Clifton,Apartment,851,88 Marla,2021,Owned,5618728,03337556307
Rukhsar Syed,S/O Qureshi Latif,1330243419621,03325227238,Punjab,Gujranwala,Saddar,House,505,55 Marla,2022,Sold,1408161,03325227238
Zubair Virk,S/O Muhammad Bukhari,4210131536643,03228156587,ICT,Islamabad,Saddar,Residential Plot,797,25 Sq.Ft,2021,Sold,11915679,03228156587
Sheikh Butt,S/O Shoaib Hashmi,3520292628201,03331779233,Gilgit-Baltistan,Gilgit,Saddar,Residential Plot,932,30 Sq.Ft,2000,Mortgaged,3999617,03027341428
Ali Naqvi,S/O ابراہیم ملک,6110162417055,03035847434,Gilgit-Baltistan,Chilas,G-9,Apartment,70,15 Kanal,2017,Sold,6377018,03035847434
Omar Gilani,S/O Rizwan Tarar,1330243214363,03338683770,ICT,Islamabad,F-10,House,436,61 Sq.Ft,2009,Sold,14387125,03338683770
,S/O Baig Ahmed,1330273392015,03136767836,Gilgit-Baltistan,Gilgit,Clifton,House,571,12 Kanal,2017,Owned,35346276,03136767836
ابراہیم ملک,S/O Bilal Nawaz,4210160524782,03328669093,Azad Kashmir,Mirpur,Scheme 33,House,70,50 Sq.Ft,2012,Mortgaged,10177336,03328669093
Omar kAhtar,S/O Ibrahim Cheema,1330292745476,03228794524,ICT,Islamabad,I-8,Residential Plot,526,4 Sq.Ft,1999,Sold,5907482,03228794524
Imran Raja,S/O Hashmi Baig,6110199618117,03015311879,Punjab,Multan,I-8,Residential Plot,760,82 Sq.Ft,2002,Sold,8698159,03015311879
Rukhsar Sandhu,S/O Hassan Gujjar,6110155843496,03132317757,KPK,Peshawar,Clifton,Residential Plot,320,93 Sq.Ft,2009,Sold,5490863,03132317757
Mirza Raza,S/O Naeem Raja,4400085880685,03319233449,KPK,Kohat,I-8,Apartment,727,73 Kanal,2021,Rented,4772777,03319233449
Saira Abbasi,S/O Baig Hussain,6110164419144,03323891679,Balochistan,Gwadar,Gulberg,House,76,98 Sq.Ft,1995,Rented,27330217,03323891679
,S/O Sobia Syed,1330210251938,03213501901,Sindh,Hyderabad,Cavalry Ground,House,574,63 Kanal,2008,Mortgaged,1458851,03213501901
Hassan nsari,S/O Syed Chattha,4400040818735,03022953665,ICT,Islamabad,Johar Town,Apartment,667,3 Kanal,2013,Sold,1526673,03022953665
Kamran Baig,S/O Zainab Butt,4400023394858,03222778288,KPK,Peshawar,Gulberg,Apartment,796,53 Marla,2007,Rented,2397765,03222778288
Hussain Sandhu,S/O Noor Baig,6110166273589,03322951693,Sindh,Mirpurkhas,Gulberg,House,808,80 Kanal,2013,Mortgaged,21743299,03322951693
Uzma Zaidi,S/O Kamran Gujjar,6110124710169,03319576556,Balochistan,Turbat,E-11,Apartment,377,18 Marla,2005,Owned,4989088,03319576556
Uzma Abbasi,S/O Iqra Hussain,2130133769138,03211894765,Gilgit-Baltistan,Gilgit,Township,House,957,43 Sq.Ft,2004,Owned,12234138,03211894765
Rukhsar Aslam,S/O Qureshi Qureshi,4400012396034,03111823786,ICT,Islamabad,DHA,Agricultural Land,668,20 Sq.Ft,1997,Mortgaged,62835330,03111823786
Rizwan Khan,S/O Naveed Bukhari,1330276266304,03313976834,Punjab,Faisalabad,Gulberg,Apartment,168,12 Sq.Ft,2002,Sold,3094348,03313976834
Shoaib Ansari,S/O Zainab Rizvi,3520261895303,03223688092,Azad Kashmir,Muzaffarabad,Defence,House,111,84 Sq.Ft,2015,Sold,1988531,03223688092
Nadia Gilani,S/O Shazia Hameed,5400041129477,03466777972,KPK,Abbottabad,Johar Town,Agricultural Land,472,8 Kanal,2006,Sold,151402215,03466777972
Imran Bhatti,S/O Asif Syed,4210177926335,03026404948,Sindh,Hyderabad,PAF Colony,Apartment,538,52 Kanal,2002,Mortgaged,10676167,03026404948
Asif Hussain,S/O Mirza Latif,2130116132181,03226980286,Gilgit-Baltistan,Chilas,Scheme 33,House,604,57 Marla,2022,Sold,13761334,03226980286
Qureshi Chattha,S/O Hassan Zaidi,2130170901151,03031119712,Azad Kashmir,Rawalakot,Gulberg,Residential Plot,492,54 Sq.Ft,2002,Sold,9552155,03031119712
ابراہیم ملک,S/O Hashmi Qureshi,4400051125463,03004909053,Azad Kashmir,Rawalakot,Township,Residential Plot,884,12 Sq.Ft,2022,Owned,55076665,03004909053
Zubair Ali,S/O محمد حسن,3520294054507,03033715145,Balochistan,Turbat,G-9,House,258,96 Marla,2005,Rented,1191695,03033715145
Qureshi Sandhu,S/O Zainab Naqvi,2130195358239,03219824026,ICT,Islamabad,G-9,House,966,85 Marla,1998,Rented,13115188,03219824026
Chaudhry Tarar,S/O Kamran Baig,5400061005713,,Gilgit-Baltistan,Chilas,Saddar,Apartment,13,88 Sq.Ft,1997,Sold,11647745,03462948559
Saira Sandhu,S/O Malik Tarar,2130169236865,03218797486,ICT,Islamabad,Clifton,Apartment,650,90 Kanal,2020,Owned,12001613,03218797486
Faisal Abbasi,S/O Naveed Akhtar,2130140901652,03012562338,Punjab,Faisalabad,Clifton,Residential Plot,723,4 Kanal,1998,Sold,27621411,03037201470
Sidra Gilani,S/O S/O Bilal Akhtar,5400071063855,03226990710,Balochistan,Turbat,Cavalry Ground,House,615,47 Sq.Ft,2015,Rented,1378132,03226990710
ابراہیم ملک,S/O Fatima Khan,5400075022145,03112482006,Sindh,Hyderabad,Township,Residential Plot,921,30 Marla,2010,Owned,34945012,03112482006
Sobia Bhatti,S/O Uzma Hameed,1330231207088,03219012444,Balochistan,Khuzdar,E-11,House,1,22 Sq.Ft,2004,Rented,30273010,03219012444
,S/O Hashmi Ahmed,1330243259697,,Gilgit-Baltistan,Chilas,Johar Town,House,273,3 Kanal,2010,Owned,23200401,03027705326
Khalid Mirza,S/O Kashif Gondal,3520222138931,03464365042,KPK,Kohat,North Nazimabad,House,531,66 Marla,2010,Mortgaged,4031648,03464365042
Noor Hashmi,S/O Kamran Jafri,6110170855025,03316112711,Azad Kashmir,Mirpur,Defence,Residential Plot,508,42 Kanal,2002,Owned,337402,03316112711
Uzma Sheikh,S/O Asma Jafri,2130161229896,03031504462,Gilgit-Baltistan,Gilgit,Model Town,House,536,98 Sq.Ft,2015,Sold,6111783,03031504462
Shoaib Chattha,S/O Imran Ansari,6110148270569,03125092999,ICT,Islamabad,Township,Apartment,599,18 Marla,2018,Rented,5004393,03125092999
Aamir Virk,S/O Khalid Ali,4400057350199,03466950337,Sindh,Karachi,Saddar,Residential Plot,788,71 Sq.Ft,2006,Mortgaged,9301546,03331007567
Uzma Bukhari,S/O Uzma Sandhu,6110190557713,03027948213,Azad Kashmir,Mirpur,Gulshan-e-Iqbal,House,980,25 Kanal,2004,Sold,13796249,03027948213
Shoaib Hameed,S/O Chaudhry Gujjar,4210147082555,03466548520,Punjab,Sialkot,DHA,Residential Plot,128,12 Kanal,1998,Rented,9508523,03466548520
Faisal Rana,S/O Hamid Aslam,6110174743758,03219578346,KPK,Kohat,Cantt,Residential Plot,524,60 Marla,2017,Mortgaged,3576719,03219578346
Mehwish Virk,S/O Waseem Chattha,5400069449096,,Balochistan,Gwadar,Askari,Residential Plot,73,89 Sq.Ft,2002,Rented,4768896,03013907503
Tahir Hameed,S/O Malik Baig,4210168544192,03469934490,ICT,Islamabad,Cavalry Ground,Apartment,252,87 Kanal,2012,Mortgaged,35071512,03469934490
محمد حسن,S/O Nadia Ansari,4210152320519,03035951798,Balochistan,Gwadar,Defence,Residential Plot,392,10 Sq.Ft,2018,Mortgaged,28573345,03027745958
Shazia Akhtar,S/O Tariq Syed,1330266988518,03003160235,Sindh,Sukkur,Saddar,House,17,24 Kanal,2021,Rented,10865448,03003160235
Hassan Qureshi,,5400064047075,03117846972,Balochistan,Turbat,DHA,Apartment,218,30 Kanal,2010,Rented,3289518,03117846972
Amna Khan,S/O Asif Rizvi,1330267949502,03015565163,Sindh,Karachi,F-10,Apartment,355,93 Kanal,1995,Owned,1110057,03015565163
Hamid Aslam,S/O Aamir Khan,4210172975214,03112238771,Gilgit-Baltistan,Skardu,Township,Apartment,583,9 Kanal,2008,Mortgaged,18127555,03112238771
Bushra Latif,S/O Sidra Butt,1330225081564,03329761738,Gilgit-Baltistan,Chilas,Johar Town,Residential Plot,707,28 Sq.Ft,2003,Owned,4296048,03329761738
Adnan Butt,S/O Hassan Ahmed,1330213276587,03229131572,Azad Kashmir,Muzaffarabad,North Nazimabad,Residential Plot,792,15 Sq.Ft,2017,Sold,20684612,03229131572
Sheikh Rizvi,S/O Kamran Gondal,4210196442969,03032491457,KPK,Kohat,Askari,Apartment,87,92 Kanal,2008,Rented,1488421,03032491457
Omar Karim,S/O Shoaib Sandhu,1330296586268,03128473910,Azad Kashmir,Rawalakot,Defence,Apartment,995,60 Kanal,2015,Sold,10103134,03128473910
Shoaib Gondal,S/O Iqra Abbasi,2130172363413,03217371286,Balochistan,Gwadar,Clifton,Residential Plot,705,43 Marla,1999,Rented,2480119,03217371286
Kashif Baig,S/O Sidra Aslam,4400097698037,03332275012,ICT,Islamabad,Gulberg,Residential Plot,337,73 Kanal,2009,,6165430,03332275012
Fatima Bhatti,S/O Amna Rizvi,3520274680514,,Gilgit-Baltistan,Gilgit,Defence,Apartment,273,10 Sq.Ft,2001,Mortgaged,3946916,03321418381
Amna Hussain,S/O Rukhsar Malik,4210130077089,03128506310,Punjab,Rawalpindi,F-10,House,276,45 Kanal,2014,Mortgaged,1202066,03128506310
Baig Hussain,S/O Aamir Virk,4210137221601,03463616534,ICT,Islamabad,PAF Colony,Apartment,120,82 Marla,2022,Owned,39771708,03463616534
Rukhsar Bukhari,S/O Syed Jafri,4210116026014,03456697928,Sindh,Karachi,Cavalry Ground,House,740,50 Sq.Ft,2016,,8127375,03456697928
Asif Latif,S/O Sidra Gilani,2130182281283,03116111364,Balochistan,Turbat,Clifton,Apartment,235,62 Sq.Ft,2003,Owned,675233,03116111364
Zubair Gujjar,S/O Tahir Naqvi,2130116555319,,KPK,Mardan,Bahria Town,House,591,90 Sq.Ft,2017,Owned,14013722,03227882323
Usman Gujjar,S/O Sana Ali,2130150585033,03122678682,Gilgit-Baltistan,Chilas,Cavalry Ground,House,460,16 Sq.Ft,2004,Mortgaged,4474768,03217153783
,S/O Malik Chattha,1330295243701,03337686793,Balochistan,Khuzdar,Cantt,House,959,91 Sq.Ft,2022,Sold,6633002,03337686793
Mohammad Bukhari,S/O Asma Ali,4210187987964,03466844936,Punjab,Faisalabad,Gulshan-e-Iqbal,House,469,35 Marla,2005,Owned,9445584,03466844936
Malik Raja,S/O عائشہ احمد,4400078123276,03026404262,Sindh,Larkana,PAF Colony,Apartment,653,42 Kanal,2006,Owned,1303644,03026404262
Khalid Syed,S/O Sobia Chattha,13302-1047572-5,03225205279,Sindh,Hyderabad,Clifton,Apartment,333,5 Marla,2006,Mortgaged,42864479,03225205279
Amna Akhtar,S/O Aamir Zaidi,4400092818221,03311044315,Gilgit-Baltistan,Chilas,Model Town,House,311,61 Sq.Ft,2009,Owned,3988252,03311044315
Naveed Butt,,4210168426241,03119579549,Sindh,Karachi,E-11,Residential Plot,201,12 Marla,1997,Rented,2837765,03119579549
Amna Zaidi,S/O نادیہ رضا,1330235483054,03468150871,Azad Kashmir,Rawalakot,Gulshan-e-Iqbal,Residential Plot,313,60 Kanal,2012,Mortgaged,3963056,03468150871
محمد علی,S/O Shoaib Virk,5400081185147,03315419930,Balochistan,Quetta,Scheme 33,Apartment,738,32 Marla,2020,,4734379,03315419930
Rukhsar Khan,S/O Arif Cheema,5400063720667,03001095683,Gilgit-Baltistan,Gilgit,PAF Colony,Apartment,74,58 Marla,1998,,35647952,03001095683
Raja Karim,S/O Baig Akhtar,6110184718246,03465083365,Gilgit-Baltistan,Skardu,Johar Town,Residential Plot,84,9 Kanal,2010,Owned,1672622,03465083365
,S/O Imran Abbasi,4210196987993,03313604706,ICT,Islamabad,Johar Town,Apartment,339,71 Marla,2009,Rented,1436014,03313604706
Hussain Nawaz,S/O Tariq Sheikh,3520283986164,03221714943,ICT,Islamabad,Bahria Town,Residential Plot,244,65 Kanal,2000,Rented,13343174,03025494963
Zubair Abbasi,S/O Malik Baig,44000-7933281-2,03026038921,Sindh,Mirpurkhas,Model Town,Agricultural Land,613,80 Kanal,2019,Sold,76770583,03026038921
Omar Virk,S/O Shazia Abbasi,1330218660712,03027502314,Gilgit-Baltistan,Gilgit,I-8,Apartment,430,59 Sq.Ft,2016,Rented,1309980,03027502314
ابراہیم ملک,S/O Sheikh Gujjar,6110171674412,03323316762,KPK,Peshawar,Model Town,Apartment,981,39 Kanal,2004,Rented,36194355,03323316762
Qureshi Akhtar,S/O Chaudhry Khan,4400015706659,03011713118,Balochistan,Turbat,Cantt,Residential Plot,290,90 Sq.Ft,2014,Owned,25676107,03011713118
Faisal Malik,S/O Hamid Nawaz,6110131866354,03333620107,Punjab,Faisalabad,G-9,Apartment,656,43 Sq.Ft,2011,Mortgaged,6154072,03333620107
Amna Hashmi,S/O Ali Latif,3520231288358,03466171636,Azad Kashmir,Muzaffarabad,Gulberg,House,237,29 Sq.Ft,2022,Rented,3584492,03466171636
Mirza Rafqi,S/O Sidra Sandhu,6110191580402,03035060497,Balochistan,Hub,I-8,Apartment,252,33 Marla,2013,Rented,45031168,03035060497
Kamran Nawaz,S/O Arif Khan,6110129841605,03034285409,Balochistan,Quetta,Scheme 33,Apartment,247,94 Sq.Ft,2001,Mortgaged,1900448,03034285409
Tahir Sandhu,S/O Aamir Syed,2130185020467,03129499489,Azad Kashmir,Rawalakot,Township,House,833,82 Kanal,2011,Rented,8392674,03129499489
Qureshi Rafiq,S/O Asif Virk,5400011390276,03337028452,Balochistan,Quetta,PAF Colony,Residential Plot,285,83 Marla,2017,Rented,8841944,03112435132
احمد خان,S/O Nadia Bhatti,5400062923854,03321564961,Balochistan,Turbat,I-8,House,59,100 Sq.Ft,2001,Rented,8387895,03321564961
Shazia Rafiq,S/O Qureshi Gujjar,5400030908655,03127751158,Gilgit-Baltistan,Skardu,DHA,Apartment,545,51 Sq.Ft,2013,Owned,3370793,03127751158
Shazia Iqbal,S/O Rizwan Butt,4400050668167,03132993610,Punjab,Sialkot,DHA,Commercial Plot,450,88 Sq.Ft,2010,Sold,63715475,03132993610
Hashmi Hussain,S/O عمر شیخ,1330246409338,03111257256,Sindh,Mirpurkhas,I-8,Residential Plot,499,27 Kanal,2011,Mortgaged,8492706,03111257256
Nadia Bukhari,S/O Fatima Rizvi,1330236108663,03132266948,Azad Kashmir,Mirpur,Askari,Residential Plot,996,48 Sq.Ft,1997,Sold,6725249,03132266948
Malik Nawaz,S/O Rizwan Nawaz,4400063715401,03028482476,Balochistan,Quetta,E-11,House,952,76 Marla,2022,Owned,1668294,03028482476
Hina Mirza,S/O Hassan Gondal,4210187737413,03037469044,Balochistan,Turbat,E-11,Apartment,669,7 Sq.Ft,2007,Rented,11369127,03037469044
Asif Gujjar,S/O Kashif Hashmi,3520290342266,03012463174,Azad Kashmir,Rawalakot,Johar Town,Residential Plot,225,90 Sq.Ft,1997,Mortgaged,28446869,03012463174
Nadia Rafiq,S/O Muhammad Hashmi,5400082859268,03317036432,Punjab,Faisalabad,Model Town,House,414,86 Sq.Ft,2019,Mortgaged,10123372,03317036432
Rabia Rizvi,S/O Hussain Hashmi,3520252573956,03228981604,Azad Kashmir,Mirpur,North Nazimabad,Apartment,509,50 Sq.Ft,2011,Owned,8870532,03228981604
Ibrahim Virk,S/O Asma Chaudhry,4400097966058,03215577446,Punjab,Sialkot,Gulberg,Residential Plot,466,71 Sq.Ft,2013,Owned,1078865,03215577446
Salman Sheikh,S/O Shazia Bukhari,5400027245857,03311078278,Balochistan,Gwadar,PAF Colony,Apartment,639,100 Kanal,2001,Mortgaged,614642,03311078278
Fatma Hashmi,S/O Naeem Cheema,5400048597148,03121476798,Balochistan,Gwadar,Saddar,Residential Plot,989,98 Sq.Ft,2010,Owned,61657328,03312613702
Mirza Rizvi,S/O Sana Hameed,4210186737077,03024469681,Azad Kashmir,Rawalakot,Township,Apartment,424,4 Kanal,2022,Owned,2325450,03024469681
Rizwaan Sandhu,S/O Tariq Karim,4210162606966,03213615151,KPK,Kohat,E-11,House,905,41 Marla,1996,Mortgaged,2019950,03213615151
Fatima Cheema,S/O Fatima Raja,1330288185484,03225390014,Gilgit-Baltistan,Chilas,Township,Apartment,873,17 Kanal,2014,Sold,1116478,03225390014
