Owner_Name,Father_Name,CNIC,Car_Registration_Number,Model_Year,Car_Brand,Car_Model,Engine_Size_CC,Province,City,Estimated_Market_Value,Contact_No
Hashmi Khan,S/O Hussain Aslam,2130164714995,ISB-3338-N,2019,Audi,A3,3500,ICT,Islamabad,857500,03459767135
Uzma Gilani,S/O Asma Sandhu,5400023258936,MZD-1648-Y,2018,Audi,Q7,4000,Azad Kashmir,Rawalakot,1176000,03339037616
Naeem Raza,S/O Adnan Cheema,4210112791103,ISB-8472-K,2015,Suzuki,Cultus,660,ICT,Islamabad,241560,03337698366
Fatima Hameed,S/O S/O Tahir Abbasi,2130181091325,MZD-6678-D,2016,Suzuki,Bolan,2000,Azad Kashmir,Mirpur,,03316920939
Syed Bhatti,S/O Fatima Tarar,1330298011448,LHR-9409-A,2010,Suzuki,Swift,3000,Punjab,Bahawalpur,408000,03137700915
,S/O Baig Ali,,KHI-8284-O,2010,Honda,CR-V,2000,Sindh,Larkana,590000,03453727387
Nadia Rizvi,S/O Sana Ali,3520245023578,PES-463-K,2023,Hyundai,Santa Fe,1800,KPK,Kohat,423000,03139191008
Imran Baig,S/O S/O Muhammad Ansari,5400082500137,LHR-7954-O,2015,Honda,BR-V,1300,Punjab,Gujranwala,491400,03035669851
Raba Qureshi,S/O Rizwan Nawaz,4400084884958,PES-8165-E,2020,Hyundai,Sonata,1300,KPK,Kohat,349700,03315857486
Raja Bhatti,S/O Ali Jafri,4210172402672,LHR-7670-F,2013,Honda,City,1000,Punjab,Sialkot,226000,03134903872
Salman Iqbal,S/O Ayesha Rafiq,2130169507352,LHR-6987-F,2013,Honda,Civic,800,Punjab,Rawalpindi,,03036000408
M. Chattha,S/O Khalid Karim,3520280204127,PES-3816-Z,2005,Hyundai,Tucson,1500,KPK,Abbottabad,546000,03324840865
,S/O Usman Bukhari,4210167875921,GIL-8244-C,2018,Suzuki,Jimny,3000,Gilgit-Baltistan,Chilas,942000,03012947320
Rabia Hashmi,S/O Hassan Gondal,2130187379179,LHR-353-O,2008,Suzuki,Swift,2500,Punjab,Lahore,262500,03315051152
Mehwish Rana,S/O ابراہیم ملک,54000-5345777-6,MZD-9308-G,2012,Suzuki,Alto,1000,Azad Kashmir,Rawalakot,379000,03006114026
Kamran Mirza,S/O Chaudhry Malik,6110159775707,QTA-5758-M,2016,Suzuki,Bolan,660,Balochistan,Gwadar,159720,03216244702
A. Karim,S/O Sheikh Hameed,4400066801849,ISB-1990-S,2021,Hyundai,Sonata,1300,ICT,Islamabad,343200,03458373026
نادیہ رضا,S/O Kamran Raza,1330249479645,MZD-7461-Y,2011,Honda,City,1200,Azad Kashmir,Rawalakot,172800,03009805124
Nadia Rizvi,S/O Sana Ali,3520245023578,PES-9657-J,2016,Suzuki,Alto,660,KPK,Kohat,135960,03139191008
Sajid Butt,S/O Omar Butt,5400066744017,GIL-3796-U,2013,Suzuki,Alto,2500,Gilgit-Baltistan,Skardu,552500,03315622848
Arif Chattha,S/O Raja Cheema,3520284313374,PES-8979-O,2015,Honda,BR-V,2500,KPK,Bannu,367500,03221830765
,S/O Sajid Mirza,1330259247489,ISB-7598-D,2007,Suzuki,Jimny,1300,ICT,Islamabad,222300,03319527718
Mehwish Sheikh,S/O Hina Karim,5400015015988,GIL-8987-H,2011,Toyota,Yaris,1300,Gilgit-Baltistan,Gilgit,365300,03218414949
,S/O Qureshi Hameed,4210163006393,QTA-1677-J,2014,Toyota,Corolla,3000,Balochistan,Quetta,501000,03008687344
Ayesha Hashmi,S/O Hamid Rizvi,4400098460783,QTA-4220-I,2018,BMW,X5,4000,Balochistan,Khuzdar,516000,03005395559
Shoaib Latif,S/O Bilal Zaidi,4400070325083,LHR-5276-I,2022,Kia,Picanto,3000,Punjab,Sialkot,894000,03006687506
Kashif Abbasi,S/O Rukhsar Mirza,6110153872282,ISB-1214-V,2023,BMW,3 Series,4000,ICT,Islamabad,1396000,03019354503
Hamid Ansari,S/O عمر شیخ,1330243034932,KHI-5267-K,2016,Suzuki,Cultus,1500,Sindh,Larkana,592500,03021733340
Tahir Butt,S/O Bilal Gilani,4400031516101,MZD-5286-I,2007,Honda,CR-V,1500,Azad Kashmir,Muzaffarabad,528000,03221546310
Rukhsar Zaidi,S/O Naeem Karim,2130126516012,ISB-2541-W,2010,Hyundai,Tucson,2000,ICT,Islamabad,578000,03001771600
Uzmma Gujjar,S/O Sobia Naqvi,2130123298217,QTA-6768-A,2020,Honda,Civic,1500,Balochistan,Quetta,307500,03334748438
Imran Baig,S/O Raja Virk,5400021507804,MZD-1535-Z,2018,Suzuki,Wagon R,2000,Azad Kashmir,Rawalakot,768000,03331847445
Waseem Naqvi,S/O Rabia Chattha,2130161320016,LHR-5644-G,2006,Honda,City,1000,Punjab,Sargodha,211000,03034582498
Sana Khan,S/O Aamir Cheema,6110179253541,ISB-4627-V,2011,Toyota,Hilux,1800,ICT,Islamabad,284400,03322732796
Kashif Iqbal,S/O Mohammad Chattha,1330237704634,KHI-5102-M,2012,Honda,CR-V,2500,Sindh,Karachi,852500,03111053973
Amna Naqvi,S/O Shazia Malik,3520243493026,LHR-5612-T,2012,Hyundai,Tucson,1200,Punjab,Faisalabad,375600,03023943200
Ibrahim Raja,S/O Arif Hussain,4400039729633,MZD-3135-P,2018,Honda,HR-V,1200,Azad Kashmir,Mirpur,380400,03136399642
Hashmi Baig,S/O Asif Latif,2130142878338,PES-4565-L,2020,Suzuki,Jimny,1000,KPK,Kohat,400000,03128003166
Ahmed Zaidi,S/O Fatima Bukhari,3520274978773,PES-4938-T,2022,Audi,A3,2000,KPK,Bannu,716000,03024748410
Shoaib Hameed,S/O محمد علی,1330228637121,LHR-4010-E,2017,Toyota,Land Cruiser,1200,Punjab,Sargodha,307200,03017967211
Shoaib Gondal,S/O Ahmed Tarar,4210176363608,LHR-8016-I,2016,Kia,Carnival,2000,Punjab,Multan,286000,03455609881
Uzma Qureshi,S/O Imran Gujjar,4400027312814,ISB-3319-H,2013,Hyundai,Tucson,800,ICT,Islamabad,177600,03112284412
Naeem Chattha,S/O Iqra Chattha,1330246229932,ISB-6660-U,2008,Suzuki,Alto,3000,ICT,Islamabad,303000,03029531555
محمد حسن,S/O Ali Hashmi,3520279002048,MZD-8654-X,2022,Hyundai,Santa Fe,1000,Azad Kashmir,Rawalakot,148000,03326272037
Hamid Bukhari,S/O Arif Aslam,4400055005076,ISB-5940-G,2008,BMW,7 Series,3500,ICT,Islamabad,1358000,03137219629
Sheikh Tarar,S/O Ali Bhatti,1330269747251,ISB-8492-N,2017,Hyundai,Tucson,1600,ICT,Islamabad,513600,03011502801
Sajid Hameed,,4210197954184,QTA-5655-J,2005,Honda,BR-V,800,Balochistan,Khuzdar,284800,03122503148
Rabia Zaidi,S/O Naeem Qureshi,1330234185212,GIL-4989-X,2014,Suzuki,Bolan,2000,Gilgit-Baltistan,Gilgit,592000,03027923746
Kamran ySed,S/O Kashif Karim,2130179808802,GIL-1433-P,2007,Honda,CR-V,2000,Gilgit-Baltistan,Gilgit,456000,03117695885
Saira Cheema,S/O Ahmed Virk,5400016119999,KHI-1237-H,2009,Honda,Civic,660,Sindh,Nawabshah,82500,03138688119
Asma Chaudhry,S/O Raja Rafiq,4210154800978,MZD-3710-I,2005,Toyota,Fortuner,2500,Azad Kashmir,Mirpur,940000,03221240903
Sheikh Raja,S/O Syed Bukhari,2130199107437,ISB-4956-Y,2023,Audi,Q7,2000,ICT,Islamabad,766000,03219309504
Muhamamd Karim,S/O Usman Abbasi,2130133857457,LHR-2838-G,2008,BMW,7 Series,3000,Punjab,Sialkot,558000,03113938555
S. Sheikh,S/O Ali Virk,3520211322049,GIL-5635-E,2009,Toyota,Corolla,1600,Gilgit-Baltistan,Chilas,486400,03113169334
Naveed Gilani,S/O Sobia Nawaz,2130168077349,QTA-129-H,2013,Honda,Civic,1000,Sindh,Larkana,291000,03137350662
Omar Qureshi,S/O Tariq Raza,54000-4491484-5,KHI-1700-A,2018,Hyundai,Tucson,1300,Sindh,Nawabshah,375700,03328959326
Ali Laif,S/O Muhammad Malik,2130195065675,PES-6244-U,2009,Hyundai,Elantra,1600,KPK,Mingora,198400,03013153482
Faisal Malik,S/O Hamid Nawaz,6110131866354,LHR-4014-W,2006,Honda,Civic,1800,Punjab,Faisalabad,552600,03333620107
Uzma Hussain,S/O Nadia Chattha,4210196975463,MZD-7538-P,2007,Kia,Sportage,1000,Azad Kashmir,Rawalakot,251000,03456144033
Nadia Ahmed,S/O Naveed Aslam,4400048958661,GIL-1568-A,2023,Audi,Q7,3000,KPK,Mardan,954000,03012644876
Raja Rafiq,S/O Rukhsar Rana,61101-8816912-7,KHI-5964-G,2006,Audi,A4,3500,Sindh,Karachi,1011500,03131327691
Omar Chaudhry,S/O Khalid Tarar,4400076100173,KHI-448-D,2008,Toyota,Land Cruiser,800,ICT,Islamabad,104000,03221299209
R. Rana,S/O Baig Gilani,1330285164409,KHI-6911-L,2009,Toyota,Fortuner,1200,Sindh,Karachi,422400,03214345512
W. Karim,S/O Hina Jafri,4400025774399,LHR-4008-Y,2021,Hyundai,Tucson,1200,Punjab,Bahawalpur,448800,03128087865
Zubair Syed,S/O Rabia Syed,3520296898333,ISB-8104-E,2017,Hyundai,Elantra,660,ICT,Islamabad,218460,03031851580
Hina Hashmi,S/O Hassan Hameed,1330245402038,PES-5816-K,2022,Kia,Sportage,3000,KPK,Mingora,1188000,03008829012
Mirza Bukhari,S/O Shoaib Gilani,3520228812895,QTA-282-Z,2011,Honda,HR-V,1300,Balochistan,Turbat,133900,03225961687
Sana Bukhari,S/O Salman Sandhu,6110174897724,KHI-4116-N,2019,Kia,Stonic,1300,Sindh,Hyderabad,500500,03008462069
S. Abbasi,S/O Raja Syed,3520240357064,ISB-3444-O,2022,Kia,Picanto,800,ICT,Islamabad,280800,03466021483
Khalid Raja,S/O Sajid Rafiq,4210181001278,MZD-8858-C,2008,Honda,Civic,800,Sindh,Karachi,97600,03338333352
Saira Sandhu,S/O Malik Tarar,2130169236865,ISB-2465-K,2021,Kia,Stonic,800,ICT,Islamabad,288000,03218797486
Waseem Naqvi,S/O S/O عائشہ احمد,5400070821212,ISB-2274-P,2005,Kia,Stonic,3000,ICT,Islamabad,978000,03117258139
Iqra Cheema,S/O Asma Raza,5400028025831,GIL-8361-A,2012,Toyota,Camry,2500,Gilgit-Baltistan,Skardu,642500,03465142710
Shoaib Qureshi,S/O Usman Cheema,2130158438799,PES-3414-G,2006,Toyota,Corolla,1500,KPK,Abbottabad,241500,03327770519
علی حسین,S/O Sheikh Rafiq,1330241154993,PES-7525-B,2020,Suzuki,Wagon R,2000,KPK,Mardan,800000,
Kashif Hashmi,S/O Asma Bukhari,4210137212845,KHI-4820-Y,2018,Honda,HR-V,1500,Sindh,Karachi,511500,03318159756
Rabia Ali,S/O Usman Sheikh,4210173494624,ISB-1052-L,2011,Honda,HR-V,800,ICT,Islamabad,90400,03002713899
Ayesah Zaidi,S/O Chaudhry Chaudhry,4400048948356,PES-9259-F,2012,Toyota,Land Cruiser,2000,KPK,Bannu,508000,03126997504
Khalid Asari,S/O Aamir Malik,4400013865169,KHI-8869-Y,2018,Hyundai,Elantra,2500,Sindh,Karachi,402500,03467121849
Usman Rizvi,S/O Sidra Abbasi,5400045829201,LHR-2571-L,2008,Toyota,Corolla,3000,Punjab,Gujranwala,525000,03012306975
Hina Mirza,S/O Hassan Gondal,4210187737413,QTA-9518-M,2021,Toyota,Corolla,1800,Balochistan,Turbat,383400,03037469044
Arif Ahmed,S/O Omar Tarar,1330257777642,LHR-5472-M,2021,Audi,A4,3500,Punjab,Sialkot,458500,03137423351
,S/O Hassan Ahmed,,QTA-2562-M,2008,BMW,X5,2500,Balochistan,Gwadar,352500,03212023059
Moohammad Bukhari,S/O محمد احمد,3520250127364,ISB-1509-K,2007,Hyundai,Santa Fe,2500,ICT,Islamabad,495000,03115420739
Ali Syed,S/O Syed Karim,5400065515912,KHI-9471-W,2016,Kia,Sportage,1000,Sindh,Karachi,269000,03032361565
Rabia Syed,S/O Syed Gujjar,6110158750626,LHR-5820-D,2021,Honda,BR-V,1600,Punjab,Sialkot,496000,03332084532
Maryam Cheema,S/O Saira Rana,1330291207793,PES-682-W,2017,Honda,Civic,2000,KPK,Abbottabad,510000,03032279911
Asma Tarar,S/O صنا ملک,2130125173449,QTA-931-M,2016,Suzuki,Jimny,2000,Balochistan,Hub,738000,03333270069
Uzma Hussain,S/O Aamir Ahmed,5400079795714,GIL-9691-L,2019,Honda,Civic,2000,Gilgit-Baltistan,Gilgit,256000,03322111782
R. Ahmed,S/O Malik Jafri,5400039312641,QTA-2549-I,2021,Toyota,Yaris,1300,Balochistan,Hub,133900,03326442637
Hussain Raja,S/O Hina Ali,4210185084978,MZD-5146-N,2007,Hyundai,Tucson,800,Azad Kashmir,Mirpur,210400,03003852151
Khalid Latif,S/O Adnan Malik,2130193272413,KHI-4296-W,2016,Kia,Picanto,3000,Sindh,Larkana,1170000,03016370980
Nadia Ansari,S/O Sobia Gilani,5400072690027,PES-3127-O,2005,Kia,Picanto,1800,KPK,Mingora,644400,03329658236
Nadia Bhatti,S/O Muhammad Bukhari,4400071590851,PES-1053-H,2018,Suzuki,Jimny,2500,KPK,Abbottabad,937500,03229669883
Hamid Rizvi,S/O Sobia Karim,2130135692278,GIL-2045-D,2022,Toyota,Yaris,1500,Gilgit-Baltistan,Chilas,184500,03025812771
Naveed Hashmi,S/O Ayesha Mirza,5400024460608,QTA-7604-Q,2022,Toyota,Camry,1300,Balochistan,Khuzdar,322400,03319257506
Rabia Raza,S/O Uzma Gondal,1330263096583,PES-8767-F,2018,Audi,Q7,4000,KPK,Peshawar,1252000,03221237753
Zainab Karim,S/O Kamran Sheikh,1330251863321,QTA-8313-Y,2022,Audi,Q7,4000,Balochistan,Quetta,932000,03222033269
Bushra Akhtar,S/O Mehwish Bukhari,4400068133909,KHI-6712-H,2015,Kia,Carnival,1500,Sindh,Hyderabad,472500,03226447964
Mirza Hashmi,S/O Khalid Jafri,5400033868325,KHI-6304-L,2023,Honda,BR-V,1300,Punjab,Gujranwala,240500,03318337083
,S/O Noor Iqbal,6110188903169,ISB-5992-M,2006,Hyundai,Santa Fe,2500,ICT,Islamabad,645000,03023251525
,S/O Mehwish Chattha,1330294354127,KHI-254-L,2022,Toyota,Corolla,3000,Sindh,Karachi,801000,03035703613
Sajid Gilani,S/O Rizwan Virk,3520281300596,PES-6193-R,2009,Suzuki,Swift,2500,KPK,Mardan,942500,03117030812
S. Akhtar,S/O Sheikh Gilani,2130132865829,LHR-5884-G,2012,Kia,Stonic,1500,Punjab,Bahawalpur,438000,03328557629
Noor Gondal,S/O Qureshi Chaudhry,3520263660527,LHR-2674-G,2015,Hyundai,Tucson,1200,Punjab,Faisalabad,277200,03126237443
S. Malik,S/O Sheikh Bhatti,4400044076692,LHR-2380-B,2014,Honda,Civic,1200,Punjab,Rawalpindi,468000,03112284517
Hashmi Raza,S/O Chaudhry Karim,,KHI-1847-A,2021,Hyundai,Santa Fe,800,Sindh,Nawabshah,93600,03462066488
Rukhsar Syed,S/O Aamir Naqvi,3520234517746,PES-8456-G,2019,Hyundai,Sonata,800,KPK,Mingora,188800,03123739867
Rukhsar Ali,S/O Sana Syed,4400052732786,PES-700-W,2021,Hyundai,Tucson,800,KPK,Mardan,124000,03029593658
Khalid Mirza,S/O Hassan Qureshi,5400085269947,PES-4503-X,2019,Suzuki,Wagon R,3000,KPK,Mardan,321000,03324291026
ابراہیم ملک,S/O Hamid Ahmed,2130160307763,QTA-6644-X,2020,Honda,HR-V,1000,Balochistan,Gwadar,267000,
Omar Virk,S/O Shazia Abbasi,1330218660712,GIL-7197-J,2006,Kia,Sportage,800,Gilgit-Baltistan,Gilgit,129600,03027502314
Fatima Tarar,S/O S/O Raja Gujjar,4210124074203,QTA-3059-B,2005,Hyundai,Santa Fe,1600,Balochistan,Hub,376000,03454899524
Noor Ahmed,S/O Zubair Qureshi,4210146935078,KHI-6496-O,2015,Suzuki,Cultus,1800,Punjab,Multan,637200,03311270988
زینب علی,S/O Mirza Malik,4400086247527,LHR-8348-D,2008,Toyota,Yaris,3000,Punjab,Rawalpindi,999000,03033122388
Usman Ansari,S/O Khalid Ansari,3520286665314,ISB-7361-E,2023,Suzuki,Wagon R,1200,ICT,Islamabad,138000,03132152501
Maryam Zaiddi,S/O Kashif Sandhu,5400058541733,LHR-323-B,2013,Suzuki,Bolan,2500,Punjab,Multan,472500,03452088575
Aamir Bukhari,S/O Hassan Iqbal,4210168396601,PES-5274-X,2018,Honda,City,800,KPK,Peshawar,147200,03456638633
Waseem Chaudhry,S/O S/O Usman Syed,6110187368869,KHI-1013-H,2006,Honda,City,1800,Sindh,Larkana,180000,03228413874
Chaudhry Latif,S/O Tahir Chaudhry,5400017318156,KHI-6890-N,2007,Kia,Picanto,1000,Sindh,Karachi,224000,03003284457
Tariq Hussain,S/O Hussain Abbasi,4400077565866,LHR-8574-N,2015,Honda,BR-V,1000,Punjab,Sargodha,274000,03311491621
A. Raza,S/O Shoaib Aslam,3520226633616,LHR-1565-E,2010,Kia,Stonic,1000,Punjab,Sargodha,300000,03452625330
محمد علی,S/O Zubair Bhatti,6110158696457,LHR-5433-L,2022,Hyundai,Tucson,1800,Punjab,Multan,505800,03023034798
Adnan Hameed,S/O Usman Ahmed,1330237453297,MZD-1818-U,2019,Suzuki,Alto,2000,Azad Kashmir,Muzaffarabad,390000,03013292068
Zubair Butt,S/O Ahmed Sheikh,2130176790632,GIL-1806-X,2018,Honda,HR-V,2000,Gilgit-Baltistan,Chilas,538000,03218835537
Mohammad Nawaz,S/O Sajid Baig,2130158962423,GIL-4623-R,2018,Toyota,Corolla,1500,Gilgit-Baltistan,Skardu,423000,03325316391
Sana Bhatti,S/O Zainab Hussain,2130141175334,QTA-256-N,2018,Kia,Picanto,1000,Balochistan,Gwadar,394000,
Ayesha Syed,S/O Waseem Nawaz,1330218595639,LHR-4440-N,2019,Suzuki,Swift,660,Punjab,Lahore,192720,03034658293
Arif Mirza,,,KHI-5107-Q,2019,Toyota,Yaris,1200,Sindh,Larkana,136800,03025621484
Zubair Hussain,S/O Muhammad Bhatti,3520292792719,LHR-8317-O,2021,Honda,Civic,2000,Punjab,Lahore,220000,03468693233
Hina Tarar,S/O Naeem Cheema,6110197393597,ISB-2470-D,2006,Toyota,Hilux,800,ICT,Islamabad,96800,03131136833
Nadia Sheikh,S/O Iqra Rizvi,3520236634442,ISB-5646-U,2014,Kia,Carnival,660,ICT,Islamabad,192060,03112329684
Iqra Ali,S/O Sheikh Bhatti,2130194663154,KHI-6674-Y,2007,Honda,BR-V,1800,Sindh,Nawabshah,279000,03331700187
عائشہ احمد,S/O Bushra Aslam,3520272898749,QTA-7125-F,2023,Toyota,Camry,1200,Punjab,Lahore,,03456468795
Aamir Naqvi,S/O S/O Imran Nawaz,2130139342179,QTA-3924-H,2013,Suzuki,Alto,660,Balochistan,Hub,133980,03119230660
Ayesha Ansari,S/O Mohammad Cheema,1330211271653,MZD-5458-S,2010,Hyundai,Sonata,1300,ICT,Islamabad,167700,03329701029
Arif Virk,S/O Ibrahim Hussain,2130119089715,GIL-1523-X,2023,Suzuki,Wagon R,660,Gilgit-Baltistan,Gilgit,259380,03021751672
Hussain Aslam,S/O S/O Imran Hashmi,13302-1582647-9,ISB-5964-N,2007,Honda,City,800,ICT,Islamabad,289600,03034233407
Waseem Latif,S/O Kashif Abbasi,1330252772083,LHR-2132-W,2023,Hyundai,Santa Fe,2000,Punjab,Rawalpindi,756000,03458807275
Mewish Raja,S/O Nadia Sheikh,,ISB-5191-B,2006,Honda,HR-V,1600,ICT,Islamabad,219200,03455731957
Rabia Zaidi,S/O Muhammad Zaidi,44000-5712823-9,GIL-7674-B,2017,Suzuki,Alto,2500,Gilgit-Baltistan,Gilgit,,03338361659
Imran Aslam,S/O Usman Akhtar,5400068874791,PES-2254-X,2023,Suzuki,Wagon R,3000,KPK,Peshawar,537000,
R. Hashmi,S/O Sajid Tarar,5400059416562,LHR-4065-R,2017,Suzuki,Cultus,3000,Punjab,Lahore,444000,03464250066
Maryam Zaidi,S/O Bilal Iqbal,3520249519602,MZD-9823-U,2008,Toyota,Corolla,1000,ICT,Islamabad,142000,
م. چودھری,S/O Syed Gilani,4210120110487,QTA-7174-O,2014,Hyundai,Tucson,3000,Balochistan,Hub,,03012619386
Arif Jafri,S/O Naeem Chattha,2130147765387,MZD-3135-H,2016,Hyundai,Sonata,2500,Azad Kashmir,Muzaffarabad,400000,03468540619
Kashif Abbasi,S/O Faisal Bhatti,4210152121239,KHI-3998-K,2020,Kia,Picanto,2500,Sindh,Larkana,977500,03332182736
