Name,Father_Name,CNIC,Annual_Recharge_Amount,Phone_Number,City,Province
Saira Sandhu,S/O Malik Tarar,2130169236865,67751,03218797486,Islamabad,ICT
Usman Bhatti,S/O Sana Tarar,21301-6522081-2,19161,03211369718,Rawalakot,Azad Kashmir
Nadia Syed,,4400069073596,42441,03452126668,Muzaffarabad,Azad Kashmir
Sajid Malik,S/O Muhammad Raza,1330243115932,11811,,Sargodha,Punjab
Rizwan Rizvi,S/O Fatima Karim,5400056850495,25365,03033440745,Islamabad,ICT
Adnan Khan,S/O Naveed Zaidi,4400041635874,14010,03117323816,Larkana,Sindh
Faisal Khan,S/O Ahmed Zaidi,3520261556148,15681,03329593837,Rawalakot,Azad Kashmir
Bilal Karim,S/O Rabia Abbasi,5400088338336,12738,03323199725,Turbat,Balochistan
Kashif Nawaz,S/O S/O Hassan Raza,4210119172386,1641,03316628280,Skardu,Gilgit-Baltistan
Bushra Bhatti,S/O Ahmed Cheema,4400051626203,14345,03224760289,Bannu,KPK
Naeem Gujjar,S/O S/O Salman Rana,4210172764795,1767,03124861738,Islamabad,ICT
Amna sAlam,S/O Fatima Hameed,2130127163915,21212,03021569674,Skardu,Gilgit-Baltistan
Hassan Rafiq,S/O Faisal Sandhu,2130117214265,106456,03339470972,Multan,Punjab
Asma Syed,S/O Ali Aslam,6110124273887,59158,03453262755,Larkana,Sindh
Baig Malik,S/O Sajid Malik,1330240913046,11393,03325262432,Mirpur,Azad Kashmir
,S/O Mehwish Ansari,4210189637822,47815,03331024829,Nawabshah,Sindh
Noor Cheema,S/O Muhammad Sandhu,5400051919647,100239,03225328934,Islamabad,ICT
صنا ملک,S/O Rabia Hashmi,2130174558795,12656,03031808402,Turbat,Balochistan
Mehwish Rizvi,,2130164813634,53666,03219587550,Rawalpindi,Punjab
Hashmi Naqvi,S/O Hashmi Syed,2130175005482,103620,03331510014,Rawalakot,Azad Kashmir
زینب علی,S/O Mirza Malik,4400086247527,59826,03033122388,Rawalpindi,Punjab
Hamid Syed,S/O Tahir Rizvi,4400072942187,43001,03007617268,Quetta,Balochistan
Adnan Aslam,S/O Omar Chaudhry,1330216649414,8618,03333734506,Mingora,KPK
Hamid Akhtar,S/O Asma Nawaz,2130140018413,40363,03112214176,Peshawar,KPK
Sobia Raja,S/O Shoaib Sheikh,4400015139942,110504,03124308012,Chilas,Gilgit-Baltistan
Noor Jafri,S/O Shoaib Latif,4400063432905,42732,03315107483,Kohat,KPK
Shoaib Sandhu,S/O Chaudhry Tarar,4210159225379,60948,03134149428,Mirpur,Azad Kashmir
محمد احمد,S/O Hashmi Ansari,4210172433554,194127,03311727920,Bahawalpur,Punjab
Asif Sandhu,S/O Tahir Baig,1330250095489,3304,03025500547,Peshawar,KPK
ابراہیم ملک,S/O Khalid Akhtar,1330272919439,31637,03326433875,Gwadar,Balochistan
Chaudhry Rizvi,S/O Hussain Hussain,4400071788605,2612,03033936857,Peshawar,KPK
Bushra Gondal,S/O Maryam Rafiq,6110111576628,35346,03022239197,Karachi,Sindh
Mohammad Chattha,S/O Adnan Qureshi,4400075559553,35178,03324128733,Islamabad,ICT
Mohammad Gilani,S/O Hina Bukhari,5400078579251,278143,03212552142,Rawalakot,Azad Kashmir
Asif Virk,S/O Aamir Akhtar,4400016345637,45182,03126564426,Gilgit,Gilgit-Baltistan
Hamid Ansari,S/O Iqra Akhtar,2130154309625,46429,03027287843,Skardu,Gilgit-Baltistan
Bushra Jafri,S/O Hashmi Chaudhry,5400082788526,24187,03036740847,Kohat,KPK
Hashmi Butt,S/O Imran Abbasi,3520270116351,24977,03452657259,Islamabad,ICT
Hina Ali,S/O Ayesha Iqbal,4400022633765,31649,03311395428,Gilgit,Gilgit-Baltistan
,S/O Ahmed Gujjar,2130199512723,95130,03035875144,Gilgit,Gilgit-Baltistan
Hassa nRafiq,S/O Imran Bukhari,1330244635056,120010,03456061591,Chilas,Gilgit-Baltistan
Sana Bhatti,S/O Iqra Mirza,4400055402419,115354,03038725879,Khuzdar,Balochistan
Hashmi Raza,S/O محمد حسن,6110194255498,9930,03134832153,Mirpur,Azad Kashmir
Usman Ansari,S/O Khalid Ansari,3520286665314,37787,03132152501,Chilas,Gilgit-Baltistan
Waseem Naqvi,S/O زینب علی,4400088206724,12909,03463965194,Mirpur,Azad Kashmir
Rukhsar Nawaz,S/O Hamid Latif,4210128914605,26711,03012219563,Hub,Balochistan
Asma Hussain,S/O Sana Syed,,1768,03009226484,Chilas,Gilgit-Baltistan
Kashif Tarar,S/O Hina Rizvi,1330283814778,148378,03014762206,Karachi,Sindh
Hashmi Gondal,S/O Sidra Nawaz,6110156541546,22448,03007882444,Karachi,Sindh
Baig Gujjar,S/O Ahmed Mirza,6110173766126,13479,03317216315,Karachi,Sindh
Zubair Butt,S/O Ahmed Sheikh,2130176790632,17590,03218835537,Chilas,Gilgit-Baltistan
نادیہ راض,S/O Hassan Ahmed,3520263498774,574472,03455713268,Hub,Balochistan
Ibrahim Butt,S/O Hassan Cheema,5400072716326,5147,03113141911,Muzaffarabad,Azad Kashmir
Tariq Rafiq,S/O Ayesha Gondal,4210129614739,39364,03038996007,Skardu,Gilgit-Baltistan
Mehwish Iqbal,S/O Imran Syed,4210184475466,17191,03318297090,Abbottabad,KPK
Ali Syed,S/O Bushra Qureshi,3520227363813,26070,03125866606,Mardan,KPK
Khalid Khan,S/O Hussain Akhtar,,6118,03224507245,Skardu,Gilgit-Baltistan
Ali Rafiq,S/O Nadia Tarar,5400083464262,16379,03117017650,Sialkot,Punjab
Asma Mirza,,5400071411662,84860,03228323766,Nawabshah,Sindh
Zubair Gilani,S/O Fatima Hussain,2130198395212,55597,03032290704,Abbottabad,KPK
Mohammad Gondal,S/O Hamid Raja,3520264700113,121092,03136505618,Mirpurkhas,Sindh
Imran Ansari,S/O Adnan Ali,4400012236606,22643,03036870916,Turbat,Balochistan
Kamran Bhatti,,2130166379557,27724,03217656363,Quetta,Balochistan
عمر شیخ,S/O Sheikh Naqvi,4400091623008,,03037612695,Mardan,KPK
Adnan Naqvi,S/O Maryam Sandhu,5400071297984,36800,03455042799,Islamabad,ICT
Sana Jafri,S/O Maryam Gondal,5400091047181,11313,03017508433,Islamabad,ICT
Asma Sandhu,S/O Zubair Syed,4210137220563,12008,03453777286,Muzaffarabad,Azad Kashmir
Sobia Raza,,1330255322071,11426,03226546311,Islamabad,ICT
Amna Raja,S/O Tahir Bukhari,4210181073421,6890,03461902591,Bannu,KPK
Sidra Iqbal,S/O Bushra Gondal,4210197139487,131917,03228393475,Gilgit,Gilgit-Baltistan
Rukhsar Bukhari,S/O Syed Jafri,4210116026014,37139,03456697928,Karachi,Sindh
Aamir Karim,S/O Sheikh Hameed,4400066801849,64695,03458373026,Islamabad,ICT
,S/O Ayesha Butt,,20242,03004394845,Islamabad,ICT
Usman Malik,S/O Fatima Akhtar,3520269757213,14862,03029113207,Muzaffarabad,Azad Kashmir
Asif Rizvi,S/O نادیہ رضا,4400070624681,12083,03218537871,Muzaffarabad,Azad Kashmir
Omar Karim,S/O Sidra Ahmed,2130181922117,5012,03212024902,Khuzdar,Balochistan
فاطمہ خان,S/O Ali Bhatti,4210141927272,89462,03018530924,Multan,Punjab
Hussain Khan,S/O Sajid Syed,6110180404805,257078,03019146156,Gwadar,Balochistan
محمد علی,S/O Tariq Qureshi,5400051936085,35468,03458462902,Mirpurkhas,Sindh
Maryam Aslam,S/O S/O Sobia Hameed,1330243710815,3323,03138300418,Abbottabad,KPK
Hashmi Gilani,,4210146477157,53776,03012736164,Gilgit,Gilgit-Baltistan
Amna Akhtar,S/O Aamir Zaidi,4400092818221,14935,03311044315,Chilas,Gilgit-Baltistan
Kashif Baig,S/O Kamran Naqvi,4210191828917,99673,03229343712,Rawalpindi,Punjab
Iqra Abbasi,S/O Asma Chaudhry,3520266558035,87481,03027802999,Chilas,Gilgit-Baltistan
Bushra Abbasi,S/O Usman Tarar,5400087147433,6768,03008367639,Bannu,KPK
Ali Baig,S/O Hashmi Raza,4400022504347,26935,92-301-3919842,Islamabad,ICT
Salman Ansari,S/O S/O Tahir Akhtar,3520226855243,2002,03453345961,Muzaffarabad,Azad Kashmir
Muhammad Akhtar,S/O Chaudhry Chattha,3520214776131,79887,03116883433,Gilgit,Gilgit-Baltistan
Asma Rizvi,S/O Iqra Raja,2130117333722,21866,03462605210,Larkana,Sindh
Zainab Virk,S/O Kashif Rafiq,1330225105388,38727,03467812225,Mirpur,Azad Kashmir
Hussain Bukhari,S/O Mehwish Gilani,2130139218427,9667,03453652450,Faisalabad,Punjab
Nadia Khan,S/O Saira Jafri,4210184905047,25515,03469827228,Larkana,Sindh
Raja Jafri,S/O صنا ملک,6110135558263,7466,03027373024,Chilas,Gilgit-Baltistan
Muhammad Ahmed,S/O Chaudhry Gondal,4210114368878,22652,03027587563,Mirpur,Azad Kashmir
Khalid Karim,S/O Fatima Ali,5400017791836,21992,03331116384,Mingora,KPK
Sobia Sheikh,S/O Hina Rizvi,3520224181545,33567,03016571507,Larkana,Sindh
Hussain Sandhu,S/O Mohammad Mirza,3520223991545,9685,03324353703,Sukkur,Sindh
,S/O Ayesha Karim,5400027357801,22069,03114793141,Larkana,Sindh
Sana Hameed,S/O Naeem Gujjar,4400095737293,71262,03028675147,Mardan,KPK
Hassan Hameed,S/O Qureshi Virk,5400048315516,43071,03326423821,Mirpurkhas,Sindh
Fasial Rana,S/O ابراہیم ملک,2130170016042,16548,03036797587,Sialkot,Punjab
محمد علی,S/O Shoaib Rafiq,3520212883189,23051,03004579217,Muzaffarabad,Azad Kashmir
Mohammad Sheikh,S/O Maryam Aslam,6110113710908,,03221377555,Mingora,KPK
Mirza Baig,S/O Malik Syed,2130189787795,91642,03017634507,Nawabshah,Sindh
Mohammad Hussain,S/O Bushra Qureshi,2130138794454,113104,03133582440,Hyderabad,Sindh
Malik Syed,S/O Ali Qureshi,1330247846525,41947,03027048956,Karachi,Sindh
Imran Bukhari,S/O Omar Gujjar,6110187195845,52208,,Islamabad,ICT
احمد خان,S/O Hina Baig,1330263167128,17496,03337714590,Skardu,Gilgit-Baltistan
Khalid Butt,S/O Naveed Raja,2130176579678,91415,03451010029,Quetta,Balochistan
Tariq Rizvi,S/O Malik Cheema,4210143166453,39132,03013774219,Chilas,Gilgit-Baltistan
Shoaib Ali,S/O Waseem Cheema,6110179182555,13822,03213531523,Islamabad,ICT
Usman Zaidi,S/O Amna Malik,6110186660568,12086,03012932733,Sialkot,Punjab
Noor Tarar,S/O Arif Bukhari,2130167499739,32522,03113483192,Rawalakot,Azad Kashmir
Rukhsar Ahmed,S/O S/O Rukhsar Sandhu,2130198382221,6334,03111890622,Abbottabad,KPK
Malik Qureshi,S/O Rabia Chaudhry,2130174999498,29560,03018677108,Rawalakot,Azad Kashmir
Waseem Chaudhry,S/O Baig Abbasi,5400033365258,23984,03451984126,Peshawar,KPK
Ahmed Karim,S/O Adnan Tarar,4400085890327,9855,03312149603,Sialkot,Punjab
Ali Bukhari,S/O نادیہ رضا,2130110578644,49899,03131579706,Kohat,KPK
Rukhsar Rafiq,S/O Imran Zaidi,6110175084857,45409,03122551663,Turbat,Balochistan
Hashmi Sandhu,S/O Zainab Latif,5400073907266,69566,03314987189,Gujranwala,Punjab
Salman Chattha,S/O Aamir Ali,4400065477509,47917,03036565693,Rawalakot,Azad Kashmir
Waseem Rana,S/O احمد خان,4210155393412,9225,03131734109,Bahawalpur,Punjab
Shoaib Ansari,S/O Amna Mirza,4210136109294,6351,03226145341,Rawalakot,Azad Kashmir
Hina Hameed,S/O Nadia Tarar,3520249940326,30494,03128671895,Muzaffarabad,Azad Kashmir
Syed Hameed,S/O Baig Rafiq,1330246648665,29574,03316657553,Rawalakot,Azad Kashmir
,S/O Tariq Rizvi,2130132485811,44017,03001503689,Bannu,KPK
Ahmed Latif,S/O Shoaib Gujjar,6110143096524,25539,03222732472,Rawalpindi,Punjab
Sobia Iqbal,S/O Sidra Qureshi,5400016881612,11514,03468244164,Muzaffarabad,Azad Kashmir
Asma Mirza,S/O مریم چودھری,6110148439149,64831,03326435127,Karachi,Sindh
Mehwish Sheikh,S/O Ayesha Tarar,1330280256551,34900,03315816411,Rawalpindi,Punjab
Tahir Malik,S/O Shazia Mirza,2130117998242,7738,03123757212,Mingora,KPK
Asma Gondal,S/O Bushra Jafri,61101-5603547-2,35496,03116662853,Hub,Balochistan
Shazia Zaidi,S/O Mirza Hameed,5400045661167,,03465655218,Mirpur,Azad Kashmir
Nadia Zaidi,S/O Bilal Gilani,1330298741521,2852,03322737893,Turbat,Balochistan
Bushra Ansari,S/O Adnan Mirza,4210198754193,1581,03136028293,Karachi,Sindh
Tahir Jafri,S/O Hashmi Nawaz,2130178597798,9411,03459004511,Hub,Balochistan
Naeem Hameed,S/O Asif Hussain,1330262066647,58183,03006027375,Islamabad,ICT
Mehwish Baig,S/O Amna Cheema,3520289225329,52855,03127746390,Gilgit,Gilgit-Baltistan
Ibrahim Ansari,S/O Ahmed Rizvi,4210117812172,13588,03112889341,Islamabad,ICT
Tahir Naqvi,S/O محمد حسن,6110198184059,5973,03018714571,Chilas,Gilgit-Baltistan
Amna Hameed,S/O Shazia Butt,1330285000078,24784,03018964761,Bahawalpur,Punjab
Rabia Naqvi,S/O Naveed Ali,1330246102869,9870,03027675002,Mirpurkhas,Sindh
Hassan Aslam,,3520252358848,366528,,Gujranwala,Punjab
Salman Rana,S/O Ibrahim Sheikh,3520214568322,25500,03313873929,Islamabad,ICT
Rizwan Zaidi,S/O Ibrahim Aslam,3520214920911,49267,03008825067,Gwadar,Balochistan
Zainab Rizvi,S/O Faisal Khan,5400056254982,63264,03459397114,Islamabad,ICT
Raja Zaidi,S/O Zainab Syed,4210133354846,27533,03226385396,Gilgit,Gilgit-Baltistan
Asma Jafri,S/O مریم چودھری,4400011930984,41210,03117656661,Chilas,Gilgit-Baltistan
Ali Rizvi,S/O Noor Hameed,4210183818001,612044,03021601668,Lahore,Punjab
Hussain Raza,S/O Hashmi Chattha,2130196886114,76591,03004993355,Karachi,Sindh
عمر شیخ,S/O Hassan Iqbal,2130174128624,15161,03338530043,Larkana,Sindh
Tahir Bukhari,S/O Aamir Rizvi,6110171921392,24237,03124055449,Peshawar,KPK
Kamran Nawaz,S/O Bushra Ansari,4210132840333,58101,03025735564,Skardu,Gilgit-Baltistan
Sajid Zaidi,S/O S/O Malik Karim,4210116895439,49549,03316821657,Skardu,Gilgit-Baltistan
Aamir Chtatha,S/O Sana Qureshi,2130137687178,41402,03311004433,Quetta,Balochistan
Ibrhim Virk,S/O Asma Chaudhry,4400097966058,9718,03215577446,Sialkot,Punjab
Sidra Tarar,S/O عمر شیخ,6110130269242,33835,03037908592,Islamabad,ICT
Imran Gujjar,S/O Usman Gilani,4210151536322,9083,03332742713,Gilgit,Gilgit-Baltistan
Bilal Khan,S/O Syed Rana,6110160302157,,03458836901,Muzaffarabad,Azad Kashmir
Tariq Qureshi,,2130120084182,38087,03002653227,Nawabshah,Sindh
Arif Ali,S/O Noor Virk,5400083259205,58761,03036304667,Bahawalpur,Punjab
,S/O Sajid Mirza,1330227631052,14562,03113601577,Peshawar,KPK
Mohammad Tarar,S/O Ibrahim Nawaz,2130173647688,34797,03337079798,Hub,Balochistan
Sidra Virk,S/O Sana Cheema,5400079159562,460486,03028700274,Faisalabad,Punjab
Khalid Ahmed,S/O Nadia Ansari,5400046307636,86086,03212058156,Rawalakot,Azad Kashmir
Hussain Latif,S/O Faisal Sandhu,3520249763713,8616,03215682239,Islamabad,ICT
Salman Bukhai,S/O Sobia Karim,6110151187252,167631,03458796514,Mirpurkhas,Sindh
Ali Rizvi,S/O Mirza Sheikh,2130176786602,8627,03138711478,Sialkot,Punjab
عمر شیخ,S/O Tariq Gujjar,2130158550149,11819,03218115230,Chilas,Gilgit-Baltistan
,S/O Chaudhry Chattha,3520282926472,8436,03129191471,Abbottabad,KPK
Maryam Aslam,S/O S/O Sobia Hameed,1330243710815,2072,03138300418,Abbottabad,KPK
,S/O Mohammad Khan,6110142862398,9573,03006615147,Khuzdar,Balochistan
,S/O Baig Mirza,2130154622336,27776,03025339934,Larkana,Sindh
Mehwish Chaudhry,S/O Bushra Butt,5400055829508,8806,03211822483,Skardu,Gilgit-Baltistan
Hamid Rafiq,S/O ابراہیم ملک,5400066756569,14075,03034059125,Khuzdar,Balochistan
Sana Aslam,S/O Hamid Hashmi,2130137378456,63504,03218731123,Quetta,Balochistan
Kashif Rizvi,S/O صنا ملک,6110162346724,26562,03312119802,Kohat,KPK
Sana Hussain,S/O Khalid Bukhari,4400050344537,3569,03133347981,Mirpur,Azad Kashmir
Asif Nawaz,S/O Qureshi Raja,3520240968078,335180,03004281540,Sargodha,Punjab
Usman Hameed,S/O Hina Gilani,1330275721951,11558,03139316519,Islamabad,ICT
صنا ملک,S/O Rukhsar Gilani,4400095364502,28609,03005163789,Islamabad,ICT
Hashmi Qureshi,S/O S/O Shoaib Bukhari,4210115933029,13611,03136367620,Rawalakot,Azad Kashmir
Arif  Virk,S/O Rukhsar Karim,1330230866041,14991,03007849349,Mardan,KPK
,S/O Uzma Ahmed,6110174794165,23514,03031073332,Mardan,KPK
Imran Bukhari,S/O Ahmed Gondal,6110197977501,24225,03121870268,Skardu,Gilgit-Baltistan
Sana Gondal,,4210120794214,42181,03112270746,Mingora,KPK
Bushra Gondal,S/O Asma Sandhu,6110155878565,157192,03137619156,Islamabad,ICT
Fatima Rafiq,S/O Raja Rafiq,5400081038458,1049,03463732048,Larkana,Sindh
ابراہیم ملک,S/O Sidra Malik,1330297365105,113195,03033573901,Islamabad,ICT
Iqra Hashmi,S/O Sana Bhatti,1330287220752,11609,03033673316,Gujranwala,Punjab
Raja Hussain,S/O Bilal Naqvi,,134397,03338086125,Turbat,Balochistan
,S/O Usman Ahmed,4210196790864,34412,03013960437,Muzaffarabad,Azad Kashmir
Rabia Ali,S/O Muhammad Sandhu,4400030247251,7507,03312984167,Karachi,Sindh
Uzma Hussain,S/O Muhammad Sheikh,5400013637113,20425,03132668494,Gwadar,Balochistan
Asma Rizvi,S/O Iqra Raja,2130117333722,23653,03462605210,Larkana,Sindh
Shoaib Akhtar,S/O Tahir Sandhu,1330211611809,43681,03463015336,Bahawalpur,Punjab
Rukhsar Bukhari,S/O Hashmi Abbasi,1330241684366,20466,03135619072,Sargodha,Punjab
Sheikh Malik,S/O Aamir Karim,4210175045174,17553,03125981736,Gilgit,Gilgit-Baltistan
Arif Bhatti,S/O Saira Baig,5400049360741,16848,03025363341,Bannu,KPK
Raia Latif,S/O Iqra Aslam,1330299559292,7972,03468555354,Islamabad,ICT
Raja Raja,S/O Chaudhry Nawaz,3520270300607,34665,03014135173,Islamabad,ICT
Mehwish Malik,S/O Qureshi Malik,3520233308706,4103,03338827320,Islamabad,ICT
Hashmi Syed,S/O Rukhsar Raza,4400047480254,17161,03032438025,Mirpur,Azad Kashmir
Amna Gilani,S/O Maryam Rafiq,4210169109644,2932,03323294774,Karachi,Sindh
Naeem Karim,S/O Hassan Malik,4210123963529,8768,03464399222,Muzaffarabad,Azad Kashmir
Amna Latif,S/O Rukhsar Aslam,4210131814075,2814,03138415493,Islamabad,ICT
Bilal Naqvi,S/O S/O زینب علی,1330234312126,29708,03001917249,Turbat,Balochistan
Sajid Aslam,S/O Amna Syed,5400021433801,56440,03133208016,Mirpur,Azad Kashmir
Malik aZidi,S/O Naveed Ahmed,1330215277658,16628,03337462043,Mardan,KPK
Salman Karim,S/O Arif Latif,1330271302738,18298,03019538403,Skardu,Gilgit-Baltistan
Hashmi Mirza,S/O Rabia Sandhu,5400086624335,153106,03018416190,Sialkot,Punjab
Sheikh Hashmi,S/O Mehwish Raza,6110189795908,21479,03001787148,Skardu,Gilgit-Baltistan
Hussain Sheikh,S/O Asif Cheema,4400074454145,31449,03117441381,Turbat,Balochistan
Ayesha Gilani,S/O Muhammad Gilani,6110192814018,29357,03005237282,Islamabad,ICT
Hina Sheikh,S/O Uzma Syed,35202-9634692-5,46292,03139145474,Lahore,Punjab
Asif Bukhari,S/O Zubair Khan,4210127390238,37333,03469071084,Rawalakot,Azad Kashmir
Imran Mirza,S/O Hassan Bukhari,4400015372436,142149,03037344538,Mirpur,Azad Kashmir
Sana Latif,S/O Zubair Cheema,4400041202771,31856,03314605581,Quetta,Balochistan
Naeem Rizvi,S/O Zubair Latif,4210112876584,,03229551308,Gilgit,Gilgit-Baltistan
Hashmi Gilani,S/O Naveed Virk,2130193127267,431929,03112105745,Gilgit,Gilgit-Baltistan
Asif Latif,S/O Sidra Gilani,2130182281283,3064,03116111364,Turbat,Balochistan
Imran Akhtar,S/O Aamir Gujjar,5400017613739,4604,03035386747,Khuzdar,Balochistan
Raja Akhtar,S/O Waseem Akhtar,6110186215201,35889,03001386023,Mingora,KPK
Hussain Baig,S/O Tahir Hashmi,4210150264097,7778,03216711907,Sukkur,Sindh
Hussain Gondal,S/O Hamid Virk,4400040201225,4621,03034107481,Islamabad,ICT
Asif Sheikh,S/O Adnan Hussain,1330293873487,47706,03229768152,Islamabad,ICT
Ayesha Karim,S/O Iqra Akhtar,6110163359448,37615,03007657632,Sialkot,Punjab
Usman Raja,S/O Mirza Naqvi,2130124013106,55611,03026342219,Faisalabad,Punjab
Sidra Iqbal,S/O Ayesha Jafri,3520259241427,8236,03462682370,Islamabad,ICT
Bilal Butt,S/O Hussain Syed,6110177864165,24450,03227441237,Sukkur,Sindh
Shazia Butt,S/O Aamir Chaudhry,2130142522817,20578,03018640618,Skardu,Gilgit-Baltistan
Chaudhry Hashmi,S/O Hina Malik,4210159550894,25649,03121768857,Gilgit,Gilgit-Baltistan
Bushra Aslam,S/O Shoaib Jafri,5400064038864,22642,03213385244,Gilgit,Gilgit-Baltistan
Shazia Qureshi,S/O Shoaib Tarar,2130149022357,68060,03327855263,Nawabshah,Sindh
Mehwish Raja,S/O Zubair Aslam,4210183767685,18519,03228794655,Karachi,Sindh
Arif Ahmed,S/O Rabia Gilani,2130112751657,18040,,Islamabad,ICT
Sidra Naqvi,S/O Tariq Syed,2130166688629,69105,03226696472,Chilas,Gilgit-Baltistan
Rizwaan Gujjar,S/O Baig Baig,2130138310226,33723,03457135890,Bannu,KPK
Imran Raja,S/O Hashmi Baig,6110199618117,152638,03015311879,Multan,Punjab
Mehwish Hashmi,S/O Qureshi Tarar,4210118417834,12377,03214495412,Mingora,KPK
Sana Bhatti,S/O Ayesha Chaudhry,2130120379584,11556,03457625083,Larkana,Sindh
Tahir Ahmed,S/O Shoaib Bhatti,2130135244527,15744,03007423587,Gilgit,Gilgit-Baltistan
Aamir  Tarar,S/O Malik Bhatti,5400033194954,28490,,Lahore,Punjab
Qureshi Hameed,S/O Hussain Hameed,2130171940146,297563,03464734391,Lahore,Punjab
Bushra Qureshi,S/O Hassan Ali,6110118368407,52092,03312580209,Sargodha,Punjab
Bilal Nawaz,S/O S/O Uzma Hussain,,16160,03453450300,Sialkot,Punjab
Raja Abbasi,S/O عمر شیخ,2130172256472,398577,03005504038,Bannu,KPK
Omar Gilani,S/O Rizwan Syed,,53509,03456777913,Sargodha,Punjab
Uzma Nawaz,S/O Naeem Baig,2130163771435,177408,03464227225,Mirpurkhas,Sindh
Kashif Iqbal,S/O Naeem Malik,2130179348653,177101,03227653299,Rawalakot,Azad Kashmir
Hamid Sheikh,S/O S/O Uzma Bhatti,3520274249186,1847,03332124172,Hub,Balochistan
Hussain Latif,S/O عائشہ احمد,1330263197822,43226,03456000263,Gwadar,Balochistan
Amna Hussain,S/O Rukhsar Jafri,2130151115594,375029,03036198557,Islamabad,ICT
Hina Sandhu,S/O Mehwish Tarar,4210120730302,12389,03032058811,Multan,Punjab
