Person_Name,Father_Name,CNIC,Consumer_ID,Meter_No,Address,City,Province
Amna Hashmi,S/O Ali Latif,3520231288358,CON-61600875,MTR-4580668,"House 340, Block G, Askari, Muzaffarabad",Muzaffarabad,Azad Kashmir
Shoaib Iqbal,S/O Aamir Akhtar,3520252740818,CON-62258773,MTR-2306658,"House 19, Block H, Askari, Rawalakot",Rawalakot,Azad Kashmir
Muhammad Syed,S/O Noor Bhatti,5400029018134,CON-34008849,MTR-1375581,"House 464, Block E, Cavalry Ground, Muzaffarabad",Muzaffarabad,Azad Kashmir
Nadia Iqbal,S/O Asma Butt,,CON-76709157,MTR-7873844,"House 245, Block F, Gulshan-e-Iqbal, Hyderabad",Hyderabad,Sindh
Zubair Rafiq,S/O Kamran Chattha,3520236708158,CON-57468148,MTR-9374262,"House 242, Block G, G-9, Mingora",Mingora,KPK
Qureshi Butt,S/O Sobia Jafri,3520286831259,CON-84020170,MTR-9684942,"House 223, Block D, Gulshan-e-Iqbal, Islamabad",Islamabad,ICT
Hamid Rizvi,S/O Ali Baig,4210113991807,CON-40091358,MTR-1034501,"House 350, Block C, DHA, Gilgit",Gilgit,Gilgit-Baltistan
Muhammad Naqvi,S/O Ayesha Raja,1330282553543,CON-64313849,MTR-9315606,"House 253, Block A, Bahria Town, Kohat",Kohat,KPK
Muhamamd Hussain,S/O Raja Qureshi,2130130475005,CON-37220945,MTR-9876476,"House 223, Block G, Askari, Islamabad",Islamabad,ICT
Bilal Rana,S/O Faisal Baig,4400089463908,CON-39468720,MTR-3310174,"House 271, Block B, E-11, Gilgit",Gilgit,Gilgit-Baltistan
Bushra Sandhu,S/O S/O Usman Syed,6110120075111,CON-35088368,MTR-3535643,"House 163, Block F, Township, Bannu",Bannu,KPK
Rizwan Aslam,S/O محمد احمد,3520297073277,CON-66574439,MTR-6640107,"House 314, Block A, DHA, Islamabad",Islamabad,ICT
Mehwish Bhatti,S/O Sheikh Raja,6110186337735,CON-77233771,MTR-4674548,"House 496, Block A, Gulshan-e-Iqbal, Abbottabad",Abbottabad,KPK
Tariq Chaudhry,S/O Rabia Bhatti,6110187967532,CON-81488784,MTR-1077563,"House 275, Block C, PAF Colony, Hub",Hub,Balochistan
Hina Ali,S/O Ayesha Iqbal,4400022633765,CON-33842307,MTR-5978695,"House 319, Block F, Clifton, Gilgit",Gilgit,Gilgit-Baltistan
Hamid Rafiq,S/O S/O Asma Bhatti,1330282240696,CON-18407787,MTR-7881726,"House 185, Block H, Township, Islamabad",Islamabad,ICT
Bushra Virk,S/O Hamid Aslam,5400039282755,CON-87101737,MTR-2527639,"House 196, Block E, Township, Islamabad",Islamabad,ICT
Tariq Gilani,S/O Iqra Gujjar,1330240863681,CON-42411155,MTR-2029096,"House 76, Block A, Johar Town, Turbat",Turbat,Balochistan
Sida Abbasi,S/O Uzma Gujjar,4400049845953,CON-42437995,MTR-9258692,"House 205, Block F, Saddar, Gilgit",Gilgit,Gilgit-Baltistan
Asma Malik,S/O Fatima Butt,6110116708526,CON-58406905,MTR-9432928,"House 392, Block G, I-8, Sukkur",Sukkur,Sindh
Noor Iqbal,S/O احمد خان,4400060174244,CON-29643645,MTR-1408640,"House 223, Block C, Saddar, Bahawalpur",Bahawalpur,Punjab
Zuair Hashmi,S/O Sobia Mirza,5400079100925,CON-18482390,MTR-7721422,"House 282, Block A, I-8, Sargodha",Sargodha,Punjab
Maryam Malik,S/O Sana Virk,5400049456973,CON-12465335,MTR-5764705,,Mingora,KPK
Rizwan Virk,S/O Uzma Nawaz,2130197640219,CON-71313117,MTR-4820945,"House 152, Block A, Cavalry Ground, Mirpur",Mirpur,Azad Kashmir
Bilal Akhtar,S/O Fatima Tarar,4400093855126,CON-71797561,MTR-6696558,"House 440, Block B, Model Town, Hub",Hub,Balochistan
Adnan Rizvi,S/O Hashmi Raza,5400071248188,CON-81434212,MTR-7759673,"House 176, Block H, North Nazimabad, Gilgit",Gilgit,Gilgit-Baltistan
Sobia Gilani,S/O Fatima Baig,4400022082017,CON-48484247,MTR-2418962,"House 213, Block G, Saddar, Bahawalpur",Bahawalpur,Punjab
Iqra Tarar,S/O Hamid Sheikh,4210129051818,CON-81787970,MTR-7783943,,Hub,Balochistan
Arif Sandhu,S/O Asma Nawaz,4400054497938,CON-27201144,MTR-3893652,"House 346, Block F, Cavalry Ground, Islamabad",Islamabad,ICT
Asma Ali,S/O Khalid Gilani,4210145666995,CON-22234248,MTR-1872733,"House 158, Block B, G-9, Gwadar",Gwadar,Balochistan
Hassan Baig,S/O Chaudhry Iqbal,4210166311984,CON-76812693,MTR-3277185,"House 142, Block F, Scheme 33, Abbottabad",Abbottabad,KPK
Waseem Rafiq,S/O S/O Waseem Nawaz,5400038385541,CON-33242510,MTR-9639200,"House 73, Block G, G-9, Islamabad",Islamabad,ICT
Ayesha Raja,S/O Aamir Akhtar,2130155955958,CON-68623488,MTR-3837387,"House 287, Block C, Gulberg, Kohat",Kohat,KPK
Salman Iqbal,S/O Ayesha Rafiq,2130169507352,CON-61758087,MTR-4286240,"House 163, Block H, Askari, Rawalpindi",Rawalpindi,Punjab
Syed Zaidi,S/O Asma Hameed,21301-3463610-9,CON-31556628,MTR-5443244,"House 260, Block A, Saddar, Islamabad",Islamabad,ICT
Usman Gilani,S/O Bushra Raza,3520266212239,CON-11529959,MTR-4224746,"House 268, Block C, Gulberg, Gilgit",Gilgit,Gilgit-Baltistan
Muhammad Cheema,S/O Naveed Qureshi,4210188099368,CON-86673372,MTR-1717958,"House 444, Block F, Askari, Khuzdar",Khuzdar,Balochistan
Bilal Gondal,S/O Adnan Hussain,4210175832864,CON-17017065,MTR-3694205,"House 392, Block B, Clifton, Mirpur",Mirpur,Azad Kashmir
Rizwan Syed,S/O Asma Mirza,6110183666838,CON-41443358,MTR-6147980,"House 19, Block H, Gulshan-e-Iqbal, Islamabad",Islamabad,ICT
Hussain Latif,S/O عائشہ احمد,1330263197822,CON-40670500,MTR-6412446,"House 200, Block G, I-8, Gwadar",Gwadar,Balochistan
Qureshi Karim,S/O Qureshi Butt,3520213619504,CON-76679807,MTR-2331236,"House 182, Block G, Clifton, Gilgit",Gilgit,Gilgit-Baltistan
Ayesha Syed,S/O Mehwish Latif,2130160470282,CON-84968455,MTR-3132576,"House 375, Block D, I-8, Sukkur",Sukkur,Sindh
Muhammad Ansari,S/O Hussain Akhtar,1330227158221,CON-12024747,MTR-8558071,"House 483, Block D, Clifton, Rawalakot",Rawalakot,Azad Kashmir
Haassan Aslam,,4210165845739,CON-13621179,MTR-2378121,"House 493, Block D, Township, Gilgit",Gilgit,Gilgit-Baltistan
Hashmi Raza,S/O Chaudhry Karim,2130181054758,CON-30745884,MTR-5151825,"House 246, Block H, Gulberg, Nawabshah",Nawabshah,Sindh
Amna Akhtar,S/O Chaudhry Ahmed,3520282478644,CON-89484062,MTR-4145818,"House 260, Block D, Model Town, Mirpur",Mirpur,Azad Kashmir
Tariq Jafri,S/O Sajid Aslam,35202-4353806-5,CON-86264099,MTR-3140561,"House 105, Block A, I-8, Multan",Multan,Punjab
Mohammad Hussain,S/O Sajid Hashmi,3520278657108,CON-62097004,MTR-4235613,"House 284, Block C, Saddar, Skardu",Skardu,Gilgit-Baltistan
Tariq Qureshi,S/O Bilal Naqvi,2130120084182,CON-24794422,MTR-5596053,"House 337, Block C, I-8, Nawabshah",Nawabshah,Sindh
Salman Bukhari,S/O Naveed Sandhu,5400023871881,CON-63859810,MTR-2597337,"House 246, Block E, G-9, Muzaffarabad",Muzaffarabad,Azad Kashmir
Zubai Iqbal,S/O Syed Jafri,4400021163687,CON-67827198,MTR-9338568,"House 282, Block H, G-9, Hyderabad",Hyderabad,Sindh
Bushra Cheema,S/O Sana Hameed,4400097248062,CON-34804082,MTR-6143792,"House 190, Block G, Cavalry Ground, Peshawar",Peshawar,KPK
Zubair Gujjar,S/O Rabia Khan,2130119614234,CON-90282450,MTR-4718713,"House 436, Block D, Saddar, Quetta",Quetta,Balochistan
,S/O Iqra Bhatti,4400099595039,CON-60675908,MTR-3992899,"House 14, Block E, Model Town, Islamabad",Islamabad,ICT
Chaudhry Raza,S/O Bilal Chaudhry,1330254340156,CON-41013764,MTR-5672192,"House 86, Block H, I-8, Muzaffarabad",Muzaffarabad,Azad Kashmir
Omar Karim,S/O Noor Sheikh,4210174756629,CON-66575035,MTR-4932447,"House 171, Block D, Gulberg, Peshawar",Peshawar,KPK
Arif Latif,S/O Chaudhry Akhtar,6110194983707,CON-29140840,MTR-8818181,"House 114, Block B, Township, Quetta",Quetta,Balochistan
Muhammad Sandhu,S/O Asif Chaudhry,6110196406083,CON-58365346,MTR-9453207,"House 488, Block H, Cavalry Ground, Mirpur",Mirpur,Azad Kashmir
Raja Hashmi,S/O محمد احمد,1330276730324,CON-84116350,MTR-6109063,"House 260, Block B, Gulshan-e-Iqbal, Mirpurkhas",Lahore,Punjab
Mehwish Mirza,S/O Fatima Malik,13302-7038769-8,CON-76270234,MTR-1219372,"House 117, Block H, North Nazimabad, Larkana",Larkana,Sindh
Hussain Chattha,S/O Omar Cheema,1330285632189,CON-21494953,MTR-9256972,"House 208, Block D, Clifton, Quetta",Quetta,Balochistan
Muhammad Malik,S/O Zubair Chattha,3520241580613,CON-91262770,MTR-6062341,"House 298, Block E, Scheme 33, Khuzdar",Khuzdar,Balochistan
Mehwish Nawaz,S/O Amna Hussain,4210195750422,CON-19214042,MTR-9860077,"House 38, Block A, Cantt, Mardan",Mardan,KPK
Ahmed Syed,S/O Hussain Sheikh,3520254426425,CON-64627154,MTR-7556526,"House 385, Block A, E-11, Hyderabad",Hyderabad,Sindh
Iqra Gilani,S/O Noor Hameed,2130157467025,CON-37846365,MTR-5075873,"House 85, Block F, Clifton, Lahore",Lahore,Punjab
عمر شیخ,S/O Tariq Gujjar,2130158550149,CON-83255957,MTR-8245951,"House 284, Block H, Askari, Chilas",Chilas,Gilgit-Baltistan
Zainab Malik,S/O Zainab Gilani,6110145002767,CON-59078556,MTR-4304762,"House 309, Block H, G-9, Abbottabad",Abbottabad,KPK
Shazia Ali,S/O Mirza Khan,6110170423677,CON-45522149,MTR-6493588,"House 17, Block E, North Nazimabad, Skardu",Skardu,Gilgit-Baltistan
,S/O Adnan Akhtar,4400014922504,CON-62370900,MTR-1871547,,Muzaffarabad,Azad Kashmir
Muhammad Sandhu,S/O Sana Hashmi,4400029747113,CON-65557110,MTR-9014772,"House 263, Block D, DHA, Khuzdar",Khuzdar,Balochistan
Sajid Jafri,S/O Baig Iqbal,4400017642013,CON-84094929,MTR-8258668,"House 53, Block G, Cavalry Ground, Nawabshah",Nawabshah,Sindh
,S/O Qureshi Zaidi,6110170834307,CON-91348808,MTR-8252352,"House 176, Block D, Bahria Town, Islamabad",Islamabad,ICT
Omar Ansari,S/O Uzma Akhtar,4210195075829,CON-77729849,MTR-5642876,"House 111, Block E, Askari, Hub",Hub,Balochistan
Bushra Sandhu,S/O Shazia Malik,3520211631207,CON-26138081,MTR-6288921,"House 7, Block D, Gulshan-e-Iqbal, Rawalakot",Rawalakot,Azad Kashmir
Muhammad Raja,S/O Mehwish Khan,5400031977274,CON-96017788,MTR-7111452,"House 65, Block F, Township, Muzaffarabad",Muzaffarabad,Azad Kashmir
علی حسین,S/O Asif Baig,2130136505222,CON-37716025,MTR-2549843,"House 244, Block C, Gulshan-e-Iqbal, Islamabad",Islamabad,ICT
Sobia Rizvi,S/O Amna Ahmed,4400068730675,CON-11253391,MTR-4651598,"House 114, Block F, G-9, Sukkur",Sukkur,Sindh
Muhammad Hashmi,S/O Mirza Abbasi,3520286279901,CON-50603821,MTR-4163125,"House 57, Block C, North Nazimabad, Khuzdar",Khuzdar,Balochistan
Hina Zaidi,S/O Shoaib Malik,4210117869457,CON-10500132,MTR-9978399,"House 314, Block H, Clifton, Bannu",Bannu,KPK
Sajid Virk,S/O Hussain Chaudhry,2130192237509,CON-38911018,MTR-4266441,"House 315, Block G, Cantt, Multan",Faisalabad,Punjab
Hussainn Gilani,S/O Chaudhry Ali,4210140525359,CON-41166964,MTR-7079372,"House 467, Block F, Cantt, Islamabad",Islamabad,ICT
Aamir Raja,S/O Mohammad Cheema,4210148330005,CON-13513172,MTR-5836293,"House 365, Block B, Clifton, Peshawar",Peshawar,KPK
Khalid Nawaz,S/O Saira Cheema,4400026519246,CON-25039392,MTR-2698437,"House 416, Block H, Cavalry Ground, Rawalakot",Rawalakot,Azad Kashmir
Qureshi Ali,S/O Arif Bukhari,4210185891255,CON-42360610,MTR-5803298,"House 228, Block G, Gulberg, Abbottabad",Abbottabad,KPK
Rabia Rafiq,S/O Ayesha Bukhari,3520248192764,CON-75394351,MTR-9599828,"House 459, Block E, G-9, Mingora",Mingora,KPK
Arif Aslam,S/O Noor Sheikh,3520233535157,CON-14929912,MTR-4151445,"House 255, Block G, F-10, Islamabad",Islamabad,ICT
Aamir Raja,S/O Mohammad Latif,4210189972453,CON-67883725,MTR-6342875,"House 175, Block H, Clifton, Mingora",Mingora,KPK
Tariq Cheema,S/O Omar Cheema,6110153260482,CON-15362628,MTR-2313605,"House 154, Block B, E-11, Rawalpindi",Rawalpindi,Punjab
Sidra Khan,S/O Tahir Butt,4210142041807,CON-14404398,MTR-8069339,"House 100, Block A, Gulshan-e-Iqbal, Muzaffarabad",Muzaffarabad,Azad Kashmir
Omar Baig,S/O Tahir Zaidi,5400012351487,CON-21804061,MTR-3860528,"House 118, Block G, Cavalry Ground, Muzaffarabad",Muzaffarabad,Azad Kashmir
Ali Naqvi,S/O Saira Gilani,,CON-30433549,MTR-5404140,"House 393, Block E, Askari, Gwadar",Gwadar,Balochistan
Ali Naqvi,S/O Ibrahim Jafri,1330218057316,CON-70974492,MTR-6143005,"House 290, Block A, Askari, Muzaffarabad",Muzaffarabad,Azad Kashmir
Fatima Butt,S/O عائشہ احمد,2130146174932,CON-82957841,MTR-7997547,"House 395, Block C, Johar Town, Rawalakot",Rawalakot,Azad Kashmir
Kashif Zaidi,S/O Adnan Sheikh,,CON-21475220,MTR-5756009,"House 383, Block F, North Nazimabad, Muzaffarabad",Muzaffarabad,Azad Kashmir
Kashif Naqvi,S/O S/O Ibrahim Bukhari,2130170928949,CON-56837418,MTR-9923918,"House 482, Block B, Askari, Khuzdar",Khuzdar,Balochistan
Naveed Latif,S/O Hashmi Rafiq,5400080555758,CON-52314809,MTR-3896670,,Rawalpindi,Punjab
Rukhsar Abbasi,S/O Hussain Gilani,4210119329764,CON-23785217,MTR-3296764,"House 460, Block B, Model Town, Karachi",Karachi,Sindh
Imran Baig,S/O S/O Muhammad Ansari,5400082500137,CON-74574428,MTR-8050088,"House 386, Block B, Gulshan-e-Iqbal, Gujranwala",Gujranwala,Punjab
,S/O Chaudhry Chattha,3520214776131,CON-84741548,MTR-3336663,"House 225, Block D, E-11, Gilgit",Gilgit,Gilgit-Baltistan
Shoaib Hameed,S/O Hassan Aslam,5400097613832,CON-14106973,MTR-1431044,"House 220, Block A, F-10, Rawalakot",Rawalakot,Azad Kashmir
Asif Rafiq,S/O Tariq Sheikh,1330219997938,CON-18363511,MTR-2117667,"House 144, Block C, Cantt, Sukkur",Sukkur,Sindh
Sobia Chattha,S/O Khalid Bukhari,6110116231908,CON-79053603,MTR-2183865,"House 500, Block H, PAF Colony, Hub",Hub,Balochistan
Naveed Bhatti,S/O Bilal Nawaz,3520236847404,CON-68008212,MTR-8610669,"House 294, Block D, Gulberg, Skardu",Skardu,Gilgit-Baltistan
Muhammad Latif,S/O Faisal Iqbal,5400057578985,CON-97689477,MTR-7435684,"House 429, Block C, F-10, Chilas",Chilas,Gilgit-Baltistan
Muhammad Hameed,S/O Chaudhry Gujjar,,CON-65850563,MTR-1892075,"House 355, Block C, Johar Town, Sialkot",Sialkot,Punjab
Syed Syed,S/O Rabia Jafri,4210196763854,CON-60153482,MTR-1398487,"House 229, Block H, Gulberg, Quetta",Quetta,Balochistan
Waseem Aslam,S/O Amna Ahmed,3520283534829,CON-91973343,MTR-6059487,"House 159, Block D, Cantt, Hub",Hub,Balochistan
Baig Rafiq,S/O Ahmed Syed,3520270553349,CON-50817826,MTR-9869352,"House 30, Block E, Defence, Sargodha",Sargodha,Punjab
