Traveler_Name,Father_Name,CNIC,Passport_No,Nationality,Home_City,Travelling_From,Travelling_To,Travel_Date,Visa_Type,Reason_To_Travel
Aamir Raja,S/O Mohammad Cheema,4210148330005,,Pakistani,Peshawar,Pakistan,Turkey,2020-12-01,Tourist,Education
Hussain Gujjar,S/O Hamid Rafiq,4210149089935,AB5976789,Pakistani,Islamabad,Pakistan,Saudi Arabia,2020-07-18,Tourist,Family Visit
عائشہ احمد,S/O احمد خان,6110122350373,AB3597019,Pakistani,Hyderabad,Pakistan,Malaysia,2017-12-26,Work,Medical Treatment
Ali Chaduhry,S/O Ahmed Sandhu,4400045920845,AB5396892,Pakistani,Chilas,Pakistan,Turkey,2021-07-11,Student,Family Visit
Omar Sheikh,S/O Sajid Zaidi,3520246461135,AB9019137,Pakistani,Bannu,Pakistan,USA,2016-12-10,Work,Tourism
Sobia Bhatti,,1330231207088,AB1739947,Pakistani,Khuzdar,Pakistan,UAE,2018-06-26,Tourist,Family Visit
Naeem Virk,S/O Kamran Ansari,1330288964862,AB2143038,Pakistani,Mardan,Pakistan,Saudi Arabia,2020-06-21,Visit,Family Visit
Bushra Ahmed,S/O Hina Cheema,1330296359475,AB8061151,Pakistani,Gilgit,Pakistan,China,2023-02-10,Tourist,Tourism
محمد حسن,S/O Ali Hashmi,,AB9312636,Pakistani,Rawalakot,Pakistan,China,2021-09-05,Visit,Tourism
Zainab Virk,S/O Rizwan Akhtar,4210163196163,AB5388481,Pakistani,Mingora,Pakistan,Saudi Arabia,2015-10-28,Visit,Medical Treatment
Malik Sheikh,S/O صنا ملک,1330279553641,AB1786108,Pakistani,Multan,Pakistan,Germany,2018-12-13,Tourist,Education
Usman Hashmi,S/O Hassan Qureshi,4400010146865,AB1524328,Pakistani,Mirpur,Pakistan,Turkey,2021-07-01,Work,Business Meeting
Naveed Naqvi,S/O Hashmi Chaudhry,4400062938997,AB6759393,Pakistani,Kohat,Pakistan,Germany,2015-12-04,Work,Education
صنا ملک,S/O Rukhsar Aslam,5400092749677,AB9098390,Pakistani,Lahore,Pakistan,Germany,2021-01-29,Tourist,Education
Kamran Khan,S/O Hussain Jafri,35202-7623371-9,AB7715501,Pakistani,Hyderabad,Pakistan,Canada,2015-07-31,Tourist,Medical Treatment
Tariq Nawaz,S/O Zainab Raza,3520254164005,AB1510619,Pakistani,Rawalakot,Pakistan,Malaysia,2020-06-30,Work,Business Meeting
Ahmed Gujjar,S/O Saira Rana,3520294263272,AB8157805,Pakistani,Mirpur,Pakistan,Germany,2016-12-09,Visit,Tourism
Mehwish Chattha,S/O Baig Rizvi,5400020656865,AB6945645,Pakistani,Gwadar,Pakistan,Malaysia,2016-11-29,Visit,Family Visit
Mohd  Iqbal,S/O Mirza Bukhari,4210173534875,AB9600715,Pakistani,Mardan,Pakistan,Canada,2018-01-06,Work,Employment
فاطمہ خان,S/O Adnan Zaidi,5400088517867,AB6773240,Pakistani,Muzaffarabad,Pakistan,UAE,2023-02-20,Tourist,Medical Treatment
Sobia Hameed,S/O Zubair Zaidi,2130124770883,AB1993115,Pakistani,Kohat,Pakistan,Saudi Arabia,2023-01-16,Tourist,Family Visit
Kamran Cheema,S/O Hamid Baig,3520243715371,AB5989773,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2021-06-27,Visit,Tourism
Mohd Hussain,S/O Baig Ansari,1330218843905,,Pakistani,Khuzdar,Pakistan,Turkey,2018-07-10,Work,Family Visit
Rukhsar Bhatti,S/O Mirza Rizvi,4210195062998,AB4883418,Pakistani,Sialkot,Pakistan,France,2021-07-16,Visit,Employment
عمر شیخ,S/O Shoaib Hashmi,6110187467538,AB1974170,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2019-10-29,Student,Business Meeting
Bilal Rnaa,S/O Faisal Baig,4400089463908,AB4035317,Pakistani,Gilgit,Pakistan,Canada,2021-06-06,Business,Employment
احمد خان,S/O Ahmed Khan,1330293630194,AB5321934,Pakistani,Muzaffarabad,Pakistan,China,2021-01-24,Business,Employment
Nadia Sheikh,S/O Asma Nawaz,2130188439461,AB5270187,Pakistani,Quetta,Pakistan,Germany,2015-11-11,Work,Family Visit
Hussain Cheema,S/O Hashmi Aslam,1330283229916,AB2195380,Pakistani,Gujranwala,Pakistan,China,2019-04-29,Work,Business Meeting
Aamir Jafri,S/O Ali Zaidi,6110132883289,AB3361667,Pakistani,Islamabad,Pakistan,Malaysia,2022-03-13,Tourist,Employment
Fatima Zaidi,S/O Noor Ali,4400031559409,AB2087773,Pakistani,Quetta,Pakistan,UK,2015-11-18,Visit,Business Meeting
,S/O Chaudhry Bukhari,6110185652423,AB2728637,Pakistani,Lahore,Pakistan,Saudi Arabia,2016-10-07,Student,Medical Treatment
Kamran Abbasi,S/O Adnan Chattha,1330262153977,AB2470266,Pakistani,Abbottabad,Pakistan,China,2019-06-10,Student,Medical Treatment
Waseem Raja,S/O Rukhsar Malik,1330264162791,AB2857225,Pakistani,Skardu,Pakistan,France,2017-02-21,Visit,Employment
Rizwan Bukhari,S/O Rizwan Sheikh,5400042706029,AB7666238,Pakistani,Quetta,Pakistan,China,2023-11-19,Work,Medical Treatment
Faisal Karim,S/O Muhammad Ali,4400059351918,AB4414802,Pakistani,Islamabad,Pakistan,Malaysia,2023-03-25,Student,Business Meeting
Mohd Hashmi,S/O Bushra Nawaz,3520246691708,AB9845672,Pakistani,Quetta,Pakistan,USA,2015-09-21,Visit,Medical Treatment
Ahmed Gnodal,S/O Kashif Tarar,2130193742018,AB6505488,Pakistani,Nawabshah,Pakistan,UK,2023-06-12,Business,Family Visit
Tahir Raja,,5400040230926,AB4108987,Pakistani,Sukkur,Pakistan,USA,2015-03-02,Student,Family Visit
,S/O Naeem Abbasi,4400085243916,AB6023348,Pakistani,Sialkot,Pakistan,Malaysia,2017-03-21,Visit,Employment
Nadia Raza,S/O Sheikh Hussain,2130125508588,AB3502430,Pakistani,Mirpur,Pakistan,Turkey,2017-04-08,Student,Business Meeting
Hashmi Khan,S/O Sheikh Tarar,3520219239974,AB6897625,Pakistani,Multan,Pakistan,Malaysia,2020-12-17,Student,Employment
Maryam Raza,S/O Muhammad Naqvi,2130146762328,AB8440019,Pakistani,Khuzdar,Pakistan,UK,2021-03-28,Tourist,Education
Mehwish Malik,S/O Shoaib Syed,1330265576073,AB1006764,Pakistani,Nawabshah,Pakistan,Malaysia,2015-08-24,Tourist,Employment
Tariq Iqbal,,6110193963507,AB2555967,Pakistani,Mirpurkhas,Pakistan,UK,2021-11-16,Student,Employment
Bilal Tarar,S/O Nadia Zaidi,5400010874668,AB2585802,Pakistani,Multan,Pakistan,Turkey,2020-07-09,Business,Business Meeting
عمر شیخ,S/O Sobia Chaudhry,5400044702917,AB4616203,Pakistani,Islamabad,Pakistan,China,2023-03-21,Student,Employment
Mohd Naqvi,,4400043263557,,Pakistani,Turbat,Pakistan,Malaysia,2017-09-15,Student,Employment
Chaudhry Tarar,S/O Kamran Baig,54000-6100571-3,AB8176373,Pakistani,Chilas,Pakistan,Canada,2017-07-20,Business,Education
Amna Sandhu,S/O Ahmed Rizvi,4400035342086,AB9237806,Pakistani,Nawabshah,Pakistan,UAE,2020-12-11,Visit,Business Meeting
Mohd MMalik,S/O Zubair Naqvi,3520210929508,AB3494182,Pakistani,Gilgit,Pakistan,Germany,2020-06-16,Visit,Education
Hashmi Iqbal,S/O Sheikh Qureshi,5400012995532,AB8233806,Pakistani,Islamabad,Pakistan,Malaysia,2016-08-21,Work,Medical Treatment
Bushra Baig,S/O Hassan Zaidi,3520289948291,AB4553235,Pakistani,Muzaffarabad,Pakistan,Canada,2015-01-16,Tourist,Employment
Mohd Raza,S/O Sidra Cheema,3520240273068,AB3895194,Pakistani,Gilgit,Pakistan,USA,2015-11-29,Work,Employment
Sana Iqbl,S/O Nadia Rana,3520278389269,AB9927811,Pakistani,Rawalakot,Pakistan,France,2022-04-15,Business,Family Visit
Saira Bhatti,S/O Nadia Ali,3520260528528,AB2324975,Pakistani,Mirpur,Pakistan,Germany,2019-08-24,Tourist,Family Visit
Mohd Rana,S/O Rukhsar Iqbal,5400099419744,AB8199574,Pakistani,Turbat,Pakistan,Canada,2019-04-09,Work,Tourism
Mohd Syed,S/O Hussain Ansari,3520236309508,AB3950804,Pakistani,Sukkur,Pakistan,UK,2022-01-09,Tourist,Education
Uzma Syed,S/O Waseem Rafiq,5400027030454,AB2561563,Pakistani,Islamabad,Pakistan,Germany,2022-06-04,Visit,Medical Treatment
Bilal Ansari,S/O Muhammad Hashmi,6110137605606,AB9011275,Pakistani,Islamabad,Pakistan,USA,2015-08-21,Work,Medical Treatment
Sobia Chattha,S/O Rizwan Aslam,6110183503688,AB8866202,Pakistani,Sialkot,Pakistan,Germany,2021-04-26,Tourist,Business Meeting
Rukhsar Mirza,S/O مریم چودھری,1330244233057,AB6715744,Pakistani,Mardan,Pakistan,UK,2017-04-01,Tourist,Business Meeting
Mohd Ansari,S/O Noor Akhtar,4400030614164,AB3204155,Pakistani,Sukkur,Pakistan,Turkey,2018-06-21,Business,Employment
Nadia Iqbal,S/O Asma Butt,4210153775295,AB3120497,Pakistani,Hyderabad,Pakistan,China,2016-05-08,Tourist,Medical Treatment
Sajid Mirza,S/O Asif Bhatti,2130154133562,AB1802574,Pakistani,Lahore,Pakistan,Germany,2016-08-11,Visit,Employment
Asif Rizvi,S/O Naeem Chattha,2130125334869,AB6723369,Pakistani,Rawalakot,Pakistan,China,2015-10-26,Business,Medical Treatment
Hassan Ali,S/O Arif Baig,5400018738516,AB8758101,Pakistani,Abbottabad,Pakistan,UK,2020-11-27,Student,Business Meeting
Hamid Bukhari,S/O Khalid Hashmi,6110115961196,AB6816583,Pakistani,Rawalpindi,Pakistan,UAE,2019-05-05,Student,Business Meeting
Asif Rana,S/O Naveed Sandhu,2130158756972,AB2700154,Pakistani,Rawalpindi,Pakistan,Malaysia,2022-07-15,Visit,Education
Mohd Raja,S/O Nadia Raza,4400023625892,AB5535247,Pakistani,Faisalabad,Pakistan,Saudi Arabia,2022-01-09,Visit,Tourism
Mohd Mirza,S/O Asif Bukhari,61101-6528135-1,AB4044081,Pakistani,Turbat,Pakistan,Canada,2019-09-22,Business,Employment
Mohd Akhtar,S/O Faisal Nawaz,5400045639694,AB1099204,Pakistani,Muzaffarabad,Pakistan,UAE,2023-06-20,Student,Employment
Mohd Ansari,S/O Zubair Hussain,4210175658785,AB6169644,Pakistani,Gujranwala,Pakistan,UK,2021-09-19,Business,Medical Treatment
Asma Gujjar,S/O Maryam Cheema,1330218644338,AB1463965,Pakistani,Gilgit,Pakistan,Germany,2017-04-22,Tourist,Family Visit
Mohammad Karim,S/O Sobia Gilani,4400051513367,,Pakistani,Mingora,Pakistan,USA,2019-07-27,Tourist,Medical Treatment
Qureshi Bhatti,S/O Hina Khan,4400067330985,AB8103730,Pakistani,Gwadar,Pakistan,Saudi Arabia,2021-03-06,Student,Business Meeting
Amna Chaudhry,S/O Sheikh Abbasi,4400051989331,AB2908132,Pakistani,Sukkur,Pakistan,Saudi Arabia,2018-11-20,Business,Medical Treatment
Muhammad Hameed,S/O علی حسین,2130174662667,AB5291179,Pakistani,Islamabad,Pakistan,Germany,2015-05-03,Business,Family Visit
Mohd Mirza,S/O Rukhsar Sheikh,3520213187356,AB1580478,Pakistani,Mirpurkhas,Pakistan,UAE,2023-02-10,Student,Employment
Noor Hussain,S/O صنا ملک,3520220631607,AB8407819,Pakistani,Sargodha,Pakistan,Malaysia,2016-05-22,Visit,Business Meeting
Bilal Chaudhry,S/O Sheikh Latif,2130147971322,AB6245170,Pakistani,Turbat,Pakistan,USA,2015-01-03,Student,Business Meeting
Kashif Raja,S/O Tariq Tarar,6110179239279,AB4712692,Pakistani,Muzaffarabad,Pakistan,France,2023-11-12,Visit,Medical Treatment
Khalid Ansari,S/O Aamir Malik,4400013865169,AB4227357,Pakistani,Karachi,Pakistan,UK,2015-07-20,Business,Employment
Amna Hashmi,S/O Maryam Bhatti,6110157711388,AB7912628,Pakistani,Islamabad,Pakistan,Canada,2022-01-13,Student,Family Visit
Qureshi Naqvi,S/O Faisal Naqvi,5400058602262,AB5774825,Pakistani,Islamabad,Pakistan,Canada,2020-03-08,Visit,Family Visit
Hamid Naqvi,S/O Raja Raza,1330298751808,AB1906817,Pakistani,Rawalakot,Pakistan,Turkey,2020-10-22,Business,Family Visit
,,4400011350046,AB2057109,Pakistani,Kohat,Pakistan,Germany,2022-08-10,Work,Medical Treatment
Qureshi Zaidi,S/O Adnan Chaudhry,4400042108658,AB5150788,Pakistani,Quetta,Pakistan,UK,2015-09-07,Visit,Education
Chaudhry Sheikh,S/O Shoaib Bukhari,2130152852976,AB8792882,Pakistani,Karachi,Pakistan,UK,2022-08-25,Visit,Employment
عائشہ احمد,S/O Qureshi Ali,1330256628444,AB2748694,Pakistani,Bahawalpur,Pakistan,Malaysia,2022-05-03,Business,Family Visit
صنا ملک,S/O Shoaib Latif,3520242493895,AB5389644,Pakistani,Turbat,Pakistan,Malaysia,2021-03-27,Business,Family Visit
Hamid Gujjar,S/O Ahmed Cheema,2130127268524,,Pakistani,Gilgit,Pakistan,UAE,2020-12-30,Work,Tourism
Noor Aslam,S/O Tahir Gujjar,4210115055952,AB8933544,Pakistani,Khuzdar,Pakistan,Turkey,2023-11-09,Student,Tourism
,S/O Kamran Qureshi,5400034911735,AB5406872,Pakistani,Sukkur,Pakistan,UK,2023-08-15,Work,Family Visit
Ali Gujjar,S/O Faisal Bukhari,4400088418657,AB6895593,Pakistani,Gwadar,Pakistan,France,2016-01-15,Work,Family Visit
Mehwish Ahmed,S/O Rabia Baig,2130177515464,AB7547788,Pakistani,Islamabad,Pakistan,Germany,2019-04-02,Visit,Education
Sidra Abbasi,S/O Aamir Raja,2130163123969,AB6776376,Pakistani,Gujranwala,Pakistan,Turkey,2022-07-21,Visit,Family Visit
