Company_Name,Owner_Name,Father_Name,Entity_Type,CNIC,Incorporation_Date,Status,Registered_Office_Address,Province,City
,Noor Rizvi,S/O Shoaib Malik,LLP,,2009-05-06,Active,"House 41, Block G, Defence, Abbottabad",KPK,Abbottabad
Pak Solutions,Rukhsar Latif,S/O Zubair Gondal,LLP,6110126966303,1990-10-31,Suspended,"House 422, Block E, Gulshan-e-Iqbal, Muzaffarabad",Azad Kashmir,Muzaffarabad
Global Associates,Baig Hashmi,S/O Waseem Tarar,Sole Proprietorship,6110179761462,1996-03-15,Active,"House 63, Block C, E-11, Hub",Balochistan,Hub
National Industries,Ali Hameed,S/O Kamran Virk,Public Limited,2130129220168,2000-07-15,Dissolved,"House 286, Block H, Cavalry Ground, Hub",Balochistan,Hub
Royal Brothers,Naeem Tarar,S/O Asif Sandhu,LLP,4400083611705,2015-04-19,Active,"House 279, Block H, Scheme 33, Sialkot",Punjab,Sialkot
Global Corp,Mirza Mirza,S/O Rukhsar Sheikh,Public Limited,3520213187356,1995-11-12,Dissolved,"House 314, Block E, Model Town, Mirpurkhas",Sindh,Mirpurkhas
Royal Services,Iqra Mirza,S/O Zubair Hashmi,LLP,4400010948161,2015-05-02,Active,"House 465, Block H, Scheme 33, Mirpur",Azad Kashmir,Mirpur
Star Enterprises,Sana Latif,S/O Tariq Syed,LLP,13302-2435619-9,2010-09-28,Active,,Punjab,Bahawalpur
Pak Group,Amna Karim,S/O Raja Gondal,Private Limited,2130191917511,2004-04-18,Suspended,"House 482, Block D, E-11, Mingora",KPK,Mingora
Prime Services,Nadia Malik,S/O Omar Qureshi,Partnership,,2013-12-20,Suspended,"House 274, Block F, Johar Town, Rawalakot",Azad Kashmir,Rawalakot
Meezan Traders,Fatima Vik,S/O Khalid Akhtar,Sole Proprietorship,5400062464854,2005-10-30,Suspended,"House 97, Block B, Cavalry Ground, Gwadar",Balochistan,Gwadar
National Associates,Sana Sandhu,S/O Hassan Gondal,Sole Proprietorship,5400088399145,2016-10-25,Dissolved,"House 74, Block G, G-9, Multan",Punjab,Multan
Pak Traders,Ahmed Sandhu,S/O Iqra Ali,Sole Proprietorship,3520260543237,2002-04-09,Active,,Balochistan,Khuzdar
Atlas Industries,Hassan Mirza,S/O Asif Malik,Partnership,6110150827215,2005-01-13,Dissolved,"House 238, Block B, Johar Town, Skardu",Gilgit-Baltistan,Skardu
United Group,Imran Ansari,S/O Iqra Hashmi,LLP,4400075635599,1996-04-03,Active,"House 153, Block E, Saddar, Nawabshah",Sindh,Nawabshah
Global Solutions,Shoaib Khan,S/O Sidra Karim,Public Limited,3520283665157,1990-02-21,Dissolved,"House 152, Block B, Askari, Mirpurkhas",Sindh,Mirpurkhas
National Traders,Iqra Rana,S/O Khalid Bukhari,Sole Proprietorship,4400085472558,2011-07-02,Dissolved,"House 480, Block F, Bahria Town, Muzaffarabad",Azad Kashmir,Muzaffarabad
National Traders,Abbasi Uzma,S/O Salman Gilani,Partnership,4400032651903,2006-06-10,Dissolved,"House 414, Block F, Johar Town, Turbat",Balochistan,Turbat
Al Enterprises,Hamid Aslam,S/O Shazia Virk,Partnership,2130115574983,2014-09-02,Active,"House 30, Block C, I-8, Muzaffarabad",Azad Kashmir,Muzaffarabad
Royal Corp,Salman Rizvi,S/O Salman Karim,LLP,5400084537199,1990-02-13,Dissolved,"House 301, Block E, Scheme 33, Rawalpindi",Punjab,Rawalpindi
Atlas Enterprises,Ansari Qureshi,,Partnership,2130164839709,2010-01-16,Active,"House 146, Block E, G-9, Abbottabad",KPK,Abbottabad
Prime Associates,Rabia Akhtar,S/O Baig Butt,LLP,3520261759052,2021-03-30,Suspended,,Azad Kashmir,Mirpur
Apex Industries,Uzma Bhatti,S/O Bushra Iqbal,Private Limited,1330234416529,1992-04-13,Active,"House 100, Block D, Gulshan-e-Iqbal, Hub",Balochistan,Hub
Global Services,Hussain Virk,S/O S/O Mohammad Abbasi,LLP,4210176699189,2011-01-05,Active,"House 160, Block C, DHA, Hyderabad",Sindh,Hyderabad
Star Corp,Qureshi Karim,,Sole Proprietorship,4210129271866,1994-04-29,Active,"House 309, Block A, Johar Town, Karachi",Sindh,Karachi
Pak Traders,Mohammad Malik,S/O Rukhsar Raja,Sole Proprietorship,6110196651055,2011-12-05,Suspended,"House 331, Block G, I-8, Sukkur",Sindh,Sukkur
Pak Associates,,S/O Ali Aslam,Sole Proprietorship,6110136170982,1995-08-06,Suspended,"House 319, Block A, Bahria Town, Larkana",Sindh,Larkana
Royal Traders,Ibrahim Qureshi,S/O Omar Aslam,Partnership,4400033722207,2011-07-21,Dissolved,"House 182, Block D, North Nazimabad, Skardu",Gilgit-Baltistan,Skardu
Al Services,Hashmi Aslam,S/O Nadia Gilani,Private Limited,4210122087767,2011-12-20,Active,"House 24, Block H, Saddar, Muzaffarabad",Azad Kashmir,Muzaffarabad
Atlas Solutions,Salman Hussain,S/O Bushra Iqbal,LLP,5400071155196,2012-08-23,Active,"House 450, Block B, Township, Chilas",Gilgit-Baltistan,Chilas
Royal Brothers,Naveed Qureshi,S/O Rizwan Ali,Sole Proprietorship,4400081368538,2002-09-01,Suspended,"House 318, Block C, Saddar, Hub",Balochistan,Hub
Atlas Services,Saira Abbasi,S/O Usman Syed,Sole Proprietorship,1330275923576,1993-01-12,Active,"House 436, Block H, Askari, Kohat",KPK,Kohat
Royal Services,Ahmed Ahmed,S/O Maryam Rana,Partnership,3520248977665,1999-04-21,Active,"House 96, Block C, Johar Town, Mirpur",Azad Kashmir,Mirpur
Prime Traders,Hassan Rizvi,S/O Malik Raja,Public Limited,4400032219593,2022-04-26,Dissolved,"House 327, Block H, Bahria Town, Abbottabad",KPK,Abbottabad
Star Traders,Arif Bukhari,S/O Aamir Latif,Partnership,4400058936486,2005-08-31,Suspended,,Gilgit-Baltistan,Chilas
Prime Services,Kamran Abbasi,S/O Adnan Chattha,Private Limited,1330262153977,1996-04-17,Active,"House 203, Block D, Gulberg, Abbottabad",KPK,Abbottabad
Global Group,Sana Naqvi,S/O Kashif Naqvi,LLP,6110189885508,2005-09-28,Active,"House 390, Block H, Township, Chilas",Gilgit-Baltistan,Chilas
Global Group,Imran Gilani,S/O Faisal Nawaz,Private Limited,6110139869059,1998-03-19,Active,"House 25, Block G, Cavalry Ground, Abbottabad",KPK,Abbottabad
National Traders,Naveed Abbasi,S/O عائشہ احمد,LLP,5400099512495,2011-09-29,Suspended,"House 32, Block E, Scheme 33, Karachi",Sindh,Karachi
Royal Brothers,Kashif Akhtar,S/O Bilal Tarar,Partnership,3520243217238,2022-12-23,Active,"House 359, Block A, Cantt, Quetta",Balochistan,Quetta
Global Traders,Zubair Sandhu,S/O Asif Chattha,LLP,4400024096989,2012-12-17,Active,"House 395, Block A, G-9, Multan",Punjab,Multan
National Services,Hina Ansari,S/O Tariq Mirza,Private Limited,2130112117091,2014-01-28,Active,"House 339, Block D, North Nazimabad, Gilgit",Gilgit-Baltistan,Gilgit
Al Group,Sajid Sheikh,S/O Sidra Abbasi,Sole Proprietorship,4400023225915,2021-02-05,Active,"House 49, Block B, Cavalry Ground, Turbat",Balochistan,Turbat
United Traders,Iqra Zaidi,S/O Shazia Ali,Partnership,3520297893452,2002-05-29,Active,"House 484, Block F, Township, Hyderabad",Sindh,Hyderabad
Royal Industries,Baig Nawaz,S/O Amna Gondal,Private Limited,4210152871926,1995-08-26,Active,"House 288, Block G, Bahria Town, Sargodha",Punjab,Sargodha
,Sidra Qureshi,S/O S/O Asma Hameed,Partnership,5400065436862,2011-01-11,Active,"House 120, Block D, I-8, Mirpurkhas",Sindh,Mirpurkhas
Global Group,Shazia Akhtar,S/O Fatima Abbasi,Sole Proprietorship,2130137285453,1994-12-01,Active,"House 391, Block G, Askari, Islamabad",ICT,Islamabad
Star Services,Khalid Bukhari,S/O Kashif Jafri,Sole Proprietorship,6110182571355,2003-11-08,Active,"House 229, Block B, Clifton, Multan",Punjab,Multan
Atlas Brothers,Bilal Zaidi,S/O Zainab Zaidi,Partnership,6110177292417,2009-02-14,Dissolved,"House 134, Block G, Scheme 33, Hyderabad",Sindh,Hyderabad
National Associates,Bilal Malik,,Private Limited,6110167638882,2010-08-15,Active,"House 1, Block A, Clifton, Abbottabad",KPK,Abbottabad
Apex Traders,Rizvi Sana,S/O Bushra Karim,LLP,3520222870244,2017-11-12,Active,"House 396, Block B, Clifton, Skardu",Gilgit-Baltistan,Skardu
Atlas Brothers,Rukhsar Rana,S/O Asif Karim,Sole Proprietorship,4400037914725,1990-06-14,Active,"House 218, Block F, Township, Peshawar",KPK,Peshawar
Atlas Enterprises,فاطمہ خان,,Private Limited,3520284452939,1991-05-06,Active,"House 96, Block G, Cavalry Ground, Hub",Balochistan,Hub
Meezan Solutions,Zubair Bukhari,S/O Ayesha Akhtar,LLP,3520280729941,2000-05-04,Suspended,"House 351, Block G, I-8, Rawalpindi",Punjab,Rawalpindi
Meezan Group,Rafiq Chaudhry,S/O Sajid Rafiq,Public Limited,5400072927088,2007-07-31,Active,"House 343, Block D, F-10, Bahawalpur",Punjab,Bahawalpur
Apex Corp,Sheikh Hassan,S/O Mohammad Gilani,Partnership,4210175858474,2016-09-11,Active,"House 329, Block F, Askari, Bannu",KPK,Bannu
Atlas Group,Asma Qureshi,S/O Amna Bhatti,Sole Proprietorship,5400097355136,2015-08-28,Suspended,"House 257, Block H, Township, Multan",Punjab,Multan
Al Industries,Imran Syed,S/O Hussain Tarar,Sole Proprietorship,3520281512861,2012-09-13,Active,"House 11, Block E, Bahria Town, Skardu",Gilgit-Baltistan,Skardu
Royal Solutions,Hina Sheikh,S/O Kashif Aslam,Private Limited,5400035319406,1997-05-24,Suspended,"House 303, Block G, E-11, Islamabad",ICT,Islamabad
Apex Enterprises,Asif Latif,S/O Sheikh Rizvi,Partnership,4400030686502,2007-04-16,Active,"House 280, Block C, North Nazimabad, Islamabad",ICT,Islamabad
Star Enterprises,Tariq Raja,S/O Hassan Gilani,Partnership,4210182667858,2006-12-20,Active,"House 328, Block C, North Nazimabad, Hub",Balochistan,Hub
Meezan Associates,زینب علی,S/O Syed Ali,LLP,6110139958705,2007-03-08,Active,"House 340, Block A, Model Town, Gilgit",Gilgit-Baltistan,Gilgit
Apex Corp,Ibrahim Akhtar,S/O Aamir Ahmed,LLP,6110133818465,1993-05-26,Suspended,"House 449, Block E, DHA, Rawalpindi",Punjab,Rawalpindi
Star Enterprises,Mehwish Tarar,S/O Arif Bhatti,LLP,3520241686585,2004-07-05,Suspended,"House 150, Block G, Cantt, Peshawar",KPK,Peshawar
Meezan Services,Faisal Raja,S/O Imran Ali,Partnership,3520213881366,2001-10-25,Suspended,,Balochistan,Quetta
National Brothers,Rizwan Aslam,S/O S/O Asma Aslam,Partnership,1330216156758,1999-11-11,Active,"House 211, Block G, Scheme 33, Sialkot",Punjab,Sialkot
Meezan Brothers,Tariq Ahmed,S/O Qureshi Raja,Partnership,4400044496393,1999-05-03,Active,"House 110, Block D, E-11, Sialkot",Punjab,Sialkot
United Solutions,Rabia Gilani,S/O Hamid Bukhari,Public Limited,5400043912088,2006-12-03,Active,"House 419, Block C, Scheme 33, Islamabad",ICT,Islamabad
Meezan Brothers,Aamir Nawaz,S/O Ali Raja,Public Limited,2130152342736,2008-05-03,Active,"House 378, Block D, Clifton, Gwadar",Balochistan,Gwadar
Global Traders,Hussain Gilani,S/O Chaudhry Ali,Sole Proprietorship,4210140525359,1995-09-02,Active,"House 336, Block D, PAF Colony, Islamabad",ICT,Islamabad
Atlas Solutions,Chaudhry Kamran,S/O Chaudhry Malik,Private Limited,2130145104985,2015-11-20,Active,"House 426, Block B, Saddar, Mirpur",Azad Kashmir,Mirpur
National Traders,Sidra Butt,S/O Ayesha Abbasi,Public Limited,6110156844727,2004-06-22,Active,"House 71, Block B, Model Town, Nawabshah",Sindh,Nawabshah
Al Enterprises,Kashif Navi,S/O Mehwish Khan,Sole Proprietorship,4400048121491,2020-05-18,Active,"House 465, Block E, North Nazimabad, Muzaffarabad",Azad Kashmir,Muzaffarabad
Prime Industries,Iqbal Mohammad,S/O Zainab Raza,Private Limited,4400026827366,2016-12-26,Active,"House 110, Block E, Defence, Sukkur",Sindh,Sukkur
Royal Enterprises,Syed Sajid,S/O Sheikh Raza,Private Limited,4210178420438,2019-01-11,Suspended,"House 3, Block E, Cantt, Muzaffarabad",Azad Kashmir,Muzaffarabad
National Associates,Hamid Iqbal,S/O Fatima Rizvi,Partnership,4400069533736,2013-12-04,Active,"House 154, Block B, Saddar, Rawalpindi",Punjab,Rawalpindi
Star Solutions,Raza Zainab,,Private Limited,4210115342324,1997-02-26,Active,"House 9, Block F, North Nazimabad, Islamabad",ICT,Islamabad
Al Industries,Sidra Malik,S/O Hassan Mirza,Private Limited,6110158730206,1997-03-11,Active,"House 42, Block A, DHA, Mirpurkhas",Sindh,Mirpurkhas
United Enterprises,Mirza Fatima,S/O Sobia Tarar,Public Limited,3520242289734,2006-11-06,Active,"House 43, Block D, E-11, Sialkot",Punjab,Sialkot
Atlas Enterprises,Hina Karim,S/O Sajid Malik,LLP,4210180826682,2021-05-10,Active,"House 322, Block D, Askari, Gilgit",Gilgit-Baltistan,Gilgit
Apex Brothers,Amna Bukhari,S/O Khalid Gondal,LLP,4210115566465,2000-03-11,Dissolved,"House 297, Block G, Cavalry Ground, Gujranwala",Punjab,Gujranwala
Global Corp,Faisal Gujjar,S/O Kashif Jafri,LLP,4210113281676,2022-11-26,Active,"House 295, Block F, Askari, Islamabad",ICT,Islamabad
Apex Traders,Uzma Ansari,S/O Omar Tarar,Public Limited,2130136053086,2004-11-19,Suspended,"House 495, Block F, Johar Town, Hyderabad",Sindh,Hyderabad
Al Services,Ali Naqvi,S/O Ibrahim Jafri,Partnership,1330218057316,2004-07-21,Active,"House 351, Block A, Model Town, Muzaffarabad",Azad Kashmir,Muzaffarabad
Global Brothers,Ibrahim Khan,S/O Ali Gujjar,Sole Proprietorship,4210179991332,1999-12-17,Active,,KPK,Mardan
National Group,,S/O صنا ملک,Public Limited,1330279553641,2004-02-23,Active,"House 265, Block A, F-10, Multan",Punjab,Multan
National Industries,Akhtar Kamran,S/O Hina Virk,Private Limited,3520291724949,2010-01-25,Active,"House 227, Block C, Bahria Town, Islamabad",ICT,Islamabad
Meezan Group,,S/O Rabia Ahmed,Public Limited,1330228149866,2020-05-28,Active,"House 289, Block E, Askari, Bahawalpur",Punjab,Bahawalpur
Pak Services,Mirza Hameed,S/O Sajid Aslam,Sole Proprietorship,4400080041179,1995-07-08,Suspended,"House 190, Block E, Gulshan-e-Iqbal, Muzaffarabad",Azad Kashmir,Muzaffarabad
Atlas Solutions,Hina Akhtar,S/O Sajid Karim,LLP,5400067291275,2000-11-26,Active,"House 160, Block G, Gulshan-e-Iqbal, Islamabad",ICT,Islamabad
Star Enterprises,Akhtar Sobia,S/O مریم چودھری,Public Limited,2130133306885,2012-10-15,Active,"House 118, Block G, Askari, Islamabad",ICT,Islamabad
Meezan Associates,Sana Naqvi,,Public Limited,2130120456476,1991-07-28,Suspended,"House 13, Block F, Cavalry Ground, Peshawar",KPK,Peshawar
United Solutions,Sobia Rizvi,S/O Sheikh Malik,LLP,6110126373877,2012-08-15,Dissolved,"House 85, Block C, Defence, Multan",Punjab,Multan
Pak Enterprises,Shoaib Raja,S/O Nadia Raza,Public Limited,1330214627919,2001-03-22,Active,"House 129, Block G, E-11, Quetta",Balochistan,Quetta
United Corp,Baig Bhatti,S/O Hassan Ahmed,LLP,,1995-01-03,Active,"House 76, Block A, E-11, Gwadar",Balochistan,Gwadar
Apex Solutions,Waseem Syed,S/O Uzma Raza,LLP,4400077217931,2020-11-25,Active,"House 76, Block H, Gulshan-e-Iqbal, Muzaffarabad",Azad Kashmir,Muzaffarabad
Star Group,Qureshi Aslam,S/O Ahmed Cheema,Private Limited,3520284772474,1995-10-30,Active,"House 405, Block F, Model Town, Karachi",Sindh,Karachi
Prime Enterprises,Shoaib Abbasi,S/O Amna Chattha,Partnership,2130183459747,2015-10-25,Active,"House 294, Block D, Bahria Town, Nawabshah",Sindh,Nawabshah
Meezan Traders,Naveed Zaidi,S/O Syed Gilani,Partnership,4400035169686,1994-12-03,Active,"House 216, Block A, Defence, Muzaffarabad",Azad Kashmir,Muzaffarabad
Meezan Enterprises,Malik Sana,S/O زینب علی,Public Limited,6110156988858,2021-11-05,Dissolved,"House 491, Block H, Gulshan-e-Iqbal, Muzaffarabad",Azad Kashmir,Muzaffarabad
Meezan Corp,Sidra Bhatti,S/O Rizwan Raza,Public Limited,5400073176999,2009-02-28,Active,"House 27, Block E, I-8, Gilgit",Gilgit-Baltistan,Gilgit
Al Enterprises,Hussain Bilal,S/O Baig Iqbal,Private Limited,6110141087924,2015-07-03,Active,"House 266, Block E, Gulshan-e-Iqbal, Islamabad",ICT,Islamabad
Prime Enterprises,Kashif Rizvi,S/O صنا ملک,Partnership,6110162346724,2012-12-14,Suspended,"House 491, Block A, Clifton, Kohat",KPK,Kohat
Royal Corp,Faisal Chaudhry,S/O Tariq Baig,Sole Proprietorship,2130183596887,2007-01-13,Active,"House 493, Block H, Clifton, Gujranwala",Punjab,Gujranwala
Meezan Brothers,Naveed Bhatti,S/O Bilal Nawaz,LLP,3520236847404,2019-04-26,Active,"House 410, Block A, Township, Bannu",KPK,Bannu
Apex Traders,Tahir Khan,S/O Ali Aslam,LLP,4210116967577,1995-07-01,Active,"House 398, Block A, North Nazimabad, Mirpurkhas",Sindh,Mirpurkhas
Global Corp,Faisal Chattha,S/O Nadia Gilani,Sole Proprietorship,,2017-04-15,Active,"House 180, Block E, Bahria Town, Islamabad",ICT,Islamabad
Pak Traders,Hassan Raja,S/O Ahmed Sandhu,LLP,3520293689719,2005-08-30,Active,"House 157, Block H, North Nazimabad, Sargodha",Punjab,Sargodha
National Associates,Noor Bukhari,S/O Iqra Naqvi,Partnership,1330263670496,2021-02-23,Dissolved,"House 136, Block B, E-11, Islamabad",ICT,Islamabad
Star Solutions,Aamir Malik,S/O Maryam Jafri,LLP,2130122592207,1991-06-11,Active,"House 187, Block H, North Nazimabad, Gilgit",Gilgit-Baltistan,Gilgit
Al Group,مریم چودھری,S/O Kamran Iqbal,Sole Proprietorship,4400088055148,2009-02-12,Dissolved,"House 31, Block G, F-10, Hyderabad",Sindh,Hyderabad
Meezan Services,Tahir Gujjar,S/O Rukhsar Tarar,Sole Proprietorship,2130173426317,2015-02-07,Active,"House 180, Block C, Model Town, Kohat",KPK,Kohat
Meezan Brothers,Shoaib Hameed,S/O Bilal Nawaz,Partnership,4210156392609,2016-03-27,Active,"House 274, Block B, Gulberg, Hub",Balochistan,Hub
Star Enterprises,Amna Hussain,S/O Salman Naqvi,Private Limited,5400018408907,1992-01-25,Active,"House 16, Block D, Clifton, Mingora",KPK,Mingora
Al Traders,Hashmi Imran,S/O Kamran Hameed,LLP,5400096774447,1999-01-01,Dissolved,,Gilgit-Baltistan,Chilas
Prime Group,Syed Rizvi,S/O Fatima Gondal,Sole Proprietorship,4400058299966,1993-09-12,Suspended,"House 157, Block E, Johar Town, Bahawalpur",Punjab,Bahawalpur
Star Enterprises,Saira Zaidi,S/O Waseem Rana,Sole Proprietorship,4400061296231,2022-08-12,Dissolved,"House 373, Block A, Askari, Rawalakot",Azad Kashmir,Rawalakot
Prime Solutions,Fatima Rafiq,S/O Raja Rafiq,Private Limited,5400081038458,1993-02-06,Suspended,"House 476, Block G, Defence, Larkana",Sindh,Larkana
National Brothers,Naeem Ali,S/O صنا ملک,Sole Proprietorship,2130195843383,2002-06-25,Active,"House 183, Block E, PAF Colony, Hub",Balochistan,Hub
Royal Brothers,Muhammad Qureshi,S/O Kashif Zaidi,Private Limited,,2015-09-14,Suspended,"House 252, Block H, Defence, Rawalakot",Azad Kashmir,Rawalakot
Prime Group,Ibrahim Ansari,S/O Asma Bukhari,Partnership,2130194046105,2011-11-11,Suspended,"House 174, Block G, DHA, Islamabad",ICT,Islamabad
Prime Brothers,Oma rMirza,S/O Malik Baig,Public Limited,3520250440099,2020-07-25,Dissolved,"House 486, Block B, Scheme 33, Khuzdar",Balochistan,Khuzdar
Global Group,Naveed Qureshi,S/O Nadia Raza,Public Limited,2130156964751,2006-08-17,Active,"House 473, Block A, Model Town, Muzaffarabad",Azad Kashmir,Muzaffarabad
Prime Group,Shoaib Gondal,S/O Amna Sheikh,Sole Proprietorship,2130199343269,1996-12-17,Active,"House 173, Block E, Defence, Islamabad",ICT,Islamabad
Pak Services,Naveed Cheema,S/O Sajid Gondal,Partnership,5400069002473,2016-11-29,Active,"House 317, Block E, Township, Rawalpindi",Punjab,Rawalpindi
Pak Services,Chattha Mirza,S/O Khalid Karim,Partnership,35202-8020412-7,1998-06-18,Active,,KPK,Abbottabad
Pak Brothers,Kamran Cheema,,Sole Proprietorship,35202-4371537-1,2005-12-23,Active,"House 195, Block E, Saddar, Muzaffarabad",Azad Kashmir,Muzaffarabad
Prime Group,Virk Hamid,S/O Sajid Ansari,Public Limited,3520232849072,2009-06-24,Suspended,"House 86, Block E, Township, Mirpurkhas",Sindh,Mirpurkhas
Apex Services,Raja Akhtar,S/O Waseem Akhtar,Sole Proprietorship,6110186215201,2004-01-18,Active,"House 130, Block A, Clifton, Mingora",KPK,Mingora
Prime Brothers,Chaudhry Gilani,S/O Muhammad Sandhu,LLP,5400015537748,1994-06-29,Suspended,"House 5, Block H, Gulberg, Skardu",Gilgit-Baltistan,Skardu
Royal Enterprises,Amna Akhtar,S/O Chaudhry Ahmed,Sole Proprietorship,3520282478644,2022-03-16,Suspended,"House 111, Block F, Bahria Town, Mirpur",Azad Kashmir,Mirpur
