Name,Father_Name,CNIC,Account_Number,Annual_Credit_Card_Expense,Account_Balance,Account_Open_Date,Account_Status,Avg_Expenditure_Per_Month
Malik Hashmi,S/O Usman Gondal,1330240698349,PK0004582334538,0.0,608404.0,2000-08-29,Active,33999.0
Tahir Jafri,S/O Uzma Rana,4400032020431,PK0010398704996,0.0,1440028.0,2020-05-09,Dormant,139379.0
Bilal Jafri,S/O Faisal Aslam,5400054462856,PK0013106977991,0.0,4167791.0,2003-09-14,Active,57907.0
Khalid Butt,S/O Waseem Ahmed,4210128844724,PK0013965241839,0.0,784227.0,2002-06-10,Active,79030.0
Shoaib Malik,S/O S/O Sobia Tarar,2130188153849,PK0003849621470,0.0,765773.0,2016-06-30,Active,34889.0
محمد احمد,S/O Imran Abbasi,4400034972848,PK0007465341213,0.0,1408288.0,2001-06-13,Dormant,39487.0
Sajid arar,S/O Rukhsar Sandhu,,PK0005266944844,0.0,2117706.0,2018-10-27,Active,84578.0
Chaudhry Hussain,S/O Zainab Bukhari,4400090315708,PK0004919795579,0.0,141098.0,2003-07-30,Active,23545.0
Rukhsar Hussain,S/O Bilal Butt,,PK0006209747451,0.0,2253434.0,2016-06-26,Active,46445.0
Zainab Hameed,S/O عائشہ احمد,1330277416327,PK0002507943839,0.0,1731642.0,2011-08-31,Active,23661.0
Maryam Malik,S/O Sana Virk,5400049456973,PK0002485451171,0.0,3958960.0,2007-04-04,Active,96988.0
Ayesha Syed,,2130160470282,PK0014469319644,0.0,3794109.0,2019-09-21,Dormant,108586.0
,S/O Adnan Sheikh,4400068495051,PK0010384027113,0.0,770012.0,2021-08-16,Active,22364.0
Hussain Rizvi,S/O Mohammad Naqvi,3520217688054,PK0013146654552,0.0,1773628.0,2022-11-25,Active,49575.0
Uzma Bhatti,S/O Shoaib Ahmed,4400061153132,PK0012593303705,0.0,5155468.0,2018-12-17,Active,248998.0
Rizwan izvi,S/O Sidra Hussain,2130174656543,PK0009234031070,753417.0,12829938.0,2008-09-07,Active,342156.0
Kamran Hasmhi,S/O Amna Bukhari,21301-9675717-8,PK0015506448196,0.0,2012922.0,2006-02-23,Active,26639.0
Muhammad Sheikh,S/O Salman Rana,4400081599774,PK0002692749116,0.0,353142.0,2014-10-11,Active,13944.0
Adnan Hameed,S/O Naveed Ahmed,6110146983513,PK0005990566476,0.0,4593306.0,2015-05-03,Dormant,79001.0
Kamran Mirza,S/O Chaudhry Malik,6110159775707,PK0011764130526,0.0,2826364.0,2003-07-02,Active,91600.0
صنا ملک,S/O Hamid Gondal,2130190582438,PK0015488302652,0.0,661690.0,2014-06-27,Frozen,12799.0
Sidra Gondal,S/O Malik Syed,3520256377173,PK0010306468299,0.0,6071827.0,2016-06-25,Active,119183.0
Mirza Baig,S/O Syed Sandhu,2130128555013,PK0012174684276,0.0,773292.0,2011-11-19,Active,33293.0
Faisal Gondal,S/O Zainab Sandhu,5400026085785,PK0001810026086,0.0,8692615.0,2006-10-07,Active,261477.0
Shazia Virk,S/O Sajid Rizvi,1330230215336,PK0004930075810,,490918.0,2004-02-19,Dormant,26858.0
Sana Sheikh,S/O Maryam Aslam,6110174575734,PK0005185675980,0.0,1992110.0,2011-08-18,Active,28822.0
Uzma Bukhari,S/O Uzma Sandhu,6110190557713,PK0014349957310,0.0,3848838.0,2021-05-01,Active,84667.0
Asma Sheikh,S/O Ali Raja,2130181156664,PK0014208449460,0.0,5011507.0,2000-03-07,Active,120606.0
Sobia Qureshi,S/O Syed Malik,5400089239034,PK0007398471886,0.0,1264952.0,2005-12-15,Active,68631.0
Tariq Latif,S/O Hashmi Gondal,4210124334913,PK0008782560971,0.0,631651.0,2002-11-20,Dormant,7638.0
Zubair Gujjar,S/O Rabia Khan,2130119614234,PK0014491735568,0.0,2398645.0,2021-10-26,Frozen,44859.0
Sheikh Gondal,S/O علی حسین,2130145434731,PK0003497478786,0.0,268811.0,2018-07-16,Active,41335.0
Imran Rizvi,S/O Shazia Butt,4400096943284,PK0006324956459,0.0,2614017.0,2000-08-03,Active,53885.0
Sidra Gujjar,S/O Bilal Rizvi,4210160390138,PK0011386665249,0.0,559490.0,2000-06-26,Active,10906.0
Bushra Qureshi,S/O Khalid Rana,4210110473214,PK0012833953718,0.0,6085812.0,2000-08-08,Active,73321.0
Sobia Rizvi,S/O Amna Ahmed,4400068730675,PK0011176667861,0.0,498032.0,2021-04-13,Active,27256.0
Fatima Qureshi,S/O Hina Virk,3520222261894,PK0010781802744,0.0,841799.0,2017-08-27,Active,22796.0
Bilal Hashmi,S/O Hamid Raja,4210170817856,PK0003673528321,0.0,2645398.0,2009-04-04,Active,27972.0
Salman Nawaz,S/O S/O Sana Aslam,2130123463719,PK0012362863730,0.0,805423.0,2011-07-26,Active,9876.0
Ayesha Gujjar,S/O نادیہ رضا,4400043258373,PK0003596348124,572714.0,7419273.0,2017-07-20,Active,504412.0
Naveed Mirza,S/O Hussain Gilani,5400023126644,PK0007389854268,0.0,5692907.0,2022-01-05,Active,93174.0
Naeem Hameed,S/O Zubair Ahmed,2130150982363,PK0015787194506,0.0,1920659.0,2007-06-15,Active,42466.0
Rizwan Sandhu,S/O Tariq Karim,4210162606966,PK0012698020238,0.0,285253.0,2004-03-18,Active,22203.0
Mohammad Hussain,S/O Sajid Hashmi,3520278657108,PK0004835098955,0.0,2387179.0,2006-06-01,Active,80144.0
Kashif Jafri,S/O Hussain Virk,4400081138034,PK0006924970419,0.0,2372384.0,2020-09-27,Active,46317.0
Raja Raja,S/O Arif Hashmi,,PK0013160062915,0.0,398031.0,2013-02-02,Dormant,13670.0
Ahmeed Malik,S/O Ayesha Raza,4400058810173,PK0004982403818,0.0,585110.0,2017-03-21,Active,61008.0
Omar Chaudhry,S/O S/O Fatima Chattha,4210195010719,PK0001964411347,0.0,368559.0,2000-04-28,Active,42609.0
Malik Raza,S/O Salman Tarar,6110134004751,PK0006530747414,0.0,2090499.0,2022-01-31,Dormant,63223.0
Mehwish Tarar,S/O S/O Sheikh Latif,4210192079607,PK0005171069472,0.0,164531.0,2007-05-28,Active,2545.0
Hassan Rafiq,S/O Nadia Hashmi,4210163276641,PK0004709004943,0.0,3234414.0,2011-04-13,Active,37714.0
Noor Virk,S/O S/O Nadia Karim,3520231451578,PK0015870854579,0.0,71581.0,2003-08-25,Active,4237.0
Asif Chattha,S/O Hina Hashmi,2130176916943,PK0006328306011,0.0,1906879.0,2002-05-15,Active,98234.0
Asif Gondal,S/O Faisal Bhatti,,PK0011636045484,1419315.0,10854058.0,2016-05-23,Active,619209.0
Hina Sheikh,S/O Hussain Zaidi,3520282894252,PK0007790256940,0.0,1601240.0,2005-11-30,Active,33284.0
Fatima Syed,S/O Mirza Rafiq,6110135981746,PK0008253407200,0.0,232961.0,2018-05-25,Active,16867.0
Ahmed Hussain,S/O Baig Hashmi,5400099358075,PK0005249926919,2057297.0,5286019.0,2016-04-21,Active,199357.0
Tariq Bhatti,S/O Mohammad Khan,2130170145839,PK0004899925830,0.0,1286934.0,2002-11-20,Active,18936.0
Raja Latif,S/O عمر شیخ,4400023263012,PK0009678722458,3402561.0,10412194.0,2006-05-03,Active,582155.0
Zainab Nawaz,S/O Rabia Hashmi,4400046749484,PK0005902099969,0.0,318508.0,2015-11-08,Active,10831.0
Nadia Malik,S/O مریم چودھری,6110149586179,PK0010560027313,0.0,1529535.0,2011-10-10,Active,44694.0
Rizwan Karim,S/O Zubair Hussain,6110162006799,PK0015726563708,0.0,254268.0,2018-10-12,Active,29830.0
Sajid Raza,S/O Shoaib Jafri,5400025618717,PK0007488690725,0.0,210322.0,2001-08-23,Active,58580.0
Aamir Jafri,S/O Hina Zaidi,4400029119573,PK0004248532577,0.0,1227172.0,2018-10-28,Active,77583.0
Ayesha Syed,S/O Naveed Gilani,6110155201938,PK0009629908599,0.0,133274.0,2010-05-07,Active,27120.0
Zubair Chaudhry,S/O Amna Gujjar,1330299490059,PK0002911514914,0.0,2139031.0,2020-07-31,Active,18771.0
Zubair Gondal,S/O Noor Rafiq,6110180149387,PK0001217734861,0.0,1522892.0,2004-01-04,Frozen,57767.0
Bilal Bhatti,S/O Ibrahim Nawaz,4210142812924,PK0003773715057,0.0,206427.0,2018-02-25,Active,14103.0
Uzma Hussain,S/O Syed Karim,5400053814325,PK0003950488739,0.0,2410530.0,2015-06-09,Active,96562.0
Raja Syed,S/O Tahir Qureshi,3520269262782,PK0011553290810,554452.0,2924948.0,2010-02-02,Active,394665.0
Hamid Gondal,S/O Aamir Raja,4400040681625,PK0010168212356,0.0,944133.0,2011-04-23,Active,21387.0
Naveed Qureshi,S/O Qureshi Gujjar,1330249404415,PK0007509760584,0.0,1047591.0,2011-05-11,Dormant,34867.0
Omar Karim,S/O Noor Sheikh,4210174756629,PK0010602564736,0.0,2513688.0,2020-11-11,Frozen,34134.0
احمد خان,S/O S/O Amna Bukhari,1330256535916,PK0009369953851,0.0,2897365.0,2000-09-18,Active,71075.0
,S/O Faisal Jafri,2130164739132,PK0009112327652,0.0,86799.0,2021-06-15,Active,7050.0
Rizwan Malik,S/O Maryam Ansari,,PK0011873869166,0.0,3028996.0,2007-06-07,Active,38967.0
Sheikh Raza,S/O Malik Hussain,2130129616146,PK0002831980933,0.0,1155107.0,2017-09-22,Active,23042.0
,S/O محمد حسن,2130158753429,PK0015676567501,0.0,2738694.0,2016-05-24,Active,227228.0
Shoaib Ansari,S/O Zainab Rizvi,3520261895303,PK0013386501362,0.0,98456.0,2014-12-01,Active,12621.0
Haid Rafiq,S/O ابراہیم ملک,5400066756569,PK0013788227492,0.0,323993.0,2002-02-22,Dormant,43060.0
Chaudhry Baig,S/O Naeem Qureshi,2130171355961,PK0006219778234,0.0,4914772.0,2018-06-12,Active,106375.0
Imran Syed,S/O Hussain Tarar,3520281512861,PK0005566825638,0.0,516973.0,2018-09-29,Active,12150.0
Sana Chaudhry,S/O Usman Hussain,6110199724834,PK0003587182120,0.0,,2016-12-06,Active,25516.0
Nadia Gujjar,S/O Bushra Khan,3520250565876,PK0001875340444,0.0,2507052.0,2021-10-04,Active,31064.0
Asif Raza,S/O Fatima Hameed,2130141191346,PK0015872751234,0.0,124094.0,2022-12-24,Active,49317.0
Amna Chaudhry,S/O Sobia Virk,1330214888045,PK0005637500247,0.0,4254314.0,2018-02-16,Active,169808.0
Naveed Syed,S/O Tariq Baig,5400018601776,PK0013291825997,0.0,1492742.0,2002-07-23,Active,88147.0
Sana Sheikh,S/O Muhammad Cheema,4400041206979,PK0009214257751,0.0,5317372.0,2008-04-07,Active,184901.0
Asma Tarar,S/O Rabia Abbasi,1330252607573,PK0014771410971,0.0,904850.0,2006-12-31,Active,46174.0
Iqra Rafiq,S/O Kamran Hussain,5400089423237,PK0005786066793,0.0,65666.0,2004-09-06,Active,11679.0
,S/O Ayesha Akhtar,2130196424705,PK0009753876785,2267464.0,11591636.0,2019-06-11,Active,298910.0
Naeem Chattha,S/O Iqra Chattha,1330246229932,PK0004264109919,0.0,1292551.0,2008-09-28,Active,39933.0
Ayesha Bhatti,S/O احمد خان,4400051591828,PK0006918739736,0.0,2776519.0,2019-10-16,Active,94040.0
Sana Hussain,S/O Khalid Bukhari,4400050344537,PK0003679153816,0.0,168002.0,2004-04-15,Active,
Rukhsar Ansari,S/O Naveed Qureshi,3520235932791,PK0013669462919,0.0,588193.0,2009-09-11,Active,9135.0
Malik Chaudhry,S/O Malik Abbasi,5400063804295,PK0015100614068,0.0,1093652.0,2018-05-10,Active,25995.0
Ayesha Hussain,S/O Mirza Syed,3520260778039,PK0010448059918,0.0,354875.0,2014-09-30,Active,46398.0
Adnan Gujjar,S/O Kashif Karim,5400061430488,PK0008120912992,3905661.0,,2010-07-23,Frozen,443888.0
Usman Raja,S/O Hamid Bukhari,6110134386878,PK0002489747629,0.0,687756.0,2000-04-25,Active,37592.0
Iqra Raja,S/O Adnan Karim,5400073131258,PK0015992994062,0.0,372971.0,2002-05-30,Active,14040.0
Tahir Zaidi,S/O Ibrahim Iqbal,2130163093854,PK0013430190783,0.0,5111052.0,2004-05-04,Active,105255.0
,S/O Mehwish Chattha,1330294354127,PK0004162196678,0.0,4931087.0,2011-02-23,Frozen,107426.0
Tariq Raza,S/O Hassan Gilani,5400057112014,PK0004709194872,0.0,,2015-05-31,Active,83341.0
Asma Sheikh,S/O Ali Raja,2130181156664,PK0002191969690,0.0,6384023.0,2001-04-12,Dormant,113726.0
Mirza Cheema,S/O Khalid Ansari,5400038185295,PK0012621828280,0.0,1698874.0,2008-07-10,Dormant,120199.0
Zubair Khan,,4210173317969,PK0014174316370,0.0,670402.0,2015-04-22,Active,46913.0
Raja Qureshi,S/O Ali Hameed,6110160513708,PK0013671988889,0.0,10913544.0,2011-09-05,Dormant,226504.0
Mehwish Ahmed,S/O Aamir Iqbal,1330270868612,PK0013235034324,0.0,264921.0,2015-08-04,Active,12792.0
Naveed Akhtar,S/O Ibrahim Sandhu,44000-6120290-4,PK0003808402051,0.0,2339910.0,2017-05-31,Dormant,73337.0
Tahir Virk,S/O Sidra Ali,1330298314142,PK0008690347116,0.0,929549.0,2001-06-04,Active,21111.0
Sobia Butt,S/O Aamir Naqvi,4400090612157,PK0003384602384,3556231.0,21551297.0,2006-02-23,Active,430696.0
Kamran Ansari,S/O S/O Sheikh Sandhu,6110186538274,PK0009751325257,0.0,6366576.0,2012-09-01,Active,149244.0
Malik Chattha,S/O Sajid Aslam,1330296931695,PK0007327416584,0.0,859436.0,2002-06-22,Active,73433.0
فاطمہ خان,S/O Ali Bhatti,4210141927272,PK0015679064766,0.0,3023696.0,2014-04-18,Active,116063.0
Salman Sandhu,S/O Rizwan Cheema,6110196178836,PK0013883757514,0.0,420528.0,2009-09-15,Active,12872.0
Bushra Aslam,S/O Shazia Abbasi,5400024251006,PK0012315984311,,517986.0,2016-07-09,Active,52291.0
Kashif Rizvi,S/O Imran Rafiq,2130183759559,PK0012434702822,2333469.0,8102883.0,2004-07-03,Dormant,317971.0
Malik Ahmed,S/O Hamid Hashmi,5400091350328,PK0007821218382,0.0,1197633.0,2019-09-11,Active,
Muhammad Hashmi,S/O Fatima Sandhu,1330232622042,PK0011500957212,0.0,203909.0,2021-03-24,Active,33017.0
Maryam Ahmed,S/O Bilal Akhtar,4400064205778,PK0008655742829,0.0,287100.0,2017-05-27,Active,66598.0
Hassan Abbasi,S/O Hassan Ansari,3520298169575,PK0008229927269,0.0,5168515.0,2012-01-02,Active,67614.0
Faisal Latif,S/O Asif Virk,2130137687948,PK0004341266931,0.0,436301.0,2017-04-22,Active,13497.0
Salman Bukhari,S/O Sidra Gilani,5400011477012,PK0002463016614,0.0,39103.0,2006-07-20,Dormant,6816.0
Iqra Hashmi,S/O Iqra Bhatti,1330215166419,PK0001731691672,0.0,513123.0,2021-05-30,Dormant,9392.0
Mohammad Butt,S/O Muhammad Akhtar,6110150434364,PK0009347083812,0.0,608370.0,2022-01-20,Active,12529.0
Aamir Bhatti,S/O عائشہ احمد,1330211210979,PK0010336456621,7290620.0,21222437.0,2015-02-16,Active,1474255.0
Ahmed Zaidi,S/O Tariq Hashmi,6110194847572,PK0001176228245,0.0,441975.0,2000-01-17,Dormant,73846.0
Saira Nawaz,S/O Muhammad Hameed,5400068279751,PK0012777641645,2248733.0,12852576.0,2018-10-06,Dormant,499522.0
Sheik hButt,S/O Ayesha Butt,,PK0001345824373,1277722.0,6982881.0,2017-11-12,Active,320343.0
Zubair Virk,S/O Syed Syed,4400069572746,PK0002133729406,4994867.0,7363191.0,2016-08-29,Active,355035.0
Imran Malik,S/O Rabia Rana,3520223418703,PK0014454794895,0.0,997028.0,2001-03-05,Active,47364.0
Hamid Khan,S/O Waseem Hameed,4400050461312,PK0002652070932,1563069.0,12138591.0,2010-11-25,Dormant,365486.0
Sidra Sandhu,S/O Faisal Virk,5400026788867,PK0004399012686,0.0,189724.0,2010-02-21,Active,16706.0
Naeem Nawaz,S/O Noor Virk,6110147548452,PK0011621209849,0.0,347673.0,2013-05-06,Active,18858.0
Nadia Rizvi,S/O Tariq Karim,4210190361167,PK0004678998028,0.0,1361523.0,2018-04-05,Active,33655.0
Ali Gilani,S/O Maryam Chattha,4210151396655,PK0003876693898,0.0,2955057.0,2018-07-23,Dormant,99313.0
Sidra Nawaz,S/O Bilal Gondal,4400024420638,PK0015713152854,0.0,1587179.0,2008-10-03,Dormant,110108.0
Arif Gilani,S/O Waseem Nawaz,5400051054325,PK0010607526654,2776059.0,4634325.0,2000-09-18,Active,249930.0
Hussain Hashmi,S/O Hashmi Virk,4400078038144,PK0004942478695,0.0,1107298.0,2000-03-12,Active,82868.0
Sidra Qureshi,S/O Hamid Aslam,,PK0008967043303,0.0,3206893.0,2011-01-21,Active,49767.0
Bushra Latif,S/O Aamir Sandhu,4400017781224,PK0007304451095,0.0,1957375.0,2005-07-30,Dormant,130099.0
Sheikh Khan,S/O Baig Bhatti,4210179300889,PK0002204078666,0.0,621180.0,2003-01-25,Active,71232.0
Faisal Syed,S/O Hina Hameed,,PK0011562837684,0.0,1660507.0,2022-05-22,Active,34581.0
محمد احمد,S/O Muhammad Iqbal,3520220269169,PK0006554814084,0.0,2602889.0,2003-05-21,Active,73819.0
Sidra Tarar,S/O عمر شیخ,6110130269242,PK0007601463916,0.0,2097527.0,2004-04-20,Active,69228.0
Asif Chattha,S/O Baig Karim,4210132346218,PK0014882839238,0.0,467407.0,2021-03-10,Dormant,22104.0
Rabia Rana,S/O Hamid Gilani,2130136524473,PK0001823019672,0.0,1448486.0,2019-11-12,Active,64608.0
Fatma Naqvi,S/O Tariq Sandhu,6110116059579,PK0011793830224,0.0,1704923.0,2005-11-07,Dormant,60376.0
Ibrahim Gondal,S/O Adnan Akhtar,4210140833901,PK0002165082363,0.0,146200.0,2011-08-10,Active,18196.0
محمد علی,S/O Nadia Chattha,2130191186043,PK0007881913386,2638825.0,5106798.0,2005-10-22,Active,377368.0
صنا ملک,S/O Aamir Abbasi,6110154974184,PK0006959629660,8041681.0,54855131.0,2016-10-17,Dormant,1544756.0
علی حسین,S/O Hassan Mirza,3520238809523,PK0014217326729,0.0,1016830.0,2006-09-15,Active,9792.0
Hamid Naqvi,S/O Omar Iqbal,1330285794338,PK0004305718272,0.0,563780.0,2003-10-12,Active,16129.0
Mohammad Aslam,S/O Hassan Akhtar,1330290541968,PK0004675832441,0.0,2586663.0,2012-05-02,Active,58684.0
Sheikh Ahmed,S/O Nadia Abbasi,4210166154312,PK0008250519597,,36985695.0,2022-12-10,Active,488890.0
Rizwan Akhtar,S/O Maryam Rafiq,3520271213553,PK0007297018781,0.0,1176109.0,2002-07-21,Active,42384.0
عمر شیخ,S/O Khalid Iqbal,4400040030064,PK0005596743109,0.0,824966.0,2013-04-08,Active,82531.0
Syed Hameed,S/O Ibrahim Baig,3520261890585,PK0004180943908,,1650968.0,2005-04-27,Active,45566.0
Sana Jafri,S/O Hussain Akhtar,5400096421443,PK0008967607278,0.0,1261831.0,2004-07-15,Active,28370.0
Rizwan Aslam,,,PK0014690907304,0.0,165471.0,2022-07-23,Active,10054.0
Hina Sheikh,,3520296346925,PK0002154318806,303684.0,16081131.0,2010-07-02,Dormant,299804.0
Ibrahim Sandhu,S/O Iqra Karim,5400023462746,PK0011680451872,0.0,306666.0,2022-04-08,Active,24618.0
Waseem Raja,S/O Zubair Ansari,2130183920428,PK0014115846122,0.0,4323671.0,2000-03-13,Dormant,159066.0
Hussain Bukhari,S/O Waseem Sandhu,4210134792597,PK0002909134796,0.0,3608720.0,2005-10-17,Active,61593.0
عمر شیخ,S/O Tariq Karim,3520274633372,PK0014353810544,2320017.0,13447963.0,2001-07-29,Active,188126.0
Rabia Abbasi,S/O عمر شیخ,4400094246879,PK0003536383774,0.0,2744141.0,2003-06-25,Active,89197.0
Asif Aslam,S/O Tariq Naqvi,6110148765268,PK0008616854671,0.0,32362.0,2004-03-31,Dormant,11945.0
Ayesha Jafri,S/O Imran Abbasi,4210163544244,PK0004530613729,0.0,1962225.0,2011-09-30,Frozen,
Tahir Nawaz,S/O Kashif Karim,2130135751586,PK0015162959284,0.0,1254757.0,2001-06-24,Active,42298.0
Asma Butt,S/O Ibrahim Chattha,5400040296531,PK0003506919288,0.0,1571554.0,2000-03-29,Frozen,41552.0
Hassan Mirza,S/O Hassan Ali,2130143775488,PK0001519212169,0.0,7798054.0,2001-05-03,Active,126129.0
Hina Sheikh,S/O Sajid Aslam,2130197410225,PK0005941889393,0.0,228320.0,2015-06-07,Active,4459.0
Hussain Baig,S/O Tahir Hashmi,4210150264097,PK0013588561518,0.0,67342.0,2021-04-02,Active,5579.0
Ayesha Chattha,S/O Hamid Abbasi,2130115230671,PK0005554200826,0.0,1788950.0,2014-04-20,Active,73609.0
علی حسین,S/O Nadia Ahmed,3520247835958,PK0012884374109,0.0,8543238.0,2018-07-22,Active,134865.0
Kashif Mirza,S/O زینب علی,5400069035461,PK0013696751693,1023982.0,5762938.0,2005-05-24,Dormant,168305.0
ابراہیم ملک,,3520258532473,PK0011871385010,0.0,662105.0,2021-05-31,Dormant,33087.0
Waseem Raja,S/O Zainab Ahmed,5400011956881,PK0008266211829,0.0,2021206.0,2017-01-04,Active,71567.0
Hussain Sheikh,S/O Asif Cheema,4400074454145,PK0004418587604,0.0,2758851.0,2021-08-31,Active,138685.0
Kahsif Raza,S/O Sana Hameed,4400075836886,PK0004162795957,0.0,675665.0,2004-02-24,Active,18805.0
Rizwan Akhtar,S/O Kashif Akhtar,4210146442171,PK0010889991777,1162952.0,,2012-04-05,Active,303584.0
Hashmi Hashmi,S/O محمد علی,4210185569617,PK0009165452690,0.0,296815.0,2011-04-21,Active,46515.0
Khalid Latif,S/O Hamid Sandhu,6110145770474,PK0012436730606,1173588.0,7857196.0,2004-06-13,Active,341246.0
Khlaid Naqvi,S/O Sobia Khan,6110118470154,PK0001153839920,0.0,2868930.0,2011-11-06,Active,70996.0
Rukhsar Hussain,S/O Fatima Ali,6110179088775,PK0010611947770,0.0,329316.0,2019-05-12,Active,14058.0
Ibrahim Qureshi,S/O Sheikh Iqbal,1330275385085,PK0009670292350,0.0,745497.0,2016-07-22,Active,127502.0
Rabia Sandhhu,S/O Khalid Zaidi,6110175979805,PK0003161073976,0.0,,2002-02-17,Active,282222.0
Hina Khan,S/O نادیہ رضا,3520270729921,PK0009186019028,0.0,702470.0,2006-07-23,Active,26382.0
Asif Chaudhry,S/O Imran Qureshi,3520252509581,PK0014299528037,0.0,2332665.0,2017-12-17,Dormant,56338.0
,S/O Fatima Iqbal,2130122739834,PK0002738914080,0.0,2892467.0,2002-08-01,Dormant,116184.0
Aamir Hameed,S/O Baig Rafiq,6110160848246,PK0002825003955,0.0,3394814.0,2015-07-28,Active,90916.0
Shoaib Akhtar,S/O Faisal Nawaz,5400045639694,PK0014352548261,0.0,2099935.0,2009-08-21,Active,42193.0
Aamir Nawaz,S/O Sidra Qureshi,4210135862128,PK0007228727266,0.0,225089.0,2013-10-13,Dormant,11426.0
Sidra Khan,S/O Tahir Butt,4210142041807,PK0015711684318,0.0,1772601.0,2018-04-23,Active,67845.0
محمد حسن,S/O Tahir Syed,,PK0004721609600,0.0,1199470.0,2007-04-15,Dormant,54589.0
Amhed Baig,S/O Khalid Bukhari,3520257038789,PK0010142672287,0.0,1303192.0,2020-02-03,Active,23701.0
Asif Raza,S/O Tahir Khan,3520211972925,PK0010188029013,0.0,238873.0,2022-12-21,Active,75179.0
Faisal Baig,S/O Shazia Zaidi,1330282644846,PK0007805849060,0.0,1847128.0,2008-11-09,Dormant,132874.0
Naveed Jafri,S/O Zubair Rizvi,2130175199775,PK0010706907788,0.0,246560.0,2014-08-22,Active,14993.0
,S/O Mirza Nawaz,4400015206652,PK0009439699535,0.0,1063638.0,2006-02-25,Active,169041.0
Tariq Ahmed,S/O Malik Sheikh,1330240199088,PK0015379995032,0.0,1676044.0,2005-11-29,Active,41343.0
محمد علی,S/O Rukhsar Latif,3520234963911,PK0004819112790,0.0,2351868.0,2015-10-22,Active,104525.0
Bushra Nawaz,S/O Imran Ali,1330243048912,PK0012437352358,0.0,2152897.0,2006-07-17,Active,44261.0
Mehwish Ansari,S/O Naeem Gujjar,1330235045217,PK0004385201412,0.0,2522638.0,2000-10-02,Active,42072.0
Tariq Virk,S/O Naeem Hussain,1330220776218,PK0007240529481,0.0,1025644.0,2022-07-04,Active,35742.0
Kashif Syed,S/O Mohammad Hussain,4210121008705,PK0011793101194,0.0,214465.0,2007-10-27,Frozen,13315.0
Mirza Nawaz,S/O Hussain Sheikh,5400019360009,PK0005590941149,0.0,237976.0,2001-12-11,Active,7404.0
Asma Malik,S/O Shazia Tarar,4400026816255,PK0006907308348,0.0,9095411.0,2007-10-28,Active,266145.0
Bushra Naqvi,S/O Imran Bhatti,3520248407141,PK0015177892576,0.0,1162727.0,2001-01-21,Active,22225.0
Sana Naqvi,S/O Uzma Gondal,2130120456476,PK0001592080329,0.0,274775.0,2000-12-23,Active,4583.0
Hassan Sheikh,S/O Mohammad Gilani,4210175858474,PK0010704509817,0.0,6433925.0,2009-05-19,Active,141500.0
Rukhsar Aslam,S/O Saira Abbasi,3520244992877,PK0002178663096,,435795.0,2015-02-12,Active,16033.0
Kashif Nawaz,S/O Chaudhry Sandhu,21301-4642197-1,PK0009328872698,0.0,198192.0,2001-11-09,Active,
Sheikh Bhatti,S/O Sobia Cheema,4400013099107,PK0009384756779,0.0,753877.0,2016-07-24,Frozen,55745.0
Iqra Cheema,S/O Rizwan Raza,3520296737792,PK0003474745382,0.0,205391.0,2001-09-26,Frozen,48611.0
Khalid Butt,S/O Nadia Virk,4210146946122,PK0015173864104,0.0,1275029.0,2003-01-19,Dormant,62233.0
