CNIC,Name,Father_Name,Declared_Income,Tax_Paid,NTN,Filing_Status,Contact_No
2130158753429,Hina Zaidi,S/O محمد حسن,3400463,729604,NTN-367943,Filer,03227351367
1330299457091,Asif Ansari,S/O Naeem Gilani,126198,0,NTN-149494,Filer,03468117053
4210162028075,Aamir Hussain,S/O Aamir Gilani,440709,0,NTN-337718,,03028231916
2130198036198,Kamran Jafri,S/O Maryam Sandhu,1419693,260729,NTN-495819,Filer,03116526237
4400054778506,Aamir Zaidi,S/O Khalid Rafiq,1508978,174029,NTN-558944,Filer,03322376303
3520276513247,Bushrra Ahmed,S/O Asma Tarar,978271,141399,NTN-421422,Non-Filer,03317044338
4210142260499,Mohammad Hameed,S/O Waseem Akhtar,,408678,NTN-570610,Filer,03025068753
1330282840095,Hina Malik,S/O Ahmed Hashmi,3103193,306944,NTN-576722,Filer,03321697317
2130145802916,عائشہ احمد,S/O Sheikh Nawaz,6103081,911922,NTN-756357,Filer,03023186727
1330226847484,Sana Zaidi,,6418171,1603670,NTN-815573,Filer,03024283164
6110125680815,Ibrahim Bukhari,S/O Arif Hussain,1366401,293016,NTN-768257,Filer,03036772586
2130150325267,Ibrahim Gilaani,S/O Sana Sheikh,156703,0,NTN-200384,Filer,03222248828
6110127757117,Sajid Rana,S/O فاطمہ خان,480775,0,NTN-521841,Filer,03138933671
4210165413545,Ayesha Latif,S/O Shoaib Gondal,486758,0,NTN-104141,Filer,03024988268
5400086018895,Tariq Aslam,S/O Imran Ahmed,3021391,638993,NTN-860189,Filer,
6110130669983,Aamir Baig,S/O Iqra Bukhari,668380,,,Non-Filer,03021544957
4210177150051,Mirza Ansari,S/O Naveed Zaidi,787852,123052,NTN-551779,Non-Filer,03334074000
3520276366358,Syed Gilani,S/O Salman Butt,2245438,315726,NTN-519948,Filer,03017751276
1330241684366,Rukhsar Bukhari,S/O Hashmi Abbasi,580489,0,NTN-156397,Filer,03135619072
2130132212231,Sana Hameed,S/O Sobia Gondal,225860,0,NTN-418259,Non-Filer,03326489924
5400071749967,Hussain Akhtar,S/O Naveed Ahmed,179439,0,NTN-176059,Non-Filer,03227782288
4400063622422,Naeem Rizvi,S/O عائشہ احمد,4320496,274854,NTN-994657,Filer,03452808399
3520220132694,Hamid Cheema,S/O Qureshi Hameed,826793,107926,NTN-847794,Filer,03111869156
4210161234262,Rukhsar Qureshi,S/O Imran Baig,11869793,2346755,NTN-381554,Filer,03227517332
1330265544744,Mirza Mirza,,1875341,423292,NTN-652733,Filer,03127414620
6110173498223,Sidra Cheema,S/O Omar Aslam,433864,0,NTN-873978,Filer,03465955190
5400053740384,Ayesha Abbasi,S/O Fatima Ali,1933810,306669,NTN-994971,Filer,03458649392
2130120304177,Syed Hussain,S/O Noor Hussain,2695038,543873,NTN-583389,Filer,03122804298
3520272085475,Sidra Tarar,S/O Kashif Baig,1027798,133973,NTN-384673,Filer,03138340617
4210175298776,Shazia Bukhari,S/O Mirza Qureshi,1207182,85457,NTN-276549,Filer,03219202607
6110192123765,Waseeem Syed,S/O Iqra Sheikh,401107,0,NTN-185401,Filer,03322807922
4400049596074,Maryam Rana,S/O Arif Khan,1066515,139747,NTN-822983,Filer,03008193891
4400074962591,نادیہ رضا,,3708064,292865,NTN-534280,Filer,03139459049
2130182001802,Ibrahim Syed,S/O Zainab Rana,1453729,146389,NTN-730404,Filer,03033789161
4400075836886,Kasshif Raza,S/O Sana Hameed,495925,,NTN-509174,Non-Filer,03001868273
5400074508669,Nadia Baig,S/O Sidra Rafiq,767996,148958,NTN-713483,Filer,03038614959
4400054385247,Zubair Ansari,S/O Waseem Naqvi,3464446,400177,NTN-491854,Filer,03023991642
3520254421359,Bilal Hashmi,S/O Omar Jafri,2581290,303059,NTN-502741,Filer,03132951927
4210142027449,Sajid Chattha,S/O Qureshi Iqbal,1731771,169114,NTN-703644,Filer,03228551041
4400091339469,Slaman Chattha,S/O Maryam Abbasi,345325,0,NTN-224324,Non-Filer,03017772462
5400062450242,Zainab Akhtar,S/O Adnan Syed,640498,86850,NTN-351281,Filer,03217178098
2130132198623,Mohammad Khan,S/O S/O Waseem Naqvi,133687,0,NTN-287226,Filer,03137316209
6110181234797,Adnan Cheema,S/O Adnan Karim,1123292,177715,NTN-976408,Filer,03321451244
3520271373349,Tahir Rana,S/O Tahir Chaudhry,3908413,492769,NTN-356894,Filer,03132892851
5400085870418,Ayesha Sandhu,S/O Syed Naqvi,1736793,340992,NTN-221073,Filer,03213585615
3520277769891,Sheikh Hussain,S/O Baig Iqbal,2208407,298307,NTN-239680,Filer,03469413811
4400071151389,Fatima Karim,S/O Asma Raza,1017013,215663,NTN-866228,Filer,03332033285
6110177864165,Bilal Butt,S/O Hussain Syed,1948681,294755,NTN-338197,Filer,03227441237
1330228035017,Faisal Raza,S/O Khalid Akhtar,535063,0,NTN-741627,Non-Filer,03457765480
2130162412569,Waseem Mirza,S/O Fatima Rafiq,2347546,415178,NTN-221580,Filer,03035189693
2130156984716,Hamid Tarar,S/O Hina Tarar,575312,0,NTN-295137,,03321088005
4400011918595,Rukhsar Bukhari,S/O Asma Chaudhry,338175,0,NTN-121967,,03002983483
4210174198772,Hashmi Gilani,S/O Ahmed Naqvi,807752,58735,NTN-562739,Filer,03212469071
4210124933731,Tariq Ahmed,S/O Sidra Naqvi,2007223,381205,NTN-870040,Filer,03329538335
4400011084046,Salman Rafiq,S/O Waseem Qureshi,3278408,384392,NTN-660766,Filer,03456078183
1330235045217,Mehwish Ansri,S/O Naeem Gujjar,834532,86124,NTN-469721,Filer,03214921224
4400094246879,Rabia Abbasi,S/O عمر شیخ,1750840,350870,NTN-619254,Filer,03133825285
3520260607819,,S/O Rizwan Mirza,1144592,222010,NTN-371666,Filer,03135401782
6110167005062,Hassan Baig,S/O Fatima Gujjar,3628323,545613,NTN-463169,Filer,03026034918
2130148114828,Arif Raza,S/O Hina Iqbal,3525026,221943,NTN-502077,Filer,03135979323
2130126094285,Ayesha Rizvi,S/O Tariq Sandhu,251764,0,NTN-666316,Filer,03008591255
3520252755545,Adnan Zaidi,S/O Mohammad Gujjar,5544848,917212,NTN-644892,Filer,03225318168
,Hussain Rana,S/O Rukhsar Iqbal,345687,0,NTN-358299,Filer,03128291756
5400033244366,Kashif Khan,S/O Sobia Aslam,1672202,328029,NTN-558140,Filer,03023923131
5400090050081,Rabia Iqbal,S/O Kashif Tarar,9044454,1827480,NTN-234981,Filer,03032978268
4400020902155,Ahmed Hussain,S/O Noor Latif,154884,0,NTN-638743,Non-Filer,03328289875
6110140185516,Noor Mirza,S/O Fatima Naqvi,692755,99359,NTN-634635,Non-Filer,03024637721
4400053943565,Ali Aslam,S/O Arif Virk,4712733,1006266,NTN-204800,Filer,03337294416
2130188023775,Sajid Gujjar,S/O Qureshi Chaudhry,494955,0,NTN-461395,Non-Filer,03003535551
6110158696457,محمد علی,S/O Zubair Bhatti,167277,0,NTN-238569,Filer,03023034798
3520255313765,Ayesha Raza,S/O Aamir Gilani,354635,0,NTN-263914,Filer,03219990857
1330215769385,Shazia Hussain,S/O Ayesha Mirza,780498,126471,NTN-629728,Non-Filer,03311286174
4400097248062,Bushra Cheema,S/O Sana Hameed,1952967,233928,NTN-510731,Filer,03452218828
4210152349935,Aamir Qureshi,S/O Adnan Aslam,,0,NTN-891958,,03463621296
1330274247766,Mirza Tarar,S/O Sidra Syed,10086733,592812,NTN-130932,Filer,03315651273
4400021897172,Sobia Gujjar,S/O Hassan Zaidi,1978737,353515,NTN-646120,Filer,03112826302
1330276059461,Malik Latif,S/O Noor Cheema,216499,0,NTN-549319,Non-Filer,03468729984
1330299861731,Tahir Virk,S/O Asma Gilani,14416183,1808133,NTN-862973,Filer,03227463181
2130131199335,Muhammad Hussain,S/O Qureshi Cheema,3392400,227357,NTN-466676,Filer,03335087844
6110122266705,Sobia Bukhari,S/O Naeem Tarar,1481526,201772,,Filer,
4400026424409,Usman Hashmi,S/O Imran Ahmed,1318520,265839,NTN-884947,Filer,03026144906
4210171042994,Sheikh Hussain,S/O Malik Chattha,3357028,328679,NTN-557969,Filer,03467535774
2130163978923,Asif Baig,S/O Mehwish Ali,649928,78397,NTN-954767,Filer,03315139326
3520212138992,Raja Gujjar,S/O Naveed Chattha,1444378,283967,NTN-188559,Filer,03329289690
3520226561807,Sheikh Gilani,S/O Rukhsar Akhtar,1879234,395137,NTN-518852,Filer,03116399467
3520217407611,احمد خان,S/O Zainab Butt,933468,108387,NTN-187686,Non-Filer,03023144606
1330242845605,Rabia Gilani,S/O Noor Syed,846385,58206,NTN-906372,Filer,03466693407
1330266136975,Shoaib Syed,S/O Imran Rafiq,3496991,423711,NTN-592408,Filer,03129960074
3520222852514,Fatima Naqvi,S/O Shazia Gilani,1257355,283670,NTN-199524,Filer,03227576929
3520233149699,Qureshi Raja,S/O Kashif Mirza,775384,42564,NTN-494302,Non-Filer,03019219270
3520235491981,Sajid Nawaz,S/O Adnan Gujjar,1232773,166592,NTN-117693,Filer,03038851100
2130141122543,Zubair Abbasi,S/O Rabia Gilani,975241,65743,NTN-786329,Filer,03211545959
,Rabia Gilani,S/O Mehwish Iqbal,1372124,102629,NTN-336446,,03014813626
1330278654172,,S/O Arif Hussain,,0,NTN-714416,Non-Filer,03017591709
4210135688921,Syed Malik,S/O Aamir Hashmi,1110129,108508,NTN-997356,Filer,03321462630
1330270848622,,S/O Tariq Gilani,10429091,2576085,NTN-940192,Filer,03327017548
3520288926067,Asma Chattha,S/O Shoaib Malik,3575039,188467,NTN-749154,Filer,03018905709
4400093855126,,S/O Fatima Tarar,827500,65834,NTN-207925,Filer,03219103333
3520293503449,Waseem Naqvi,S/O Arif Malik,1037056,206758,NTN-495421,Filer,03002014128
4400038705709,Qureshi Aslam,S/O Hamid Raja,1932121,349564,NTN-878889,Filer,03003805111
2130168849807,Arif Sandhu,S/O Sobia Akhtar,181313,0,NTN-744213,Filer,03332586848
4210197985567,Aamir Gujjar,S/O Ali Gilani,1311007,219879,NTN-681305,Filer,03313161087
2130161242229,Chaudhry Latif,S/O Mirza Hussain,3845311,950894,NTN-920740,Filer,03332886213
1330227108503,Mirza Jafri,S/O Baig Butt,1502816,299002,NTN-924351,Filer,03215284645
1330236826941,Bilal Aslam,S/O Raja Hameed,1117981,158454,NTN-242893,Filer,03039528809
4210118721777,Mohammad Malik,S/O Baig Hashmi,1098254,247602,NTN-947736,Filer,03325688198
5400070099802,Kashif Ansari,S/O Shoaib Jafri,4027305,625197,NTN-356021,Filer,03134554277
2130198765984,Mehwish Syed,S/O Ahmed Sheikh,816502,156681,NTN-841962,Non-Filer,03464311495
3520291643012,Arif Akhtar,S/O Ibrahim Virk,11386068,1555201,NTN-727906,Filer,03222638360
1330291962872,Shoaib Hashmi,S/O Rukhsar Mirza,1528289,171135,NTN-509111,Filer,03335303341
3520264354256,Maryam Ansari,S/O Hassan Ansari,3968692,663923,NTN-278683,Filer,03328141772
2130195077672,Qureshi Hameed,S/O Nadia Raza,1428262,147986,NTN-228742,Filer,03009708755
2130163123969,Sidra Abbasi,S/O Aamir Raja,3089196,706722,NTN-433486,Filer,03461110523
5400023931461,محمد حسن,S/O Rizwan Tarar,233435,0,NTN-738103,Filer,03323710352
4210147264868,Faisal Qureshi,S/O Nadia Ali,383358,0,NTN-491415,Non-Filer,03322870007
4400064689077,Bushra Akhtar,S/O Tahir Gilani,129276,0,NTN-436732,Filer,03032847722
5400068623409,Noor Chattha,S/O Faisal Naqvi,367608,0,NTN-525475,Filer,03452760200
3520252426653,Iqra Khan,S/O Aamir Tarar,6848244,,NTN-794367,,03321945805
6110130442434,Naveed Hameed,S/O Hashmi Hussain,818990,110844,NTN-998046,Filer,03137034034
2130144238425,Tariq Ahmed,S/O S/O Shoaib Ahmed,181683,0,NTN-572442,Filer,03451433356
3520270655026,Hassan Baig,S/O Malik Butt,7693729,1842960,NTN-523411,Filer,03322128985
5400021536517,Syed Ansari,S/O Mirza Abbasi,1049436,70695,NTN-685584,Filer,03024450687
3520263876214,Ahmed Latif,S/O Tahir Jafri,1478891,177300,NTN-401716,Filer,03451270732
5400075022145,ابراہیم ملک,S/O Fatima Khan,3750979,574878,NTN-204139,,03112482006
3520262133876,Hamid Cheema,S/O Faisal Hashmi,973047,207665,NTN-483380,Filer,03458433918
2130137560961,Hashmi Qureshi,S/O Adnan Karim,431763,0,NTN-767492,Filer,03316731933
6110165828891,Sheeikh Iqbal,S/O Uzma Sandhu,3302149,358533,NTN-537247,Filer,03111545899
3520272898749,عائشہ احمد,S/O Bushra Aslam,799280,123182,NTN-642349,Filer,03456468795
4400075067538,Maryam Butt,S/O Salman Zaidi,7607756,876230,NTN-291163,Filer,03319513896
3520285340898,Sana Virk,S/O Usman Syed,1689802,211573,NTN-143156,Filer,03468017921
1330298341332,MalikCheema,S/O Sheikh Latif,9474568,2005375,NTN-290638,Filer,03003633108
3520218013656,Malik Sheikkh,S/O Omar Abbasi,221222,0,NTN-891896,Non-Filer,03462984214
4400073345308,Sheikh Rana,S/O Usman Rafiq,1521578,186375,NTN-290719,Filer,03226291925
4210118417834,Mehwish Hashmi,,271175,0,NTN-162272,Non-Filer,03214495412
4400032761718,Sajid Abbasi,S/O Asma Hashmi,1899178,295146,NTN-313929,Filer,03008148217
4400068133909,Bushra Akhtar,S/O Mehwish Bukhari,4750338,1142260,NTN-530818,Filer,03226447964
4210196790864,Uman Qureshi,S/O Usman Ahmed,1513100,111765,NTN-426032,Filer,03136466880
4210114639217,Hamid Aslam,S/O Nadia Sheikh,355245,0,NTN-297457,Non-Filer,03324338678
5400020352903,Saira Ali,S/O Asma Baig,1252185,226201,NTN-586855,Filer,03017612861
4400085775883,Hassan Malik,S/O Sheikh Chattha,2999915,693693,NTN-206451,Filer,03123239512
2130189187392,Naeem Bukhari,S/O Rizwan Gujjar,3029981,554866,NTN-292300,Filer,03339478488
3520291914984,Bilal Virk,S/O Asif Sheikh,784719,53022,NTN-761225,Filer,03219289884
4400065497576,Sajid Zaidi,,14861362,1096325,NTN-365081,Filer,03114867786
,Fatima Ansari,,1337214,315600,NTN-331779,Filer,03215928666
4210173998489,Hamid Butt,S/O Mirza Tarar,1282461,123179,NTN-989022,Filer,03112513225
1330225105388,Zainab Virk,S/O Kashif Rafiq,2388812,185759,NTN-329449,Filer,03467812225
4210149078822,Malik Malik,S/O Shazia Aslam,4344270,,NTN-448091,Filer,03338226768
4400029852168,Sana Rizvi,S/O Kamran Bukhari,3927519,738322,NTN-466214,Filer,03124185591
,,S/O Mohammad Khan,1790810,228979,NTN-357893,Filer,03132716512
6110123527036,Raja Hashmi,S/O Fatima Khan,337253,0,NTN-617714,Filer,03134569828
4210159550894,Chaudhry Hashmi,,1109472,134763,NTN-668335,Filer,03121768857
6110124198469,Arif Karim,S/O Maryam Syed,495120,0,NTN-289751,Non-Filer,03339591125
3520217315466,Nadia Rafiq,S/O Khalid Aslam,874032,91378,NTN-608875,Filer,03036832575
1330219023133,Arif Bhatti,S/O Rabia Hussain,274456,0,NTN-282781,Non-Filer,03133631549
3520229901207,Asma Naqvi,S/O Fatima Rana,4255570,,NTN-157497,Filer,03338276736
3520234822568,,S/O Hamid Sheikh,850473,135271,NTN-499713,Filer,03321380679
4400022504347,Ali Baig,S/O Hashmi Raza,521711,0,NTN-432177,Non-Filer,03013919842
1330278455639,Muhammad Raza,S/O S/O Hashmi Rana,222113,0,NTN-769799,Non-Filer,03214189967
3520237658162,Maryam Rana,S/O Bushra Hussain,583239,0,NTN-643318,Filer,03124132328
3520233905949,فاطمہ خان,S/O Mehwish Chattha,286228,0,NTN-919083,Non-Filer,03456761812
4210194221392,Hassan Iqbal,S/O Rukhsar Hameed,1360285,,NTN-864092,Filer,03004042014
4210146442171,Rizwan Akhtar,S/O Kashif Akhtar,6181856,366886,NTN-379889,Filer,03464590440
6110136721812,Khalid Chattha,S/O Iqra Jafri,4167120,538696,NTN-101121,Filer,03328999013
1330278612227,Saira Rizvi,S/O Mohammad Hussain,730301,92002,NTN-603673,Non-Filer,03216757197
3520256646021,Hussain Naqvi,S/O Tahir Sheikh,1552649,183208,NTN-183307,Filer,03115927882
3520271903194,Mehwish Gondal,S/O Sobia Raja,231920,0,NTN-719487,Non-Filer,03016309301
21301-7419206-6,Usman Qureshi,S/O Adnan Malik,7062557,1570205,NTN-866197,Filer,03025306506
6110170807622,Nadia Virk,S/O Bushra Baig,341029,0,NTN-339973,Non-Filer,03121373821
5400051869371,Ayesha Sandhu,S/O Raja Rizvi,2976478,544240,NTN-195847,Filer,03466545917
4210137823939,Tariq Baig,S/O Shoaib Bukhari,7575241,1550539,NTN-651742,Filer,03313452813
4210156099035,Amna Aslam,S/O Zainab Karim,6261719,659379,NTN-948788,Filer,03327329897
6110148439149,Asma Mirza,S/O مریم چودھری,2263989,171750,NTN-174071,Filer,03326435127
4400097698037,Kashif Baig,S/O Sidra Aslam,2046104,336945,NTN-775199,Filer,03332275012
4210182035141,Hamid Bhatti,S/O Asma Rizvi,2655600,341380,NTN-186806,Filer,03135696796
2130179027253,Muhammad Baig,S/O Sheikh Hameed,1490752,133577,NTN-130200,Filer,03122608107
2130174662667,Muhammaad Hameed,S/O علی حسین,267187,0,NTN-219083,Filer,03033549031
1330251517802,Maryam Raza,S/O Asma Zaidi,1956637,344860,NTN-944586,Filer,03012882551
1330268096083,Ahmed Ali,S/O Naeem Bhatti,644398,64332,NTN-772600,Non-Filer,03338669179
4400068186822,Hamid Malik,S/O Kamran Rafiq,1337157,323282,NTN-251491,Filer,03133273027
3520292117401,احمد خان,S/O Sidra Butt,,1555097,NTN-141980,Filer,03328357716
,Baig Naqvi,S/O Chaudhry Virk,931860,218268,NTN-936101,Non-Filer,03314146566
2130130650853,Fatima Mirza,S/O Qureshi Gilani,1901951,138042,,Filer,03312493955
1330252182929,Tarqi Virk,S/O Raja Aslam,1910900,411192,NTN-738604,Filer,03469384022
5400099644826,Sidra Rana,S/O Shazia Syed,238216,0,NTN-354096,Non-Filer,03321710615
5400063720667,Rukhsar Khan,S/O Arif Cheema,6142292,764780,NTN-440612,Filer,
4210137195325,Salman Raja,S/O Qureshi Malik,2540558,473562,NTN-626712,Filer,03336250607
35202-2287024-4,Sana Rizvi,S/O Bushra Karim,2958577,233921,NTN-211244,Filer,03119365912
6110154186919,Rukhsar Karim,S/O Malik Qureshi,1468647,122143,NTN-380939,Filer,03126514417
1330299760032,Noor Mirza,S/O Maryam Akhtar,246704,0,NTN-589667,Non-Filer,
4400043935889,Hassan Tarar,S/O زینب علی,378859,0,NTN-951625,Non-Filer,03035348266
4400015374118,Ayesha Gujjar,S/O Arif Rafiq,740498,115963,NTN-523855,Filer,03216980273
1330238166073,عائشہ احمد,S/O Shazia Bukhari,21338095,1521471,NTN-479037,Filer,03016488523
4400014513046,Tahir Iqbal,S/O Naeem Cheema,18291883,1473970,NTN-301476,Filer,03127911031
1330290840655,Tariq Gilani,S/O S/O Hassan Qureshi,2086923,107795,NTN-794632,Filer,03454785186
5400055363956,Bushra Gilani,,1899119,,NTN-670320,Filer,03133453442
,Naveed Latif,S/O Hashmi Rafiq,370655,0,NTN-189897,Filer,03008379392
5400080336901,Hassan Raja,S/O Salman Nawaz,204289,0,NTN-402803,Non-Filer,03311563316
4210116137858,Malik Ali,S/O Rabia Rizvi,5125250,538817,NTN-549883,Filer,03319637743
4400095115469,Naeem Butt,S/O Bilal Nawaz,204131,0,NTN-434637,Non-Filer,03007490791
2130128107925,Bushra Gondal,S/O Iqra Khan,1297337,166200,NTN-137773,Filer,03219840030
1330236378266,Arif Ansari,S/O ابراہیم ملک,3996530,629205,NTN-415975,Filer,03131326642
5400016098315,Raja Sandhu,S/O Usman Hussain,584664,0,NTN-938278,Non-Filer,03139195662
2130112414026,Maryam Zaidi,S/O Salman Chaudhry,29278061,3414686,NTN-769467,Filer,03116515198
6110138130454,Hamid Gujjar,S/O Ali Gujjar,,0,NTN-721075,Filer,03134956232
35202-4502357-8,Nadia Rizvi,S/O Sana Ali,2119697,428367,NTN-739499,Filer,03139191008
1330214943559,Zubair Qureshi,S/O Rukhsar Ahmed,242039,0,NTN-165728,Non-Filer,03127590872
4400011767882,مریم چودھری,S/O Muhammad Akhtar,1122518,267299,NTN-227654,Filer,03228054268
3520256069271,Naveed Zaidi,S/O Syed Virk,961386,162447,NTN-478372,Non-Filer,03221084021
4400059012393,Iqra Cheema,S/O Mehwish Tarar,712113,122856,NTN-798154,Non-Filer,03011205779
3520258353156,احمد خان,S/O Kashif Bhatti,,423188,NTN-691273,Filer,03012092233
1330243201463,مریم چودھری,S/O Shazia Zaidi,102689,0,NTN-561151,Filer,03004990114
4400058660068,مریم چودھری,S/O Hamid Rana,5128742,774437,NTN-771485,Filer,03311357984
3520247668612,Rizwan Iqbal,S/O Sidra Hussain,3534908,280587,NTN-314082,Filer,03016598972
4400095737293,Sana Hameed,S/O Naeem Gujjar,2103990,453678,NTN-178251,Filer,03028675147
3520273029663,Tariq Rana,S/O Fatima Tarar,22728513,5257041,NTN-958894,Filer,03333038057
3520244618965,Omar Bukhari,S/O Raja Sandhu,860216,138098,NTN-495806,Filer,03016969048
1330248800295,Baig Nawaz,S/O Tahir Gujjar,204283,0,NTN-932673,Non-Filer,03214555503
4210182054216,Khalid Qureshi,S/O Khalid Iqbal,364860,0,NTN-999082,Filer,
1330267874352,,S/O Rukhsar Chaudhry,1318778,240012,NTN-490225,Filer,03331316954
6110139818774,Fatima Akhtar,S/O Malik Ahmed,11666466,2420295,,Filer,03222541699
4400019072104,Bilal Ansari,S/O S/O Syed Nawaz,317440,0,NTN-702288,Filer,03226396173
4210137113797,Naveed Cheema,S/O Mehwish Akhtar,187333,0,NTN-843014,Non-Filer,03466288963
5400023705291,Amna Rizvi,S/O Qureshi Ahmed,530557,0,,Non-Filer,03334052888
1330270829119,علی حسین,S/O Hassan Rizvi,4497448,436187,NTN-469082,Filer,03034967420
4400046983459,Adnan Gujjar,S/O Kashif Hameed,9382132,1548504,NTN-346490,Filer,03321681517
4400024198955,Adnan Chaudhry,S/O Asma Bhatti,232214,0,NTN-533357,Filer,03136600461
5400095878359,Sobia Gilani,S/O Bilal Raza,1248864,295343,NTN-509940,Filer,03022635391
6110138100817,Rabia Gondal,S/O Asma Bukhari,348216,0,NTN-611922,Filer,03215518616
3520223232258,Rukhsar Ahmed,S/O Salman Qureshi,2770815,491431,NTN-507070,Filer,03012884744
2130162522233,Omar Qureshi,S/O Iqra Chattha,660061,151775,NTN-227704,Filer,03039328427
5400061014625,Ayesha Tarar,S/O Sana Gujjar,1130936,158666,NTN-813830,Filer,03021866037
6110168305666,Hassan aja,S/O Sidra Baig,527454,0,NTN-482540,Filer,03457429192
1330235697896,Maryam Bukhari,S/O Chaudhry Gujjar,662187,103650,NTN-768234,Non-Filer,03001181927
4400030889631,Kamran Ansari,S/O Zainab Hameed,724685,110619,NTN-210434,Non-Filer,03013291741
4400014944738,Syed Naqvi,S/O Hamid Raja,1025768,105115,NTN-835178,Filer,03113127581
3520297706161,Maryam Gilani,S/O Hamid Syed,1185502,131162,NTN-760578,Filer,03317775901
2130187404548,Bilal Virk,S/O Arif Qureshi,1874137,463800,NTN-775787,Filer,03329833191
6110141333543,Rabia Baig,S/O Bushra Gujjar,711577,53253,NTN-756828,Filer,03335552453
4210122087767,Hashmi Aslam,,2423418,248234,NTN-626171,Filer,03019837877
6110132883289,Aamir Jafri,S/O Ali Zaidi,343129,0,NTN-299144,Non-Filer,03338244209
2130190216749,Bushra Ahmed,S/O Rizwan Bukhari,1029761,182350,NTN-689148,Filer,03467229533
4400096538526,علی حسین,S/O Iqra Hashmi,4263092,497486,NTN-307171,Filer,03321428396
3520263647998,Sidra Rafiq,S/O Sana Iqbal,3746401,300930,NTN-133437,Filer,03211622052
2130134162254,Uzma Qureshi,S/O Hussain Jafri,321314,0,NTN-896449,Non-Filer,03331941206
2130180464138,Sajid Baig,,1104762,101883,NTN-118944,Filer,03034526499
3520219252782,Iqra Nawaz,S/O Kashif Nawaz,519875,0,NTN-257701,,03224389982
3520227363813,Ali Syed,S/O Bushra Qureshi,1881895,417863,NTN-274947,Filer,03125866606
1330211210979,Aamir Bhatti,S/O عائشہ احمد,26541457,6410428,NTN-619613,Filer,03137622840
61101-9506803-8,Usman Rafiq,S/O Omar Zaidi,825608,186356,NTN-554536,Filer,03115105106
1330215166419,Iqra Hashmi,S/O Iqra Bhatti,302760,0,NTN-515108,Filer,03139104583
1330214918086,Sheikh Qureshi,S/O Noor Gilani,1700728,155522,NTN-759462,Filer,03137055973
5400050154646,Rizwan Bukhari,S/O Asif Malik,5892290,1426954,NTN-244957,Filer,03128546391
,Salman Qureshi,S/O Ahmed Hussain,463737,0,NTN-976375,Filer,03214528576
1330212866982,Arif Mirza,S/O Rabia Cheema,492903,0,NTN-758149,Non-Filer,03025621484
3520297903281,Hassan Sheikh,S/O Fatima Karim,259335,0,NTN-585214,,03451107102
1330252145848,Hina Malik,S/O Arif Chattha,960569,113429,NTN-939963,Non-Filer,
3520289886839,Noor Syed,S/O Maryam Virk,164129,0,,Filer,03017146434
1330233923604,Raja Gilani,S/O Fatima Hameed,,455582,NTN-515182,Filer,03111676823
5400051106197,Hamid Akhtar,S/O Bushra Karim,2761569,400540,NTN-118286,Filer,03338029501
5400054462856,,S/O Faisal Aslam,1583255,309053,NTN-929208,Filer,03219551602
