record_id,owner_name,cnic,address,area_name,city,province,property_type,size_marla,property_value
PROP-000078,Ghazala Cheema,40957-9575065-0,"305-Jacobabad Area 5, Jacobabad",Jacobabad Area 5,Jacobabad,Sindh,Commercial,20.0,32259980.0
PROP-000079,Rasheid Yousafzai,38571-5129950-7,"214-Sialkot Area 5, Sialkot",Sialkot Area 5,Sialkot,Punjab,House,3.0,2512560.0
PROP-000080,Rasheed Yousafzai,38571-5129950-7,"396-Sialkot Area 3, Sialkot",Sialkot Area 3,Sialkot,Punjab,Commercial,3.0,4832919.0
PROP-000081,,39828-2150068-8,"181-Garden Town, Lahore",Garden Town,Lahore,Punjab,Plot,14.0,109232369.0
PROP-000082,Farzana Warraich,39828-2150068-8,"288-Johar Town, Lahore",Johar Town,Lahore,Punjab,House,10.0,134958692.0
PROP-000083,Farzana Warraich,39828-2150068-8,"48-Wapda Town, Lahore",,Lahore,Punjab,House,3.0,69413144.0
PROP-000084,Nighat Jamali,19131-0776718-4,"96-Mansehra Area 5, Mansehra",Mansehra Area 5,Mansehra,KPK,Commercial,,12003502.0
PROP-000085,Nighat Jamali,19131-0776718-4,"134-Mansehra Area 5, Mansehra",Mansehra Area 5,Mansehra,KPK,Commercial,3.0,4046001.0
PROP-000086,Owais Awan,71766-1571988-5,"182-Mirpur Area 1, Mirpur",Mirpur Area 1,Mirpur,AJK,Commercial,5.0,6365320.0
PROP-000087,Khaleed Awan,,"400-Gujrat Area 1, Gujrat",Gujrat Area 1,Gujrat,Punjab,Flat,12.0,8627580.0
PROP-000088,Khalid Awan,33604-8563212-5,"31-Gujrat Area 4, Gujrat",Gujrat Area 4,Gujrat,Punjab,Flat,3.0,5848134.0
PROP-000089,,33604-8563212-5,"244-Gujrat Area 2, Gujrat",Gujrat Area 2,Gujrat,Punjab,Flat,11.0,10825430.0
PROP-000090,Qudsia Sethi,,"133-Sialkot Area 5, Sialkot",Sialkot Area 5,Sialkot,Punjab,Commercial,10.0,6958880.0
PROP-000091,Qudsia Sethi,34270-3497387-2,"449-Sialkot Area 5, Sialkot",Sialkot Area 5,Sialkot,Punjab,House,,7556437.0
PROP-000092,Hamza Laghari,,"370-I-8, Islamabad",I-8,Islamabad,Islamabad,Flat,3.0,34858335.0
PROP-000093,Hamza Laghari,68412-9736695-5,"115-I-8, Islamabad",I-8,Islamabad,Islamabad,House,10.0,46926710.0
PROP-000094,Hamza Laghari,68412-9736695-5,"97-Bahria Town Phase 7, Islamabad",Bahria Town Phase 7,Islamabad,Islamabad,Plot,14.0,160368292.0
PROP-000095,Rafiq Mirza,57937-2193001-5,"312-Gwadar Area 5, Gwadar",Gwadar Area 5,Gwadar,Balochistan,House,5.0,9452130.0
PROP-000096,Rafiq Mirza,57937-2193001-5,"6-Gwadar Area 2, Gwadar",Gwadar Area 2,Gwadar,Balochistan,Plot,5.0,9972930.0
PROP-000097,Azhar Ahmed,38906-3719328-3,"366-Jhelum Area 3, Jhelum",Jhelum Area 3,Jhelum,Punjab,Commercial,5.0,8801885.0
PROP-000098,Noor Mengal,36138-7351754-6,"84-Sialkot Area 4, Sialkot",Sialkot Area 4,Sialkot,Punjab,Agricultural Land,1820.0,435285760.0
PROP-000099,Fateema Virk,33464-7530791-4,"10-Jhelum Area 2, Jhelum",Jhelum Area 2,Jhelum,Punjab,Flat,3.0,5339217.0
PROP-000100,Fathima Virk,33464-7530791-4,"498-Jhelum Area 2, Jhelum",Jhelum Area 2,Jhelum,Punjab,Agricultural Land,1712.0,607325152.0
PROP-000101,Tahira Junejo,37284-7726812-8,"224-Rahim Yar Khan Area 5, Rahim Yar Khan",Rahim Yar Khan Area 5,Rahim Yar Khan,Punjab,Commercial,3.0,1130931.0
PROP-000102,Tahira Junejo,37284-7726812-8,"222-Rahim Yar Khan Area 5, Rahim Yar Khan",Rahim Yar Khan Area 5,Rahim Yar Khan,Punjab,House,20.0,25822920.0
PROP-000103,Khadija Awan,38560-7994713-0,"180-Bahawalpur Area 5, Bahawalpur",Bahawalpur Area 5,,Punjab,Plot,14.0,22605506.0
PROP-000104,Saima Ali,32716-4406744-4,"163-Gujranwala Area 3, Gujranwala",Gujranwala Area 3,Gujranwala,Punjab,House,10.0,12778950.0
PROP-000105,Bushra Virk,30241-7854065-0,"33-Chaklala Cantt, Rawalpindi",Chaklala Cantt,Rawalpindi,Punjab,Flat,5.0,33174680.0
PROP-000106,Bushra Virk,30241-7854065-0,"401-DHA Phase 2, Rawalpindi",DHA Phase 2,Rawalpindi,Punjab,Flat,12.0,
PROP-000107,Salman Sheikh,32314-3340863-1,"495-Sheikhupura Area 2, Sheikhupura",Sheikhupura Area 2,Sheikhupura,Punjab,Plot,5.0,4541815.0
PROP-000108,Salman Sheikh,32314-3340863-1,"58-Sheikhupura Area 3, Sheikhupura",Sheikhupura Area 3,Sheikhupura,Punjab,Commercial,20.0,36795340.0
PROP-000109,Salman Sheikh,32314-3340863-1,"484-Sheikhupura Area 1, Sheikhupura",Sheikhupura Area 1,Sheikhupura,Punjab,Agricultural Land,1590.0,100747170.0
PROP-000110,Salman Sheikh,32314-3340863-1,"248-Sheikhupura Area 1, Sheikhupura",Sheikhupura Area 1,Sheikhupura,Punjab,Commercial,,31467880.0
PROP-000111,Shoaib Jatoi,40321-2095973-5,"180-Gulistan-e-Johar, Karachi",Gulistan-e-Johar,Karachi,Sindh,Agricultural Land,459.0,238470696.0
PROP-000112,Shoaib Jatoi,40321-2095973-5,"470-Gulshan-e-Iqbal, Karachi",Gulshan-e-Iqbal,Karachi,Sindh,Commercial,20.0,185371600.0
PROP-000113,Naila Shaikh,30931-4577870-6,,Committee Chowk,Rawalpindi,Punjab,Flat,9.0,15134688.0
PROP-000114,Mansoor Warraich,42698-0769359-9,"144-Clifton, Karachi",Clifton,Karachi,Sindh,Commercial,10.0,25265232.0
PROP-000115,Munsoor Warraich,42698-0769359-9,"467-Gulshan-e-Iqbal, Karachi",Gulshan-e-Iqbal,Karachi,Sindh,House,14.0,109008578.0
PROP-000116,Jaweria Sethi,47981-5782276-0,"283-Larkana Area 5, Larkana",Larkana Area 5,Larkana,Sindh,Agricultural Land,1460.0,294573980.0
PROP-000117,Jaweria Sethi,47981-5782276-0,"359-Larkana Area 1, Larkana",Larkana Area 1,Larkana,Sindh,Commercial,5.0,2349930.0
PROP-000118,Jaweria Sethi,47981-5782276-0,"328-Larkana Area 5, Larkana",Larkana Area 5,Larkana,Sindh,Agricultural Land,,394689337.0
PROP-000119,Jaweria Sethi,47981-5782276-0,"371-Larkana Area 4, Larkana",Larkana Area 4,Larkana,Sindh,Commercial,3.0,4200168.0
PROP-000120,Waseem Laghari,34810-1729466-3,"90-Gujrat Area 2, Gujrat",Gujrat Area 2,Gujrat,Punjab,Commercial,20.0,8714720.0
PROP-000121,Waseem Laghari,34810-1729466-3,"160-Gujrat Area 3, Gujrat",Gujrat Area 3,Gujrat,Punjab,House,20.0,14610100.0
PROP-000122,Talha Warraich,31070-5905069-5,"438-Gulberg III, Lahore",Gulberg III,Lahore,Punjab,Plot,7.0,36650873.0
PROP-000123,Talha Warraich,31070-5905069-5,"353-Township, Lahore",Township,Lahore,Punjab,Plot,20.0,191448720.0
PROP-000124,Talha Warraich,31070-5905069-5,"469-Bahria Town, Lahore",Bahria Town,Lahore,Punjab,House,10.0,137635910.0
PROP-000125,Aisha Mughal,33698-8084890-0,"61-Gujranwala Area 4, Gujranwala",Gujranwala Area 4,Gujranwala,Punjab,Flat,5.0,7713625.0
PROP-000126,Aisha Mughal,33698-8084890-0,"190-Gujranwala Area 2, Gujranwala",Gujranwala Area 2,Gujranwala,Punjab,Plot,20.0,7291840.0
PROP-000127,Aisha Mughal,33698-8084890-0,"431-Gujranwala Area 1, Gujranwala",Gujranwala Area 1,Gujranwala,Punjab,House,,16576266.0
PROP-000128,Aneela Virk,10693-6897624-8,"374-Mingora Area 4, Mingora",Mingora Area 4,Mingora,KPK,Commercial,3.0,1912797.0
PROP-000129,Zubair Hussain,48994-8945219-1,"5-Mirpur Khas Area 3, Mirpur Khas",Mirpur Khas Area 3,Mirpur Khas,Sindh,Commercial,10.0,41413057.0
PROP-000130,Waseem Gondal,58976-6377365-7,"429-Quetta Area 1, Quetta",Quetta Area 1,Quetta,Balochistan,Commercial,14.0,25380978.0
PROP-000131,Waseem Gondal,58976-6377365-7,"455-Quetta Area 5, Quetta",Quetta Area 5,Quetta,Balochistan,Flat,9.0,9413352.0
PROP-000132,Waseem Gondal,58976-6377365-7,,Quetta Area 3,Quetta,Balochistan,Plot,5.0,1657790.0
PROP-000133,Tariq Butt,39500-5893367-9,"24-Garden Town, Lahore",Garden Town,Lahore,Punjab,House,20.0,279334800.0
PROP-000134,Tarik Butt,39500-5893367-9,"76-Johar Town, Lahore",Johar Town,Lahore,Punjab,Agricultural Land,937.0,486653438.0
PROP-000135,Tariq Butt,39500-5893367-9,"254-Bahria Town, Lahore",Bahria Town,,Punjab,Commercial,10.0,117428550.0
PROP-000136,Amna Raza,,"198-Jhelum Area 5, Jhelum",Jhelum Area 5,Jhelum,Punjab,Commercial,20.0,22050520.0
PROP-000137,Amna Raza,36127-8803562-8,"412-Jhelum Area 1, Jhelum",Jhelum Area 1,Jhelum,Punjab,Agricultural Land,748.0,105150100.0
PROP-000138,Amna Sethi,,"229-Sukkur Area 1, Sukkur",Sukkur Area 1,Sukkur,Sindh,Commercial,10.0,11436280.0
PROP-000139,Amna Sethi,,"361-Sukkur Area 5, Sukkur",Sukkur Area 5,Sukkur,Sindh,Commercial,14.0,17016566.0
PROP-000140,Amna Sethi,47081-4396895-4,"223-Sukkur Area 1, Sukkur",Sukkur Area 1,Sukkur,Sindh,Commercial,20.0,28513820.0
PROP-000141,Nasreen Gondal,33175-8874116-4,"491-Sialkot Area 1, Sialkot",Sialkot Area 1,Sialkot,Punjab,Flat,12.0,7076556.0
PROP-000142,Nasreen Gondal,33175-8874116-4,"174-Sialkot Area 1, Sialkot",Sialkot Area 1,Sialkot,Punjab,Plot,5.0,6048830.0
PROP-000143,Nasreen Gondal,33175-8874116-4,"417-Sialkot Area 2, Sialkot",Sialkot Area 2,Sialkot,Punjab,Plot,7.0,9230809.0
PROP-000144,Rafiq Shaikh,46310-4650552-1,"171-Sukkur Area 5, Sukkur",Sukkur Area 5,Sukkur,Sindh,Flat,9.0,
PROP-000145,Rafiq Shaikh,46310-4650552-1,"311-Sukkur Area 4, Sukkur",Sukkur Area 4,Sukkur,Sindh,Commercial,14.0,14256928.0
PROP-000146,Salman Shah,18586-7261860-7,"450-Peshawar Area 2, Peshawar",Peshawar Area 2,Peshawar,KPK,House,3.0,3625251.0
PROP-000147,Salman Shah,18586-7261860-7,"379-Peshawar Area 5, Peshawar",Peshawar Area 5,Peshawar,KPK,Agricultural Land,1169.0,172761834.0
PROP-000148,Salman Shah,18586-7261860-7,"283-Peshawar Area 3, Peshawar",Peshawar Area 3,Peshawar,KPK,Plot,14.0,
PROP-000149,Tahir Abbasi,49225-6430971-3,"451-Sukkur Area 5, Sukkur",Sukkur Area 5,Sukkur,Sindh,Flat,7.0,4501994.0
PROP-000150,Zahid Soomro,46819-3379558-7,"304-Jacobabad Area 5, Jacobabad",Jacobabad Area 5,Jacobabad,Sindh,Flat,7.0,13783238.0
PROP-000151,,49752-4988389-7,,Sukkur Area 4,Sukkur,Sindh,Commercial,10.0,9659400.0
PROP-000152,Zafar Siddiqui,49752-4988389-7,"31-Sukkur Area 5, Sukkur",Sukkur Area 5,Sukkur,Sindh,Agricultural Land,1235.0,393631550.0
PROP-000153,Mushtaq Warraich,45208-5943319-3,"132-Khairpur Area 5, Khairpur",Khairpur Area 5,Khairpur,Sindh,House,14.0,17589082.0
PROP-000154,Rafiq Malik,50421-3740415-3,,Zhob Area 3,Zhob,Balochistan,Plot,10.0,19956560.0
PROP-000155,Rafiq Malik,50421-3740415-3,"216-Zhob Area 2, Zhob",Zhob Area 2,Zhob,Balochistan,Flat,9.0,16110711.0
PROP-000156,,34504-2046712-1,"371-Gujranwala Area 3, Gujranwala",Gujranwala Area 3,Gujranwala,Punjab,Plot,10.0,5204750.0
PROP-000157,Javed Warraich,34504-2046712-1,"246-Gujranwala Area 4, Gujranwala",Gujranwala Area 4,Gujranwala,Punjab,Flat,11.0,20723428.0
PROP-000158,Babar Chandio,16210-9946004-5,"362-Peshawar Area 2, Peshawar",Peshawar Area 2,Peshawar,KPK,Flat,12.0,16364316.0
PROP-000159,Sadia Aslam,32234-3000724-8,"265-Bahria Town, Lahore",Bahria Town,Lahore,Punjab,Flat,12.0,37925934.0
PROP-000160,Sadia Aslam,32234-3000724-8,"418-Cantt, Lahore",Cantt,Lahore,Punjab,Commercial,7.0,39600768.0
PROP-000161,Sadia Aslam,32234-3000724-8,"183-Township, Lahore",Township,Lahore,Punjab,Commercial,5.0,30213795.0
PROP-000162,Sadia Aslam,32234-3000724-8,"431-Iqbal Town, Lahore",Iqbal Town,Lahore,Punjab,Agricultural Land,196.0,58224427.0
PROP-000163,Zubayr Mughal,38756-2250166-1,"147-Iqbal Town, Lahore",Iqbal Town,Lahore,Punjab,Plot,,90805582.0
PROP-000164,Zubair Mughal,38756-2250166-1,"281-Wapda Town, Lahore",Wapda Town,Lahore,Punjab,Agricultural Land,1614.0,2265234474.0
PROP-000165,Asad Aslam,34751-1478785-5,"89-Gujrat Area 5, Gujrat",Gujrat Area 5,Gujrat,Punjab,House,3.0,4231743.0
PROP-000166,Asad Aslam,34751-1478785-5,"341-Gujrat Area 2, Gujrat",Gujrat Area 2,Gujrat,Punjab,House,7.0,11272849.0
PROP-000167,Aneela Aslam,42212-5269218-0,"16-Shikarpur Area 5, Shikarpur",Shikarpur Area 5,Shikarpur,Sindh,Plot,20.0,26971180.0
PROP-000168,Daniyal Gill,66243-2683474-3,"59-F-6, Islamabad",F-6,Islamabad,Islamabad,Agricultural Land,679.0,2373716100.0
PROP-000169,Daniyal Gill,66243-2683474-3,,F-6,Islamabad,Islamabad,Agricultural Land,1378.0,3399425406.0
PROP-000170,Daniyal Gill,66243-2683474-3,"324-DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,Islamabad,Plot,7.0,73657325.0
PROP-000171,Daniyal Gill,66243-2683474-3,"463-Bahria Town Phase 7, Islamabad",Bahria Town Phase 7,Islamabad,Islamabad,House,3.0,12553275.0
PROP-000172,Salman Shah,30299-1578630-1,"432-Bahria Town, Lahore",Bahria Town,Lahore,Punjab,Plot,14.0,139158194.0
PROP-000173,Salman Shah,30299-1578630-1,"304-Bahria Town, Lahore",Bahria Town,Lahore,Punjab,Commercial,5.0,
PROP-000174,Ahmd Iqbal,37372-4541310-5,"286-Gulberg III, Lahore",Gulberg III,Lahore,Punjab,House,20.0,282991400.0
PROP-000175,Ahemad Iqbal,37372-4541310-5,"336-Garden Town, Lahore",Garden Town,Lahore,Punjab,House,7.0,42573874.0
PROP-000176,Ahmad Iqbal,37372-4541310-5,"202-Cantt, Lahore",Cantt,Lahore,Punjab,Agricultural Land,1808.0,50631701.0
PROP-000177,,38111-1936199-0,"195-Gujranwala Area 1, Gujranwala",Gujranwala Area 1,Gujranwala,Punjab,Flat,3.0,2562387.0
PROP-000178,Samina Warraich,38111-1936199-0,"417-Gujranwala Area 1, Gujranwala",Gujranwala Area 1,Gujranwala,Punjab,Commercial,7.0,5002452.0
PROP-000179,Farzana Hussain,39133-4647386-2,,Gulberg III,Lahore,Punjab,Plot,20.0,50116994.0
PROP-000180,Farzana Hussain,39133-4647386-2,"341-Cantt, Lahore",Cantt,Lahore,Punjab,Flat,10.0,126593382.0
PROP-000181,Farzana Hussain,39133-4647386-2,"269-Cantt, Lahore",Cantt,Lahore,Punjab,Agricultural Land,289.0,75077860.0
PROP-000182,Tahira Soomro,12801-9730937-8,"375-Mansehra Area 3, Mansehra",Mansehra Area 3,Mansehra,KPK,Flat,9.0,11813238.0
