citizen_id,cnic,canonical_first,canonical_name,first_name,last_name,father_name,ntn,gender,province,city,wealth_class,declared_income,tax_paid,is_filer,is_anomaly,is_extreme,has_activity,category
CIT-000053,43471-5088284-1,Waqas,Waqas Aslam,Waqas,Aslam,Basit Mughal,,M,Sindh,Karachi,middle,1469188,284,False,False,False,True,Medium
CIT-000054,38116-7617066-6,Iram,Iram Mengal,Iram,Mengal,Daniyal Sethi,0642010,F,Punjab,Rawalpindi,upper,1658310,68797,True,True,False,True,Medium
CIT-000055,40957-9575065-0,Ghazala,Ghazala Cheema,Ghazala,Cheema,Waqas Soomro,8850535,F,Sindh,Jacobabad,low,681235,1852,True,False,False,True,Positive
CIT-000056,38321-0112034-2,Riffat,Riffat Khattak,Riffat,Khattak,Babar Ahmed,,F,Punjab,Rahim Yar Khan,low,661158,133,False,False,False,False,Positive
CIT-000057,42980-2525592-5,Tahir,Tahir Khattak,Tahir,Khattak,Kashif Tahir,4428296,M,Sindh,Hyderabad,middle,1399369,38808,True,False,False,True,Positive
CIT-000058,38571-5129950-7,Rashid,Rashid Yousafzai,Rashid,Yousafzai,Tanveer Hussain,,M,Punjab,Sialkot,high,25063743,504279,False,False,False,False,Positive
CIT-000059,39828-2150068-8,Farzana,Farzana Warraich,Farzana,Warraich,Liaquat Abbasi,2588969,F,Punjab,Lahore,high,199764,0,True,True,True,True,Negative
CIT-000060,43919-6001564-6,Iram,Iram Baloch,Iram,Baloch,Farhan Memon,6008663,F,Sindh,Hyderabad,middle,1988073,123293,True,False,False,True,Positive
CIT-000061,19131-0776718-4,Nighat,Nighat Jamali,Nighat,Jamali,Azhar Gondal,9904760,F,KPK,Mansehra,upper,8039951,1657651,True,False,False,True,Positive
CIT-000062,71766-1571988-5,Owais,Owais Awan,Owais,Awan,Zeeshan Soomro,,M,AJK,Mirpur,low,433051,0,False,False,False,True,Medium
CIT-000063,46909-4926437-2,Wardah,Wardah Khan,Wardah,Khan,Noman Afridi,5333889,F,Sindh,Larkana,low,472913,0,True,False,False,True,Positive
CIT-000064,33604-8563212-5,Khalid,Khalid Awan,Khalid,Awan,Ehsan Niazi,,M,Punjab,Gujrat,upper,4305352,51983,False,False,False,False,Positive
CIT-000065,30003-8019436-0,Nadia,Nadia Chandio,Nadia,Chandio,Mushtaq Sheikh,,F,Punjab,Lahore,low,349235,0,False,False,False,False,Positive
CIT-000066,14461-6605510-0,Samina,Samina Baloch,Samina,Baloch,Ahmad Abbasi,,F,KPK,Mingora,middle,2296863,14340,False,False,False,False,Positive
CIT-000067,34270-3497387-2,Qudsia,Qudsia Sethi,Qudsia,Sethi,Talha Jatoi,,F,Punjab,Sialkot,middle,2703801,13197,False,False,False,True,Medium
CIT-000068,68412-9736695-5,Hamza,Hamza Laghari,Hamza,Laghari,Javed Soomro,3231894,M,Islamabad,Islamabad,upper,5871772,1080751,True,False,False,True,Positive
CIT-000069,57937-2193001-5,Rafiq,Rafiq Mirza,Rafiq,Mirza,Ghulam Mengal,9391222,M,Balochistan,Gwadar,middle,2432322,179060,True,False,False,True,Positive
CIT-000070,38906-3719328-3,Azhar,Azhar Ahmed,Azhar,Ahmed,Ehsan Siddiqui,,M,Punjab,Jhelum,high,30651353,1091882,False,False,False,False,Positive
CIT-000071,51335-9206157-5,Waqas,Waqas Butt,Waqas,Butt,Kashif Qureshi,,M,Balochistan,Loralai,low,412020,0,False,False,False,False,Positive
CIT-000072,36138-7351754-6,Noor,Noor Mengal,Noor,Mengal,Faisal Virk,,F,Punjab,Sialkot,middle,2006126,7007,False,False,False,False,Positive
CIT-000073,13385-9351043-9,Habib,Habib Yousafzai,Habib,Yousafzai,Ehsan Mirza,3443420,M,KPK,Dera Ismail Khan,low,793155,4847,True,False,False,True,Positive
CIT-000074,35679-0002133-5,Amir,Amir Hashmi,Amir,Hashmi,Faisal Laghari,1875272,M,Punjab,Rawalpindi,low,494655,0,True,False,False,True,Positive
CIT-000075,35713-2745777-6,Jaweria,Jaweria Mengal,Jaweria,Mengal,Ahmad Cheema,8494480,F,Punjab,Dera Ghazi Khan,low,799512,4368,True,False,False,True,Positive
CIT-000076,33464-7530791-4,Fatima,Fatima Virk,Fatima,Virk,Zeeshan Rajput,,F,Punjab,Jhelum,middle,820258,495,False,False,False,True,Medium
CIT-000077,43439-6316186-0,Noor,Noor Shah,Noor,Shah,Salman Brohi,9226005,F,Sindh,Sukkur,low,639815,867,True,False,False,True,Positive
CIT-000078,35409-8124746-4,Parveen,Parveen Sheikh,Parveen,Sheikh,Adnan Butt,6201038,F,Punjab,Jhelum,middle,1847625,96024,True,False,False,True,Positive
CIT-000079,37284-7726812-8,Tahira,Tahira Junejo,Tahira,Junejo,Rafiq Ali,,F,Punjab,Rahim Yar Khan,middle,1645566,3636,False,False,False,False,Positive
CIT-000080,38560-7994713-0,Khadija,Khadija Awan,Khadija,Awan,Javed Shaikh,4120066,F,Punjab,Bahawalpur,middle,1850239,104353,True,False,False,True,Positive
CIT-000081,32716-4406744-4,Saima,Saima Ali,Saima,Ali,Salman Khan,,F,Punjab,Gujranwala,upper,3305173,5380,False,False,False,False,Positive
CIT-000082,30241-7854065-0,Bushra,Bushra Virk,Bushra,Virk,Asad Kayani,,F,Punjab,Rawalpindi,middle,1685201,2019,False,False,False,False,Positive
CIT-000083,30493-1628781-3,Khalid,Khalid Mirza,Khalid,Mirza,Basit Qureshi,,M,Punjab,Sahiwal,low,556542,0,False,False,False,False,Positive
CIT-000084,32314-3340863-1,Salman,Salman Sheikh,Salman,Sheikh,Shoaib Raza,,M,Punjab,Sheikhupura,upper,9347675,100662,False,False,False,False,Positive
CIT-000085,39669-6368384-5,Liaquat,Liaquat Memon,Liaquat,Memon,Naveed Tahir,4575700,M,Punjab,Dera Ghazi Khan,low,428002,0,True,False,False,True,Positive
CIT-000086,40321-2095973-5,Shoaib,Shoaib Jatoi,Shoaib,Jatoi,Khalid Hussain,0748727,M,Sindh,Karachi,low,392313,0,True,False,False,True,Positive
CIT-000087,35160-4909911-9,Khalid,Khalid Memon,Khalid,Memon,Habib Abbasi,2073721,M,Punjab,Faisalabad,upper,5161526,976400,True,False,False,True,Positive
CIT-000088,30931-4577870-6,Naila,Naila Shaikh,Naila,Shaikh,Ehsan Mengal,9355133,F,Punjab,Rawalpindi,middle,2368856,140964,True,False,False,True,Positive
CIT-000089,34110-5749993-6,Sana,Sana Butt,Sana,Butt,Waheed Randhawa,,F,Punjab,Sialkot,low,551826,0,False,False,False,True,Medium
CIT-000090,54297-5466697-3,Fahad,Fahad Qureshi,Fahad,Qureshi,Adnan Kayani,,M,Balochistan,Zhob,middle,1535504,5029,False,False,False,False,Positive
CIT-000091,42698-0769359-9,Mansoor,Mansoor Warraich,Mansoor,Warraich,Noman Chaudhry,,M,Sindh,Karachi,upper,1576140,1006,False,True,False,False,Medium
CIT-000092,47981-5782276-0,Jaweria,Jaweria Sethi,Jaweria,Sethi,Saeed Khattak,0065671,F,Sindh,Larkana,high,28312666,9749614,True,False,False,True,Positive
CIT-000093,34810-1729466-3,Waseem,Waseem Laghari,Waseem,Laghari,Babar Sheikh,,M,Punjab,Gujrat,low,668610,13,False,False,False,True,Medium
CIT-000094,31070-5905069-5,Talha,Talha Warraich,Talha,Warraich,Waseem Kayani,,M,Punjab,Lahore,high,22277341,305708,False,False,False,False,Positive
CIT-000095,33698-8084890-0,Aisha,Aisha Mughal,Aisha,Mughal,Javed Virk,,F,Punjab,Gujranwala,upper,5438269,27856,False,False,False,True,Medium
CIT-000096,10693-6897624-8,Aneela,Aneela Virk,Aneela,Virk,Tanveer Qureshi,9946613,F,KPK,Mingora,upper,5334137,870397,True,False,False,True,Positive
CIT-000097,48994-8945219-1,Zubair,Zubair Hussain,Zubair,Hussain,Zeeshan Aslam,1997224,M,Sindh,Mirpur Khas,upper,529816,0,True,True,False,True,Medium
CIT-000098,58976-6377365-7,Waseem,Waseem Gondal,Waseem,Gondal,Kamran Niazi,,M,Balochistan,Quetta,upper,6557409,25515,False,False,False,True,Medium
CIT-000099,39500-5893367-9,Tariq,Tariq Butt,Tariq,Butt,Basit Tahir,,M,Punjab,Lahore,middle,1946637,5645,False,False,False,False,Positive
CIT-000100,36127-8803562-8,Amna,Amna Raza,Amna,Raza,Qasim Bugti,,F,Punjab,Jhelum,middle,1802763,7476,False,False,False,False,Positive
CIT-000101,47081-4396895-4,Amna,Amna Sethi,Amna,Sethi,Farhan Raza,,F,Sindh,Sukkur,high,4756629,80344,False,True,False,False,Medium
CIT-000102,33175-8874116-4,Nasreen,Nasreen Gondal,Nasreen,Gondal,Danish Soomro,8163817,F,Punjab,Sialkot,upper,3924144,478503,True,False,False,True,Positive
CIT-000103,13491-5341721-6,Wardah,Wardah Malik,Wardah,Malik,Arif Iqbal,,F,KPK,Mingora,middle,1586600,4951,False,False,False,False,Positive
CIT-000104,46310-4650552-1,Rafiq,Rafiq Shaikh,Rafiq,Shaikh,Daniyal Gill,4645009,M,Sindh,Sukkur,upper,5413767,844450,True,False,False,True,Positive
CIT-000105,18586-7261860-7,Salman,Salman Shah,Salman,Shah,Waseem Khoso,1215809,M,KPK,Peshawar,upper,4716544,658134,True,False,False,True,Positive
CIT-000106,30992-5143996-9,Shoaib,Shoaib Mirza,Shoaib,Mirza,Muhammad Aslam,,M,Punjab,Gujranwala,low,476383,0,False,False,False,False,Positive
CIT-000107,32316-0239402-6,Noor,Noor Memon,Noor,Memon,Imran Soomro,7961368,F,Punjab,Faisalabad,upper,1064619,10119,True,True,False,True,Medium
CIT-000108,49225-6430971-3,Tahir,Tahir Abbasi,Tahir,Abbasi,Irfan Ahmed,9297158,M,Sindh,Sukkur,low,880477,6166,True,False,False,True,Positive
CIT-000109,46819-3379558-7,Zahid,Zahid Soomro,Zahid,Soomro,Pervaiz Shaikh,6761529,M,Sindh,Jacobabad,middle,1896784,94718,True,False,False,True,Positive
CIT-000110,49752-4988389-7,Zafar,Zafar Siddiqui,Zafar,Siddiqui,Noman Yousafzai,,M,Sindh,Sukkur,upper,6481971,111128,False,False,False,True,Medium
CIT-000111,32980-9691466-9,Arif,Arif Hussain,Arif,Hussain,Hamza Minhas,6977772,M,Punjab,Faisalabad,middle,1760245,82619,True,False,False,True,Positive
CIT-000112,45208-5943319-3,Mushtaq,Mushtaq Warraich,Mushtaq,Warraich,Arif Kayani,8242063,M,Sindh,Khairpur,upper,3374098,424600,True,False,False,True,Positive
CIT-000113,50421-3740415-3,Rafiq,Rafiq Malik,Rafiq,Malik,Waseem Rajput,,M,Balochistan,Zhob,middle,1785739,6864,False,False,False,True,Medium
CIT-000114,14181-4813438-2,Parveen,Parveen Aslam,Parveen,Aslam,Basit Mughal,,F,KPK,Peshawar,low,509117,0,False,False,False,False,Positive
CIT-000115,39144-6177377-7,Adnan,Adnan Mengal,Adnan,Mengal,Ehsan Virk,,M,Punjab,Gujranwala,low,1046892,1164,False,False,False,False,Positive
CIT-000116,34504-2046712-1,Javed,Javed Warraich,Javed,Warraich,Hussain Niazi,,M,Punjab,Gujranwala,upper,5663552,92117,False,False,False,False,Positive
CIT-000117,16210-9946004-5,Babar,Babar Chandio,Babar,Chandio,Danish Gill,,M,KPK,Peshawar,middle,1970428,9999,False,False,False,False,Positive
CIT-000118,32234-3000724-8,Sadia,Sadia Aslam,Sadia,Aslam,Hussain Sheikh,,F,Punjab,Lahore,upper,808624,131,False,True,False,False,Medium
CIT-000119,38756-2250166-1,Zubair,Zubair Mughal,Zubair,Mughal,Waheed Minhas,,M,Punjab,Lahore,middle,1267673,2239,False,False,False,True,Medium
CIT-000120,34751-1478785-5,Asad,Asad Aslam,Asad,Aslam,Yasir Sethi,,M,Punjab,Gujrat,upper,8453718,93337,False,False,False,False,Positive
CIT-000121,52929-0918455-0,Bano,Bano Awan,Bano,Awan,Ali Memon,3742112,F,Balochistan,Quetta,low,626525,713,True,False,False,True,Positive
CIT-000122,42212-5269218-0,Aneela,Aneela Aslam,Aneela,Aslam,Mansoor Raza,,F,Sindh,Shikarpur,middle,2282100,4105,False,False,False,True,Medium
CIT-000123,49821-8296037-4,Naila,Naila Tahir,Naila,Tahir,Basit Hussain,,F,Sindh,Karachi,low,380616,0,False,False,False,True,Medium
CIT-000124,66243-2683474-3,Daniyal,Daniyal Gill,Daniyal,Gill,Liaquat Gill,1181476,M,Islamabad,Islamabad,upper,9139428,1926392,True,False,False,True,Positive
CIT-000125,30299-1578630-1,Salman,Salman Shah,Salman,Shah,Danish Chaudhry,,M,Punjab,Lahore,upper,3940092,29400,False,False,False,False,Positive
CIT-000126,37372-4541310-5,Ahmad,Ahmad Iqbal,Ahmad,Iqbal,Ahmad Brohi,5184022,M,Punjab,Lahore,upper,388101,0,True,True,False,True,Medium
CIT-000127,38111-1936199-0,Samina,Samina Warraich,Samina,Warraich,Fahad Randhawa,,F,Punjab,Gujranwala,upper,991025,534,False,True,False,False,Medium
CIT-000128,42432-9778971-2,Madiha,Madiha Rajput,Madiha,Rajput,Pervaiz Iqbal,,F,Sindh,Karachi,middle,1337264,2518,False,False,False,False,Positive
CIT-000129,39133-4647386-2,Farzana,Farzana Hussain,Farzana,Hussain,Kashif Tahir,,F,Punjab,Lahore,high,76637,0,False,True,True,False,Negative
CIT-000130,34567-7209059-1,Fahad,Fahad Chandio,Fahad,Chandio,Faisal Randhawa,,M,Punjab,Sialkot,low,421879,0,False,False,False,False,Positive
CIT-000131,12801-9730937-8,Tahira,Tahira Soomro,Tahira,Soomro,Kashif Khattak,8030058,F,KPK,Mansehra,low,515173,0,True,False,False,True,Positive
CIT-000132,33762-1807508-7,Rashid,Rashid Khattak,Rashid,Khattak,Sajid Sethi,,M,Punjab,Lahore,middle,1547660,5459,False,False,False,False,Positive
CIT-000133,33974-0389606-6,Bushra,Bushra Hussain,Bushra,Hussain,Nadeem Khoso,3034213,F,Punjab,Gujrat,high,3117976,317248,True,True,False,True,Medium
CIT-000134,10573-5602955-7,Pervaiz,Pervaiz Brohi,Pervaiz,Brohi,Adnan Iqbal,9032317,M,KPK,Mardan,low,510391,0,True,False,False,True,Positive
CIT-000135,41815-3582148-1,Waheed,Waheed Minhas,Waheed,Minhas,Tanveer Laghari,,M,Sindh,Khairpur,high,19995253,126948,False,False,False,False,Positive
CIT-000136,42690-7629695-7,Yasir,Yasir Butt,Yasir,Butt,Mushtaq Niazi,7387844,M,Sindh,Karachi,low,576333,0,True,False,False,True,Positive
CIT-000137,30749-9749994-5,Owais,Owais Rajput,Owais,Rajput,Atif Hussain,,M,Punjab,Rawalpindi,upper,4553664,30950,False,False,False,False,Positive
CIT-000138,56528-6667280-0,Aneela,Aneela Mughal,Aneela,Mughal,Tahir Hussain,,F,Balochistan,Quetta,low,795991,75,False,False,False,False,Positive
CIT-000139,34581-1193440-4,Tanzeela,Tanzeela Rajput,Tanzeela,Rajput,Kamran Baloch,7420146,F,Punjab,Multan,high,21741220,6577273,True,False,False,True,Positive
CIT-000140,32207-4211208-6,Maryam,Maryam Afridi,Maryam,Afridi,Atif Mengal,,F,Punjab,Lahore,upper,5447414,52007,False,False,False,False,Positive
CIT-000141,31344-6163630-9,Shoaib,Shoaib Kayani,Shoaib,Kayani,Yasir Aslam,,M,Punjab,Jhelum,low,638207,71,False,False,False,False,Positive
CIT-000142,34376-2799866-8,Fatima,Fatima Baloch,Fatima,Baloch,Rizwan Chaudhry,,F,Punjab,Sheikhupura,low,345623,0,False,False,False,False,Positive
CIT-000143,39950-8085866-7,Daniyal,Daniyal Rajput,Daniyal,Rajput,Ghulam Bhatti,,M,Punjab,Sialkot,middle,1927116,4091,False,False,False,False,Positive
CIT-000144,33514-2666799-0,Rabia,Rabia Baloch,Rabia,Baloch,Azhar Afridi,,F,Punjab,Dera Ghazi Khan,high,40704100,940339,False,False,False,False,Positive
CIT-000145,46565-8682751-6,Nadia,Nadia Minhas,Nadia,Minhas,Zeeshan Kayani,,F,Sindh,Nawabshah,high,16978384,188369,False,False,False,False,Positive
CIT-000146,32828-7429401-4,Fatima,Fatima Raza,Fatima,Raza,Basit Laghari,7315453,F,Punjab,Rahim Yar Khan,upper,6341717,1221511,True,False,False,True,Positive
CIT-000147,49195-4085678-5,Shoaib,Shoaib Gill,Shoaib,Gill,Zubair Abbasi,,M,Sindh,Sukkur,upper,6486508,19052,False,False,False,False,Positive
CIT-000148,35950-7967162-3,Rizwan,Rizwan Jatoi,Rizwan,Jatoi,Usman Randhawa,,M,Punjab,Lahore,middle,2275804,3974,False,False,False,True,Medium
CIT-000149,10981-9112108-3,Owais,Owais Chaudhry,Owais,Chaudhry,Faisal Gill,,M,KPK,Swabi,middle,1241973,852,False,False,False,False,Positive
CIT-000150,36412-9668133-9,Farhan,Farhan Abbasi,Farhan,Abbasi,Zafar Tahir,5216557,M,Punjab,Dera Ghazi Khan,middle,1211246,13970,True,False,False,True,Positive
CIT-000151,30612-1076484-7,Usman,Usman Butt,Usman,Butt,Umair Raza,,M,Punjab,Gujranwala,upper,7017043,32999,False,False,False,True,Medium
CIT-000152,19484-7866453-0,Nadia,Nadia Awan,Nadia,Awan,Saeed Bhatti,9246895,F,KPK,Dera Ismail Khan,middle,1967733,123931,True,False,False,True,Positive
CIT-000153,30637-1303478-8,Riffat,Riffat Rajput,Riffat,Rajput,Babar Mirza,5126880,F,Punjab,Lahore,upper,822234,5726,True,True,False,True,Medium
CIT-000154,50402-1465200-8,Aisha,Aisha Qureshi,Aisha,Qureshi,Tahir Qureshi,8489060,F,Balochistan,Khuzdar,upper,1546650,54558,True,True,False,True,Medium
CIT-000155,34536-3648913-8,Farzana,Farzana Kayani,Farzana,Kayani,Tahir Rajput,8198720,F,Punjab,Sahiwal,low,407728,0,True,False,False,True,Positive
CIT-000156,40326-7369513-3,Hussain,Hussain Ali,Hussain,Ali,Mansoor Sheikh,,M,Sindh,Jacobabad,upper,6432965,126133,False,False,False,False,Positive
CIT-000157,39372-2205867-3,Javed,Javed Virk,Javed,Virk,Talha Bugti,,M,Punjab,Sargodha,middle,1965425,830,False,False,False,False,Positive
CIT-000158,33875-3976811-4,Nighat,Nighat Bugti,Nighat,Bugti,Danish Iqbal,6240469,F,Punjab,Sheikhupura,middle,1452783,45933,True,False,False,True,Positive
CIT-000159,48106-4290415-8,Nadia,Nadia Mirza,Nadia,Mirza,Tariq Ahmed,0674245,F,Sindh,Karachi,high,2918227,262389,True,True,False,True,Medium
CIT-000160,39200-2012673-0,Nadia,Nadia Cheema,Nadia,Cheema,Hussain Mirza,,F,Punjab,Sargodha,low,576375,0,False,False,False,False,Positive
CIT-000161,32019-6786161-5,Zahid,Zahid Randhawa,Zahid,Randhawa,Pervaiz Memon,,M,Punjab,Lahore,upper,4196993,7256,False,False,False,True,Medium
