record_id,owner_name,cnic,registration_number,vehicle_type,vehicle_make,vehicle_model,vehicle_year,market_value,province
VEH-000150,Daniyal Rajput,39950-8085866-7,LEA-1783,Car,Honda,Civic,2021.0,6487290.0,Punjab
VEH-000151,Rabia Baloch,33514-2666799-0,LED-284,Car,Toyota,Corolla,2025.0,6138500.0,Punjab
VEH-000152,Rabia Baloch,33514-2666799-0,RIR-4625,Car,Toyota,Corolla,2020.0,,Punjab
VEH-000153,Rabia Baloch,33514-2666799-0,SRG-6012,SUV,KIA,Sportage,2016.0,9460266.0,Punjab
VEH-000154,Rabia Baloch,33514-2666799-0,SLK-1914,Car,Toyota,Corolla,2020.0,,Punjab
VEH-000155,Nadiya Minhas,46565-8682751-6,AKD-1598,Car,Suzuki,WagonR,2015.0,3094992.0,Sindh
VEH-000156,Nadiya Minhas,46565-8682751-6,AGR-7111,Motorcycle,Honda,CD-70,2023.0,123121.0,Sindh
VEH-000157,Nadiya Minhas,46565-8682751-6,AKD-7267,Car,Suzuki,Swift,2023.0,3746577.0,Sindh
VEH-000158,Fatima Raza,32828-7429401-4,SLK-9086,Car,Suzuki,WagonR,2021.0,2353108.0,Punjab
VEH-000159,Fatima Raza,32828-7429401-4,RIR-3168,Car,Toyota,Corolla,2017.0,6732815.0,Punjab
VEH-000160,Shoaib Gill,49195-4085678-5,KHI-4881,Car,Toyota,Corolla,2021.0,6833464.0,Sindh
VEH-000161,Shoaib Gill,49195-4085678-5,KHI-4750,Car,Suzuki,WagonR,,,Sindh
VEH-000162,Shoaib Gill,49195-4085678-5,SKP-830,Car,Honda,City,2015.0,4321259.0,Sindh
VEH-000163,Ferhan Abbasi,36412-9668133-9,LEB-4008,Car,Suzuki,Alto,2020.0,,Punjab
VEH-000164,Riffat Rajput,30637-1303478-8,SLK-9220,Car,Toyota,Yaris,2021.0,5019030.0,Punjab
VEH-000165,Riffat Rajput,30637-1303478-8,RIA-246,Car,Mercedes,C-Class,,20714684.0,Punjab
VEH-000166,Aisha Qureshi,50402-1465200-8,QB-3572,Car,Honda,Civic,2022.0,8948149.0,Balochistan
VEH-000167,Hossein Ali,40326-7369513-3,KHI-5095,Car,Suzuki,Cultus,,2620774.0,Sindh
VEH-000168,Hussain Ali,40326-7369513-3,AGR-1660,Car,Toyota,Yaris,2025.0,3864410.0,Sindh
VEH-000169,Javed Virk,39372-2205867-3,SLK-6827,Car,Suzuki,Swift,2024.0,3524969.0,Punjab
VEH-000170,Nighat Bugti,33875-3976811-4,RIR-1677,Car,Toyota,Corolla,2018.0,5857238.0,Punjab
VEH-000171,Nighat Bugti,33875-3976811-4,FSD-6173,Car,Honda,City,2023.0,5640114.0,Punjab
VEH-000172,Nadia Mirza,48106-4290415-8,HYD-5897,SUV,KIA,Sportage,2016.0,9002010.0,Sindh
VEH-000173,Nadia Mirza,48106-4290415-8,SKP-3155,Car,Mercedes,C-Class,2017.0,23279256.0,Sindh
VEH-000174,Manzoor Awan,37034-0840062-3,RIA-9693,Car,Toyota,Corolla,2021.0,4656316.0,Punjab
VEH-000175,,39243-0378789-8,LEC-5555,Car,Suzuki,Alto,2022.0,2016501.0,Punjab
VEH-000176,Maheen Minhas,31969-8684952-4,RIR-1919,Car,Audi,A4,2017.0,,Punjab
VEH-000177,Maheen Minhas,31969-8684952-4,FSD-2159,SUV,KIA,Sportage,2022.0,11499226.0,Punjab
VEH-000178,Jaweria Malik,33460-2328671-0,SRG-9616,Car,Suzuki,Swift,2017.0,3896709.0,Punjab
VEH-000179,Samina Mengal,32633-9895148-8,SLK-3127,SUV,Toyota,Fortuner,2020.0,12956272.0,Punjab
VEH-000180,Samina Mengal,32633-9895148-8,FSD-1088,Car,Suzuki,Alto,,2609285.0,Punjab
VEH-000181,Samina Mengal,32633-9895148-8,MLT-7013,Motorcycle,Honda,CD-70,2024.0,142236.0,Punjab
VEH-000182,Rashid Brohi,43841-4397444-7,KHI-6302,Car,Honda,City,2021.0,5140332.0,Sindh
VEH-000183,Humaira Gondal,38155-7755918-2,MLT-5183,Motorcycle,Yamaha,YBR-125,2023.0,226303.0,Punjab
VEH-000184,,36102-4840149-3,LEB-8291,Car,Suzuki,Alto,,1949443.0,Punjab
VEH-000185,Tariq Khan,36102-4840149-3,RIR-6122,SUV,Hyundai,Tucson,2015.0,9956499.0,Punjab
VEH-000186,Tareq Khan,36102-4840149-3,BWP-7391,Car,Honda,Civic,2017.0,5728920.0,Punjab
VEH-000187,Irfan Gill,41861-7542694-5,MRP-6411,Car,Honda,City,2024.0,5912874.0,Sindh
VEH-000188,Pervaiz Sheikh,33506-6493184-1,LEC-178,Car,Honda,Civic,2015.0,8931439.0,Punjab
VEH-000189,Pervaiz Sheikh,33506-6493184-1,LEA-5095,Car,Honda,Civic,2023.0,8688235.0,Punjab
VEH-000190,Pervaiz Sheikh,33506-6493184-1,LEB-5948,SUV,KIA,Sportage,2019.0,8675295.0,Punjab
VEH-000191,Tahira Shaikh,36908-4961756-4,FSD-7551,Car,BMW,3 Series,2024.0,24930063.0,Punjab
VEH-000192,Tahira Shaikh,36908-4961756-4,FSD-7022,SUV,Hyundai,Tucson,2020.0,9775112.0,Punjab
VEH-000193,Azhar Iqbal,34165-1462745-3,RIA-3235,SUV,KIA,Sportage,2015.0,8743386.0,Punjab
VEH-000194,Azhar Iqbal,34165-1462745-3,BWP-1216,Car,Suzuki,Cultus,2020.0,3141448.0,Punjab
VEH-000195,Mohd Jamali,35836-9751285-5,LEC-350,Car,Suzuki,WagonR,2015.0,2532355.0,Punjab
VEH-000196,Sadia Sheikh,34023-8026483-0,SLK-1780,SUV,Hyundai,Tucson,2023.0,,Punjab
VEH-000197,Jaweria Kayani,43844-7701376-8,AGR-3438,Car,Toyota,Corolla,2019.0,5507454.0,Sindh
VEH-000198,,43844-7701376-8,KHI-9344,Car,Mercedes,C-Class,2016.0,29622404.0,Sindh
VEH-000199,Tanveer Chandio,32630-1728161-9,MLT-2638,Car,Suzuki,Swift,2024.0,3914329.0,Punjab
VEH-000200,Aisha Brohi,,ISB-606,Car,Toyota,Corolla,2025.0,4636855.0,Islamabad
VEH-000201,Ayesha Brohi,60215-1025860-6,ICT-4418,Car,Honda,City,2015.0,4677344.0,Islamabad
VEH-000202,Qasim Chandio,41237-7779356-3,SKP-6264,Car,Hyundai,Elantra,2022.0,6418053.0,Sindh
VEH-000203,Qasim Chandio,41237-7779356-3,SKP-6025,Car,Mercedes,C-Class,2023.0,28952539.0,Sindh
VEH-000204,Kasim Chandio,41237-7779356-3,HYD-1721,Car,Suzuki,Swift,2025.0,4009226.0,Sindh
VEH-000205,Qudsia Junejo,49296-6673145-2,HYD-6027,Car,Suzuki,Cultus,2020.0,3401119.0,Sindh
VEH-000206,Muhammed Warraich,14317-2724055-9,B-1418,Car,Suzuki,Alto,2015.0,1891549.0,KPK
VEH-000207,Muhammad Ahmed,62957-5821784-7,ICT-1147,Car,Suzuki,Alto,2019.0,2379305.0,Islamabad
VEH-000208,Farzana Gill,35773-9497386-0,LEC-3796,Car,Suzuki,Cultus,2022.0,3030743.0,Punjab
VEH-000209,Ehsan Mengal,44141-6057244-9,AKD-4638,Car,Suzuki,WagonR,2019.0,2600902.0,Sindh
VEH-000210,Ehsan Mengal,,KHI-9976,SUV,Toyota,Land Cruiser,2024.0,47980670.0,Sindh
VEH-000211,Talha Memon,36022-8453648-7,LEA-1881,Car,Suzuki,WagonR,2020.0,2395927.0,Punjab
VEH-000212,Saeed Khattak,45126-9636078-1,MRP-1646,SUV,Toyota,Fortuner,2022.0,14077977.0,Sindh
VEH-000213,Durr-e-Shahwar Awan,43721-3452087-8,AGR-2063,Car,Suzuki,Alto,2015.0,2137349.0,Sindh
VEH-000214,Zaineb Hussain,30774-0861771-8,LEA-8042,SUV,Hyundai,Tucson,2015.0,10049970.0,Punjab
VEH-000215,,39520-4335129-7,GRW-3034,Car,Suzuki,Alto,2019.0,2665615.0,Punjab
VEH-000216,Faisal Soomro,32950-4858704-7,RIA-3896,Motorcycle,Honda,CD-70,2016.0,,Punjab
VEH-000217,Fateema Gondal,37753-6375890-0,MLT-9296,Car,Toyota,Yaris,,3532579.0,Punjab
VEH-000218,Fateema Gondal,37753-6375890-0,LEA-4491,Car,Toyota,Yaris,2023.0,4759319.0,Punjab
VEH-000219,Arif Yousafzai,30418-4753242-5,MLT-9115,Car,Honda,Civic,2016.0,5740874.0,Punjab
VEH-000220,Basit Mengal,42379-9174314-1,MRP-3603,SUV,Toyota,Land Cruiser,2021.0,48169642.0,Sindh
VEH-000221,Nighat Randhawa,13830-6216214-6,A-6971,Car,Toyota,Corolla,2023.0,4979083.0,KPK
VEH-000222,Bilal Chaudhry,35946-6239572-9,FSD-4341,Car,Honda,Civic,2025.0,7347003.0,Punjab
VEH-000223,Bilal Chaudhry,,BWP-3675,Car,KIA,Picanto,2023.0,3780172.0,Punjab
VEH-000224,Hina Mirza,34715-7010532-6,LEB-3166,Car,Honda,Civic,,7445313.0,Punjab
VEH-000225,Tahir Durrani,13268-5536908-3,A-895,Motorcycle,Honda,CD-70,2023.0,121602.0,KPK
VEH-000226,Sanaa Butt,11243-6423809-6,MRD-6082,Car,Suzuki,Alto,2020.0,1990448.0,KPK
VEH-000227,,11243-6423809-6,PSH-1180,SUV,Hyundai,Tucson,2020.0,9895437.0,KPK
VEH-000228,Wardah Cheema,38035-3449473-4,RIA-9098,SUV,Hyundai,Tucson,2017.0,9505915.0,Punjab
VEH-000229,Wardah Chaudhry,73951-8740214-4,MZF-6477,Car,Suzuki,Alto,2023.0,2769328.0,AJK
VEH-000230,Khadijah Tahir,40678-1573634-2,SKP-4815,Car,Suzuki,Cultus,2016.0,3479919.0,Sindh
VEH-000231,Khadija Tahir,40678-1573634-2,MRP-1207,Car,Toyota,Yaris,2024.0,4119001.0,Sindh
VEH-000232,Khadijah Tahir,40678-1573634-2,AGR-4297,Car,Suzuki,Alto,,1945815.0,Sindh
VEH-000233,Rabia Junejo,59657-6052926-2,QTA-7616,Car,Suzuki,WagonR,2016.0,2222209.0,Balochistan
