record_id,owner_name,cnic,phone_number,operator,registration_date
MOB-000068,Nighat Warraich,47778-6276116-0,0313-0474477,Zong,2024-08-09
MOB-000069,,12549-7775888-9,0308-7259306,Jazz,2024-04-21
MOB-000070,Shahid Gill,18912-4570631-3,0302-5207914,Jazz,2023-08-04
MOB-000071,Shahid Gill,18912-4570631-3,0318-7574458,Zong,2026-05-23
MOB-000072,Nasreen Hussain,,0313-2531215,Zong,2025-02-24
MOB-000073,Nasreen Hussain,33736-1742844-6,0341-7377500,Telenor,2024-06-16
MOB-000074,Rizwan Gill,37894-8787338-9,0316-7768100,Zong,2020-11-21
MOB-000075,Rizwan Gill,37894-8787338-9,0312-9755728,Zong,2022-01-29
MOB-000076,Lubna Jamali,48053-7855253-4,0309-7951819,Jazz,2023-08-17
MOB-000077,Asma Sheikh,37945-0327579-8,0346-6809996,Telenor,2025-08-29
MOB-000078,Atif Iqbal,37800-8443555-7,0345-7829076,Telenor,2021-02-20
MOB-000079,,37800-8443555-7,0341-0908878,Telenor,2020-08-27
MOB-000080,Qudsia Chaudhry,71717-8124793-0,0306-7811582,Jazz,2022-12-01
MOB-000081,Waqas Aslam,43471-5088284-1,0349-5531393,Telenor,2023-05-04
MOB-000082,Iram Mengal,38116-7617066-6,0336-4921988,Ufone,
MOB-000083,Iram Mengal,38116-7617066-6,0300-3625379,Jazz,2021-06-16
MOB-000084,,40957-9575065-0,0308-9979100,Jazz,2026-05-02
MOB-000085,Ghazala Cheema,40957-9575065-0,0303-0153632,Jazz,2019-07-21
MOB-000086,Riffat Khattak,38321-0112034-2,0315-4444940,Zong,2023-09-03
MOB-000087,Tahir Khattak,42980-2525592-5,0346-9080287,Telenor,2023-03-27
MOB-000088,Tahir Khattak,42980-2525592-5,0300-7091983,Jazz,2022-09-02
MOB-000089,Rashid Yousafzai,38571-5129950-7,0305-5708834,Jazz,2022-11-13
MOB-000090,Farzana Warraich,39828-2150068-8,0342-0061456,Telenor,2024-08-25
MOB-000091,Iram Baloch,43919-6001564-6,0337-8657765,Ufone,2023-10-28
MOB-000092,Nighat Jamali,19131-0776718-4,0313-9492141,Zong,2022-09-06
MOB-000093,Owais Awan,71766-1571988-5,0318-0622012,Zong,2022-08-21
MOB-000094,Owais Awan,71766-1571988-5,0335-0644686,Ufone,2025-04-27
MOB-000095,Wardah Khan,46909-4926437-2,0319-3206150,Zong,2019-12-23
MOB-000096,Khalid Awan,,0312-1275405,Zong,2025-12-18
MOB-000097,Khaleed Awan,33604-8563212-5,0347-9259687,Telenor,2023-08-19
MOB-000098,Nadeea Chandio,30003-8019436-0,0339-5604669,Ufone,2020-06-05
MOB-000099,Samina Baloch,14461-6605510-0,0312-5451742,Zong,2024-06-22
MOB-000100,Qudsia Sethi,34270-3497387-2,0309-8547146,Jazz,2020-12-01
MOB-000101,Hamza Laghari,68412-9736695-5,0343-5454850,Telenor,2020-02-04
MOB-000102,Hamza Laghari,68412-9736695-5,0301-7958385,Jazz,2018-06-17
MOB-000103,Hamza Laghari,68412-9736695-5,0336-0936127,Ufone,2019-06-15
MOB-000104,Rafiq Mirza,57937-2193001-5,0313-8141716,Zong,
MOB-000105,Azhar Ahmed,38906-3719328-3,0336-2124882,Ufone,2022-05-27
MOB-000106,Azhar Ahmed,38906-3719328-3,0301-1074702,Jazz,2023-10-08
MOB-000107,Waqas Butt,51335-9206157-5,0304-9064592,Jazz,2025-03-23
MOB-000108,Noor Mengal,36138-7351754-6,0331-7651500,Ufone,2019-06-14
MOB-000109,Habib Yousafzai,13385-9351043-9,0333-0327672,Ufone,2024-09-20
MOB-000110,Amir Hashmi,35679-0002133-5,0314-0261682,Zong,2025-08-29
MOB-000111,Amir Hashmi,35679-0002133-5,0330-2578903,Ufone,2020-03-18
MOB-000112,Amir Hashmi,35679-0002133-5,0318-3701884,Zong,2025-04-01
MOB-000113,Jaweria Mengal,35713-2745777-6,0316-0473579,Zong,2023-09-06
MOB-000114,Jaweria Mengal,35713-2745777-6,0349-0293130,Telenor,2021-12-22
MOB-000115,Fateema Virk,33464-7530791-4,0300-9033663,Jazz,2021-12-20
MOB-000116,Noor Shah,43439-6316186-0,0342-5436029,Telenor,2018-11-01
MOB-000117,Noor Shah,,0314-1632337,Zong,2021-04-15
MOB-000118,Parveen Sheikh,35409-8124746-4,0315-1145927,Zong,2021-06-03
MOB-000119,Parveen Sheikh,35409-8124746-4,0339-9425144,Ufone,2023-03-20
MOB-000120,Tahira Junejo,37284-7726812-8,0348-7236770,Telenor,2025-04-21
MOB-000121,Khadija Awan,38560-7994713-0,0300-9936880,Jazz,2023-11-14
MOB-000122,Saima Ali,32716-4406744-4,0345-8013163,Telenor,2020-04-02
MOB-000123,Bushra Virk,30241-7854065-0,0346-8148893,Telenor,2018-07-18
MOB-000124,Bushra Virk,30241-7854065-0,0343-5870849,Telenor,2023-11-24
MOB-000125,Khaled Mirza,30493-1628781-3,0335-9923794,Ufone,
MOB-000126,Khalid Mirza,30493-1628781-3,0341-0297335,Telenor,2024-04-25
MOB-000127,Khalid Mirza,30493-1628781-3,0343-4275965,Telenor,2020-11-03
MOB-000128,Salman Sheikh,32314-3340863-1,0332-5709022,Ufone,2020-08-11
MOB-000129,Salman Sheikh,32314-3340863-1,0310-0089301,Zong,2025-03-03
MOB-000130,Salman Sheikh,32314-3340863-1,0332-4556217,Ufone,2019-01-09
MOB-000131,Liaquat Memon,39669-6368384-5,0316-9400648,Zong,2021-01-24
MOB-000132,Shoaib Jatoi,40321-2095973-5,0347-0599913,Telenor,2020-12-31
MOB-000133,Khaleed Memon,35160-4909911-9,0308-4198218,Jazz,2022-10-04
MOB-000134,Khaleed Memon,35160-4909911-9,0317-3618166,Zong,2023-02-15
MOB-000135,Khaleed Memon,35160-4909911-9,0343-4553652,Telenor,2021-03-15
MOB-000136,Naila Shaikh,30931-4577870-6,0348-1363221,Telenor,2024-12-21
MOB-000137,Naila Shaikh,30931-4577870-6,0307-3754097,Jazz,2018-07-02
MOB-000138,Sana Butt,34110-5749993-6,0302-1959080,Jazz,2019-06-01
MOB-000139,,54297-5466697-3,0314-9691395,Zong,2024-04-12
MOB-000140,Mansur Warraich,42698-0769359-9,0315-8718978,Zong,2021-04-13
MOB-000141,Mansoor Warraich,42698-0769359-9,0310-5720096,Zong,2021-05-08
MOB-000142,Jaweria Sethi,47981-5782276-0,0305-2132537,Jazz,2021-10-25
MOB-000143,Waseem Laghari,34810-1729466-3,0333-0455992,Ufone,2024-08-10
MOB-000144,Talha Warraich,31070-5905069-5,0332-6861119,Ufone,2023-04-15
MOB-000145,Talha Warraich,31070-5905069-5,0301-1994971,Jazz,2023-09-08
MOB-000146,Aisha Mughal,33698-8084890-0,0339-3412908,Ufone,2018-09-11
MOB-000147,Aisha Mughal,33698-8084890-0,0304-0672604,Jazz,2025-07-11
MOB-000148,Aneela Virk,10693-6897624-8,0349-8644181,Telenor,2019-12-10
MOB-000149,Zubayer Hussain,48994-8945219-1,0315-2495699,Zong,2020-02-05
MOB-000150,Zubayer Hussain,48994-8945219-1,0312-1718495,Zong,2021-04-04
MOB-000151,Zubayer Hussain,48994-8945219-1,0346-2299344,Telenor,2025-07-16
MOB-000152,Waseem Gondal,58976-6377365-7,0312-4041059,Zong,2021-04-27
MOB-000153,Taariq Butt,39500-5893367-9,0309-8227589,Jazz,2026-04-17
MOB-000154,Amna Raza,36127-8803562-8,0315-3665516,Zong,2024-03-02
MOB-000155,Amna Sethi,47081-4396895-4,0332-7941171,Ufone,2022-07-10
MOB-000156,Amna Sethi,47081-4396895-4,0335-9442966,Ufone,2026-03-29
MOB-000157,Amna Sethi,,0311-6792245,Zong,
MOB-000158,Nasreen Gondal,33175-8874116-4,0302-6902847,Jazz,
MOB-000159,Wardah Malik,13491-5341721-6,0335-2521444,Ufone,2018-10-01
MOB-000160,Rafiq Shaikh,46310-4650552-1,0347-8024914,Telenor,2023-12-09
MOB-000161,Salman Shah,18586-7261860-7,0349-7943775,Telenor,2019-08-08
MOB-000162,Shoaib Mirza,30992-5143996-9,0306-6604220,Jazz,2022-07-17
MOB-000163,Noor Memon,32316-0239402-6,0348-2355997,Telenor,
MOB-000164,Tahir Abbasi,49225-6430971-3,0305-6029471,Jazz,2023-10-13
MOB-000165,Zahid Soomro,46819-3379558-7,0311-0296735,Zong,2022-05-14
MOB-000166,Zafar Siddiqui,49752-4988389-7,0332-9953453,Ufone,2026-01-13
MOB-000167,Arif Hussain,32980-9691466-9,0330-2992848,Ufone,2025-10-22
MOB-000168,Arif Hussain,32980-9691466-9,0310-3804732,Zong,2023-01-06
MOB-000169,Mushtaq Warraich,45208-5943319-3,0300-6095895,Jazz,2026-01-25
MOB-000170,Rafiq Malik,50421-3740415-3,0313-8196311,Zong,2021-04-19
MOB-000171,Parveen Aslam,14181-4813438-2,0304-8005746,Jazz,2022-05-19
MOB-000172,,14181-4813438-2,0339-6687841,Ufone,2025-02-11
MOB-000173,Parveen Aslam,14181-4813438-2,0315-8806048,Zong,2025-05-16
MOB-000174,Adnan Mengal,,0318-6455532,Zong,2021-12-20
MOB-000175,Adnan Mengal,39144-6177377-7,0340-3835852,Telenor,2026-05-04
MOB-000176,Javed Warraich,34504-2046712-1,0318-2864345,Zong,2024-10-06
MOB-000177,Babar Chandio,16210-9946004-5,0345-2136657,Telenor,2018-12-04
MOB-000178,Babar Chandio,16210-9946004-5,0312-9173088,Zong,2025-07-20
MOB-000179,Sadia Aslam,32234-3000724-8,0304-1731159,Jazz,2022-11-17
MOB-000180,Sadia Aslam,32234-3000724-8,0348-7080005,Telenor,2020-12-29
MOB-000181,Sadia Aslam,32234-3000724-8,0343-9702774,Telenor,2023-04-03
MOB-000182,Zubayr Mughal,38756-2250166-1,0335-7457358,Ufone,2024-08-12
MOB-000183,Asad Aslam,34751-1478785-5,0307-0168009,Jazz,2024-03-20
MOB-000184,Bano Awan,52929-0918455-0,0312-0888422,Zong,2021-02-17
MOB-000185,Bano Awan,52929-0918455-0,0338-9230776,Ufone,2023-03-03
MOB-000186,Aneela Aslam,42212-5269218-0,0343-3617876,Telenor,2023-01-02
MOB-000187,Naila Tahir,49821-8296037-4,0336-9263420,Ufone,2018-08-10
MOB-000188,Daniyal Gill,66243-2683474-3,0318-9154239,Zong,2020-03-21
MOB-000189,Salman Shah,30299-1578630-1,0336-2577840,Ufone,2023-05-11
MOB-000190,Ahmd Iqbal,37372-4541310-5,0343-3890425,Telenor,2024-04-11
MOB-000191,Samina Warraich,38111-1936199-0,0343-2636078,Telenor,2021-04-08
MOB-000192,Madiha Rajput,42432-9778971-2,0348-5793159,Telenor,2025-04-01
MOB-000193,Farzana Hussain,39133-4647386-2,0312-1575182,Zong,2026-03-29
MOB-000194,Fahad Chandio,34567-7209059-1,0341-9055366,Telenor,2026-01-01
MOB-000195,Fahad Chandio,34567-7209059-1,0307-0119232,Jazz,2025-03-20
MOB-000196,Tahira Soomro,12801-9730937-8,0335-4703200,Ufone,2021-06-15
MOB-000197,,33762-1807508-7,0308-2773994,Jazz,2019-01-04
MOB-000198,Bushra Hussain,33974-0389606-6,0339-4643262,Ufone,2019-09-19
MOB-000199,Bushra Hussain,33974-0389606-6,0311-1415995,Zong,2020-10-31
MOB-000200,Pervaiz Brohi,10573-5602955-7,0309-1100676,Jazz,2025-08-07
MOB-000201,Pervaiz Brohi,10573-5602955-7,0346-3688764,Telenor,2018-09-17
MOB-000202,Waheed Minhas,41815-3582148-1,0310-0769848,Zong,2021-05-01
MOB-000203,Yasir Butt,42690-7629695-7,0349-7450358,Telenor,2021-08-21
MOB-000204,Yasir Butt,42690-7629695-7,0330-9369432,Ufone,2023-10-11
MOB-000205,Owais Rajput,30749-9749994-5,0307-5776337,Jazz,2022-12-28
MOB-000206,Aneela Mughal,56528-6667280-0,0339-9498281,Ufone,2025-08-12
MOB-000207,Tanzeela Rajput,34581-1193440-4,0330-5865831,Ufone,2019-11-10
MOB-000208,,32207-4211208-6,0311-5353749,Zong,2023-04-21
MOB-000209,Shoaib Kayani,31344-6163630-9,0337-4074882,Ufone,2023-08-07
MOB-000210,Fatimah Baloch,34376-2799866-8,0313-2305443,Zong,2021-10-05
MOB-000211,Daniyal Rajput,39950-8085866-7,0331-5345363,Ufone,2020-01-16
MOB-000212,Rabia Baloch,33514-2666799-0,0343-2389200,Telenor,2023-07-06
MOB-000213,Naadia Minhas,46565-8682751-6,0333-0798009,Ufone,2019-06-11
MOB-000214,Nadeea Minhas,46565-8682751-6,0345-6199537,Telenor,2025-10-20
MOB-000215,Fatimah Raza,32828-7429401-4,0300-1381774,Jazz,2025-02-06
MOB-000216,Shoaib Gill,49195-4085678-5,0317-6237654,Zong,2024-11-02
MOB-000217,Rizwan Jatoi,35950-7967162-3,0317-5723567,Zong,2021-01-25
MOB-000218,Rizwan Jatoi,35950-7967162-3,0349-6486885,Telenor,
MOB-000219,Rizwan Jatoi,35950-7967162-3,0349-1153288,Telenor,
MOB-000220,Owais Chaudhry,10981-9112108-3,0334-6203452,Ufone,2021-02-14
MOB-000221,Farhaan Abbasi,36412-9668133-9,0340-4820670,Telenor,2024-06-26
MOB-000222,Usman Butt,30612-1076484-7,0349-2734521,Telenor,2018-09-19
MOB-000223,Nadiya Awan,19484-7866453-0,0333-3252139,Ufone,2020-10-03
MOB-000224,Nadiya Awan,19484-7866453-0,0332-9417396,Ufone,2021-12-19
MOB-000225,Riffat Rajput,30637-1303478-8,0302-2412109,Jazz,2019-03-09
MOB-000226,Aisha Qureshi,50402-1465200-8,0342-7782165,Telenor,2022-09-04
MOB-000227,Farzana Kayani,34536-3648913-8,0311-1203062,Zong,2025-11-27
MOB-000228,Farzana Kayani,34536-3648913-8,0318-5024027,Zong,2020-06-20
MOB-000229,,34536-3648913-8,0319-1978013,Zong,2021-08-10
MOB-000230,Hussan Ali,40326-7369513-3,0337-0549379,Ufone,2022-04-17
MOB-000231,Javed Virk,39372-2205867-3,0343-8909166,Telenor,2025-07-03
MOB-000232,Nighat Bugti,33875-3976811-4,0314-3497674,Zong,2021-01-08
MOB-000233,Nadiya Mirza,48106-4290415-8,0339-3587711,Ufone,2020-04-14
MOB-000234,,39200-2012673-0,0302-1149643,Jazz,2022-11-30
MOB-000235,Zahid Randhawa,32019-6786161-5,0340-2470894,Telenor,2021-01-07
MOB-000236,Zahid Randhawa,32019-6786161-5,0335-0071363,Ufone,
MOB-000237,Manzoor Awan,37034-0840062-3,0343-3790042,Telenor,2019-05-27
MOB-000238,Mansoor Awan,37034-0840062-3,0349-3308731,Telenor,2021-08-18
MOB-000239,Shazia Minhas,39243-0378789-8,0338-1768404,Ufone,2025-02-14
MOB-000240,Shazia Minhas,39243-0378789-8,0310-8830655,Zong,2018-10-07
MOB-000241,Maheen Minhas,31969-8684952-4,0331-4894343,Ufone,2025-01-23
MOB-000242,Maheen Minhas,31969-8684952-4,0335-0139695,Ufone,2020-03-01
MOB-000243,Yasir Afridi,75731-0916525-3,0318-1340164,Zong,2026-03-20
MOB-000244,Yasir Afridi,75731-0916525-3,0343-1307813,Telenor,2019-03-27
MOB-000245,,75731-0916525-3,0301-2942364,Jazz,2022-03-22
MOB-000246,Jaweria Malik,33460-2328671-0,0308-0024087,Jazz,2022-10-02
MOB-000247,Samina Mengal,32633-9895148-8,0310-7537529,Zong,2018-08-29
MOB-000248,Samina Mengal,32633-9895148-8,0305-0812735,Jazz,2025-03-30
MOB-000249,Rashid Brohi,43841-4397444-7,0303-5836755,Jazz,2022-07-21
MOB-000250,Rasheid Brohi,43841-4397444-7,0300-4394263,Jazz,2026-02-22
MOB-000251,Rashid Chandio,13688-0816475-1,0342-3651477,Telenor,2022-09-13
MOB-000252,Humaira Gondal,38155-7755918-2,0313-8825214,Zong,2019-10-04
MOB-000253,Tariq Khan,36102-4840149-3,0336-7624110,Ufone,2020-01-24
MOB-000254,Irfan Gill,41861-7542694-5,0345-8152991,Telenor,2021-05-04
MOB-000255,Pervaiz Sheikh,33506-6493184-1,0311-6093584,Zong,2026-04-21
MOB-000256,Tahira Shaikh,36908-4961756-4,0346-8428614,Telenor,2022-07-24
MOB-000257,Tahira Shaikh,36908-4961756-4,0347-5759075,Telenor,2024-09-04
MOB-000258,Sanaa Ahmed,31019-4798728-2,0311-8198594,Zong,2025-11-18
MOB-000259,Azhar Iqbal,34165-1462745-3,0300-8835317,Jazz,2022-11-25
MOB-000260,Azhar Iqbal,34165-1462745-3,0348-1499431,Telenor,2021-02-01
MOB-000261,,34165-1462745-3,0319-2144522,Zong,2025-01-16
MOB-000262,Muhammad Jamali,35836-9751285-5,0343-4861293,Telenor,2021-03-26
MOB-000263,Sanaa Butt,32126-3299270-2,0318-8551018,Zong,2019-09-01
MOB-000264,Sanaa Butt,32126-3299270-2,0346-4005692,Telenor,2024-12-28
MOB-000265,Sadia Ali,34280-2837904-8,0311-8081698,Zong,2025-11-11
MOB-000266,Komal Soomro,39200-5643890-0,0341-4083226,Telenor,2019-04-14
MOB-000267,Komal Soomro,39200-5643890-0,0310-9581399,Zong,2025-06-10
MOB-000268,Talha Abbasi,43175-1169339-3,0319-3882263,Zong,2026-06-05
MOB-000269,Talha Abbasi,43175-1169339-3,0339-0049315,Ufone,2022-11-02
MOB-000270,Talha Abbasi,43175-1169339-3,0313-9237196,Zong,2024-03-15
MOB-000271,Ahemad Malik,,0305-5018508,Jazz,2019-07-30
MOB-000272,Ahemad Malik,40423-6891366-1,0334-4433493,Ufone,2020-03-11
MOB-000273,Nadeem Gondal,15097-6221927-3,0333-7902531,Ufone,2024-08-11
MOB-000274,Sadia Sheikh,34023-8026483-0,0318-9972870,Zong,2018-10-04
MOB-000275,Jaweria Kayani,43844-7701376-8,0341-1956579,Telenor,2022-05-10
MOB-000276,Jaweria Kayani,43844-7701376-8,0319-3246905,Zong,2021-09-29
MOB-000277,Tahira Butt,32629-7250222-8,0307-7674091,Jazz,2024-07-08
MOB-000278,Tanveer Chandio,32630-1728161-9,0343-4434556,Telenor,2025-10-20
MOB-000279,Aesha Brohi,60215-1025860-6,0339-4372037,Ufone,2022-11-21
MOB-000280,Ayesha Brohi,60215-1025860-6,0344-8290990,Telenor,2019-06-07
MOB-000281,Kassim Chandio,41237-7779356-3,0303-6995563,Jazz,2018-06-25
MOB-000282,Zafar Khoso,36653-1593792-5,0343-3173676,Telenor,2021-02-03
MOB-000283,Zafar Khoso,36653-1593792-5,0300-4365047,Jazz,2026-05-18
MOB-000284,Qudsia Junejo,49296-6673145-2,0342-7652089,Telenor,2018-10-27
MOB-000285,Qudsia Junejo,49296-6673145-2,0301-1997588,Jazz,2024-04-16
MOB-000286,Qudsia Junejo,49296-6673145-2,0340-1787939,Telenor,2025-08-30
MOB-000287,,57741-8801055-7,0302-6141027,Jazz,2023-07-03
MOB-000288,Yasir Chandio,46907-3444824-3,0309-8927928,Jazz,2025-11-11
MOB-000289,,14317-2724055-9,0307-2212536,Jazz,2019-03-10
MOB-000290,Hasan Afridi,32833-1242192-9,0341-8274815,Telenor,2021-04-13
MOB-000291,Haasan Afridi,32833-1242192-9,0304-4074431,Jazz,2022-06-02
MOB-000292,Mohammad Ahmed,62957-5821784-7,0346-3434312,Telenor,2026-01-04
MOB-000293,Muhammad Ahmed,62957-5821784-7,0316-5019969,Zong,2018-11-03
MOB-000294,Farzana Gill,35773-9497386-0,0308-2419626,Jazz,2019-04-29
MOB-000295,Farzana Gill,35773-9497386-0,0348-0026092,Telenor,2022-11-16
MOB-000296,Ehsan Mengal,44141-6057244-9,0338-3580593,Ufone,2024-12-18
MOB-000297,Kasim Bugti,33340-1872936-1,0312-2937717,Zong,2024-01-20
MOB-000298,Talha Memon,36022-8453648-7,0345-1545086,Telenor,2024-10-15
MOB-000299,Talha Memon,36022-8453648-7,0308-1536969,Jazz,2021-02-07
MOB-000300,Talha Memon,36022-8453648-7,0309-1608551,Jazz,2018-08-21
MOB-000301,Saeid Khattak,45126-9636078-1,0302-0114469,Jazz,2023-05-12
MOB-000302,Saeed Khattak,45126-9636078-1,0349-4505934,Telenor,2024-11-24
MOB-000303,Said Khattak,45126-9636078-1,0342-9467102,Telenor,2021-02-06
MOB-000304,Durr-e-Shahwar Awan,43721-3452087-8,0310-6692477,Zong,2023-11-18
MOB-000305,Durr-e-Shahwar Awan,43721-3452087-8,0334-8273530,Ufone,2026-01-13
MOB-000306,Zainab Hussain,30774-0861771-8,0338-4966707,Ufone,2020-03-25
MOB-000307,Zainab Hussain,30774-0861771-8,0319-0989804,Zong,2021-03-05
MOB-000308,Zainab Hussain,30774-0861771-8,0349-1940199,Telenor,2020-02-26
MOB-000309,Tanveer Mengal,39520-4335129-7,0330-8486517,Ufone,
MOB-000310,Tanveer Mengal,39520-4335129-7,0333-3541902,Ufone,2020-11-19
MOB-000311,Tanveer Mengal,39520-4335129-7,0330-4050603,Ufone,2020-10-19
MOB-000312,Faisal Soomro,32950-4858704-7,0311-7512331,Zong,2022-12-22
MOB-000313,Fatima Gondal,37753-6375890-0,0303-6440897,Jazz,2021-02-28
MOB-000314,Fatimah Gondal,,0317-8335400,Zong,2025-01-07
MOB-000315,Fathima Gondal,37753-6375890-0,0315-8715189,Zong,2022-03-14
MOB-000316,,30418-4753242-5,0312-8757382,Zong,2024-02-27
MOB-000317,Arif Yousafzai,30418-4753242-5,0307-2000532,Jazz,2019-06-13
MOB-000318,Basit Mengal,42379-9174314-1,0333-0550423,Ufone,2020-10-07
MOB-000319,Basit Mengal,42379-9174314-1,0307-2768879,Jazz,2019-09-19
MOB-000320,,45364-2560172-5,0300-3370258,Jazz,2019-10-15
MOB-000321,Madiha Bhatti,40229-6140091-6,0311-3858771,Zong,2020-10-10
MOB-000322,Madiha Bhatti,40229-6140091-6,0330-8494467,Ufone,2019-06-03
MOB-000323,Nighat Randhawa,13830-6216214-6,0302-7624633,Jazz,2018-07-30
MOB-000324,Nighat Randhawa,13830-6216214-6,0345-4741614,Telenor,2023-09-30
