record_id,business_name,owner_name,cnic,business_type,role,share_percentage,annual_revenue,registration_city
BIZ-000042,Khoso Wholesale Enterprises,Rafiq Malik,50421-3740415-3,Wholesale,Owner,60.0,7142349.0,Zhob
BIZ-000043,Mirza Wholesale Enterprises,Rafiq Malik,50421-3740415-3,Wholesale,Director,10.0,13788707.0,Zhob
BIZ-000044,Mirza Manufacturing Enterprises,Sadia Aslam,32234-3000724-8,Manufacturing,Partner,50.0,11058901.0,Lahore
BIZ-000045,Memon Wholesale Pvt Ltd,Asad Aslam,34751-1478785-5,Wholesale,Owner,60.0,70232770.0,Gujrat
BIZ-000046,Shah Wholesale Enterprises,Daniyal Gill,66243-2683474-3,Wholesale,Director,5.0,90711177.0,Islamabad
BIZ-000047,Shaikh E-Commerce Enterprises,Ahemad Iqbal,37372-4541310-5,E-Commerce,Owner,51.0,50953018.0,Lahore
BIZ-000048,Cheema Manufacturing Pvt Ltd,Bushra Hussain,33974-0389606-6,Manufacturing,Owner,33.0,416208262.0,Gujrat
BIZ-000049,Qureshi Healthcare Pvt Ltd,Waheed Minhas,41815-3582148-1,Healthcare,Partner,51.0,101702369.0,
BIZ-000050,Abbasi Transport Enterprises,Tanzeela Rajput,34581-1193440-4,Transport,Director,10.0,483337828.0,Multan
BIZ-000051,Ahmed Healthcare Enterprises,Tanzeela Rajput,34581-1193440-4,Healthcare,Partner,25.0,189957253.0,Multan
BIZ-000052,Niazi Textile Enterprises,Maryam Afridi,32207-4211208-6,Textile,Owner,51.0,68964707.0,Lahore
BIZ-000053,Sheikh Pharmaceutical Enterprises,Rabia Baloch,33514-2666799-0,Pharmaceutical,Owner,60.0,201504317.0,Dera Ghazi Khan
BIZ-000054,Malik Pharmaceutical Enterprises,Farhan Abbasi,36412-9668133-9,Pharmaceutical,Owner,33.0,,Dera Ghazi Khan
BIZ-000055,Chandio Construction Enterprises,Usman Butt,30612-1076484-7,Construction,Partner,51.0,51249080.0,Gujranwala
BIZ-000056,Khan Import/Export Pvt Ltd,,30637-1303478-8,Import/Export,Director,25.0,68168950.0,Lahore
BIZ-000057,Mengal Restaurant Enterprises,Riffat Rajput,30637-1303478-8,Restaurant,Partner,51.0,41721994.0,Lahore
BIZ-000058,Khattak Textile Enterprises,Nadia Mirza,48106-4290415-8,Textile,Partner,60.0,106778263.0,Karachi
BIZ-000059,Sheikh Manufacturing Pvt Ltd,Zahid Randhawa,32019-6786161-5,Manufacturing,Director,0.0,95317746.0,Lahore
BIZ-000060,Ahmed Construction Enterprises,Manzoor Awan,37034-0840062-3,Construction,Owner,25.0,10972578.0,Gujranwala
BIZ-000061,Niazi Agriculture Enterprises,Manzoor Awan,37034-0840062-3,Agriculture,Owner,33.0,16960018.0,Gujranwala
BIZ-000062,Khoso Import/Export Pvt Ltd,Mansur Awan,37034-0840062-3,Import/Export,Director,50.0,16316853.0,Gujranwala
BIZ-000063,Abbasi Retail Enterprises,Ayesha Brohi,60215-1025860-6,Retail,Partner,100.0,41361096.0,Islamabad
BIZ-000064,Qureshi Financial Services Enterprises,Kasim Chandio,41237-7779356-3,Financial Services,Director,0.0,259695149.0,Karachi
BIZ-000065,Malik Education Enterprises,Hassan Afridi,32833-1242192-9,Education,Director,0.0,85381528.0,Lahore
BIZ-000066,Iqbal IT Services Enterprises,Zaineb Hussain,30774-0861771-8,IT Services,Partner,60.0,15564366.0,Sahiwal
BIZ-000067,Afridi Healthcare Pvt Ltd,Zenab Hussain,30774-0861771-8,Healthcare,Partner,60.0,16107967.0,Sahiwal
BIZ-000068,Yousafzai Import/Export Enterprises,Nighat Randhawa,13830-6216214-6,Import/Export,Owner,51.0,,Peshawar
BIZ-000069,Tahir Retail Enterprises,Nighat Randhawa,13830-6216214-6,Retail,Director,5.0,6714457.0,Peshawar
BIZ-000070,Siddiqui E-Commerce Enterprises,Farzana Sheikh,14809-0910360-2,E-Commerce,Owner,100.0,26641866.0,Nowshera
BIZ-000071,Virk Restaurant Enterprises,Farzana Sheikh,14809-0910360-2,Restaurant,Director,50.0,13756588.0,Nowshera
BIZ-000072,Sethi Healthcare Pvt Ltd,Farzana Sheikh,14809-0910360-2,Healthcare,Director,10.0,80892783.0,Nowshera
BIZ-000073,Baloch Education Enterprises,Saeid Abbasi,32254-8219240-5,Education,Owner,60.0,3954426.0,Sahiwal
BIZ-000074,Jamali Textile Pvt Ltd,Bilal Chaudhry,35946-6239572-9,Textile,Owner,50.0,31266345.0,Sheikhupura
BIZ-000075,Awan Pharmaceutical Enterprises,Bilal Chaudhry,35946-6239572-9,Pharmaceutical,Owner,51.0,39527616.0,Sheikhupura
BIZ-000076,Ahmed Education Pvt Ltd,Rabia Junejo,59657-6052926-2,Education,Owner,,499687968.0,Loralai
BIZ-000077,Butt Manufacturing Enterprises,Sohail Khan,18766-0544102-9,Manufacturing,Owner,50.0,6029698.0,Mingora
BIZ-000078,Sethi Manufacturing Enterprises,Rafiq Memon,48927-0764543-7,Manufacturing,Owner,51.0,63860316.0,Khairpur
BIZ-000079,Bhatti Automotive Pvt Ltd,Rafiq Memon,48927-0764543-7,Automotive,Owner,50.0,,Khairpur
BIZ-000080,Jamali Wholesale Enterprises,Sadia Chandio,36407-6415592-8,Wholesale,Owner,33.0,48086932.0,Rahim Yar Khan
BIZ-000081,Jamali Healthcare Enterprises,Imraan Cheema,44878-0935998-5,Healthcare,Owner,100.0,95982612.0,Karachi
BIZ-000082,Randhawa IT Services Enterprises,,47013-1646217-7,IT Services,Owner,33.0,2084969.0,Mirpur Khas
BIZ-000083,Iqbal Retail Pvt Ltd,Junaid Warraich,47013-1646217-7,Retail,Director,0.0,3285780.0,Mirpur Khas
BIZ-000084,Khoso Pharmaceutical Pvt Ltd,Umair Gondal,62727-5343888-5,Pharmaceutical,Owner,60.0,18271277.0,Islamabad
BIZ-000085,Sethi E-Commerce Enterprises,Durr-e-Shahwar Hashmi,51726-4344343-6,E-Commerce,Partner,25.0,438967701.0,Chaman
BIZ-000086,Shaikh Wholesale Enterprises,Javed Jatoi,14150-9712359-5,Wholesale,Owner,33.0,13672886.0,Peshawar
BIZ-000087,Mengal Real Estate Enterprises,Javed Jatoi,14150-9712359-5,Real Estate,Owner,100.0,75914516.0,Peshawar
BIZ-000088,Bhatti Pharmaceutical Pvt Ltd,Javed Jatoi,14150-9712359-5,Pharmaceutical,Owner,25.0,79166656.0,Peshawar
BIZ-000089,Khan Restaurant Enterprises,Salman Chaudhry,35263-7048621-9,Restaurant,Partner,75.0,153136177.0,Rahim Yar Khan
BIZ-000090,Niazi Healthcare Enterprises,Atif Qureshi,52594-9023440-7,Healthcare,Owner,75.0,6332369.0,Khuzdar
BIZ-000091,Sethi Financial Services Enterprises,Nighat Mughal,38743-9754299-0,Financial Services,Owner,25.0,96095738.0,Multan
BIZ-000092,Awan Import/Export Pvt Ltd,Nighat Mughal,38743-9754299-0,Import/Export,Director,0.0,62746279.0,Multan
BIZ-000093,Cheema Construction Enterprises,Uzma Cheema,32700-3768077-0,Construction,Owner,50.0,69395665.0,Rawalpindi
BIZ-000094,Randhawa E-Commerce Enterprises,Danish Mirza,44802-1067049-3,E-Commerce,Owner,75.0,67843187.0,Karachi
BIZ-000095,Minhas E-Commerce Enterprises,Danish Mirza,44802-1067049-3,E-Commerce,Owner,75.0,408607951.0,Karachi
BIZ-000096,Bugti Textile Enterprises,Pervaiz Junejo,35807-1001592-5,Textile,Director,50.0,355045765.0,Jhelum
BIZ-000097,Bhatti Import/Export Enterprises,Mushtaq Sheikh,39226-5082022-3,Import/Export,Partner,50.0,436692899.0,Jhelum
BIZ-000098,Niazi Healthcare Pvt Ltd,Mushtaq Sheikh,39226-5082022-3,Healthcare,Owner,75.0,250270897.0,Jhelum
BIZ-000099,Shaikh Textile Enterprises,Irfan Raza,48035-4416351-5,Textile,Owner,25.0,291711616.0,
BIZ-000100,Sethi IT Services Enterprises,Furhan Hussain,38955-5259767-7,IT Services,Owner,75.0,347685925.0,Sahiwal
BIZ-000101,Mirza Transport Pvt Ltd,Wardah Ahmed,10494-5077947-2,Transport,Owner,100.0,6437501.0,Mingora
BIZ-000102,Warraich IT Services Enterprises,Wardah Ahmed,10494-5077947-2,IT Services,Partner,33.0,18891769.0,Mingora
BIZ-000103,Junejo Textile Enterprises,Rubina Aslam,45386-6966540-6,Textile,Director,0.0,377429467.0,Khairpur
BIZ-000104,Chandio E-Commerce Enterprises,Ahmd Niazi,47222-6793205-3,E-Commerce,Owner,75.0,66487393.0,Karachi
BIZ-000105,Minhas Automotive Pvt Ltd,Farzana Raza,,Automotive,Director,0.0,65681582.0,Rawalpindi
BIZ-000106,Soomro Wholesale Enterprises,Mushtaq Cheema,33199-2373219-3,Wholesale,Director,25.0,367485652.0,Multan
BIZ-000107,Yousafzai Pharmaceutical Enterprises,Waqas Kayani,44565-7591837-5,Pharmaceutical,Owner,75.0,54325416.0,Hyderabad
BIZ-000108,Aslam Retail Enterprises,Waqas Kayani,44565-7591837-5,Retail,Owner,75.0,271571568.0,Hyderabad
BIZ-000109,Randhawa Manufacturing Enterprises,Sohail Mirza,52835-5810714-1,Manufacturing,Owner,51.0,289700758.0,Khuzdar
BIZ-000110,Awan Real Estate Enterprises,Farah Butt,39368-3508305-0,Real Estate,Owner,50.0,243615415.0,Lahore
BIZ-000111,Shaikh Manufacturing Pvt Ltd,Nadeea Chandio,36582-0626606-4,Manufacturing,Owner,60.0,3427442.0,Multan
BIZ-000112,Shah Import/Export Enterprises,Nadia Chandio,36582-0626606-4,Import/Export,Director,50.0,4762119.0,Multan
BIZ-000113,Durrani Automotive Enterprises,Noor Cheema,33330-8838497-4,Automotive,Owner,25.0,,
BIZ-000114,Tahir Retail Enterprises,Noor Cheema,33330-8838497-4,Retail,Owner,60.0,14892014.0,Sheikhupura
BIZ-000115,Qureshi Education Enterprises,Atif Kayani,33550-9880277-5,Education,Owner,,,Multan
BIZ-000116,Qureshi Real Estate Enterprises,Talha Minhas,18975-4338015-1,Real Estate,Owner,51.0,,Peshawar
BIZ-000117,Tahir Agriculture Pvt Ltd,,44526-8726015-4,Agriculture,Owner,25.0,3428865.0,Sukkur
BIZ-000118,Bugti Financial Services Pvt Ltd,Lubna Durrani,44526-8726015-4,Financial Services,Owner,100.0,19944856.0,Sukkur
BIZ-000119,Mengal Real Estate Enterprises,Junaid Ahmed,32429-5917562-9,Real Estate,Owner,25.0,25464073.0,Lahore
BIZ-000120,Shah Manufacturing Enterprises,Junaid Ahmed,32429-5917562-9,Manufacturing,Owner,25.0,87878942.0,Lahore
BIZ-000121,Kayani IT Services Enterprises,Shaheed Randhawa,32230-0512542-5,IT Services,Partner,75.0,37936215.0,
BIZ-000122,Bhatti Agriculture Pvt Ltd,Khadijah Warraich,31721-1282556-8,Agriculture,Owner,25.0,42199504.0,Lahore
BIZ-000123,Abbasi Textile Enterprises,Zubair Malik,38505-0502580-7,Textile,Owner,50.0,34897849.0,Sialkot
BIZ-000124,Iqbal Wholesale Enterprises,Nasreen Khoso,30175-7345400-4,Wholesale,Director,25.0,77839136.0,Jhelum
BIZ-000125,Kayani Wholesale Enterprises,,31066-2156741-3,Wholesale,Director,25.0,82105620.0,Faisalabad
BIZ-000126,Jatoi Automotive Pvt Ltd,Farzana Laghari,39590-2126582-2,Automotive,Owner,60.0,19425738.0,Multan
BIZ-000127,Junejo Textile Pvt Ltd,Muhammad Virk,14380-0875068-5,Textile,Director,10.0,61540853.0,Peshawar
BIZ-000128,Yousafzai Manufacturing Enterprises,Muhammad Virk,14380-0875068-5,Manufacturing,Owner,25.0,46453106.0,Peshawar
BIZ-000129,Junejo Healthcare Pvt Ltd,Owais Hashmi,66834-7858966-1,Healthcare,Owner,75.0,83179643.0,Islamabad
BIZ-000130,Hussain Retail Enterprises,Owais Hashmi,66834-7858966-1,Retail,Director,0.0,,Islamabad
BIZ-000131,Durrani Wholesale Enterprises,,37906-9453169-9,Wholesale,Owner,25.0,394890629.0,
BIZ-000132,Hussain Automotive Pvt Ltd,Javed Malik,42083-9366501-5,Automotive,Partner,75.0,82512160.0,Karachi
BIZ-000133,Raza Import/Export Pvt Ltd,Salman Chandio,11382-6615523-3,Import/Export,Owner,75.0,90956681.0,Peshawar
BIZ-000134,Laghari Import/Export Pvt Ltd,Salman Chandio,11382-6615523-3,Import/Export,Owner,51.0,67770799.0,
BIZ-000135,Minhas IT Services Pvt Ltd,Jaweria Shaikh,30330-2182216-2,IT Services,Owner,75.0,,Jhelum
BIZ-000136,Randhawa Retail Enterprises,Jaweria Shaikh,30330-2182216-2,Retail,Director,5.0,,Jhelum
BIZ-000137,Minhas Wholesale Enterprises,Shoaib Gill,37247-1897929-1,Wholesale,Owner,75.0,406135542.0,Dera Ghazi Khan
BIZ-000138,Jatoi Transport Enterprises,Sajid Shah,36177-9699931-9,Transport,Owner,100.0,63528379.0,Sargodha
BIZ-000139,Bugti Restaurant Enterprises,Naadia Siddiqui,31747-6979167-0,Restaurant,Owner,51.0,257552134.0,Lahore
BIZ-000140,Mughal Agriculture Enterprises,Nadeea Siddiqui,31747-6979167-0,Agriculture,Partner,25.0,119639769.0,Lahore
BIZ-000141,Qureshi Financial Services Enterprises,Tanveer Iqbal,42204-2213179-9,Financial Services,Director,10.0,498043237.0,Jacobabad
BIZ-000142,Rajput Restaurant Pvt Ltd,Tanveer Iqbal,42204-2213179-9,Restaurant,Partner,25.0,433460778.0,Jacobabad
BIZ-000143,Afridi Pharmaceutical Enterprises,Javed Warraich,17558-7411997-9,Pharmaceutical,Partner,51.0,2606573.0,Mansehra
BIZ-000144,Tahir E-Commerce Enterprises,Waqas Rajput,35954-5401820-7,E-Commerce,Director,5.0,387747742.0,Sialkot
BIZ-000145,Rajput Healthcare Pvt Ltd,Wardah Awan,36554-7599462-8,Healthcare,Owner,51.0,2531537.0,Lahore
BIZ-000146,Awan Construction Enterprises,Wardah Awan,36554-7599462-8,Construction,Director,10.0,3602881.0,Lahore
BIZ-000147,Laghari Real Estate Enterprises,Wardah Awan,36554-7599462-8,Real Estate,Director,50.0,3994068.0,Lahore
BIZ-000148,Iqbal E-Commerce Enterprises,Wardah Niazi,43195-8661689-4,E-Commerce,Owner,33.0,60495542.0,Karachi
BIZ-000149,Laghari Textile Enterprises,Parveen Mengal,47890-5755505-0,Textile,Partner,100.0,56069257.0,Hyderabad
BIZ-000150,Niazi Pharmaceutical Pvt Ltd,Wardah Yousafzai,79326-6611185-2,Pharmaceutical,Owner,25.0,84478657.0,Muzaffarabad
BIZ-000151,Gill Retail Enterprises,Hussain Awan,61802-8063419-9,Retail,Director,5.0,68108254.0,Islamabad
BIZ-000152,Virk Financial Services Enterprises,,44964-0069200-3,Financial Services,Director,5.0,361714274.0,Sukkur
BIZ-000153,Khoso Construction Enterprises,Tahir Jamali,31818-3870703-5,Construction,Owner,100.0,16982592.0,Jhelum
BIZ-000154,Warraich IT Services Enterprises,Jaweria Warraich,30498-6853762-2,IT Services,Director,50.0,52442846.0,Lahore
BIZ-000155,Mughal Textile Enterprises,Nasreen Sethi,34582-8154250-6,Textile,Partner,51.0,19700467.0,Lahore
BIZ-000156,Shaikh Construction Enterprises,Nasreen Sethi,34582-8154250-6,Construction,Owner,,12051619.0,Lahore
BIZ-000157,Jatoi Education Pvt Ltd,Aisha Ali,46309-1299453-8,Education,Partner,33.0,425732811.0,Larkana
BIZ-000158,Qureshi Financial Services Enterprises,Aisha Ali,46309-1299453-8,Financial Services,Partner,100.0,349134816.0,Larkana
BIZ-000159,Awan Financial Services Enterprises,Hassan Warraich,33075-9521903-3,Financial Services,Partner,33.0,88370247.0,Lahore
BIZ-000160,Chaudhry Textile Enterprises,Tahira Abbasi,67905-3332726-6,Textile,Owner,60.0,86092069.0,Islamabad
BIZ-000161,Khattak E-Commerce Enterprises,Zafar Khan,36341-1181212-7,E-Commerce,Director,20.0,7571639.0,Sahiwal
BIZ-000162,Malik Agriculture Enterprises,Zafar Khan,36341-1181212-7,Agriculture,Owner,25.0,6940019.0,Sahiwal
BIZ-000163,Jamali Healthcare Pvt Ltd,Zafar Khan,36341-1181212-7,Healthcare,Director,50.0,17224091.0,Sahiwal
BIZ-000164,Afridi Education Enterprises,Zubaida Baloch,,Education,Owner,50.0,192764800.0,Gujrat
BIZ-000165,Warraich IT Services Enterprises,Ahemad Shaikh,32751-1180625-3,IT Services,Owner,60.0,495459046.0,Jhelum
BIZ-000166,Ali Transport Enterprises,Ahmad Shaikh,32751-1180625-3,Transport,Owner,51.0,171538676.0,Jhelum
BIZ-000167,Jatoi Textile Enterprises,Rubina Randhawa,14464-1990674-8,Textile,Director,20.0,78308735.0,Mardan
BIZ-000168,Baloch Automotive Pvt Ltd,Tanveer Minhas,32445-4314196-1,Automotive,Owner,51.0,73995949.0,Sheikhupura
BIZ-000169,Afridi E-Commerce Pvt Ltd,Usman Mengal,31133-6910396-1,E-Commerce,Director,10.0,36820702.0,Dera Ghazi Khan
BIZ-000170,Sethi Restaurant Enterprises,Usman Mengal,31133-6910396-1,Restaurant,Owner,75.0,44964084.0,Dera Ghazi Khan
BIZ-000171,Aslam Real Estate Enterprises,Osman Mengal,31133-6910396-1,Real Estate,Director,5.0,89210635.0,Dera Ghazi Khan
BIZ-000172,Shah Manufacturing Enterprises,Samina Khoso,46034-6887224-8,Manufacturing,Director,0.0,291741868.0,Jacobabad
BIZ-000173,Aslam Transport Enterprises,Ehsan Ali,30133-8858559-1,Transport,Partner,33.0,300730518.0,Sialkot
BIZ-000174,Rajput Healthcare Enterprises,Parveen Abbasi,48692-6928747-0,Healthcare,Director,0.0,98095724.0,Karachi
BIZ-000175,Chaudhry Automotive Pvt Ltd,Daniyal Chandio,34480-8801960-7,Automotive,Owner,33.0,395410667.0,Lahore
BIZ-000176,Shah Real Estate Enterprises,Parveen Junejo,34048-2791437-6,Real Estate,Owner,51.0,150323884.0,Sialkot
BIZ-000177,Shah Wholesale Enterprises,Lubna Gill,49696-3107319-8,Wholesale,Partner,50.0,16649186.0,Larkana
BIZ-000178,Minhas Agriculture Enterprises,Samina Bhatti,46571-3114229-4,Agriculture,Owner,25.0,2046975.0,Karachi
BIZ-000179,Baig Transport Enterprises,Samina Bhatti,,Transport,Owner,60.0,8609144.0,Karachi
BIZ-000180,Bhatti Education Enterprises,Usman Minhas,41728-3337333-7,Education,Owner,100.0,55299556.0,Karachi
BIZ-000181,Bhatti Construction Enterprises,Umar Randhawa,15163-2095028-3,Construction,Owner,50.0,11936489.0,Nowshera
BIZ-000182,Shah Healthcare Pvt Ltd,Shazia Shah,52938-0278918-8,Healthcare,Director,25.0,81674273.0,Gwadar
BIZ-000183,Yousafzai Healthcare Enterprises,Ehsan Butt,39621-1492822-5,Healthcare,Owner,51.0,13814357.0,Gujranwala
BIZ-000184,Cheema E-Commerce Enterprises,Uzma Soomro,31081-1166283-2,E-Commerce,Owner,60.0,87070404.0,Multan
BIZ-000185,Gondal Manufacturing Enterprises,Nasreen Yousafzai,43845-9048036-8,Manufacturing,Owner,33.0,73320487.0,Karachi
BIZ-000186,Iqbal Financial Services Enterprises,Rizwan Sheikh,43894-0536522-3,Financial Services,Director,0.0,494921562.0,Nawabshah
BIZ-000187,Hashmi Restaurant Enterprises,Rizwan Sheikh,43894-0536522-3,Restaurant,Director,10.0,113461762.0,Nawabshah
BIZ-000188,Mughal Wholesale Enterprises,Ghulam Khattak,40316-5884314-5,Wholesale,Director,0.0,130946248.0,Shikarpur
BIZ-000189,Chaudhry Real Estate Pvt Ltd,Ghulam Khattak,40316-5884314-5,Real Estate,Owner,25.0,316396482.0,Shikarpur
BIZ-000190,Bugti Agriculture Pvt Ltd,Ehsan Randhawa,31687-2846853-1,Agriculture,Owner,25.0,3512688.0,Sheikhupura
BIZ-000191,Junejo Pharmaceutical Pvt Ltd,Rasheed Virk,41698-1339331-5,Pharmaceutical,Owner,51.0,64382069.0,Larkana
BIZ-000192,Warraich Agriculture Enterprises,Rasheid Virk,41698-1339331-5,Agriculture,Owner,51.0,,Larkana
BIZ-000193,Randhawa Real Estate Enterprises,Fateema Awan,38911-4326081-8,Real Estate,Owner,100.0,32816422.0,Sheikhupura
BIZ-000194,Gill Import/Export Pvt Ltd,Hassan Mengal,36525-4871392-3,Import/Export,Owner,75.0,27359989.0,Sialkot
BIZ-000195,Hashmi Healthcare Enterprises,Hassan Mengal,36525-4871392-3,Healthcare,Owner,100.0,76373327.0,Sialkot
BIZ-000196,Gill Agriculture Enterprises,Sadia Ahmed,33025-8968240-6,Agriculture,Owner,75.0,21718447.0,Rahim Yar Khan
BIZ-000197,Laghari Wholesale Enterprises,Sadia Ahmed,33025-8968240-6,Wholesale,Owner,33.0,34374224.0,
BIZ-000198,Gill Textile Enterprises,Habib Khan,38927-2188073-3,Textile,Owner,50.0,235104488.0,Jhelum
BIZ-000199,Bhatti Transport Enterprises,Habib Khan,38927-2188073-3,Transport,Director,20.0,290999583.0,Jhelum
BIZ-000200,Jamali Wholesale Enterprises,Umar Siddiqui,35125-1631648-3,Wholesale,Partner,50.0,68809898.0,Sargodha
BIZ-000201,Junejo Automotive Pvt Ltd,Imron Khoso,31688-4975923-1,Automotive,Director,,89464495.0,Sialkot
BIZ-000202,Hussain Retail Enterprises,Noor Kayani,31423-7423700-4,Retail,Owner,33.0,12182698.0,Gujrat
BIZ-000203,Khattak Education Enterprises,Noor Kayani,31423-7423700-4,Education,Director,50.0,17425522.0,Gujrat
BIZ-000204,Hashmi IT Services Pvt Ltd,Naila Yousafzai,12688-2413812-6,IT Services,Owner,51.0,143785329.0,Mingora
BIZ-000205,Soomro Textile Enterprises,Naila Yousafzai,12688-2413812-6,Textile,Director,25.0,283553972.0,Mingora
BIZ-000206,Raza Wholesale Enterprises,Zafar Durrani,46866-9951589-9,Wholesale,Director,5.0,14661730.0,Nawabshah
BIZ-000207,Siddiqui Financial Services Enterprises,Zafar Durrani,46866-9951589-9,Financial Services,Partner,33.0,2701854.0,Nawabshah
BIZ-000208,Malik E-Commerce Pvt Ltd,Waheed Butt,61216-4551138-5,E-Commerce,Owner,33.0,53581333.0,Islamabad
BIZ-000209,Khattak Automotive Enterprises,Waheed Butt,61216-4551138-5,Automotive,Director,0.0,36824093.0,Islamabad
BIZ-000210,Mughal Wholesale Pvt Ltd,Aneela Sethi,42240-2200993-8,Wholesale,Director,0.0,11809388.0,Sukkur
