record_id,account_holder,cnic,monthly_transactions,avg_balance,bank_name,account_type
BANK-000023,Riffat Laghari,34734-5432704-6,14.0,8333.0,Summit Bank,Savings
BANK-000024,Riffat Laghari,34734-5432704-6,8.0,65599.0,JS Bank,Savings
BANK-000025,,34734-5432704-6,5.0,90574.0,Habib Bank,Current
BANK-000026,Nasreen Qureshi,68893-0663561-6,27.0,701081.0,Habib Bank,Savings
BANK-000027,Atif Niazi,55918-7275276-7,63.0,104630.0,Summit Bank,Current
BANK-000028,Atif Niazi,55918-7275276-7,28.0,1689914.0,Summit Bank,Savings
BANK-000029,Saima Virk,44238-5904933-6,24.0,1521855.0,United Bank,Savings
BANK-000030,Waseem Butt,47416-6654853-7,43.0,500968.0,Standard Chartered,Savings
BANK-000031,Nighat Afridi,19402-2306811-8,410.0,53438498.0,Bank Alfalah,Savings
BANK-000032,Nighat Afridi,19402-2306811-8,119.0,52453182.0,Standard Chartered,Savings
BANK-000033,Nighat Afridi,19402-2306811-8,82.0,43686060.0,Askari Bank,Savings
BANK-000034,Nighat Afridi,,478.0,78856095.0,MCB Bank,Current
BANK-000035,Sajid Tahir,35304-6248612-7,,103241.0,National Bank,Current
BANK-000036,Sajid Tahir,35304-6248612-7,,94163.0,Meezan Bank,Savings
BANK-000037,Sajid Tahir,35304-6248612-7,8.0,169746.0,Bank Al Habib,Savings
BANK-000038,,39427-0803084-3,26.0,102252.0,Standard Chartered,Current
BANK-000039,,32974-9567456-9,7.0,93444.0,Habib Bank,Business
BANK-000040,Alee Junejo,32974-9567456-9,26.0,143830.0,Askari Bank,Savings
BANK-000041,Qudsia Shah,42486-2641128-6,29.0,1371753.0,Askari Bank,Current
BANK-000042,Waseem Malik,43209-8683882-9,31.0,1613251.0,Bank Alfalah,Savings
BANK-000043,Junaid Khan,49939-7281438-7,147.0,12149741.0,Bank of Punjab,Savings
BANK-000044,Junaid Khan,49939-7281438-7,148.0,7731456.0,National Bank,Savings
BANK-000045,Junaid Khan,49939-7281438-7,175.0,8177981.0,Allied Bank,Savings
BANK-000046,Iram Iqbal,16536-8740066-2,136.0,13345111.0,Bank Al Habib,Business
BANK-000047,Iram Iqbal,16536-8740066-2,160.0,14302272.0,National Bank,Current
BANK-000048,Iram Iqbal,16536-8740066-2,49.0,5334289.0,United Bank,Current
BANK-000049,Tanveer Yousafzai,38115-3203338-9,30.0,,National Bank,Savings
BANK-000050,,48066-1915057-7,187.0,3954135.0,Soneri Bank,Business
BANK-000051,Rafiq Baig,48066-1915057-7,152.0,7382226.0,National Bank,Savings
BANK-000052,Pervaiz Khattak,34122-6936401-5,,14162059.0,Standard Chartered,Savings
BANK-000053,Pervaiz Khattak,34122-6936401-5,141.0,90684002.0,Allied Bank,Savings
BANK-000054,Mansoor Laghari,69813-5110188-5,67.0,11149799.0,Askari Bank,Current
BANK-000055,Mansoor Laghari,,81.0,3649737.0,Allied Bank,Savings
BANK-000056,Mansoor Laghari,69813-5110188-5,199.0,4551991.0,Soneri Bank,Current
BANK-000057,Bano Afridi,43971-8670120-4,26.0,124780.0,Soneri Bank,Business
BANK-000058,Bano Afridi,43971-8670120-4,19.0,126435.0,MCB Bank,Business
BANK-000059,Bano Afridi,43971-8670120-4,2.0,76323.0,United Bank,Current
BANK-000060,Lubna Baloch,51713-2287856-2,62.0,1819452.0,Meezan Bank,Current
BANK-000061,Khalid Warraich,48066-3598108-7,290.0,98194454.0,JS Bank,Current
BANK-000062,Khaleed Warraich,48066-3598108-7,328.0,38025300.0,Habib Bank,Savings
BANK-000063,Khaleed Warraich,48066-3598108-7,270.0,57650968.0,Faysal Bank,Business
BANK-000064,Khalid Warraich,48066-3598108-7,215.0,49807385.0,Allied Bank,Savings
BANK-000065,Zubaida Minhas,,56.0,11065107.0,Bank Alfalah,Business
BANK-000066,Zubaida Minhas,69630-3143260-6,171.0,9602367.0,Bank of Punjab,Current
BANK-000067,Tahira Cheema,37956-0408396-4,158.0,7916869.0,Meezan Bank,Business
BANK-000068,Tahira Cheema,37956-0408396-4,151.0,3474249.0,JS Bank,Current
BANK-000069,Tahira Cheema,37956-0408396-4,145.0,1750225.0,Meezan Bank,Current
BANK-000070,Lubna Chandio,47074-7804737-6,67.0,1351012.0,Soneri Bank,Current
BANK-000071,Lubna Chandio,47074-7804737-6,37.0,102376.0,Soneri Bank,Business
BANK-000072,Lubna Chandio,47074-7804737-6,74.0,,Habib Bank,Savings
BANK-000073,Salman Khan,36446-7738669-7,90.0,8950103.0,Askari Bank,Current
BANK-000074,Salman Khan,36446-7738669-7,97.0,11881737.0,National Bank,Current
BANK-000075,Kamran Jamali,31419-7440422-7,6.0,72712.0,Askari Bank,Savings
BANK-000076,Kamran Jamali,31419-7440422-7,23.0,6081.0,Standard Chartered,Savings
BANK-000077,,30055-2681664-6,40.0,6646420.0,Allied Bank,Current
BANK-000078,Aneela Raza,30055-2681664-6,54.0,7265707.0,United Bank,Current
BANK-000079,Nighat Warraich,47778-6276116-0,421.0,81109858.0,United Bank,Savings
BANK-000080,Nighat Warraich,47778-6276116-0,253.0,61559860.0,Soneri Bank,Current
BANK-000081,Yasir Sheikh,12549-7775888-9,80.0,1339563.0,Meezan Bank,Savings
BANK-000082,Shaheed Gill,,15.0,137788.0,United Bank,Savings
BANK-000083,Nasreen Hussain,33736-1742844-6,241.0,30932195.0,Soneri Bank,Current
BANK-000084,Nasreen Hussain,33736-1742844-6,246.0,69693933.0,Bank Al Habib,Current
BANK-000085,Nasreen Hussain,33736-1742844-6,434.0,94139177.0,National Bank,Savings
BANK-000086,Rizwan Gill,37894-8787338-9,80.0,1117863.0,JS Bank,Current
BANK-000087,Rizwan Gill,37894-8787338-9,15.0,453800.0,Bank Al Habib,Savings
BANK-000088,,37894-8787338-9,44.0,1478758.0,Meezan Bank,Current
BANK-000089,Lubna Jamali,48053-7855253-4,47.0,,Askari Bank,Savings
BANK-000090,Asma Sheikh,37945-0327579-8,77.0,11707398.0,Habib Bank,Savings
BANK-000091,Asma Sheikh,37945-0327579-8,164.0,4261879.0,MCB Bank,Savings
BANK-000092,Atif Iqbal,37800-8443555-7,61.0,3920511.0,JS Bank,Savings
BANK-000093,Atif Iqbal,37800-8443555-7,66.0,1379848.0,Bank Al Habib,Current
BANK-000094,Waqas Aslam,43471-5088284-1,54.0,110024.0,United Bank,Business
BANK-000095,Waqas Aslam,43471-5088284-1,47.0,680378.0,Bank Alfalah,Savings
BANK-000096,Waqas Aslam,43471-5088284-1,28.0,96180.0,Soneri Bank,Business
BANK-000097,Iram Mengal,38116-7617066-6,58.0,3776562.0,Soneri Bank,Current
BANK-000098,Ghazala Cheema,40957-9575065-0,3.0,16602.0,Allied Bank,Savings
BANK-000099,Ghazala Cheema,40957-9575065-0,16.0,178680.0,National Bank,Savings
BANK-000100,Riffat Khattak,38321-0112034-2,27.0,139991.0,Bank of Punjab,Business
BANK-000101,Tahir Khattak,42980-2525592-5,65.0,589643.0,Askari Bank,Savings
BANK-000102,Rashid Yousafzai,38571-5129950-7,95.0,15325299.0,Faysal Bank,Business
BANK-000103,Rasheed Yousafzai,38571-5129950-7,388.0,35447314.0,Askari Bank,Business
BANK-000104,Rasheed Yousafzai,38571-5129950-7,439.0,5979020.0,National Bank,Savings
BANK-000105,Rasheid Yousafzai,38571-5129950-7,239.0,49226250.0,Soneri Bank,Business
BANK-000106,Farzana Warraich,39828-2150068-8,478.0,21699011.0,Meezan Bank,Savings
BANK-000107,Farzana Warraich,39828-2150068-8,204.0,43698272.0,Habib Bank,Savings
BANK-000108,Farzana Warraich,39828-2150068-8,362.0,78006589.0,Standard Chartered,Savings
BANK-000109,Iram Baloch,43919-6001564-6,,1653683.0,Habib Bank,Business
BANK-000110,Nighat Jamali,19131-0776718-4,100.0,6538569.0,Summit Bank,Savings
BANK-000111,Nighat Jamali,19131-0776718-4,,6240310.0,Standard Chartered,Savings
BANK-000112,Owais Awan,71766-1571988-5,26.0,116895.0,Standard Chartered,Current
BANK-000113,Owais Awan,71766-1571988-5,15.0,17721.0,Bank of Punjab,Savings
BANK-000114,,46909-4926437-2,,36040.0,Bank Al Habib,Current
BANK-000115,Nadia Chandio,30003-8019436-0,28.0,174421.0,MCB Bank,Current
BANK-000116,Samina Baloch,14461-6605510-0,78.0,1714298.0,National Bank,Savings
BANK-000117,Qudsia Sethi,34270-3497387-2,24.0,1318826.0,Standard Chartered,Current
BANK-000118,Hamza Laghari,68412-9736695-5,144.0,5597444.0,Soneri Bank,Current
BANK-000119,Rafiq Mirza,57937-2193001-5,14.0,664478.0,Allied Bank,Savings
BANK-000120,Rafiq Mirza,57937-2193001-5,18.0,1847361.0,MCB Bank,Savings
BANK-000121,Azhar Ahmed,38906-3719328-3,234.0,48625720.0,Habib Bank,Current
BANK-000122,Azhar Ahmed,38906-3719328-3,340.0,95822578.0,Askari Bank,Current
BANK-000123,Azhar Ahmed,38906-3719328-3,184.0,42833885.0,Faysal Bank,Current
BANK-000124,Azhar Ahmed,38906-3719328-3,59.0,76431597.0,Askari Bank,Current
BANK-000125,Habib Yousafzai,13385-9351043-9,15.0,183281.0,Bank Al Habib,Current
BANK-000126,Amir Hashmi,35679-0002133-5,19.0,60695.0,JS Bank,Current
BANK-000127,Amir Hashmi,35679-0002133-5,22.0,30234.0,Summit Bank,Business
BANK-000128,Amir Hashmi,35679-0002133-5,7.0,124080.0,Faysal Bank,Savings
BANK-000129,Jaweria Mengal,35713-2745777-6,5.0,121580.0,Soneri Bank,Business
BANK-000130,Fatima Virk,33464-7530791-4,49.0,1615455.0,National Bank,Current
BANK-000131,Noor Shah,43439-6316186-0,8.0,93517.0,JS Bank,Current
BANK-000132,Noor Shah,43439-6316186-0,11.0,88177.0,Bank of Punjab,Savings
BANK-000133,Noor Shah,43439-6316186-0,,34968.0,National Bank,Savings
BANK-000134,Parveen Sheikh,35409-8124746-4,48.0,1380211.0,Bank Alfalah,Savings
BANK-000135,Tahira Junejo,37284-7726812-8,77.0,,Habib Bank,Current
BANK-000136,Khadeeja Awan,38560-7994713-0,55.0,557585.0,United Bank,Savings
BANK-000137,Bushra Virk,30241-7854065-0,,1939389.0,Bank Al Habib,Current
BANK-000138,Khaled Mirza,30493-1628781-3,19.0,41258.0,National Bank,Business
BANK-000139,Khaleed Mirza,30493-1628781-3,12.0,165709.0,Soneri Bank,Current
BANK-000140,Khaled Mirza,30493-1628781-3,20.0,98520.0,Summit Bank,Business
BANK-000141,Salman Sheikh,32314-3340863-1,71.0,511062.0,Summit Bank,Business
BANK-000142,Salman Sheikh,32314-3340863-1,50.0,11211320.0,MCB Bank,Current
BANK-000143,Salman Sheikh,32314-3340863-1,166.0,8815499.0,United Bank,Savings
BANK-000144,Liaquat Memon,39669-6368384-5,12.0,55801.0,Meezan Bank,Savings
BANK-000145,Shoaib Jatoi,40321-2095973-5,23.0,121846.0,Soneri Bank,Savings
BANK-000146,Khalid Memon,,98.0,,MCB Bank,Savings
BANK-000147,Khalid Memon,35160-4909911-9,49.0,1863068.0,Allied Bank,Savings
BANK-000148,Khalid Memon,35160-4909911-9,107.0,1008200.0,Standard Chartered,Business
BANK-000149,Naila Shaikh,30931-4577870-6,66.0,282538.0,Soneri Bank,Current
BANK-000150,Naila Shaikh,30931-4577870-6,30.0,1286476.0,Summit Bank,Savings
BANK-000151,Sana Butt,34110-5749993-6,24.0,51803.0,MCB Bank,Savings
BANK-000152,Mansoor Warraich,42698-0769359-9,79.0,2862165.0,Bank Al Habib,Business
BANK-000153,Mansoor Warraich,42698-0769359-9,146.0,14050992.0,Bank Alfalah,Current
BANK-000154,Jaweria Sethi,47981-5782276-0,495.0,,Bank Alfalah,Business
BANK-000155,Jaweria Sethi,47981-5782276-0,349.0,58139811.0,Bank Alfalah,Savings
BANK-000156,Waseem Laghari,34810-1729466-3,23.0,122745.0,Summit Bank,Savings
BANK-000157,Talha Warraich,31070-5905069-5,205.0,15241273.0,Faysal Bank,Savings
BANK-000158,Talha Warraich,31070-5905069-5,69.0,15158598.0,Bank Alfalah,Savings
BANK-000159,Talha Warraich,31070-5905069-5,53.0,75947221.0,Soneri Bank,Current
BANK-000160,Aisha Mughal,33698-8084890-0,43.0,5703515.0,Bank of Punjab,Savings
BANK-000161,Aisha Mughal,33698-8084890-0,178.0,966571.0,Standard Chartered,Savings
BANK-000162,Aisha Mughal,33698-8084890-0,32.0,5914273.0,Askari Bank,Savings
BANK-000163,Aisha Mughal,33698-8084890-0,183.0,6219014.0,Habib Bank,Business
BANK-000164,Aneela Virk,10693-6897624-8,199.0,4467069.0,Summit Bank,Savings
BANK-000165,Aneela Virk,10693-6897624-8,58.0,3642120.0,MCB Bank,Savings
BANK-000166,Aneela Virk,,,2409181.0,United Bank,Current
BANK-000167,Aneela Virk,10693-6897624-8,47.0,9496055.0,United Bank,Business
BANK-000168,Zubayr Hussain,48994-8945219-1,,3539805.0,Soneri Bank,Current
BANK-000169,Waseem Gondal,58976-6377365-7,151.0,6070470.0,Habib Bank,Business
BANK-000170,Amna Raza,36127-8803562-8,33.0,638853.0,Allied Bank,Savings
BANK-000171,Amna Raza,36127-8803562-8,31.0,433054.0,JS Bank,Savings
BANK-000172,Nasreen Gondal,33175-8874116-4,,10448704.0,Summit Bank,Savings
BANK-000173,Nasreen Gondal,33175-8874116-4,166.0,1099939.0,Faysal Bank,Business
BANK-000174,Nasreen Gondal,33175-8874116-4,111.0,11909834.0,Soneri Bank,Current
BANK-000175,Wardah Malik,13491-5341721-6,20.0,1710971.0,Soneri Bank,Savings
BANK-000176,Rafiq Shaikh,46310-4650552-1,122.0,2599545.0,Faysal Bank,Savings
BANK-000177,Rafiq Shaikh,46310-4650552-1,96.0,7839542.0,National Bank,Savings
BANK-000178,Rafiq Shaikh,46310-4650552-1,139.0,929851.0,United Bank,Savings
BANK-000179,Rafiq Shaikh,46310-4650552-1,150.0,8107530.0,Standard Chartered,Current
BANK-000180,Salman Shah,18586-7261860-7,183.0,4649876.0,Bank Alfalah,Savings
BANK-000181,Salman Shah,18586-7261860-7,145.0,9441309.0,Bank Al Habib,Business
BANK-000182,Salman Shah,18586-7261860-7,119.0,1832010.0,Meezan Bank,Savings
BANK-000183,Salman Shah,18586-7261860-7,76.0,7655172.0,MCB Bank,Current
BANK-000184,Shoaib Mirza,30992-5143996-9,24.0,60309.0,Habib Bank,Savings
BANK-000185,Shoaib Mirza,30992-5143996-9,29.0,,Askari Bank,Current
BANK-000186,Shoaib Mirza,30992-5143996-9,29.0,26852.0,National Bank,Business
BANK-000187,Noor Memon,32316-0239402-6,165.0,4861700.0,Faysal Bank,Business
BANK-000188,Tahir Abbasi,49225-6430971-3,26.0,117793.0,Meezan Bank,Business
BANK-000189,Tahir Abbasi,49225-6430971-3,29.0,197277.0,Faysal Bank,Current
BANK-000190,Zahid Soomro,46819-3379558-7,42.0,1225949.0,Summit Bank,Current
BANK-000191,Zahid Soomro,46819-3379558-7,24.0,459100.0,Bank of Punjab,Savings
BANK-000192,Zafar Siddiqui,49752-4988389-7,70.0,6651369.0,Summit Bank,Current
BANK-000193,Zafar Siddiqui,49752-4988389-7,95.0,3043186.0,National Bank,Current
BANK-000194,Zafar Siddiqui,49752-4988389-7,35.0,737865.0,Soneri Bank,Business
BANK-000195,Arif Hussain,32980-9691466-9,13.0,997326.0,Bank of Punjab,Current
BANK-000196,,45208-5943319-3,181.0,5074218.0,Standard Chartered,Current
BANK-000197,Rafiq Malik,50421-3740415-3,23.0,1021399.0,Habib Bank,Business
BANK-000198,Parveen Aslam,14181-4813438-2,2.0,58122.0,United Bank,Business
BANK-000199,Parveen Aslam,14181-4813438-2,19.0,164824.0,Allied Bank,Business
BANK-000200,Adnan Mengal,39144-6177377-7,15.0,19305.0,Bank Al Habib,Current
BANK-000201,Zubair Mughal,38756-2250166-1,27.0,863626.0,MCB Bank,Current
BANK-000202,Bano Awan,52929-0918455-0,16.0,193378.0,Faysal Bank,Current
BANK-000203,Bano Awan,52929-0918455-0,10.0,,Habib Bank,Business
BANK-000204,Bano Awan,52929-0918455-0,12.0,182918.0,Allied Bank,Business
BANK-000205,Aneela Aslam,42212-5269218-0,41.0,423333.0,Faysal Bank,Business
BANK-000206,Naila Tahir,49821-8296037-4,25.0,117815.0,MCB Bank,Savings
BANK-000207,Daniyal Gill,66243-2683474-3,151.0,8893920.0,Habib Bank,Savings
BANK-000208,Daniyal Gill,66243-2683474-3,50.0,9594651.0,Standard Chartered,Current
BANK-000209,Daniyal Gill,66243-2683474-3,130.0,5229230.0,Allied Bank,Business
BANK-000210,Daniyal Gill,66243-2683474-3,198.0,8459057.0,Standard Chartered,Business
BANK-000211,Salman Shah,30299-1578630-1,136.0,12413005.0,Bank Al Habib,Business
BANK-000212,Salman Shah,30299-1578630-1,103.0,8139921.0,Bank Alfalah,Savings
BANK-000213,Ahemad Iqbal,37372-4541310-5,98.0,13615452.0,Bank of Punjab,Current
BANK-000214,Ahmad Iqbal,37372-4541310-5,164.0,13656753.0,Summit Bank,Business
BANK-000215,Farzana Hussain,39133-4647386-2,266.0,83189900.0,Bank Alfalah,Savings
BANK-000216,Tahira Soomro,12801-9730937-8,5.0,198992.0,MCB Bank,Savings
BANK-000217,Bushra Hussain,33974-0389606-6,70.0,43235389.0,Bank Al Habib,Current
BANK-000218,Pervaiz Brohi,10573-5602955-7,23.0,48616.0,Faysal Bank,Savings
BANK-000219,Yasir Butt,42690-7629695-7,,14063.0,Summit Bank,Current
BANK-000220,Aneela Mughal,56528-6667280-0,30.0,97606.0,MCB Bank,Business
BANK-000221,Tanzeela Rajput,34581-1193440-4,368.0,90316084.0,National Bank,Savings
BANK-000222,Tanzeela Rajput,34581-1193440-4,253.0,77997859.0,MCB Bank,Current
BANK-000223,Tanzeela Rajput,34581-1193440-4,343.0,97544549.0,Askari Bank,Savings
BANK-000224,Fatima Raza,32828-7429401-4,,8013068.0,United Bank,Business
BANK-000225,Fateema Raza,32828-7429401-4,182.0,14425820.0,Habib Bank,Business
BANK-000226,Rizwan Jatoi,35950-7967162-3,13.0,1728028.0,Bank of Punjab,Savings
BANK-000227,Ferhan Abbasi,36412-9668133-9,35.0,110241.0,Bank Alfalah,Business
BANK-000228,Usman Butt,30612-1076484-7,77.0,1199253.0,Habib Bank,Current
BANK-000229,Uthman Butt,30612-1076484-7,188.0,733082.0,JS Bank,Savings
BANK-000230,Usman Butt,30612-1076484-7,52.0,10427291.0,Standard Chartered,Current
BANK-000231,Nadia Awan,19484-7866453-0,29.0,1179266.0,Askari Bank,Current
BANK-000232,Nadiya Awan,19484-7866453-0,75.0,543550.0,Askari Bank,Business
BANK-000233,Nadia Awan,19484-7866453-0,10.0,859769.0,Soneri Bank,Business
BANK-000234,Riffat Rajput,30637-1303478-8,42.0,1716236.0,Habib Bank,Current
BANK-000235,,30637-1303478-8,42.0,11039774.0,Summit Bank,Savings
BANK-000236,Aisha Qureshi,50402-1465200-8,117.0,923944.0,Bank Alfalah,Current
BANK-000237,Farzana Kayani,34536-3648913-8,26.0,23343.0,Habib Bank,Current
BANK-000238,Farzana Kayani,,10.0,44725.0,Allied Bank,Business
BANK-000239,Farzana Kayani,34536-3648913-8,18.0,116613.0,Habib Bank,Savings
BANK-000240,Javed Virk,39372-2205867-3,64.0,954928.0,Bank Alfalah,Savings
BANK-000241,Javed Virk,39372-2205867-3,12.0,937112.0,Bank of Punjab,Current
BANK-000242,Nighat Bugti,33875-3976811-4,16.0,905892.0,Habib Bank,Savings
BANK-000243,Nighat Bugti,,78.0,1301610.0,Summit Bank,Savings
BANK-000244,,48106-4290415-8,224.0,74859653.0,National Bank,Savings
BANK-000245,Naadia Cheema,39200-2012673-0,8.0,5088.0,Habib Bank,Savings
BANK-000246,Zahid Randhawa,32019-6786161-5,79.0,10178543.0,Soneri Bank,Current
BANK-000247,Zahid Randhawa,32019-6786161-5,38.0,2054728.0,Summit Bank,Savings
BANK-000248,Mansur Awan,37034-0840062-3,15.0,697080.0,Faysal Bank,Savings
BANK-000249,Mansur Awan,37034-0840062-3,16.0,1256238.0,Bank of Punjab,Current
BANK-000250,Shazia Minhas,39243-0378789-8,26.0,1617074.0,Standard Chartered,Business
BANK-000251,Maheen Minhas,31969-8684952-4,118.0,9301733.0,Bank Al Habib,Savings
BANK-000252,Maheen Minhas,31969-8684952-4,120.0,7301412.0,Habib Bank,Savings
BANK-000253,Maheen Minhas,31969-8684952-4,126.0,12637619.0,Bank of Punjab,Current
BANK-000254,Yasir Afridi,75731-0916525-3,7.0,108060.0,National Bank,Business
BANK-000255,Jaweria Malik,33460-2328671-0,49.0,233892.0,Askari Bank,Current
BANK-000256,Samina Mengal,32633-9895148-8,126.0,11099602.0,National Bank,Current
BANK-000257,Samina Mengal,,170.0,4062942.0,Summit Bank,Savings
BANK-000258,Samina Mengal,32633-9895148-8,163.0,,National Bank,Savings
BANK-000259,Rashid Chandio,13688-0816475-1,20.0,120398.0,Bank Alfalah,Business
BANK-000260,Humaira Gondal,38155-7755918-2,7.0,,Summit Bank,Current
BANK-000261,Tariq Khan,36102-4840149-3,129.0,11503417.0,National Bank,Current
BANK-000262,Tariq Khan,36102-4840149-3,82.0,6250417.0,MCB Bank,Business
BANK-000263,Tariq Khan,36102-4840149-3,198.0,,Summit Bank,Savings
BANK-000264,Pervaiz Sheikh,33506-6493184-1,190.0,30674041.0,Bank Alfalah,Savings
BANK-000265,Pervaiz Sheikh,33506-6493184-1,155.0,38182925.0,United Bank,Business
BANK-000266,Pervaiz Sheikh,33506-6493184-1,152.0,44125239.0,Askari Bank,Savings
BANK-000267,Sanaa Ahmed,31019-4798728-2,46.0,456220.0,Bank Alfalah,Business
BANK-000268,Sunna Ahmed,31019-4798728-2,32.0,1466277.0,Bank Alfalah,Savings
BANK-000269,Azhar Iqbal,34165-1462745-3,,194523.0,JS Bank,Savings
BANK-000270,Sana Butt,32126-3299270-2,241.0,21244974.0,Bank of Punjab,Savings
BANK-000271,Sana Butt,32126-3299270-2,305.0,8926183.0,Meezan Bank,Savings
BANK-000272,Sadia Ali,34280-2837904-8,151.0,1296881.0,Standard Chartered,Current
BANK-000273,Sadia Ali,34280-2837904-8,41.0,1560895.0,Bank Alfalah,Savings
BANK-000274,Sadia Ali,34280-2837904-8,195.0,3514265.0,Soneri Bank,Savings
BANK-000275,Sadia Ali,34280-2837904-8,156.0,3584240.0,MCB Bank,Business
BANK-000276,Komal Soomro,39200-5643890-0,10.0,153969.0,MCB Bank,Current
BANK-000277,Talha Abbasi,43175-1169339-3,19.0,124860.0,Faysal Bank,Current
BANK-000278,Talha Abbasi,43175-1169339-3,2.0,145356.0,Bank of Punjab,Savings
BANK-000279,Talha Abbasi,43175-1169339-3,2.0,147015.0,Habib Bank,Savings
BANK-000280,Ahmed Malik,40423-6891366-1,15.0,171047.0,Bank Alfalah,Savings
BANK-000281,Ahmed Malik,40423-6891366-1,3.0,163561.0,National Bank,Savings
BANK-000282,Sadia Sheikh,34023-8026483-0,12.0,175707.0,Allied Bank,Savings
BANK-000283,Tahira Butt,32629-7250222-8,6.0,104447.0,United Bank,Business
BANK-000284,Tanveer Chandio,32630-1728161-9,35.0,1044154.0,JS Bank,Current
BANK-000285,Aesha Brohi,60215-1025860-6,121.0,755091.0,MCB Bank,Savings
BANK-000286,Aisha Brohi,60215-1025860-6,136.0,5223489.0,Habib Bank,Business
BANK-000287,Ayesha Brohi,60215-1025860-6,132.0,5913323.0,Bank of Punjab,Current
BANK-000288,Ayesha Brohi,60215-1025860-6,,1049238.0,Soneri Bank,Current
BANK-000289,Qasim Chandio,41237-7779356-3,291.0,41181933.0,Bank Al Habib,Savings
BANK-000290,Kasim Chandio,41237-7779356-3,415.0,12386881.0,National Bank,Savings
BANK-000291,Zafar Khoso,36653-1593792-5,35.0,165028.0,Standard Chartered,Current
BANK-000292,Zafar Khoso,36653-1593792-5,37.0,193814.0,Allied Bank,Business
BANK-000293,Zafar Khoso,36653-1593792-5,18.0,1434965.0,Summit Bank,Savings
BANK-000294,Qudsia Junejo,49296-6673145-2,75.0,1193482.0,National Bank,Current
BANK-000295,Arif Khattak,57741-8801055-7,51.0,2471862.0,Meezan Bank,Current
BANK-000296,Arif Khattak,57741-8801055-7,168.0,10020601.0,Soneri Bank,Business
BANK-000297,Arif Khattak,57741-8801055-7,161.0,2016450.0,Askari Bank,Savings
BANK-000298,Mohamed Warraich,14317-2724055-9,83.0,11510171.0,Summit Bank,Business
BANK-000299,Muhammad Warraich,14317-2724055-9,61.0,9556829.0,Allied Bank,Business
BANK-000300,Hassan Afridi,,66.0,11587726.0,National Bank,Savings
BANK-000301,Hassaan Afridi,32833-1242192-9,125.0,14792975.0,Bank Al Habib,Current
BANK-000302,Muhammad Ahmed,62957-5821784-7,30.0,771319.0,Bank of Punjab,Business
BANK-000303,,62957-5821784-7,36.0,363831.0,Soneri Bank,Current
BANK-000304,Muhammad Ahmed,62957-5821784-7,67.0,278577.0,Askari Bank,Current
BANK-000305,Farzana Gill,35773-9497386-0,321.0,65582826.0,Summit Bank,Business
BANK-000306,Ehsan Mengal,44141-6057244-9,,7443.0,United Bank,Business
BANK-000307,Qasim Bugti,33340-1872936-1,29.0,57712.0,JS Bank,Savings
BANK-000308,Qasim Bugti,33340-1872936-1,30.0,144443.0,Faysal Bank,Current
BANK-000309,Qasim Bugti,33340-1872936-1,2.0,31783.0,Soneri Bank,Current
BANK-000310,Talha Memon,36022-8453648-7,44.0,1281353.0,Soneri Bank,Savings
BANK-000311,Said Khattak,45126-9636078-1,85.0,59712101.0,United Bank,Savings
BANK-000312,Durr-e-Shahwar Awan,43721-3452087-8,,127561.0,Meezan Bank,Current
BANK-000313,Durr-e-Shahwar Awan,,13.0,130372.0,Faysal Bank,Business
