citizen_id,cnic,name,father_name,ntn,declared_income,tax_paid,filing_status,tax_year,province,city
CIT-000017,44238-5904933-6,Saima Virk,Qasim Bugti,,1159749.0,107.0,Non-Filer,2022,Sindh,Jacobabad
CIT-000017,44238-5904933-6,Saima Virk,Qasim Bugti,,1429495.0,111.0,Non-Filer,2024,Sindh,Jacobabad
CIT-000018,47416-6654853-7,Waseem Butt,Irfan Aslam,6720513,1927603.0,111009.0,Filer,2021,Sindh,
CIT-000019,19402-2306811-8,Nighat Afridi,Naveed Rajput,,1201723.0,1005.0,Non-Filer,2020,KPK,Abbottabad
CIT-000019,19402-2306811-8,Nighat Afridi,Naveed Rajput,,1109164.0,943.0,Non-Filer,2023,KPK,Abbottabad
CIT-000019,19402-2306811-8,Nighat Afridi,Naveed Rajput,,1280241.0,1048.0,Non-Filer,2024,KPK,Abbottabad
CIT-000020,35304-6248612-7,Pir Sajid Tahir,Ali Abbasi,,371583.0,0.0,Non-Filer,2020,Punjab,Multan
CIT-000020,35304-6248612-7,Sajid Tahir,Ali Abbasi,,331104.0,0.0,Non-Filer,2022,Punjab,Multan
CIT-000020,35304-6248612-7,Sajid Tahir,Ali Abbasi,,356232.0,0.0,Non-Filer,2023,Punjab,Multan
CIT-000021,39427-0803084-3,Pervaiz Malik,Mansoor Aslam,8526342,863999.0,3927.0,Filer,2021,Punjab,Jhelum
CIT-000022,32974-9567456-9,Ali Junejo,Babar Bugti,,514825.0,0.0,Non-Filer,2023,Punjab,Sheikhupura
CIT-000023,42486-2641128-6,Qudsia Shah,Tahir Gill,4922072,1884159.0,105446.0,Filer,2023,Sindh,Jacobabad
CIT-000024,43209-8683882-9,Waseem Malik,Ali Hussain,5899282,1317088.0,16578.0,Filer,2021,Sindh,Mirpur Khas
CIT-000024,43209-8683882-9,Waseem Malik,Ali Hussain,5899282,1339612.0,,Filer,2022,Sindh,Mirpur Khas
CIT-000025,32411-9425439-4,Jaweria Minhas,Fahad Minhas,,1436200.0,2269.0,Non-Filer,2021,Punjab,
CIT-000025,32411-9425439-4,Jaweria Minhas,Fahad Minhas,,1425482.0,2344.0,Non-Filer,2023,Punjab,Sahiwal
CIT-000026,38096-8696725-5,Syed Atif Randhawa,Sajid Mughal,,2120657.0,8404.0,Non-Filer,2020,Punjab,Sahiwal
CIT-000026,38096-8696725-5,Atif Randhawa,Sajid Mughal,,2043763.0,8352.0,Non-Filer,2021,Punjab,Sahiwal
CIT-000026,38096-8696725-5,Atif Randhawa,,,2038136.0,8288.0,Non-Filer,2023,Punjab,Sahiwal
CIT-000027,49939-7281438-7,Junaid Khan,Fahad Durrani,,4114989.0,15212.0,Non-Filer,2020,Sindh,Larkana
CIT-000027,49939-7281438-7,Pir Junaid Khan,Fahad Durrani,,4138020.0,15683.0,Non-Filer,2022,Sindh,Larkana
CIT-000028,16536-8740066-2,Iram Iqbal,Shoaib Awan,,778450.0,405.0,Non-Filer,2024,KPK,Kohat
CIT-000029,38115-3203338-9,Tanveer Yousafzai,Tahir Mengal,,392515.0,0.0,Non-Filer,2022,Punjab,Lahore
CIT-000030,48066-1915057-7,Rafiq Baig,Ehsan Gondal,2298273,4874545.0,1015633.0,Filer,2022,Sindh,Nawabshah
CIT-000030,48066-1915057-7,Rafiq Baig,Ehsan Gondal,2298273,5573276.0,975098.0,Filer,2023,Sindh,Nawabshah
CIT-000031,34122-6936401-5,Pervaiz Khattak,Danish Siddiqui,,20263462.0,239666.0,Non-Filer,2020,Punjab,Faisalabad
CIT-000031,34122-6936401-5,Pervaiz Khattak,Danish Siddiqui,,23331919.0,258000.0,Non-Filer,2022,Punjab,Faisalabad
CIT-000031,34122-6936401-5,Pervaiz Khattak,Danish Siddiqui,,23771781.0,250998.0,Non-Filer,2024,Punjab,Faisalabad
CIT-000032,30943-6687805-6,Sana Soomro,Naveed Malik,,878296.0,245.0,Non-Filer,2022,Punjab,Multan
CIT-000033,69813-5110188-5,Mansur Laghari,Arif Bugti,,,36252.0,Non-Filer,2020,Islamabad,Islamabad
CIT-000033,69813-5110188-5,Munsoor Laghari,Arif Bugti,,6432444.0,35027.0,Non-Filer,2023,Islamabad,Islamabad
CIT-000033,69813-5110188-5,Manzoor Laghari,Arif Bugti,,5689499.0,36459.0,Non-Filer,2024,Islamabad,Islamabad
CIT-000034,43971-8670120-4,Bano Afridi,Tahir Awan,,333501.0,0.0,Non-Filer,2022,Sindh,Jacobabad
CIT-000034,43971-8670120-4,Bano Afridi,Tahir Awan,,311195.0,0.0,Non-Filer,2023,Sindh,Jacobabad
CIT-000034,43971-8670120-4,Bano Afridi,Tahir Awan,,341418.0,0.0,Non-Filer,2024,Sindh,Jacobabad
CIT-000035,51713-2287856-2,Sardar Lubna Baloch,Waseem Bugti,,2133720.0,14701.0,Non-Filer,2021,Balochistan,Hub
CIT-000035,51713-2287856-2,Lubna Baloch,Waseem Bugti,,2255170.0,15491.0,Non-Filer,2022,Balochistan,Hub
CIT-000036,48066-3598108-7,Dr Khaleed Warraich,Zeeshan Iqbal,6306499,3407910.0,384268.0,Filer,2020,Sindh,Sukkur
CIT-000036,48066-3598108-7,Khaled Warraich,Zeeshan Iqbal,6306499,3192479.0,,Filer,2021,Sindh,Sukkur
CIT-000036,48066-3598108-7,Khalid Warraich,Zeeshan Iqbal,6306499,3833608.0,352899.0,Filer,2023,Sindh,Sukkur
CIT-000037,53009-3319808-3,Ghulam Cheema,Hussain Hashmi,,2091690.0,4307.0,Non-Filer,2022,Balochistan,Sibi
CIT-000037,53009-3319808-3,Ghulam Cheema,,,2046309.0,4454.0,Non-Filer,2023,Balochistan,Sibi
CIT-000037,53009-3319808-3,Ghulam Cheema,Hussain Hashmi,,1940964.0,4371.0,Non-Filer,2024,Balochistan,Sibi
CIT-000038,69630-3143260-6,Zubaida Minhas,Irfan Aslam,,2974911.0,21169.0,Non-Filer,2020,Islamabad,Islamabad
CIT-000038,69630-3143260-6,Zubaida Minhas,Irfan Aslam,,3476355.0,20634.0,Non-Filer,2021,Islamabad,Islamabad
CIT-000038,69630-3143260-6,Zubaida Minhas,Irfan Aslam,,2879513.0,21696.0,Non-Filer,2023,Islamabad,Islamabad
CIT-000039,37956-0408396-4,Tahira Cheema,Habib Warraich,2000140,4286823.0,552229.0,Filer,2020,Punjab,Lahore
CIT-000039,37956-0408396-4,Tahira Cheema,Habib Warraich,2000140,3885120.0,595946.0,Filer,2022,Punjab,Lahore
CIT-000039,37956-0408396-4,Tahira Cheema,Habib Warraich,2000140,4274298.0,604972.0,Filer,2024,Punjab,Lahore
CIT-000040,47074-7804737-6,Lubna Chandio,Liaquat Hussain,9811768,1991212.0,87504.0,Filer,2020,Sindh,Nawabshah
CIT-000041,36446-7738669-7,Salman Khan,Tariq Awan,1186104,8143598.0,1284364.0,Filer,2024,Punjab,Sialkot
CIT-000042,31419-7440422-7,Kamran Jamali,Rashid Baloch,6798755,457962.0,0.0,Filer,2020,Punjab,Faisalabad
CIT-000042,31419-7440422-7,Kamran Jamali,Rashid Baloch,6798755,,0.0,Filer,2023,Punjab,Faisalabad
CIT-000042,31419-7440422-7,Mian Kamran Jamali,Rashid Baloch,6798755,504779.0,0.0,Filer,2024,Punjab,Faisalabad
CIT-000043,30055-2681664-6,Aneela Raza,Waseem Randhawa,4455698,525953.0,0.0,Filer,2022,Punjab,Sargodha
CIT-000043,30055-2681664-6,Aneela Raza,Waseem Randhawa,4455698,411813.0,0.0,Filer,2023,Punjab,Sargodha
CIT-000044,47778-6276116-0,Nighat Warraich,Zafar Cheema,,6305390.0,1121341.0,Filer,2022,Sindh,Larkana
CIT-000044,47778-6276116-0,Haji Nighat Warraich,Zafar Cheema,2593261,5535302.0,1030076.0,Filer,2024,Sindh,Larkana
CIT-000045,12549-7775888-9,Yasir Sheikh,Irfan Jatoi,9448116,1305378.0,14446.0,Filer,2024,KPK,Kohat
CIT-000046,18912-4570631-3,Shaheed Gill,Arif Sheikh,,1435984.0,2174.0,Non-Filer,2021,KPK,Nowshera
CIT-000047,33736-1742844-6,Nasreen Hussain,Arif Shaikh,7750347,6018417.0,1091633.0,Filer,2021,Punjab,Sahiwal
CIT-000047,33736-1742844-6,Nasreen Hussain,Arif Shaikh,7750347,5969489.0,1011199.0,Filer,2022,Punjab,Sahiwal
CIT-000047,33736-1742844-6,Nasreen Hussain,Arif Shaikh,7750347,5241189.0,1006189.0,Filer,2024,Punjab,Sahiwal
CIT-000048,37894-8787338-9,Rizwan Gill,Hamza Randhawa,,2826204.0,2817.0,Non-Filer,2021,Punjab,Multan
CIT-000048,37894-8787338-9,,Hamza Randhawa,,2227177.0,2477.0,Non-Filer,2023,Punjab,Multan
CIT-000048,37894-8787338-9,Rizwan Gill,Hamza Randhawa,,2275098.0,2504.0,Non-Filer,2024,Punjab,Multan
CIT-000049,48053-7855253-4,Lubna Jamali,Sohail Qureshi,0752779,,1209026.0,Filer,2024,Sindh,Shikarpur
CIT-000050,37945-0327579-8,Asma Sheikh,Amir Malik,2685137,3971816.0,381456.0,Filer,2020,Punjab,Lahore
CIT-000050,37945-0327579-8,Dr Asma Sheikh,Amir Malik,2685137,3778923.0,400367.0,Filer,2022,Punjab,Lahore
CIT-000050,37945-0327579-8,Asma Sheikh,Amir Malik,2685137,3926382.0,370394.0,Filer,2024,Punjab,Lahore
CIT-000051,37800-8443555-7,Mian Atif Iqbal,Noman Chaudhry,,5890611.0,77746.0,Non-Filer,2021,Punjab,Sialkot
CIT-000052,71717-8124793-0,Qudsia Chaudhry,Adnan Laghari,,1374911.0,2386.0,Non-Filer,2020,GB,Chilas
CIT-000052,71717-8124793-0,Qudsia Chaudhry,Adnan Laghari,,1378643.0,2269.0,Non-Filer,2024,GB,Chilas
CIT-000053,43471-5088284-1,Waqas Aslam,Basit Mughal,,1399928.0,298.0,Non-Filer,2020,Sindh,Karachi
CIT-000054,38116-7617066-6,Iram Mengal,Daniyal Sethi,0642010,1667136.0,63251.0,Filer,2022,Punjab,Rawalpindi
CIT-000054,38116-7617066-6,Iram Mengal,Daniyal Sethi,0642010,1585110.0,63855.0,Filer,2024,Punjab,Rawalpindi
CIT-000055,40957-9575065-0,Ghazala Cheema,Waqas Soomro,8850535,738344.0,2009.0,Filer,2021,Sindh,Jacobabad
CIT-000055,40957-9575065-0,Ghazala Cheema,Waqas Soomro,8850535,729593.0,1946.0,Filer,2022,Sindh,Jacobabad
CIT-000056,38321-0112034-2,Mian Riffat Khattak,Babar Ahmed,,659212.0,125.0,Non-Filer,2020,Punjab,Rahim Yar Khan
CIT-000056,38321-0112034-2,Riffat Khattak,Babar Ahmed,,690348.0,136.0,Non-Filer,2022,Punjab,Rahim Yar Khan
CIT-000057,42980-2525592-5,Tahir Khattak,,4428296,1505673.0,35147.0,Filer,2022,Sindh,
CIT-000057,42980-2525592-5,Tahir Khattak,Kashif Tahir,,1265335.0,36251.0,Filer,2024,Sindh,Hyderabad
CIT-000058,38571-5129950-7,Rashid Yousafzai,Tanveer Hussain,,24536605.0,509635.0,Non-Filer,2020,Punjab,Sialkot
CIT-000058,38571-5129950-7,Rashid Yousafzai,Tanveer Hussain,,23252977.0,531935.0,Non-Filer,2023,Punjab,Sialkot
CIT-000058,38571-5129950-7,Rashid Yousafzai,Tanveer Hussain,,22498878.0,521525.0,Non-Filer,2024,Punjab,Sialkot
CIT-000059,39828-2150068-8,Farzana Warraich,Liaquat Abbasi,2588969,226040.0,0.0,Filer,2020,Punjab,Lahore
CIT-000059,39828-2150068-8,Farzana Warraich,Liaquat Abbasi,2588969,179969.0,0.0,Filer,2022,Punjab,Lahore
CIT-000059,39828-2150068-8,Ch Farzana Warraich,Liaquat Abbasi,2588969,175272.0,0.0,Filer,2024,Punjab,Lahore
CIT-000060,43919-6001564-6,Iram Baloch,,6008663,2210787.0,117269.0,Filer,2021,Sindh,Hyderabad
CIT-000060,43919-6001564-6,Iram Baloch,Farhan Memon,6008663,1988633.0,125057.0,Filer,2024,Sindh,Hyderabad
CIT-000061,19131-0776718-4,Nighat Jamali,Azhar Gondal,9904760,7303276.0,1684584.0,Filer,2023,KPK,Mansehra
CIT-000062,71766-1571988-5,Owais Awan,Zeeshan Soomro,,485155.0,0.0,Non-Filer,2021,AJK,Mirpur
CIT-000062,71766-1571988-5,Owais Awan,Zeeshan Soomro,,430174.0,0.0,Non-Filer,2024,AJK,Mirpur
CIT-000063,46909-4926437-2,Ch Wardah Khan,Noman Afridi,5333889,523615.0,0.0,Filer,2020,Sindh,Larkana
CIT-000063,46909-4926437-2,Wardah Khan,Noman Afridi,5333889,438287.0,0.0,Filer,2022,Sindh,Larkana
CIT-000063,46909-4926437-2,Wardah Khan,Noman Afridi,5333889,415138.0,0.0,Filer,2023,Sindh,Larkana
CIT-000064,33604-8563212-5,Khalid Awan,Ehsan Niazi,,4236098.0,47147.0,Non-Filer,2020,Punjab,Gujrat
CIT-000065,30003-8019436-0,Naadia Chandio,Mushtaq Sheikh,,351882.0,0.0,Non-Filer,2023,Punjab,Lahore
CIT-000066,14461-6605510-0,Samina Baloch,,,2492224.0,13229.0,Non-Filer,2021,KPK,
CIT-000066,14461-6605510-0,Samina Baloch,Ahmad Abbasi,,2132019.0,13896.0,Non-Filer,2022,KPK,Mingora
CIT-000066,14461-6605510-0,Mr Samina Baloch,Ahmad Abbasi,,2288660.0,15227.0,Non-Filer,2024,KPK,Mingora
CIT-000067,34270-3497387-2,Qudsia Sethi,Talha Jatoi,,2597377.0,13252.0,Non-Filer,2023,Punjab,Sialkot
CIT-000067,34270-3497387-2,Qudsia Sethi,Talha Jatoi,,2776746.0,13277.0,Non-Filer,2024,Punjab,Sialkot
CIT-000068,68412-9736695-5,Hamza Laghari,Javed Soomro,3231894,6674108.0,1037576.0,Filer,2021,Islamabad,Islamabad
CIT-000068,68412-9736695-5,Hamza Laghari,Javed Soomro,3231894,6085929.0,1032613.0,Filer,2022,Islamabad,Islamabad
CIT-000069,57937-2193001-5,Rafiq Mirza,Ghulam Mengal,9391222,2549742.0,196553.0,Filer,2021,Balochistan,Gwadar
CIT-000070,38906-3719328-3,Azhar Ahmed,Ehsan Siddiqui,,31893979.0,1138627.0,Non-Filer,2021,Punjab,Jhelum
CIT-000071,51335-9206157-5,Ch Waqas Butt,Kashif Qureshi,,465557.0,0.0,Non-Filer,2021,Balochistan,
CIT-000072,36138-7351754-6,Noor Mengal,Faisal Virk,,1979778.0,6490.0,Non-Filer,2020,Punjab,Sialkot
CIT-000072,36138-7351754-6,Noor Mengal,Faisal Virk,,1974829.0,7173.0,Non-Filer,2023,Punjab,Sialkot
CIT-000073,13385-9351043-9,Habib Yousafzai,Ehsan Mirza,3443420,872905.0,4425.0,Filer,2020,KPK,Dera Ismail Khan
CIT-000073,13385-9351043-9,Nawab Habib Yousafzai,Ehsan Mirza,3443420,852779.0,5077.0,Filer,2021,KPK,Dera Ismail Khan
CIT-000073,13385-9351043-9,Habib Yousafzai,Ehsan Mirza,3443420,897415.0,5169.0,Filer,2022,KPK,Dera Ismail Khan
CIT-000074,35679-0002133-5,Mr Amir Hashmi,Faisal Laghari,1875272,,0.0,Filer,2022,Punjab,Rawalpindi
CIT-000074,35679-0002133-5,Amir Hashmi,Faisal Laghari,1875272,439471.0,0.0,Filer,2023,Punjab,Rawalpindi
CIT-000075,35713-2745777-6,Jaweria Mengal,Ahmad Cheema,8494480,798349.0,4344.0,Filer,2023,Punjab,
CIT-000075,35713-2745777-6,,Ahmad Cheema,8494480,691347.0,,Filer,2024,Punjab,Dera Ghazi Khan
CIT-000076,33464-7530791-4,Fateema Virk,Zeeshan Rajput,,763164.0,512.0,Non-Filer,2023,Punjab,Jhelum
CIT-000077,43439-6316186-0,Malik Noor Shah,Salman Brohi,9226005,724736.0,812.0,Filer,2021,Sindh,Sukkur
CIT-000077,43439-6316186-0,Pir Noor Shah,,9226005,575343.0,834.0,Filer,2023,Sindh,Sukkur
CIT-000077,43439-6316186-0,Mian Noor Shah,Salman Brohi,9226005,645718.0,900.0,Filer,2024,Sindh,
CIT-000078,35409-8124746-4,,Adnan Butt,6201038,1954676.0,101657.0,Filer,2020,Punjab,Jhelum
CIT-000078,35409-8124746-4,Parveen Sheikh,Adnan Butt,6201038,1891358.0,103848.0,Filer,2022,Punjab,Jhelum
CIT-000078,35409-8124746-4,Parveen Sheikh,Adnan Butt,6201038,1584539.0,90308.0,Filer,2024,Punjab,Jhelum
CIT-000079,37284-7726812-8,Tahira Junejo,Rafiq Ali,,1835816.0,3494.0,Non-Filer,2020,Punjab,Rahim Yar Khan
CIT-000079,37284-7726812-8,Tahira Junejo,Rafiq Ali,,1753752.0,3507.0,Non-Filer,2021,Punjab,Rahim Yar Khan
CIT-000079,37284-7726812-8,Tahira Junejo,Rafiq Ali,,1756400.0,3737.0,Non-Filer,2023,Punjab,Rahim Yar Khan
CIT-000080,38560-7994713-0,Khadeeja Awan,Javed Shaikh,4120066,1887943.0,102859.0,Filer,2021,Punjab,Bahawalpur
CIT-000081,32716-4406744-4,Saima Ali,Salman Khan,,2840716.0,4986.0,Non-Filer,2020,Punjab,Gujranwala
CIT-000081,32716-4406744-4,Raja Saima Ali,Salman Khan,,3700980.0,5748.0,Non-Filer,2022,Punjab,Gujranwala
CIT-000082,30241-7854065-0,Bushra Virk,Asad Kayani,,1557996.0,1874.0,Non-Filer,2022,Punjab,Rawalpindi
CIT-000082,30241-7854065-0,Bushra Virk,Asad Kayani,,1538397.0,2086.0,Non-Filer,2024,Punjab,Rawalpindi
CIT-000083,30493-1628781-3,Haji Khaleed Mirza,,,516589.0,0.0,Non-Filer,2020,Punjab,Sahiwal
CIT-000083,30493-1628781-3,Khaleed Mirza,Basit Qureshi,,548247.0,0.0,Non-Filer,2021,Punjab,Sahiwal
CIT-000083,30493-1628781-3,Khalid Mirza,Basit Qureshi,,562493.0,0.0,Non-Filer,2023,Punjab,Sahiwal
CIT-000084,32314-3340863-1,Salman Sheikh,Shoaib Raza,,8335658.0,96118.0,Non-Filer,2020,Punjab,Sheikhupura
CIT-000085,39669-6368384-5,Liaquat Memon,Naveed Tahir,4575700,421459.0,0.0,Filer,2021,Punjab,Dera Ghazi Khan
CIT-000085,39669-6368384-5,Liaquat Memon,Naveed Tahir,4575700,379832.0,0.0,Filer,2022,Punjab,Dera Ghazi Khan
CIT-000085,39669-6368384-5,Liaquat Memon,Naveed Tahir,4575700,376105.0,0.0,Filer,2024,Punjab,Dera Ghazi Khan
CIT-000086,40321-2095973-5,Shoaib Jatoi,Khalid Hussain,0748727,424690.0,0.0,Filer,2020,Sindh,Karachi
CIT-000086,40321-2095973-5,Shoaib Jatoi,Khalid Hussain,0748727,363599.0,0.0,Filer,2022,Sindh,Karachi
CIT-000086,40321-2095973-5,Shoaib Jatoi,Khalid Hussain,0748727,352809.0,0.0,Filer,2023,Sindh,Karachi
CIT-000087,35160-4909911-9,Khalid Memon,Habib Abbasi,2073721,5578858.0,930855.0,Filer,2022,Punjab,Faisalabad
CIT-000087,35160-4909911-9,Khaleed Memon,Habib Abbasi,2073721,4883341.0,981487.0,Filer,2023,Punjab,Faisalabad
CIT-000088,30931-4577870-6,Naila Shaikh,Ehsan Mengal,9355133,2632788.0,146153.0,Filer,2022,Punjab,Rawalpindi
CIT-000089,34110-5749993-6,Sunna Butt,Waheed Randhawa,,500339.0,,Non-Filer,2021,Punjab,Sialkot
CIT-000089,34110-5749993-6,Sunna Butt,Waheed Randhawa,,489350.0,0.0,Non-Filer,2022,Punjab,Sialkot
CIT-000089,34110-5749993-6,Sunna Butt,,,627984.0,0.0,Non-Filer,2023,Punjab,Sialkot
CIT-000090,54297-5466697-3,Malik Fahad Qureshi,Adnan Kayani,,1306828.0,5422.0,Non-Filer,2021,Balochistan,Zhob
CIT-000090,54297-5466697-3,Ch Fahad Qureshi,Adnan Kayani,,1500531.0,5043.0,Non-Filer,2024,Balochistan,Zhob
CIT-000091,42698-0769359-9,Munsoor Warraich,Noman Chaudhry,,1442609.0,1058.0,Non-Filer,2021,Sindh,Karachi
CIT-000091,42698-0769359-9,Mansoor Warraich,Noman Chaudhry,,1690262.0,1029.0,Non-Filer,2023,Sindh,Karachi
CIT-000091,42698-0769359-9,Mansoor Warraich,Noman Chaudhry,,1663559.0,941.0,Non-Filer,2024,Sindh,Karachi
CIT-000092,47981-5782276-0,Jaweria Sethi,Saeed Khattak,0065671,25791210.0,9211853.0,Filer,2023,Sindh,Larkana
CIT-000093,34810-1729466-3,Waseem Laghari,Babar Sheikh,,643545.0,12.0,Non-Filer,2024,Punjab,Gujrat
CIT-000094,31070-5905069-5,Mian Talha Warraich,Waseem Kayani,,20236917.0,325817.0,Non-Filer,2020,Punjab,Lahore
CIT-000094,31070-5905069-5,Talha Warraich,Waseem Kayani,,23799069.0,332254.0,Non-Filer,2021,Punjab,Lahore
CIT-000094,31070-5905069-5,Talha Warraich,Waseem Kayani,,22287376.0,294333.0,Non-Filer,2023,Punjab,Lahore
CIT-000095,33698-8084890-0,Aisha Mughal,Javed Virk,,4915595.0,25286.0,Non-Filer,2020,Punjab,Gujranwala
CIT-000095,33698-8084890-0,Aisha Mughal,Javed Virk,,4755349.0,27214.0,Non-Filer,2024,Punjab,Gujranwala
CIT-000096,10693-6897624-8,Aneela Virk,Tanveer Qureshi,9946613,5578657.0,928280.0,Filer,2022,KPK,Mingora
CIT-000096,10693-6897624-8,Aneela Virk,Tanveer Qureshi,9946613,4642979.0,874711.0,Filer,2023,KPK,Mingora
CIT-000097,48994-8945219-1,Zubayer Hussain,Zeeshan Aslam,1997224,,0.0,Filer,2021,Sindh,Mirpur Khas
CIT-000097,48994-8945219-1,Zubair Hussain,Zeeshan Aslam,1997224,533389.0,0.0,Filer,2023,Sindh,Mirpur Khas
CIT-000097,48994-8945219-1,Zubayer Hussain,Zeeshan Aslam,1997224,608990.0,0.0,Filer,2024,Sindh,Mirpur Khas
CIT-000098,58976-6377365-7,Waseem Gondal,,,,25345.0,Non-Filer,2020,Balochistan,Quetta
CIT-000098,58976-6377365-7,Waseem Gondal,Kamran Niazi,,6753376.0,,Non-Filer,2021,Balochistan,Quetta
CIT-000098,58976-6377365-7,Waseem Gondal,Kamran Niazi,,5901351.0,23782.0,Non-Filer,2023,Balochistan,Quetta
CIT-000099,39500-5893367-9,Tareq Butt,Basit Tahir,,1884279.0,6057.0,Non-Filer,2021,Punjab,Lahore
CIT-000099,39500-5893367-9,Tarik Butt,Basit Tahir,,2186055.0,5690.0,Non-Filer,2023,Punjab,Lahore
CIT-000099,39500-5893367-9,Tariq Butt,Basit Tahir,,2138511.0,5772.0,Non-Filer,2024,Punjab,Lahore
CIT-000100,36127-8803562-8,Amna Raza,Qasim Bugti,,1800796.0,7586.0,Non-Filer,2020,Punjab,Jhelum
CIT-000100,36127-8803562-8,Amna Raza,Qasim Bugti,,1971734.0,7347.0,Non-Filer,2021,Punjab,Jhelum
CIT-000101,47081-4396895-4,Amna Sethi,Farhan Raza,,4541905.0,83267.0,Non-Filer,2021,Sindh,Sukkur
CIT-000102,33175-8874116-4,Nasreen Gondal,Danish Soomro,8163817,4438012.0,492756.0,Filer,2020,Punjab,Sialkot
