record_id,traveler_name,cnic,passport_number,destination,airline,travel_class,departure_date,return_date
TRVL-000059,Manzoor Warraich,42698-0769359-9,JC1494676,USA,Air Blue,Economy,2024-12-25,2025-01-13
TRVL-000060,Manzoor Warraich,42698-0769359-9,JC1494676,Malaysia,Qatar Airways,Economy,2025-11-25,2025-12-16
TRVL-000061,Mansoor Warraich,42698-0769359-9,JC1494676,Turkey,Oman Air,Economy,2024-04-06,2024-05-06
TRVL-000062,Mansur Warraich,42698-0769359-9,JC1494676,Saudi Arabia,Gulf Air,Economy,2026-06-11,2026-06-30
TRVL-000063,Jaweria Sethi,47981-5782276-0,UU1829818,UAE,Etihad,Economy,2023-09-29,2023-10-12
TRVL-000064,Jaweria Sethi,47981-5782276-0,UU1829818,UK,Etihad,Business,2023-08-23,2023-09-01
TRVL-000065,Jaweria Sethi,47981-5782276-0,UU1829818,China,Emirates,Economy,2026-04-05,2026-04-26
TRVL-000066,Jaweria Sethi,47981-5782276-0,UU1829818,Turkey,Qatar Airways,Economy,2024-06-01,2024-06-13
TRVL-000067,Talha Warraich,31070-5905069-5,VY5742572,UK,Thai Airways,Business,2024-09-04,2024-09-19
TRVL-000068,Aisha Mughal,33698-8084890-0,WB1378094,UAE,Thai Airways,Business,2023-10-14,2023-10-20
TRVL-000069,Zubayr Hussain,,BR3025267,UAE,Turkish Airlines,Business,2024-06-08,2024-06-29
TRVL-000070,Zubair Hussain,48994-8945219-1,BR3025267,UK,,Business,2023-11-16,
TRVL-000071,Amna Sethi,47081-4396895-4,UA4956229,UAE,Saudi Airlines,Business,2025-01-23,2025-02-12
TRVL-000072,Amna Sethi,,UA4956229,Malaysia,Gulf Air,Economy,2024-08-17,2024-09-08
TRVL-000073,Nasreen Gondal,33175-8874116-4,,Malaysia,Gulf Air,Economy,2025-05-17,2025-05-21
TRVL-000074,Nasreen Gondal,33175-8874116-4,NG3214583,UK,Qatar Airways,Economy,2026-02-24,2026-03-17
TRVL-000075,Rafiq Shaikh,46310-4650552-1,XU9601865,Saudi Arabia,Turkish Airlines,Economy,2024-12-30,2025-01-06
TRVL-000076,Rafiq Shaikh,46310-4650552-1,XU9601865,Turkey,Air Blue,Economy,2024-02-20,2024-03-04
TRVL-000077,Rafiq Shaikh,46310-4650552-1,XU9601865,UAE,Gulf Air,Economy,2025-01-08,2025-01-21
TRVL-000078,Salman Shah,18586-7261860-7,UN7373943,UAE,PIA,Economy,2024-12-15,2025-01-05
TRVL-000079,Noor Memon,32316-0239402-6,QT2480040,Malaysia,Emirates,Economy,2024-05-03,2024-06-01
TRVL-000080,Arif Hussain,32980-9691466-9,LG4535947,Saudi Arabia,Serene Air,Economy,2026-04-19,2026-04-24
TRVL-000081,Arif Hussain,,LG4535947,Saudi Arabia,Air Blue,Business,2024-07-31,2024-08-07
TRVL-000082,Rafiq Malik,50421-3740415-3,WZ0359701,Saudi Arabia,Etihad,Business,2026-06-07,2026-06-19
TRVL-000083,Rafiq Malik,50421-3740415-3,WZ0359701,Turkey,Gulf Air,Business,2026-05-09,2026-05-28
TRVL-000084,Javed Warraich,34504-2046712-1,SO1788028,UAE,Thai Airways,Economy,2026-03-15,2026-03-19
TRVL-000085,Daniyal Gill,66243-2683474-3,RV4516168,Canada,Serene Air,Economy,2023-10-01,
TRVL-000086,Salman Shah,30299-1578630-1,XU6203820,Saudi Arabia,Qatar Airways,Economy,2026-01-14,2026-01-26
TRVL-000087,Salman Shah,30299-1578630-1,XU6203820,Turkey,Qatar Airways,Economy,2026-02-23,2026-03-11
TRVL-000088,Salman Shah,30299-1578630-1,XU6203820,Saudi Arabia,Qatar Airways,Economy,2024-03-04,2024-03-09
TRVL-000089,Samina Warraich,38111-1936199-0,XX6059683,Turkey,Oman Air,First,2025-09-19,2025-09-27
TRVL-000090,Farzana Hussain,39133-4647386-2,DO4033391,UK,Emirates,Business,2024-06-27,2024-07-15
TRVL-000091,Farzana Hussain,39133-4647386-2,DO4033391,Oman,Thai Airways,Economy,2024-02-21,2024-02-25
TRVL-000092,Farzana Hussain,39133-4647386-2,DO4033391,Thailand,Emirates,Economy,2025-05-31,2025-06-21
TRVL-000093,Farzana Hussain,39133-4647386-2,DO4033391,Saudi Arabia,Saudi Airlines,Economy,2025-01-22,2025-02-07
TRVL-000094,Farzana Hussain,39133-4647386-2,DO4033391,Saudi Arabia,Serene Air,First,2024-08-05,2024-08-17
TRVL-000095,Farzana Hussain,39133-4647386-2,DO4033391,Malaysia,Etihad,First,2026-03-03,2026-03-28
TRVL-000096,Bushra Hussain,33974-0389606-6,PL8891717,Canada,Malaysia Airlines,Economy,2026-05-17,2026-05-23
TRVL-000097,Bushra Hussain,33974-0389606-6,,UAE,British Airways,Economy,2025-10-25,
TRVL-000098,Bushra Hussain,33974-0389606-6,PL8891717,Turkey,Saudi Airlines,Business,2024-05-19,2024-05-27
TRVL-000099,Bushra Hussain,33974-0389606-6,,USA,Thai Airways,Economy,2026-05-11,2026-05-14
TRVL-000100,Pervaiz Brohi,10573-5602955-7,UE2642093,UAE,British Airways,Economy,2024-10-28,2024-11-09
TRVL-000101,Pervaiz Brohi,10573-5602955-7,UE2642093,Saudi Arabia,Etihad,Economy,2023-09-07,2023-10-06
TRVL-000102,Waheed Minhas,41815-3582148-1,HJ4911492,UAE,,Economy,2024-06-02,2024-06-17
TRVL-000103,Waheed Minhas,41815-3582148-1,HJ4911492,Saudi Arabia,Saudi Airlines,Economy,2023-08-01,2023-08-04
TRVL-000104,Waheed Minhas,41815-3582148-1,HJ4911492,Turkey,Qatar Airways,Economy,2024-10-15,2024-11-02
TRVL-000105,Owais Rajput,30749-9749994-5,,Saudi Arabia,Qatar Airways,Economy,2025-02-25,2025-03-05
TRVL-000106,Owais Rajput,30749-9749994-5,NN9645598,Malaysia,Serene Air,Economy,2024-08-01,
TRVL-000107,Tanzeela Rajput,34581-1193440-4,SU9463559,Oman,Turkish Airlines,Economy,2023-09-23,2023-09-30
TRVL-000108,,32207-4211208-6,MR6206711,Qatar,Oman Air,Business,2024-05-05,2024-05-29
TRVL-000109,Mariam Afridi,32207-4211208-6,MR6206711,UAE,Thai Airways,Business,2025-11-10,2025-11-13
TRVL-000110,Rabia Baloch,33514-2666799-0,JW4817516,Thailand,Malaysia Airlines,Economy,2024-10-13,2024-11-06
TRVL-000111,Rabia Baloch,33514-2666799-0,JW4817516,UAE,Qatar Airways,Economy,2024-05-08,2024-05-14
TRVL-000112,Rabia Baloch,33514-2666799-0,JW4817516,Saudi Arabia,Fly Jinnah,Economy,2026-03-27,2026-04-15
TRVL-000113,Nadia Awan,19484-7866453-0,MW5038109,Saudi Arabia,Gulf Air,Economy,2025-07-27,2025-08-20
TRVL-000114,Riffat Rajput,30637-1303478-8,EJ6499202,UK,Qatar Airways,Business,2025-02-16,2025-02-22
TRVL-000115,Riffat Rajput,30637-1303478-8,EJ6499202,Turkey,Oman Air,Economy,2026-03-07,2026-03-13
TRVL-000116,Riffat Rajput,30637-1303478-8,EJ6499202,Saudi Arabia,Serene Air,Economy,2025-05-25,2025-06-24
TRVL-000117,Aisha Qureshi,50402-1465200-8,JO4450949,China,Turkish Airlines,Economy,2024-01-20,2024-02-11
TRVL-000118,Aisha Qureshi,50402-1465200-8,JO4450949,Saudi Arabia,Saudi Airlines,Business,2024-07-28,2024-08-09
TRVL-000119,Hussain Ali,40326-7369513-3,GP0271848,UK,Qatar Airways,Economy,2024-01-15,
TRVL-000120,Javed Virk,39372-2205867-3,AV1067527,UK,Saudi Airlines,Business,2024-06-30,2024-07-18
TRVL-000121,Javed Virk,39372-2205867-3,,Qatar,Gulf Air,Business,2025-11-01,2025-11-11
TRVL-000122,Javed Virk,39372-2205867-3,AV1067527,UAE,Turkish Airlines,Economy,2025-09-27,2025-10-16
TRVL-000123,Javed Virk,39372-2205867-3,AV1067527,Thailand,Thai Airways,Economy,2024-07-25,2024-08-04
TRVL-000124,Nighat Bugti,33875-3976811-4,HZ3706454,USA,Etihad,Business,2025-12-07,2026-01-02
TRVL-000125,Naadia Mirza,48106-4290415-8,YX5263523,Saudi Arabia,Saudi Airlines,Economy,2025-04-08,2025-05-06
TRVL-000126,Nadia Mirza,48106-4290415-8,YX5263523,UAE,,Business,2025-12-05,2025-12-18
TRVL-000127,Nadia Cheema,39200-2012673-0,,Saudi Arabia,Emirates,Economy,2025-02-22,2025-02-25
TRVL-000128,,39200-2012673-0,GE5635501,UK,Turkish Airlines,First,2024-12-26,2025-01-02
TRVL-000129,Naadia Cheema,39200-2012673-0,GE5635501,Turkey,British Airways,Business,2024-05-18,2024-05-28
TRVL-000130,Zahid Randhawa,32019-6786161-5,EV3194865,Malaysia,,Business,2024-01-13,2024-01-26
TRVL-000131,Zahid Randhawa,32019-6786161-5,EV3194865,UAE,Turkish Airlines,First,2025-08-12,2025-09-03
TRVL-000132,Zahid Randhawa,32019-6786161-5,EV3194865,Oman,British Airways,Economy,2025-07-18,2025-08-01
TRVL-000133,Samina Mengal,32633-9895148-8,GO9436535,Saudi Arabia,Etihad,Economy,2023-11-01,2023-11-06
TRVL-000134,Pervaiz Sheikh,33506-6493184-1,JP2172407,Saudi Arabia,Etihad,Economy,2023-08-25,2023-09-20
TRVL-000135,,34165-1462745-3,TS9199119,UK,British Airways,Business,2023-11-30,
TRVL-000136,,34165-1462745-3,TS9199119,Qatar,Qatar Airways,Economy,2024-02-05,2024-02-20
TRVL-000137,Azhar Iqbal,34165-1462745-3,TS9199119,UK,PIA,Economy,2026-02-11,2026-02-23
TRVL-000138,Sana Butt,32126-3299270-2,LS8239856,Turkey,Etihad,Business,2024-02-16,2024-03-16
TRVL-000139,Sunna Butt,32126-3299270-2,LS8239856,Saudi Arabia,Oman Air,Economy,2026-05-05,2026-05-29
TRVL-000140,Nadeem Gondal,15097-6221927-3,BK8292670,Saudi Arabia,Oman Air,Economy,2025-03-29,
TRVL-000141,Nadeem Gondal,15097-6221927-3,BK8292670,China,Emirates,Economy,2025-12-25,2026-01-06
TRVL-000142,Nadeem Gondal,15097-6221927-3,BK8292670,UAE,Air Blue,Economy,2023-09-19,2023-10-15
TRVL-000143,Kassim Chandio,41237-7779356-3,QU8230952,Turkey,Air Blue,Business,2025-01-30,2025-02-26
TRVL-000144,Qasem Chandio,41237-7779356-3,QU8230952,Malaysia,Saudi Airlines,First,2025-01-25,2025-02-23
TRVL-000145,Farzana Gill,35773-9497386-0,CK4216002,Saudi Arabia,Turkish Airlines,Economy,2025-12-24,2026-01-21
TRVL-000146,Farzana Gill,35773-9497386-0,CK4216002,UAE,Saudi Airlines,Business,2025-06-09,2025-07-05
TRVL-000147,Farzana Gill,35773-9497386-0,CK4216002,Saudi Arabia,Malaysia Airlines,Economy,2025-09-11,2025-10-06
TRVL-000148,Farzana Gill,35773-9497386-0,CK4216002,UAE,Air Blue,Business,2024-07-07,2024-07-27
TRVL-000149,Saeid Khattak,45126-9636078-1,IL8702296,UAE,Saudi Airlines,Economy,2025-10-19,2025-11-04
TRVL-000150,Tanveer Mengal,39520-4335129-7,IW0228089,China,Etihad,Business,2023-06-30,2023-07-07
TRVL-000151,Tanveer Mengal,39520-4335129-7,IW0228089,UAE,Oman Air,First,2026-05-04,2026-05-09
TRVL-000152,Tanveer Mengal,39520-4335129-7,IW0228089,UAE,Air Blue,Business,2023-12-07,2024-01-05
TRVL-000153,Tanveer Mengal,39520-4335129-7,IW0228089,Thailand,Malaysia Airlines,Economy,2026-05-07,2026-05-22
TRVL-000154,Basit Mengal,42379-9174314-1,AU4031055,Saudi Arabia,,First,2025-09-24,2025-09-27
TRVL-000155,Basit Mengal,42379-9174314-1,AU4031055,UAE,Etihad,Economy,2024-07-31,2024-08-16
TRVL-000156,Basit Mengal,42379-9174314-1,AU4031055,Turkey,British Airways,Economy,2026-03-04,2026-03-30
TRVL-000157,Nighat Randhawa,13830-6216214-6,HY0894233,Thailand,Air Blue,Economy,2024-11-22,2024-12-03
TRVL-000158,Sanaa Butt,11243-6423809-6,LJ1183157,UK,Malaysia Airlines,First,2023-12-03,2023-12-12
TRVL-000159,Sunna Butt,11243-6423809-6,LJ1183157,Saudi Arabia,Malaysia Airlines,Economy,2024-09-10,2024-10-06
TRVL-000160,Sana Butt,11243-6423809-6,LJ1183157,Turkey,Oman Air,Economy,2025-04-18,2025-05-12
TRVL-000161,Sana Butt,11243-6423809-6,LJ1183157,Turkey,Gulf Air,Economy,2024-02-13,2024-03-01
TRVL-000162,Wardah Cheema,38035-3449473-4,YF6169274,Saudi Arabia,Air Blue,Economy,2025-05-17,2025-05-31
TRVL-000163,Khadija Tahir,40678-1573634-2,ZJ3113382,Saudi Arabia,Qatar Airways,Economy,2023-06-18,2023-07-15
TRVL-000164,Khadija Tahir,40678-1573634-2,ZJ3113382,Canada,British Airways,Economy,2024-07-26,
TRVL-000165,Khadija Tahir,40678-1573634-2,,UAE,Serene Air,Economy,2025-07-29,2025-08-11
TRVL-000166,Rabia Junejo,59657-6052926-2,CL8196668,UK,Etihad,Economy,2024-03-16,2024-04-11
TRVL-000167,Tanveer Ahmed,36247-6027267-9,,UAE,PIA,Business,2025-08-09,2025-08-28
TRVL-000168,Ghazala Rajput,12927-6666655-2,WE0625450,Saudi Arabia,Emirates,Economy,2023-11-25,2023-12-15
TRVL-000169,Ghazala Rajput,12927-6666655-2,WE0625450,Malaysia,Fly Jinnah,Economy,2026-02-08,2026-03-05
TRVL-000170,Rafiq Memon,48927-0764543-7,NB3002960,UAE,Thai Airways,Business,2024-09-18,2024-09-23
TRVL-000171,Rafiq Memon,48927-0764543-7,NB3002960,Thailand,Air Blue,Economy,2026-03-01,2026-03-12
TRVL-000172,Junaid Sethi,42387-3756411-5,QY4148007,Malaysia,Saudi Airlines,Economy,2025-08-09,2025-08-20
TRVL-000173,Junaid Sethi,42387-3756411-5,QY4148007,Saudi Arabia,Gulf Air,Economy,2026-01-14,2026-02-11
TRVL-000174,Junaid Sethi,42387-3756411-5,QY4148007,USA,Gulf Air,Economy,2024-04-16,2024-05-11
TRVL-000175,Noman Kayani,37363-4220150-5,IY3438191,Turkey,,Economy,2024-02-05,2024-02-09
TRVL-000176,Hamza Junejo,12276-6264065-1,OL1175899,Saudi Arabia,Qatar Airways,Economy,2025-01-13,2025-01-27
TRVL-000177,Hamza Junejo,12276-6264065-1,OL1175899,Saudi Arabia,Malaysia Airlines,Business,2024-02-18,2024-03-18
TRVL-000178,Iqbal Chandio,35457-3611015-3,FS8857948,UK,British Airways,Economy,2025-09-27,2025-09-30
TRVL-000179,Sadia Chandio,36407-6415592-8,BD0072065,Thailand,Fly Jinnah,Economy,2025-09-13,2025-09-22
TRVL-000180,Sadia Chandio,36407-6415592-8,BD0072065,Turkey,Qatar Airways,Economy,2023-06-13,2023-07-11
TRVL-000181,Iram Minhas,14434-7493897-0,IS5334714,Oman,Thai Airways,Economy,2025-12-29,
TRVL-000182,,14434-7493897-0,IS5334714,China,PIA,First,2024-10-28,2024-11-21
TRVL-000183,Umair Abbasi,35776-4201795-1,DG6979570,Qatar,British Airways,Business,2025-07-11,2025-07-31
TRVL-000184,Tareq Laghari,45461-0684891-5,WM9391961,UAE,Etihad,First,2023-07-13,2023-07-24
TRVL-000185,Tariq Laghari,45461-0684891-5,WM9391961,Malaysia,British Airways,Economy,2023-12-03,2023-12-09
TRVL-000186,,45461-0684891-5,WM9391961,UAE,,Business,2024-12-27,2025-01-07
TRVL-000187,Tariq Laghari,45461-0684891-5,WM9391961,Turkey,Turkish Airlines,Economy,2024-10-02,2024-10-26
TRVL-000188,Zubair Laghari,48167-7262273-7,AD8038102,Malaysia,Thai Airways,Economy,2024-06-18,2024-07-02
TRVL-000189,Shoaib Shaikh,49929-9841902-9,LN9870451,Malaysia,Fly Jinnah,Economy,2023-09-10,2023-10-05
TRVL-000190,Shoaib Shaikh,49929-9841902-9,LN9870451,Qatar,Qatar Airways,Economy,2024-06-21,2024-07-09
TRVL-000191,Shoaib Shaikh,49929-9841902-9,LN9870451,USA,Gulf Air,Business,2025-11-10,2025-11-14
TRVL-000192,Waseem Raza,41965-3868946-5,IP3319241,Oman,Saudi Airlines,Economy,2023-10-13,2023-10-21
TRVL-000193,Waseem Raza,41965-3868946-5,IP3319241,Thailand,Malaysia Airlines,Economy,2023-10-24,2023-11-16
TRVL-000194,Ghazala Durrani,36105-8427539-0,RR5705751,Saudi Arabia,Serene Air,Economy,2025-07-06,2025-08-01
TRVL-000195,Amir Sethi,35977-4799245-5,JA4889984,Turkey,Fly Jinnah,Business,2023-09-28,2023-10-21
TRVL-000196,Amir Sethi,35977-4799245-5,JA4889984,UAE,Fly Jinnah,Economy,2025-09-17,2025-09-26
TRVL-000197,Amir Sethi,35977-4799245-5,JA4889984,Turkey,Serene Air,Business,2023-12-25,2024-01-19
TRVL-000198,Amir Sethi,35977-4799245-5,JA4889984,USA,Turkish Airlines,Economy,2023-12-29,2024-01-19
TRVL-000199,Durr-e-Shahwar Hashmi,51726-4344343-6,EC4753684,Canada,Saudi Airlines,First,2026-04-02,2026-04-07
TRVL-000200,Zeeshan Junejo,46039-1296931-7,TB3796108,UK,Qatar Airways,Business,2025-06-20,2025-06-26
TRVL-000201,Zeeshan Junejo,46039-1296931-7,TB3796108,UK,Serene Air,Economy,2025-10-14,2025-10-23
TRVL-000202,Zeeshan Junejo,46039-1296931-7,TB3796108,Saudi Arabia,Etihad,Business,2024-02-24,2024-03-01
TRVL-000203,Salman Chaudhry,35263-7048621-9,BR9732739,UK,Emirates,Business,2024-07-28,
TRVL-000204,Salman Chaudhry,35263-7048621-9,BR9732739,Malaysia,Air Blue,Economy,2025-09-09,2025-09-15
TRVL-000205,Salman Chaudhry,35263-7048621-9,BR9732739,Saudi Arabia,Saudi Airlines,Economy,2026-01-10,2026-01-22
TRVL-000206,Salman Chaudhry,35263-7048621-9,BR9732739,UK,Saudi Airlines,Economy,2025-03-31,2025-04-14
TRVL-000207,Umair Ali,39600-0358705-1,XQ6713397,Malaysia,Gulf Air,Business,2024-05-07,2024-06-03
TRVL-000208,Waheed Tahir,32128-3958472-1,ZD5699671,UK,Emirates,Business,2025-09-27,2025-10-07
TRVL-000209,Waheed Tahir,32128-3958472-1,ZD5699671,USA,British Airways,Business,2026-05-19,2026-05-26
TRVL-000210,Basit Siddiqui,36691-9916277-5,KK6168190,USA,British Airways,Business,2024-04-20,2024-04-28
TRVL-000211,Shaheed Shah,53187-8008861-7,UE2477538,Turkey,Oman Air,Economy,2024-10-09,2024-11-06
TRVL-000212,Shahid Shah,53187-8008861-7,UE2477538,Malaysia,Oman Air,Economy,2025-02-21,2025-03-01
TRVL-000213,Shahid Shah,53187-8008861-7,UE2477538,Saudi Arabia,Turkish Airlines,Economy,2026-04-21,2026-05-10
TRVL-000214,Ehsan Siddiqui,47046-2736187-7,OM4097630,Saudi Arabia,Saudi Airlines,Business,2026-03-18,2026-03-31
TRVL-000215,Ehsan Siddiqui,47046-2736187-7,OM4097630,UAE,British Airways,Economy,2025-01-13,2025-02-09
TRVL-000216,Ehsan Siddiqui,47046-2736187-7,OM4097630,UAE,Turkish Airlines,Economy,2025-04-23,2025-05-14
TRVL-000217,Ehsan Siddiqui,47046-2736187-7,OM4097630,UAE,Thai Airways,Business,2025-08-25,2025-09-24
TRVL-000218,Danish Mirza,44802-1067049-3,RB2403320,UAE,Emirates,Economy,2025-05-14,2025-05-29
TRVL-000219,Danish Mirza,44802-1067049-3,RB2403320,Saudi Arabia,Thai Airways,Business,2023-12-17,2024-01-02
TRVL-000220,Danish Mirza,44802-1067049-3,RB2403320,UAE,Fly Jinnah,First,2024-07-02,2024-07-21
TRVL-000221,Danish Mirza,44802-1067049-3,RB2403320,UAE,Serene Air,Business,2024-05-27,
TRVL-000222,Danish Mirza,44802-1067049-3,RB2403320,Turkey,Saudi Airlines,Business,2023-09-20,2023-10-18
TRVL-000223,Danish Mirza,44802-1067049-3,RB2403320,UAE,Thai Airways,First,2024-11-19,2024-12-17
TRVL-000224,Mushtaq Sheikh,39226-5082022-3,EK3522369,Malaysia,Malaysia Airlines,Economy,2023-07-15,2023-07-22
TRVL-000225,Mushtaq Sheikh,39226-5082022-3,EK3522369,Turkey,British Airways,Economy,2025-12-12,2025-12-28
TRVL-000226,Mushtaq Sheikh,39226-5082022-3,EK3522369,China,Turkish Airlines,Economy,2025-10-20,2025-11-14
TRVL-000227,Aysha Bugti,38495-0072248-0,HN9452688,UAE,Etihad,Economy,2024-06-04,2024-06-24
TRVL-000228,Ayesha Bugti,38495-0072248-0,HN9452688,UK,Fly Jinnah,Business,2025-12-13,2026-01-03
