record_id,account_holder,cnic,utility_type,provider,monthly_amount,address,city
UTIL-000036,Jaweria Minhas,32411-9425439-4,electricity,GEPCO,5290.0,"273-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000037,Jaweria Minhas,32411-9425439-4,gas,SNGPL,6009.0,"273-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000038,Atif Randhawa,38096-8696725-5,electricity,LESCO,5099.0,"254-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000039,Atif Randhawa,38096-8696725-5,gas,SNGPL,3734.0,"254-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000040,Junaid Khan,49939-7281438-7,electricity,HESCO,18667.0,"396-Larkana Area, Larkana",Larkana
UTIL-000041,Iram Iqbal,16536-8740066-2,electricity,PESCO,27300.0,"473-Kohat Area, Kohat",Kohat
UTIL-000042,Iram Iqbal,16536-8740066-2,gas,SNGPL,13225.0,"473-Kohat Area, Kohat",Kohat
UTIL-000043,Rafiq Baig,48066-1915057-7,electricity,HESCO,11041.0,"365-Nawabshah Area, Nawabshah",Nawabshah
UTIL-000044,Pervaiz Khattak,34122-6936401-5,electricity,GEPCO,95039.0,"64-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000045,Pervaiz Khattak,34122-6936401-5,gas,SNGPL,43631.0,"64-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000046,Lubna Baloch,51713-2287856-2,electricity,QESCO,7448.0,"473-Hub Area, Hub",Hub
UTIL-000047,Lubna Baloch,51713-2287856-2,gas,SSGC,7386.0,,Hub
UTIL-000048,Khaled Warraich,48066-3598108-7,electricity,SEPCO,30997.0,"331-Sukkur Area, Sukkur",Sukkur
UTIL-000049,Khaled Warraich,48066-3598108-7,gas,SSGC,25797.0,"331-Sukkur Area, Sukkur",Sukkur
UTIL-000050,Ghulam Cheema,53009-3319808-3,electricity,QESCO,11952.0,"21-Sibi Area, Sibi",Sibi
UTIL-000051,Ghulam Cheema,53009-3319808-3,gas,SSGC,2732.0,"21-Sibi Area, Sibi",Sibi
UTIL-000052,Zubaida Minhas,69630-3143260-6,electricity,IESCO,23777.0,"278-F-8, Islamabad",Islamabad
UTIL-000053,Zubaida Minhas,69630-3143260-6,gas,SNGPL,16354.0,"278-F-8, Islamabad",Islamabad
UTIL-000054,Tahira Cheema,37956-0408396-4,electricity,MEPCO,,"494-Cantt, Lahore",Lahore
UTIL-000055,Tahira Cheema,37956-0408396-4,gas,SNGPL,6952.0,"494-Cantt, Lahore",Lahore
UTIL-000056,Lubna Chandio,47074-7804737-6,electricity,SEPCO,11782.0,"347-Nawabshah Area, Nawabshah",Nawabshah
UTIL-000057,Lubna Chandio,47074-7804737-6,gas,SSGC,2961.0,"347-Nawabshah Area, Nawabshah",Nawabshah
UTIL-000058,Salman Khan,36446-7738669-7,electricity,LESCO,11253.0,,Sialkot
UTIL-000059,Kamran Jamali,31419-7440422-7,electricity,LESCO,4366.0,"448-Madina Town, Faisalabad",Faisalabad
UTIL-000060,Kamran Jamali,31419-7440422-7,gas,SNGPL,1585.0,"448-Madina Town, Faisalabad",Faisalabad
UTIL-000061,Aneela Raza,30055-2681664-6,electricity,FESCO,18393.0,,Sargodha
UTIL-000062,Aneela Raza,30055-2681664-6,gas,SNGPL,17606.0,"320-Sargodha Area, Sargodha",Sargodha
UTIL-000063,Nighat Warraich,47778-6276116-0,electricity,K-Electric,85314.0,"89-Larkana Area, Larkana",Larkana
UTIL-000064,Nighat Warraich,47778-6276116-0,gas,SSGC,14144.0,"89-Larkana Area, Larkana",Larkana
UTIL-000065,Yasir Sheikh,12549-7775888-9,electricity,PESCO,11564.0,"324-Kohat Area, Kohat",Kohat
UTIL-000066,Shaheed Gill,18912-4570631-3,electricity,PESCO,11218.0,"188-Nowshera Area, Nowshera",Nowshera
UTIL-000067,Shaheed Gill,18912-4570631-3,gas,SNGPL,4200.0,"188-Nowshera Area, Nowshera",Nowshera
UTIL-000068,Nasreen Hussain,33736-1742844-6,electricity,LESCO,45862.0,"349-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000069,Rizwan Gill,37894-8787338-9,electricity,GEPCO,4774.0,"319-Multan Area, Multan",Multan
UTIL-000070,Rizwan Gill,37894-8787338-9,gas,SNGPL,3176.0,"319-Multan Area, Multan",Multan
UTIL-000071,Lubna Jamali,48053-7855253-4,electricity,HESCO,8371.0,"487-Shikarpur Area, Shikarpur",Shikarpur
UTIL-000072,Asma Sheikh,37945-0327579-8,electricity,MEPCO,33066.0,"203-Bahria Town, Lahore",Lahore
UTIL-000073,Atif Iqbal,37800-8443555-7,electricity,MEPCO,14326.0,"168-Sialkot Area, Sialkot",Sialkot
UTIL-000074,Atif Iqbal,37800-8443555-7,gas,SNGPL,,"168-Sialkot Area, Sialkot",Sialkot
UTIL-000075,Qudsia Chaudhry,71717-8124793-0,electricity,IESCO,3218.0,"242-Chilas Area, Chilas",Chilas
UTIL-000076,Qudsia Chaudhry,71717-8124793-0,gas,SNGPL,6627.0,"242-Chilas Area, Chilas",Chilas
UTIL-000077,Waqas Aslam,43471-5088284-1,electricity,K-Electric,10921.0,,Karachi
UTIL-000078,Iram Mengal,38116-7617066-6,electricity,FESCO,38392.0,"453-Bahria Town Phase 8, Rawalpindi",Rawalpindi
UTIL-000079,Iram Mengal,38116-7617066-6,gas,SNGPL,17474.0,"453-Bahria Town Phase 8, Rawalpindi",Rawalpindi
UTIL-000080,Ghazala Cheema,40957-9575065-0,electricity,SEPCO,4627.0,"244-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000081,Ghazala Cheema,40957-9575065-0,gas,SSGC,1310.0,"244-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000082,Tahir Khattak,,electricity,K-Electric,,"75-Hyderabad Area, Hyderabad",Hyderabad
UTIL-000083,Tahir Khattak,42980-2525592-5,gas,SSGC,6153.0,,Hyderabad
UTIL-000084,Farzana Warraich,39828-2150068-8,electricity,MEPCO,68639.0,"72-Bahria Town, Lahore",Lahore
UTIL-000085,Farzana Warraich,39828-2150068-8,gas,SNGPL,29526.0,"72-Bahria Town, Lahore",Lahore
UTIL-000086,Iram Baloch,43919-6001564-6,electricity,K-Electric,9716.0,"104-Hyderabad Area, Hyderabad",Hyderabad
UTIL-000087,Iram Baloch,43919-6001564-6,gas,SSGC,2568.0,"104-Hyderabad Area, Hyderabad",Hyderabad
UTIL-000088,Nighat Jamali,,electricity,PESCO,18506.0,"61-Mansehra Area, Mansehra",Mansehra
UTIL-000089,Nighat Jamali,19131-0776718-4,gas,SNGPL,,"61-Mansehra Area, Mansehra",Mansehra
UTIL-000090,Owais Awan,71766-1571988-5,electricity,IESCO,2189.0,"283-Mirpur Area, Mirpur",Mirpur
UTIL-000091,Owais Awan,71766-1571988-5,gas,SNGPL,1322.0,"283-Mirpur Area, Mirpur",Mirpur
UTIL-000092,Wardah Khan,46909-4926437-2,electricity,HESCO,2997.0,"129-Larkana Area, Larkana",Larkana
UTIL-000093,Wardah Khan,46909-4926437-2,gas,SSGC,2398.0,"129-Larkana Area, Larkana",Larkana
UTIL-000094,Khalid Awan,33604-8563212-5,electricity,MEPCO,15711.0,"400-Gujrat Area, Gujrat",Gujrat
UTIL-000095,Khalid Awan,33604-8563212-5,gas,SNGPL,7739.0,,Gujrat
UTIL-000096,Qudsia Sethi,34270-3497387-2,electricity,GEPCO,7702.0,"93-Sialkot Area, Sialkot",Sialkot
UTIL-000097,Qudsia Sethi,34270-3497387-2,gas,SNGPL,1655.0,"93-Sialkot Area, Sialkot",Sialkot
UTIL-000098,Hamza Laghari,68412-9736695-5,electricity,IESCO,22026.0,"194-G-11, Islamabad",Islamabad
UTIL-000099,,68412-9736695-5,gas,SNGPL,12999.0,"194-G-11, Islamabad",Islamabad
UTIL-000100,Rafiq Mirza,57937-2193001-5,electricity,QESCO,14440.0,"157-Gwadar Area, Gwadar",Gwadar
UTIL-000101,Rafiq Mirza,57937-2193001-5,gas,SSGC,6257.0,"157-Gwadar Area, Gwadar",Gwadar
UTIL-000102,,38906-3719328-3,electricity,GEPCO,67414.0,"128-Jhelum Area, Jhelum",Jhelum
UTIL-000103,Waqas Butt,51335-9206157-5,electricity,QESCO,2918.0,"332-Loralai Area, Loralai",
UTIL-000104,Waqas Butt,51335-9206157-5,gas,SSGC,492.0,"332-Loralai Area, Loralai",Loralai
UTIL-000105,Noor Mengal,36138-7351754-6,electricity,MEPCO,12809.0,"478-Sialkot Area, Sialkot",Sialkot
UTIL-000106,Noor Mengal,36138-7351754-6,gas,SNGPL,5900.0,"478-Sialkot Area, Sialkot",Sialkot
UTIL-000107,Habib Yousafzai,13385-9351043-9,electricity,PESCO,4365.0,"289-Dera Ismail Khan Area, Dera Ismail Khan",Dera Ismail Khan
UTIL-000108,Habib Yousafzai,13385-9351043-9,gas,SNGPL,,"289-Dera Ismail Khan Area, Dera Ismail Khan",Dera Ismail Khan
UTIL-000109,Amir Hashmi,35679-0002133-5,electricity,GEPCO,1229.0,"480-Saddar, Rawalpindi",Rawalpindi
UTIL-000110,Amir Hashmi,35679-0002133-5,gas,SNGPL,1992.0,"480-Saddar, Rawalpindi",Rawalpindi
UTIL-000111,,35713-2745777-6,electricity,GEPCO,942.0,"181-Dera Ghazi Khan Area, Dera Ghazi Khan",Dera Ghazi Khan
UTIL-000112,Fatima Virk,33464-7530791-4,electricity,GEPCO,13614.0,"269-Jhelum Area, Jhelum",Jhelum
UTIL-000113,,33464-7530791-4,gas,SNGPL,5192.0,"269-Jhelum Area, Jhelum",Jhelum
UTIL-000114,Noor Shah,43439-6316186-0,electricity,K-Electric,3187.0,,Sukkur
UTIL-000115,Noor Shah,43439-6316186-0,gas,SSGC,494.0,"197-Sukkur Area, Sukkur",Sukkur
UTIL-000116,Parveen Sheikh,35409-8124746-4,electricity,FESCO,4735.0,"184-Jhelum Area, Jhelum",
UTIL-000117,Tahira Junejo,,electricity,GEPCO,6459.0,"183-Rahim Yar Khan Area, Rahim Yar Khan",Rahim Yar Khan
UTIL-000118,Tahira Junejo,37284-7726812-8,gas,SNGPL,2459.0,"183-Rahim Yar Khan Area, Rahim Yar Khan",Rahim Yar Khan
UTIL-000119,,38560-7994713-0,electricity,FESCO,11741.0,"496-Bahawalpur Area, Bahawalpur",Bahawalpur
UTIL-000120,Khadijah Awan,,gas,SNGPL,2011.0,"496-Bahawalpur Area, Bahawalpur",Bahawalpur
UTIL-000121,Saima Ali,32716-4406744-4,electricity,MEPCO,31562.0,"251-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000122,Bushra Virk,30241-7854065-0,electricity,FESCO,8438.0,"402-Saddar, Rawalpindi",Rawalpindi
UTIL-000123,Khaleed Mirza,30493-1628781-3,electricity,MEPCO,1138.0,"292-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000124,Khaleed Mirza,30493-1628781-3,gas,SNGPL,2014.0,"292-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000125,Liaquat Memon,39669-6368384-5,electricity,LESCO,1462.0,"306-Dera Ghazi Khan Area, Dera Ghazi Khan",Dera Ghazi Khan
UTIL-000126,Shoaib Jatoi,40321-2095973-5,electricity,HESCO,4617.0,"15-Gulistan-e-Johar, Karachi",Karachi
UTIL-000127,Khalid Memon,35160-4909911-9,electricity,FESCO,25561.0,"200-Jinnah Colony, Faisalabad",Faisalabad
UTIL-000128,Khalid Memon,35160-4909911-9,gas,SNGPL,5559.0,"200-Jinnah Colony, Faisalabad",Faisalabad
UTIL-000129,Naila Shaikh,30931-4577870-6,electricity,MEPCO,7836.0,"343-Committee Chowk, Rawalpindi",Rawalpindi
UTIL-000130,Naila Shaikh,30931-4577870-6,gas,SNGPL,2233.0,"343-Committee Chowk, Rawalpindi",Rawalpindi
UTIL-000131,Sunna Butt,34110-5749993-6,electricity,LESCO,4250.0,"363-Sialkot Area, Sialkot",Sialkot
UTIL-000132,Sunna Butt,34110-5749993-6,gas,SNGPL,1209.0,,Sialkot
UTIL-000133,Fahad Qureshi,54297-5466697-3,electricity,QESCO,4824.0,"230-Zhob Area, Zhob",
UTIL-000134,Jaweria Sethi,47981-5782276-0,electricity,HESCO,70906.0,"167-Larkana Area, Larkana",Larkana
UTIL-000135,Jaweria Sethi,47981-5782276-0,gas,SSGC,35116.0,"167-Larkana Area, Larkana",Larkana
UTIL-000136,Waseem Laghari,34810-1729466-3,electricity,GEPCO,1348.0,"271-Gujrat Area, Gujrat",Gujrat
UTIL-000137,,,gas,SNGPL,1342.0,"271-Gujrat Area, Gujrat",Gujrat
UTIL-000138,Talha Warraich,31070-5905069-5,electricity,LESCO,57312.0,"103-Model Town, Lahore",Lahore
UTIL-000139,Aisha Mughal,33698-8084890-0,electricity,FESCO,22232.0,"428-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000140,Aisha Mughal,33698-8084890-0,gas,SNGPL,19778.0,"428-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000141,Aneela Virk,10693-6897624-8,electricity,PESCO,11581.0,"170-Mingora Area, Mingora",Mingora
UTIL-000142,Zubair Hussain,48994-8945219-1,electricity,K-Electric,23735.0,,Mirpur Khas
UTIL-000143,Zubair Hussain,48994-8945219-1,gas,SSGC,,"380-Mirpur Khas Area, Mirpur Khas",Mirpur Khas
UTIL-000144,Waseem Gondal,58976-6377365-7,electricity,QESCO,26267.0,"165-Quetta Area, Quetta",Quetta
UTIL-000145,Waseem Gondal,58976-6377365-7,gas,SSGC,16276.0,"165-Quetta Area, Quetta",Quetta
UTIL-000146,Nasreen Gondal,33175-8874116-4,electricity,FESCO,16467.0,"233-Sialkot Area, Sialkot",Sialkot
UTIL-000147,Nasreen Gondal,33175-8874116-4,gas,SNGPL,8808.0,"233-Sialkot Area, Sialkot",Sialkot
UTIL-000148,Wardah Malik,13491-5341721-6,electricity,PESCO,13830.0,"62-Mingora Area, Mingora",Mingora
UTIL-000149,Rafiq Shaikh,46310-4650552-1,electricity,HESCO,29132.0,"280-Sukkur Area, Sukkur",Sukkur
UTIL-000150,Salman Shah,18586-7261860-7,electricity,PESCO,22895.0,"427-Peshawar Area, Peshawar",Peshawar
UTIL-000151,Shoaib Mirza,30992-5143996-9,electricity,GEPCO,1355.0,"190-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000152,Shoaib Mirza,30992-5143996-9,gas,SNGPL,2011.0,"190-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000153,Noor Memon,32316-0239402-6,electricity,GEPCO,31245.0,"319-D Ground, Faisalabad",Faisalabad
UTIL-000154,Noor Memon,32316-0239402-6,gas,SNGPL,8630.0,"319-D Ground, Faisalabad",Faisalabad
UTIL-000155,Tahir Abbasi,49225-6430971-3,electricity,HESCO,1317.0,"468-Sukkur Area, Sukkur",Sukkur
UTIL-000156,Tahir Abbasi,49225-6430971-3,gas,SSGC,1322.0,"468-Sukkur Area, Sukkur",Sukkur
UTIL-000157,Zahid Soomro,46819-3379558-7,electricity,HESCO,3761.0,"128-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000158,Zahid Soomro,46819-3379558-7,gas,SSGC,4161.0,"128-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000159,Zafar Siddiqui,49752-4988389-7,electricity,K-Electric,27710.0,"26-Sukkur Area, Sukkur",
UTIL-000160,Zafar Siddiqui,49752-4988389-7,gas,SSGC,12531.0,"26-Sukkur Area, Sukkur",
UTIL-000161,Arif Hussain,32980-9691466-9,electricity,GEPCO,13131.0,"106-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000162,Arif Hussain,32980-9691466-9,gas,SNGPL,4311.0,"106-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000163,,45208-5943319-3,electricity,SEPCO,21370.0,"260-Khairpur Area, Khairpur",Khairpur
UTIL-000164,Mushtaq Warraich,45208-5943319-3,gas,SSGC,16819.0,"260-Khairpur Area, Khairpur",Khairpur
UTIL-000165,,50421-3740415-3,electricity,QESCO,10360.0,"277-Zhob Area, Zhob",Zhob
UTIL-000166,Parveen Aslam,14181-4813438-2,electricity,PESCO,2524.0,"56-Peshawar Area, Peshawar",Peshawar
UTIL-000167,Parveen Aslam,14181-4813438-2,gas,SNGPL,967.0,"56-Peshawar Area, Peshawar",Peshawar
UTIL-000168,,39144-6177377-7,electricity,FESCO,4771.0,"208-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000169,Adnan Mengal,39144-6177377-7,gas,SNGPL,2282.0,"208-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000170,Javed Warraich,34504-2046712-1,electricity,GEPCO,10872.0,"394-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000171,Javed Warraich,34504-2046712-1,gas,SNGPL,14398.0,"394-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000172,Babar Chandio,16210-9946004-5,electricity,PESCO,7171.0,"167-Peshawar Area, Peshawar",Peshawar
UTIL-000173,Sadia Aslam,32234-3000724-8,electricity,GEPCO,24555.0,"273-Bahria Town, Lahore",Lahore
UTIL-000174,Sadia Aslam,32234-3000724-8,gas,SNGPL,5143.0,"273-Bahria Town, Lahore",Lahore
UTIL-000175,Zubayr Mughal,38756-2250166-1,electricity,MEPCO,4580.0,"472-Model Town, Lahore",Lahore
UTIL-000176,Zubayr Mughal,38756-2250166-1,gas,SNGPL,2544.0,"472-Model Town, Lahore",Lahore
UTIL-000177,Bano Awan,52929-0918455-0,electricity,QESCO,1137.0,"490-Quetta Area, Quetta",Quetta
UTIL-000178,Bano Awan,52929-0918455-0,gas,SSGC,776.0,"490-Quetta Area, Quetta",Quetta
UTIL-000179,Aneela Aslam,42212-5269218-0,electricity,SEPCO,3420.0,"377-Shikarpur Area, Shikarpur",Shikarpur
UTIL-000180,Naila Tahir,49821-8296037-4,electricity,SEPCO,617.0,"350-Clifton, Karachi",Karachi
UTIL-000181,Naila Tahir,49821-8296037-4,gas,SSGC,1748.0,"350-Clifton, Karachi",Karachi
UTIL-000182,Daniyal Gill,66243-2683474-3,electricity,IESCO,12527.0,"244-G-11, Islamabad",Islamabad
UTIL-000183,Daniyal Gill,66243-2683474-3,gas,SNGPL,11392.0,"244-G-11, Islamabad",Islamabad
UTIL-000184,Salman Shah,30299-1578630-1,electricity,MEPCO,36071.0,"403-Cantt, Lahore",Lahore
UTIL-000185,Salman Shah,30299-1578630-1,gas,SNGPL,19358.0,"403-Cantt, Lahore",Lahore
UTIL-000186,Ahmd Iqbal,37372-4541310-5,electricity,LESCO,36973.0,"437-Wapda Town, Lahore",Lahore
UTIL-000187,Ahmd Iqbal,37372-4541310-5,gas,SNGPL,5136.0,"437-Wapda Town, Lahore",Lahore
UTIL-000188,Madiha Rajput,42432-9778971-2,electricity,SEPCO,4134.0,"71-Bahria Town Karachi, Karachi",Karachi
UTIL-000189,Madiha Rajput,,gas,SSGC,,"71-Bahria Town Karachi, Karachi",Karachi
UTIL-000190,Farzana Hussain,39133-4647386-2,electricity,MEPCO,67732.0,"99-Gulberg III, Lahore",Lahore
UTIL-000191,Farzana Hussain,39133-4647386-2,gas,SNGPL,25270.0,"99-Gulberg III, Lahore",Lahore
UTIL-000192,Fahad Chandio,34567-7209059-1,electricity,GEPCO,1019.0,"67-Sialkot Area, Sialkot",Sialkot
UTIL-000193,Fahad Chandio,34567-7209059-1,gas,SNGPL,1277.0,"67-Sialkot Area, Sialkot",Sialkot
UTIL-000194,Tahira Soomro,12801-9730937-8,electricity,PESCO,3168.0,"488-Mansehra Area, Mansehra",Mansehra
UTIL-000195,Tahira Soomro,12801-9730937-8,gas,SNGPL,1146.0,"488-Mansehra Area, Mansehra",Mansehra
UTIL-000196,Rasheed Khattak,33762-1807508-7,electricity,FESCO,6123.0,"138-Iqbal Town, Lahore",Lahore
UTIL-000197,Rasheed Khattak,33762-1807508-7,gas,SNGPL,7392.0,"138-Iqbal Town, Lahore",Lahore
UTIL-000198,,33974-0389606-6,electricity,GEPCO,92678.0,"343-Gujrat Area, Gujrat",Gujrat
UTIL-000199,Bushra Hussain,33974-0389606-6,gas,SNGPL,35414.0,"343-Gujrat Area, Gujrat",Gujrat
UTIL-000200,Pervaiz Brohi,10573-5602955-7,electricity,PESCO,2276.0,"110-Mardan Area, Mardan",Mardan
UTIL-000201,Pervaiz Brohi,,gas,SNGPL,863.0,"110-Mardan Area, Mardan",Mardan
UTIL-000202,Yasir Butt,42690-7629695-7,electricity,K-Electric,1264.0,"216-Bahria Town Karachi, Karachi",Karachi
UTIL-000203,Yasir Butt,42690-7629695-7,gas,SSGC,617.0,"216-Bahria Town Karachi, Karachi",Karachi
UTIL-000204,Owais Rajput,30749-9749994-5,electricity,MEPCO,37098.0,"134-Bahria Town Phase 8, Rawalpindi",Rawalpindi
UTIL-000205,Owais Rajput,30749-9749994-5,gas,SNGPL,16380.0,"134-Bahria Town Phase 8, Rawalpindi",Rawalpindi
UTIL-000206,Tanzeela Rajput,34581-1193440-4,electricity,FESCO,63284.0,"95-Multan Area, Multan",
UTIL-000207,Tanzeela Rajput,34581-1193440-4,gas,SNGPL,42848.0,"95-Multan Area, Multan",Multan
UTIL-000208,Meriam Afridi,32207-4211208-6,electricity,LESCO,23754.0,"355-Gulberg III, Lahore",Lahore
UTIL-000209,Daniyal Rajput,39950-8085866-7,electricity,MEPCO,8458.0,"17-Sialkot Area, Sialkot",Sialkot
UTIL-000210,Daniyal Rajput,39950-8085866-7,gas,SNGPL,2286.0,"17-Sialkot Area, Sialkot",Sialkot
UTIL-000211,Rabia Baloch,33514-2666799-0,electricity,GEPCO,58743.0,"160-Dera Ghazi Khan Area, Dera Ghazi Khan",Dera Ghazi Khan
UTIL-000212,Rabia Baloch,33514-2666799-0,gas,SNGPL,29651.0,"160-Dera Ghazi Khan Area, Dera Ghazi Khan",Dera Ghazi Khan
UTIL-000213,Nadiya Minhas,46565-8682751-6,electricity,HESCO,68279.0,"194-Nawabshah Area, Nawabshah",Nawabshah
UTIL-000214,Fatima Raza,32828-7429401-4,electricity,LESCO,,"15-Rahim Yar Khan Area, Rahim Yar Khan",Rahim Yar Khan
UTIL-000215,Rizwan Jatoi,35950-7967162-3,electricity,GEPCO,11043.0,"303-Iqbal Town, Lahore",Lahore
UTIL-000216,Rizwan Jatoi,35950-7967162-3,gas,SNGPL,4705.0,"303-Iqbal Town, Lahore",Lahore
UTIL-000217,,36412-9668133-9,electricity,GEPCO,14301.0,"354-Dera Ghazi Khan Area, Dera Ghazi Khan",Dera Ghazi Khan
UTIL-000218,Ferhan Abbasi,36412-9668133-9,gas,SNGPL,3659.0,"354-Dera Ghazi Khan Area, Dera Ghazi Khan",Dera Ghazi Khan
UTIL-000219,Usmaan Butt,30612-1076484-7,electricity,MEPCO,14428.0,"40-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000220,Usmaan Butt,30612-1076484-7,gas,SNGPL,11507.0,"40-Gujranwala Area, Gujranwala",Gujranwala
UTIL-000221,Nadeea Awan,19484-7866453-0,electricity,PESCO,10620.0,"358-Dera Ismail Khan Area, Dera Ismail Khan",Dera Ismail Khan
UTIL-000222,Nadeea Awan,19484-7866453-0,gas,SNGPL,6818.0,"358-Dera Ismail Khan Area, Dera Ismail Khan",Dera Ismail Khan
UTIL-000223,Riffat Rajput,30637-1303478-8,electricity,MEPCO,28341.0,,Lahore
